publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'Indy Election Results', u'2011 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/745fe43f53c74d35b869d5812ab0c1c4,2012 General Election Results,"2012 General Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T20:53:04.000Z,2018-11-16T19:25:41.375Z,http://data1-indygis.opendata.arcgis.com/datasets/745fe43f53c74d35b869d5812ab0c1c4,https://xmaps.indy.gov/ODP/Download/Elections/2012GeneralElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/745fe43f53c74d35b869d5812ab0c1c4
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Indy Election Results', u'Marion County Election Results', u'2007 Election Results', u'Election Results Archive', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/2735c8ecda18427dab6eccec81419cb9,2007 General Election Results,"2007 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-10-23T15:24:57.000Z,2018-11-16T19:25:40.080Z,http://data1-indygis.opendata.arcgis.com/datasets/2735c8ecda18427dab6eccec81419cb9,https://xmaps.indy.gov/ODP/Download/Elections/2007GeneralElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/2735c8ecda18427dab6eccec81419cb9
City of Indianapolis and Marion County - IndyGIS,"[u'Unit Addresses', u'Building Unit Addresses', u'Units']",http://data1-indygis.opendata.arcgis.com/datasets/f5b97f0c976a4e74a53810b63b53f54d_13,Building Unit Addresses,"Point file depicting unit addresses on a building, in Indianapolis and Marion County. Data projection: NAD 1983 StatePlane Indiana East FIPS 1301 (US Feet) ",2018-11-07T19:03:05.000Z,2018-11-07T19:07:49.000Z,http://data1-indygis.opendata.arcgis.com/datasets/f5b97f0c976a4e74a53810b63b53f54d_13,http://xmaps.indy.gov/arcgis/rest/services/OpenData/OpenData_Boundaries/MapServer/13,"-86.3281,39.6347,-85.942,39.9276",http://data1-indygis.opendata.arcgis.com/datasets/f5b97f0c976a4e74a53810b63b53f54d_13
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'2011 Election Results', u'Political', u'Indy Election Results']",http://data1-indygis.opendata.arcgis.com/datasets/79aca30b70004f0eb232ab8766e4b342,2011 Primary Election Results,"2011 General Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T20:46:48.000Z,2018-11-16T19:25:39.528Z,http://data1-indygis.opendata.arcgis.com/datasets/79aca30b70004f0eb232ab8766e4b342,https://xmaps.indy.gov/ODP/Download/Elections/2011PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/79aca30b70004f0eb232ab8766e4b342
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'2007 Election Results', u'Indy Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/287f27cd1478401caeac0d5e63509d79,2007 Primary Election Results,"2007 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-10-23T16:28:45.000Z,2018-11-16T19:25:41.471Z,http://data1-indygis.opendata.arcgis.com/datasets/287f27cd1478401caeac0d5e63509d79,https://xmaps.indy.gov/ODP/Download/Elections/2007PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/287f27cd1478401caeac0d5e63509d79
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'Indy Election Results', u'2012 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/fe6170d7e1234f44921129c66c2565f7,2012 Primary Election Results,"2012 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:07:48.000Z,2018-11-16T19:25:41.720Z,http://data1-indygis.opendata.arcgis.com/datasets/fe6170d7e1234f44921129c66c2565f7,https://xmaps.indy.gov/ODP/Download/Elections/2012PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/fe6170d7e1234f44921129c66c2565f7
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results Archive', u'Election Results', u'Marion County Election Results', u'Indy Election Results', u'2014 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/d30059d443724825a1f3f481f7d140dc,2014 Primary Election Results,"2014 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:22:14.000Z,2018-11-16T19:25:39.833Z,http://data1-indygis.opendata.arcgis.com/datasets/d30059d443724825a1f3f481f7d140dc,https://xmaps.indy.gov/ODP/Download/Elections/2014PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/d30059d443724825a1f3f481f7d140dc
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'Indy Election Results', u'2010 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/daf706f0827644e1be3ee3e3a5b1273d,2010 Primary Election Results,"2010 Primary Election Results



Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-10-23T20:13:23.000Z,2018-11-16T19:25:39.700Z,http://data1-indygis.opendata.arcgis.com/datasets/daf706f0827644e1be3ee3e3a5b1273d,https://xmaps.indy.gov/ODP/Download/Elections/2010PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/daf706f0827644e1be3ee3e3a5b1273d
City of Indianapolis and Marion County - IndyGIS,"[u'IMPD', u'IMPD Discipline', u'Indianapolis', u'Marion County']",http://data1-indygis.opendata.arcgis.com/datasets/e19f689846e044ad884315450bb7d964_22,IMPD Discipline,IMPD Discipline for Officers Resulting from Citizen Complaints 2014 to Present,2018-11-09T19:12:54.000Z,2018-11-09T19:14:30.000Z,http://data1-indygis.opendata.arcgis.com/datasets/e19f689846e044ad884315450bb7d964_22,http://xmaps.indy.gov/arcgis/rest/services/OpenData/OpenData_NonSpatial/MapServer/22,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/e19f689846e044ad884315450bb7d964_22
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Indy Election Results', u'Marion County Election Results', u'2016 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/69fc0ba63cac48818db71fc564400efb,2016 Primary Election Results,"2016 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:44:39.000Z,2018-11-16T19:25:40.969Z,http://data1-indygis.opendata.arcgis.com/datasets/69fc0ba63cac48818db71fc564400efb,https://xmaps.indy.gov/ODP/Download/Elections/2016PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",http://data1-indygis.opendata.arcgis.com/datasets/69fc0ba63cac48818db71fc564400efb
