publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
Iowa Department of Transportation,"[u'Boundaries', u'Iowa DOT', u'Iowa Department of Transportation', u'County', u'Counties']",http://public-iowadot.opendata.arcgis.com/datasets/59cbcca0e71941558ef5102ef1dc9bb4_0,County Location,County boundaries for the State of Iowa. Warning: These county borders have been adjusted for Iowa DOT use and may not reflect legal boundaries.,2018-11-07T17:44:35.000Z,2018-11-07T17:48:25.851Z,http://public-iowadot.opendata.arcgis.com/datasets/59cbcca0e71941558ef5102ef1dc9bb4_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/County_View/FeatureServer/0,"-96.63953977163754,40.37557403762101,-90.14023522198703,43.501080748808754",http://public-iowadot.opendata.arcgis.com/datasets/59cbcca0e71941558ef5102ef1dc9bb4_0
Iowa Department of Transportation,"[u'Iowa Department of Transportation', u'Iowa DOT', u'Reference', u'Basemap']",http://public-iowadot.opendata.arcgis.com/datasets/77831691f545442e9bb57ed1e8ad7957,Iowa DOT Color Basemap,"This vector tile basemap was created for use by the Iowa DOT with layers maintained by the Cartography team within Systems Planning. The first vector tile package was produced in November 2018. This basemap is a general reference set of data that includes information about transportation features (roads, railroads, airports and structures), as well as boundary information (state, county, and municipal boundaries), and surface water features (stream and lake information). The transportation features represent both the primary system as well as the local systems and rail features. The boundaries represent political jurisdictions as well as selected public interest lands. Surface waters include stream and lake locations. Given the nature of the basemap, the sources for this data are derived from many different sources, mainly from authoritative sources from within the Department of Transportation but also from authoritative sources from without.?The basemap is scheduled to be updated on a three month cycle once every January, April, July, and October to reflect any updates or changes made during the previous period.?",2018-10-31T12:23:10.000Z,2018-11-07T12:41:49.000Z,http://public-iowadot.opendata.arcgis.com/datasets/77831691f545442e9bb57ed1e8ad7957,https://www.arcgis.com/home/webmap/viewer.html?webmap=77831691f545442e9bb57ed1e8ad7957,"-97.782,39.722,-89.301,44.101",http://public-iowadot.opendata.arcgis.com/datasets/77831691f545442e9bb57ed1e8ad7957
Iowa Department of Transportation,"[u'Asset', u'Inventory', u'Classification', u'NBI', u'Bridge', u'Iowa DOT', u'Iowa Department of Transportation', u'Structure']",http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_0,Bridges,"This layer shows bridge locations in Iowa. To utilize fields with an NBI heading please refer to http://www.fhwa.dot.gov/bridge/mtguide.pdf.

The data provided is based on the last inspection performed within the past 24 months and may not be included in the official data published by the Federal Highway Administration (FHWA). Data should not be used for decision making, as certain data values may not reflect current conditions. For official dataset, visit FHWA: https://www.fhwa.dot.gov/bridge/nbi/ascii.cfm",2018-03-22T15:50:54.000Z,2018-11-15T20:32:46.715Z,http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_0,https://gis.iowadot.gov/public/rest/services/Bridges_Structures/Bridge_Lines/FeatureServer/0,"-96.6326,40.3853,-90.1609,43.501",http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_0
Iowa Department of Transportation,"[u'Asset', u'Inventory', u'Classification', u'NBI', u'Bridge', u'Iowa DOT', u'Iowa Department of Transportation', u'Structure']",http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_1,Bridge Historic Data,"This layer shows bridge locations in Iowa. To utilize fields with an NBI heading please refer to http://www.fhwa.dot.gov/bridge/mtguide.pdf.

The data provided is based on the last inspection performed within the past 24 months and may not be included in the official data published by the Federal Highway Administration (FHWA). Data should not be used for decision making, as certain data values may not reflect current conditions. For official dataset, visit FHWA: https://www.fhwa.dot.gov/bridge/nbi/ascii.cfm",2018-03-22T15:50:54.000Z,2018-11-15T20:33:23.150Z,http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_1,https://gis.iowadot.gov/public/rest/services/Bridges_Structures/Bridge_Lines/FeatureServer/1,"-96.6326,40.3853,-90.1609,43.501",http://public-iowadot.opendata.arcgis.com/datasets/842ee25eba0f427d9584158e2c38fa0f_1
Iowa Department of Transportation,[u'production brige'],http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_0,Bridge Point,"Bridge and structure locations in Iowa. See?NBI?Guide for more info about this data set and how to use the National Bridge Inventory (NBI) fields.The data provided is based on the last inspection performed within the past 24 months and may not be included in the official data published by the Federal Highway Administration (FHWA). Data should not be used for decision making, as certain data values may not reflect current conditions.?For official dataset, visit?FHWAFor data questions, please contact?Iowa DOT",2018-02-15T14:58:10.000Z,2018-11-15T20:32:36.189Z,http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_0,https://gis.iowadot.gov/public/rest/services/Bridges_Structures/Bridge_Points/FeatureServer/0,"-96.632,40.3858,-90.1639,43.501",http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_0
Iowa Department of Transportation,[u'production brige'],http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_1,Bridge Historic Data,"Bridge and structure locations in Iowa. See?NBI?Guide for more info about this data set and how to use the National Bridge Inventory (NBI) fields.The data provided is based on the last inspection performed within the past 24 months and may not be included in the official data published by the Federal Highway Administration (FHWA). Data should not be used for decision making, as certain data values may not reflect current conditions.?For official dataset, visit?FHWAFor data questions, please contact?Iowa DOT",2018-02-15T14:58:10.000Z,2018-11-15T20:33:13.061Z,http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_1,https://gis.iowadot.gov/public/rest/services/Bridges_Structures/Bridge_Points/FeatureServer/1,"-96.632,40.3858,-90.1639,43.501",http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_1
Iowa Department of Transportation,"[u'Imagery', u'Historic', u'1960', u'Iowa Department of Transporation', u'iowa dot', u'Reference', u'base']",http://public-iowadot.opendata.arcgis.com/datasets/fe5eb79a28ca4589819b57f830836ca6,1960s Imagery,"This dataset represents panchromatic orthophoto imagery
produced from black and white aerial photographs. This dataset was developed
from individual aerial images taken during the 1960s by
the Agricultural Adjustment Administration (AAA), part of the US Department of
Agriculture. The images were originally photographed at 1:20,000 scale, were
digitally scanned from hardcopy prints at various scales and from various
sources, and for this purpose were cast on the Universal Transverse Mercator
Projection (UTM) on the North American Datum of 1983 (NAD83).",2017-02-16T17:22:20.000Z,2018-11-07T13:19:05.919Z,http://public-iowadot.opendata.arcgis.com/datasets/fe5eb79a28ca4589819b57f830836ca6,https://www.arcgis.com/home/webmap/viewer.html?webmap=fe5eb79a28ca4589819b57f830836ca6,"-97.0601,40.3595,-89.7726,43.5292",http://public-iowadot.opendata.arcgis.com/datasets/fe5eb79a28ca4589819b57f830836ca6
Iowa Department of Transportation,"[u'Imagery', u'Historic', u'1990', u'Iowa Department of Transporation', u'iowa dot', u'Reference', u'basemap']",http://public-iowadot.opendata.arcgis.com/datasets/6a1841a07d7949c89b596c42577ad026,1990s Imagery,"Statewide 1930's imagery at 1- m resolution. Imagery was originally taken by the Agricultural Stabilization and Conservation Service, part of the US Department of Agriculture.? Photos were from Iowa DOT and then Iowa State University and Iowa Department of Natural Resources created mosaic of these 9x9 photos.",2017-02-16T17:24:11.000Z,2018-11-07T13:19:21.183Z,http://public-iowadot.opendata.arcgis.com/datasets/6a1841a07d7949c89b596c42577ad026,https://www.arcgis.com/home/webmap/viewer.html?webmap=6a1841a07d7949c89b596c42577ad026,"-97.187,40.291,-89.6002,43.5899",http://public-iowadot.opendata.arcgis.com/datasets/6a1841a07d7949c89b596c42577ad026
Iowa Department of Transportation,"[u'Imagery', u'Historic', u'1930', u'1960', u'Iowa Department of Transporation', u'iowa dot', u'Reference', u'basemap']",http://public-iowadot.opendata.arcgis.com/datasets/0a215fa065034f79a5b83b12977d5415,1930s Imagery,"This dataset represents panchromatic orthophoto imagery
produced from black and white aerial photographs. This dataset was developed
from individual aerial images taken during the late 1930s and early 1940s by
the Agricultural Adjustment Administration (AAA), part of the US Department of
Agriculture. The images were originally photographed at 1:20,000 scale, were
digitally scanned from hardcopy prints at various scales and from various
sources, and for this purpose were cast on the Universal Transverse Mercator
Projection (UTM) on the North American Datum of 1983 (NAD83).",2017-02-16T17:21:00.000Z,2018-11-07T13:20:43.307Z,http://public-iowadot.opendata.arcgis.com/datasets/0a215fa065034f79a5b83b12977d5415,https://www.arcgis.com/home/webmap/viewer.html?webmap=0a215fa065034f79a5b83b12977d5415,"-97.2447,40.2811,-89.5707,43.6175",http://public-iowadot.opendata.arcgis.com/datasets/0a215fa065034f79a5b83b12977d5415
Iowa Department of Transportation,"[u'Iowa Department of Transportation', u'Iowa DOT', u'Reference', u'Basemap']",http://public-iowadot.opendata.arcgis.com/datasets/805a6f2de49841e8b390cd54d91e53ad,Iowa DOT Greyscale Basemap,"This vector tile basemap was created for use by the Iowa DOT with layers maintained by the Cartography team within Systems Planning. The first vector tile package was produced in November 2018. This basemap is a general reference set of data that includes information about transportation features (roads, railroads, airports and structures), as well as boundary information (state, county, and municipal boundaries), and surface water features (stream and lake information). The transportation features represent both the primary system as well as the local systems and rail features. The boundaries represent political jurisdictions as well as selected public interest lands. Surface waters include stream and lake locations. Given the nature of the basemap, the sources for this data are derived from many different sources, mainly from authoritative sources from within the Department of Transportation but also from authoritative sources from without. The basemap is scheduled to be updated on a three month cycle once every January, April, July, and October to reflect any updates or changes made during the previous period.?",2018-10-31T12:18:49.000Z,2018-11-07T12:41:27.000Z,http://public-iowadot.opendata.arcgis.com/datasets/805a6f2de49841e8b390cd54d91e53ad,https://www.arcgis.com/home/webmap/viewer.html?webmap=805a6f2de49841e8b390cd54d91e53ad,"-97.07,39.882,-89.687,43.84",http://public-iowadot.opendata.arcgis.com/datasets/805a6f2de49841e8b390cd54d91e53ad
