identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,isPartOf,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
4893575b90864141acae986acec1ee00,12b-097,Election Precinct 247,,Election Precinct 247,Flagged,,PDF,,,2018-08-15T16:57:23.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/4893575b90864141acae986acec1ee00,,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/247.pdf,,,Lake County Illinois|PDF|Printed Maps|PoliticalElection Map|Election Precincts
96e183a5e3c3409ba5525fe107981606,12b-097,Antioch Township Election Precincts,,Antioch Township Election Precincts,Flagged,,PDF,,,2018-08-15T17:30:07.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/96e183a5e3c3409ba5525fe107981606,,https://maps.lakecountyil.gov/Output/DistrictMaps/twppcts/antipcts.pdf,,,Lake County Illinois|PDF|Printed Maps|PoliticalElection Map|Election Precincts
3d374a407f46499f9ead70c47946c2f2,12b-097,Ela Township City,,Ela Township City,Flagged,,PDF,,,2018-08-15T17:35:35.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/3d374a407f46499f9ead70c47946c2f2,,https://maps.lakecountyil.gov/Output/TownshipMaps/celacity.pdf,,,Lake County Illinois|PDF|Printed Maps|Township Map|Ela Township
5b743fcaf9c74bf0be2da928f8035f7a,12b-097,County Board District 13,,County Board District 13,Flagged,,PDF,,,2018-08-15T16:29:46.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/5b743fcaf9c74bf0be2da928f8035f7a,,https://maps.lakecountyil.gov/Output/DistrictMaps/bord/cboard13.pdf,,,Lake County Illinois|PDF|Printed Maps|PoliticalElection Map|County Board
6ee9533b38864bc8ac63b3f92dc1fc0b,12b-097,Election Precinct 46,,Election Precinct 46,Flagged,,PDF,,,2018-08-15T16:45:53.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/6ee9533b38864bc8ac63b3f92dc1fc0b,,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/046.pdf,,,Lake County Illinois|PDF|Printed Maps|PoliticalElection Map|Election Precincts
ec48059c62dd4817a975327725fcf12a,12b-097,Countywide Fire Protection Districts,,Countywide Fire Protection Districts,Flagged,,PDF,,,2018-08-15T16:28:06.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/ec48059c62dd4817a975327725fcf12a,,https://maps.lakecountyil.gov/Output/CountyMaps/cctyfire.pdf,,,Lake County Illinois|PDF|Printed Maps|Countywide Map
a45bb492571d425aa8a3b3fbb4f32082,12b-097,Election Precinct 341,,Election Precinct 341,Flagged,,PDF,,,2018-08-15T17:02:47.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/a45bb492571d425aa8a3b3fbb4f32082,,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/341.pdf,,,Lake County Illinois|PDF|Printed Maps|PoliticalElection Map|Election Precincts
a063a3c4a61f4a8f91617c4ea45d8eef,12b-097,2004 Lake County Aerial - NE Quarter,,"This one foot pixel resolution black and white aerial photography was flown April 5, 2004 at a negative scale of 1 = 1666 (a scale ratio of 1:20000) flying at an altitude of 10,000 feet above mean terrain. The files are provided in JPEG2000, an open format supported by most GIS and CAD software packages. Its intended usage for viewing is 1 = 200. The photography has been orthorectified to meet National Map Accuracy Standards for its capture scale. The images are georeferenced to the Illinois State Plane, Eastern Zone, using the NAD83 HARN horizontal datum. The data set is tiled for dissemination into many separate tiles. Each tile is a section in the Public Land Survey System. The first two digits are the township, the next two are the range and the final two are the section.",error,,error,error,,2018-02-02T17:37:56.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/a063a3c4a61f4a8f91617c4ea45d8eef,error,https://s3.amazonaws.com/lakecountygis-public/aerials/LakeCounty2004AerialsNE.zip,,,Orthophotography|Orthophoto|Orthoimagery|Digital orthophoto|Digital orthorectified imagery|Digital orthoimagery|High resolution orthoimagery|Imagery|Aerial photography|Satellite imagery|Air imagery|Historic aerial imagery|Color aerial imagery|Air Photo|2004
b484a5916561460e822f3eeac3af4c61,12b-097,2000 Lake County Aerial - SW Quarter,,"This six inch pixel resolution black and white aerial photography was flown April 22, 2000, at a negative scale of 1 = 833, flying at an altitude of 5000 feet. The files are provided in JPEG2000, an open format supported by most GIS and CAD software packages. Its intended usage for viewing is 1 = 100. The photography has been orthorectified to meet National Map Accuracy Standards for its capture scale. The images are georeferenced to the Illinois State Plane, Eastern Zone, using the NAD83 HARN horizontal datum. The data set is tiled for dissemination into many separate tiles. Each tile is a section in the Public Land Survey System. The first two digits are the township, the next two are the range and the final two are the section.",error,,error,error,,2018-02-01T20:15:58.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/b484a5916561460e822f3eeac3af4c61,error,https://s3.amazonaws.com/lakecountygis-public/aerials/LakeCounty2000AerialsSW.zip,,,Orthophotography|Orthophoto|Orthoimagery|Digital orthophoto|Digital orthorectified imagery|Digital orthoimagery|High resolution orthoimagery|Imagery|Aerial photography|Satellite imagery|Air imagery|Historic aerial imagery|Color aerial imagery|Air Photo2000
997c3e04059e4d1c866b82ef9b7c95af,12b-097,2009 Lake County Aerial Color InfraRed (CIR) - NE Quarter,,"This six inch pixel resolution color infrared aerial photography was flown between May 9, 2009 and May 26, 2009. The files are provided in JPEG2000, an open format supported by most GIS and CAD software packages. Its intended usage for viewing is 1 = 100. The photography has been orthorectified to meet National Map Accuracy Standards for its capture scale. The images are georeferenced to the Illinois State Plane, Eastern Zone, using the NAD83 NSRS2007 horizontal datum. Color InfraRed (CIR) imagery allows users to see the electromagnetic spectrum beyond the visible range. It does this by using the visible spectrum (red, green, blue) and combining it with the Near InfraRed (NIR) spectrum. CIR imagery is useful for determining the health of vegetation, which show up in various shades of red. It can also be helpful in identifying features like water, paved surfaces or non-vegetated areas, which appear black or grey respectively. The data set is tiled for dissemination into many separate tiles, each of which is 2500 feet on a side.",error,,error,error,,2018-02-02T18:01:10.000Z,,,"Lake County, Illinois, United States|Illinois, United States","-180.0,-90.0,180.0,90.0",Chicago,Counties Geospatial Data,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/997c3e04059e4d1c866b82ef9b7c95af,error,https://s3.amazonaws.com/lakecountygis-public/aerials/LakeCounty2009CIRAerialsNE.zip,,,Orthophotography|Orthophoto|Orthoimagery|Digital orthophoto|Digital orthorectified imagery|Digital orthoimagery|High resolution orthoimagery|Imagery|Aerial photography|Satellite imagery|Air imagery|Historic aerial imagery|Color aerial imagery|Air Photo|Color InfraRed|2009
