identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
eb9338a833564434878c5eadf80d363a_0,12b-17043,Forest Preserve District Parcels,,{{default.description}},Geospatial data,,Shapefile,Dataset|Service,Vector,2020-01-02T20:08:37.000Z,,,"DuPage County, Illinois|Illinois","-88.2632,41.6856,-87.9125,41.9923",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/eb9338a833564434878c5eadf80d363a_0,"http://gisdata-dupage.opendata.arcgis.com/datasets/eb9338a833564434878c5eadf80d363a_0.zip?outSR={""latestWkid"":3435,""wkid"":102671}",https://services.arcgis.com/neJvtQ4PXvnQ86MJ/arcgis/rest/services/Forest_Preserve_District_Parcels/FeatureServer/0,,FeatureServer,Forest Preserve
640dbe6747934964b07a1e964108d5a6_116,01c-02,Roadways,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_116,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_116.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/116,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_109,01c-02,Schools,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","1.2871,14.2093,2.2295,15.1293",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_109,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_109.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/109,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_108,01c-02,Parks,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","-86.3285,39.6335,-85.9474,39.9277",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_108,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_108.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/108,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_82,01c-02,Streams,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.937,39.9278",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_82,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_82.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/82,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_105,01c-02,Airfields,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","-86.3254,39.699,-86.0087,39.8375",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_105,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_105.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/105,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_95,01c-02,Cul De Sac,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","1.2793,14.1894,2.2611,15.1403",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_95,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_95.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/95,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_96,01c-02,Roadways,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_96,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_96.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/96,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_97,01c-02,Cul De Sac,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","1.2793,14.1894,2.2611,15.1403",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_97,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_97.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/97,,MapServer,Indy Basemaps
640dbe6747934964b07a1e964108d5a6_101,01c-02,Ponds,,"City of Indianapolis  Marion County, IN Base Map Compatible w/ ESRI's Open Street Map.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-24T16:17:56.000Z,,,"Indianapolis, Marion County, Indiana|Marion County, Indiana|Indiana","1.279,14.2072,2.2657,15.1313",Indiana,"City of Indianapolis and Marion County, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_101,"http://data.indy.gov/datasets/640dbe6747934964b07a1e964108d5a6_101.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_OpenStreetMap/MapServer/101,,MapServer,Indy Basemaps
