identifier,title,description,issued,modified,landingPage,webService,spatial
http://public-iowadot.opendata.arcgis.com/datasets/e55887c853c8406d829d31fc8fc583f8,RWIS Traffic Data Feature Collection,"Live Traffic data from Roadway Weather Information System (RWIS) sites in Iowa. Any field of NA or 9999 describes an invalid value being sent from sensor and was excluded for this REST service. This data gets updated every 5 minutes. This REST service feeds the Iowa?DOT's?WeatherView?ApplicationThe weather/traffic data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.Note: This is an Esri Feature Collection which is different than an Esri Feature Service. Feature Collections allow for high-availability. There are unique characteristics that need to be considered when using this data type:?It is a file-based data type so there is no REST endpoint. However, there is JSON that can be parsed out. See link at the bottom of this page.You cannot set a refresh interval in the map document, you must use the Info Summary Widget inside an application or hard-code the refresh in a custom application.The rotation setting gets wiped out each time the dataset is updated. When you add a feature collection to a new map, you will have to set the rotation. If you have an existing saved map this doesn?t apply to you.?",2017-09-25T17:12:08.000Z,2017-10-02T11:20:24.553Z,http://public-iowadot.opendata.arcgis.com/datasets/e55887c853c8406d829d31fc8fc583f8,http://iowadot.maps.arcgis.com/sharing/rest/content/items/f93b9279a8924b61a0b263c1c4dff153/data,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/e55887c853c8406d829d31fc8fc583f8
http://public-iowadot.opendata.arcgis.com/datasets/f5ba4b59573844d29523dc60b6f66097,County Forecast Data,"Hourly weather forecast data for each of the 99 Iowa counties for the next 24 hours. Data is updated every 10 minutes. This service was designed to support the Iowa DOT?WeatherView?site. Data is provided by Schneider Electric?WeatherSentry?product.The weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.",2017-09-25T16:44:19.000Z,2017-09-25T16:45:09.000Z,http://public-iowadot.opendata.arcgis.com/datasets/f5ba4b59573844d29523dc60b6f66097,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/County_Forecast_Data/FeatureServer,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/f5ba4b59573844d29523dc60b6f66097
http://public-iowadot.opendata.arcgis.com/datasets/9f3129552e474a159634b5660177dbaf_0,RWIS Surface Data,"This service provide near real-time Surface Roadway Weather Information System (RWIS) sensor data. This data is updated every 5 minutes.?This service feeds Iowa DOT's?WeatherView?ApplicationThe weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.",2017-09-20T17:25:25.000Z,2017-10-02T11:18:29.391Z,http://public-iowadot.opendata.arcgis.com/datasets/9f3129552e474a159634b5660177dbaf_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/RWIS_Surface_Data/FeatureServer/0,"-96.34786400000381,40.657799999988924,-90.51310000042083,43.43349999997436",http://public-iowadot.opendata.arcgis.com/datasets/9f3129552e474a159634b5660177dbaf_0
http://public-iowadot.opendata.arcgis.com/datasets/6d4a82f9af5b41a7b41bda05d6d472b3,RWIS Surface Data Feature Collection,"This service provide near real-time Surface Roadway Weather Information System (RWIS) sensor data. This data is updated every 5 minutes.?This service feeds Iowa DOT's?WeatherView?ApplicationThe weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.Note: This is an Esri Feature Collection which is different than an Esri Feature Service. Feature Collections allow for high-availability. There are unique characteristics that need to be considered when using this data type:?It is a file-based data type so there is no REST endpoint. However, there is JSON that can be parsed out. See link at the bottom of this page.You cannot set a refresh interval in the map document, you must use the Info Summary Widget inside an application or hard-code the refresh in a custom application.The rotation setting gets wiped out each time the dataset is updated. When you add a feature collection to a new map, you will have to set the rotation. If you have an existing saved map this doesn?t apply to you.?",2017-09-25T17:08:23.000Z,2017-10-02T11:20:25.083Z,http://public-iowadot.opendata.arcgis.com/datasets/6d4a82f9af5b41a7b41bda05d6d472b3,http://iowadot.maps.arcgis.com/sharing/rest/content/items/ae4b2e27224148e9a7e0cd5c192e019a/data,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/6d4a82f9af5b41a7b41bda05d6d472b3
http://public-iowadot.opendata.arcgis.com/datasets/568ae79736714ff59f9e8b50a8be5040,County Forecast Data Feature Collection,"Hourly weather forecast data for each of the 99 Iowa counties for the next 24 hours. Data is updated every 10 minutes. This service was designed to support the Iowa DOT?WeatherView?site. Data is provided by Schneider Electric?WeatherSentry?product.The weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.Note: This is an Esri Feature Collection which is different than an Esri Feature Service. Feature Collections allow for high-availability. There are unique characteristics that need to be considered when using this data type:?It is a file-based data type so there is no REST endpoint. However, there is JSON that can be parsed out. See link at the bottom of this page.You cannot set a refresh interval in the map document, you must use the Info Summary Widget inside an application or hard-code the refresh in a custom application.The rotation setting gets wiped out each time the dataset is updated. When you add a feature collection to a new map, you will have to set the rotation. If you have an existing saved map this doesn?t apply to you.?",2017-09-25T16:49:30.000Z,2017-10-02T11:20:25.305Z,http://public-iowadot.opendata.arcgis.com/datasets/568ae79736714ff59f9e8b50a8be5040,http://iowadot.maps.arcgis.com/sharing/rest/content/items/575266a0df124c4a884b8f5b168c19aa/data,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/568ae79736714ff59f9e8b50a8be5040
http://public-iowadot.opendata.arcgis.com/datasets/e31e88b3364f4865ac91284ea08cbbd7,RWIS Camera Info Feature Collection,"This service provides all the information for the Roadway Weather Information System (RWIS) camera photos. It contains the last 10 photos for each RWIS camera position. This data is updated every 5 minutes. This service feeds Iowa DOT's?WeatherView?ApplicationNote: This data is designed to be used with other RWIS feature services, like?RWIS_Atmospheric_Data?to get geometry.The weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.Note: This is an Esri Feature Collection which is different than an Esri Feature Service. Feature Collections allow for high-availability. There are unique characteristics that need to be considered when using this data type:?It is a file-based data type so there is no REST endpoint. However, there is JSON that can be parsed out. See link at the bottom of this page.You cannot set a refresh interval in the map document, you must use the Info Summary Widget inside an application or hard-code the refresh in a custom application.The rotation setting gets wiped out each time the dataset is updated. When you add a feature collection to a new map, you will have to set the rotation. If you have an existing saved map this doesn?t apply to you.?",2017-09-25T16:58:57.000Z,2017-10-02T11:20:24.551Z,http://public-iowadot.opendata.arcgis.com/datasets/e31e88b3364f4865ac91284ea08cbbd7,http://iowadot.maps.arcgis.com/sharing/rest/content/items/70c7f2ee153e46a9ae99bb6c0a15f6ae/data,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/e31e88b3364f4865ac91284ea08cbbd7
http://public-iowadot.opendata.arcgis.com/datasets/63d60513434e4288bb8446d4be531ab4,RWIS Deep Probe Data Feature Collection,"Live Deep Probe data from Roadway Weather Information System (RWIS) sites in Iowa. Any field of NA or 9999 describes an invalid value being sent from sensor and was excluded for this REST service. This REST service was originally designed to support the?WeatherView?app. This data is updated every 5 minutes.?The weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.Note: This is an Esri Feature Collection which is different than an Esri Feature Service. Feature Collections allow for high-availability. There are unique characteristics that need to be considered when using this data type:?It is a file-based data type so there is no REST endpoint. However, there is JSON that can be parsed out. See link at the bottom of this page.You cannot set a refresh interval in the map document, you must use the Info Summary Widget inside an application or hard-code the refresh in a custom application.The rotation setting gets wiped out each time the dataset is updated. When you add a feature collection to a new map, you will have to set the rotation. If you have an existing saved map this doesn?t apply to you.?",2017-09-25T17:00:24.000Z,2017-10-02T11:20:24.801Z,http://public-iowadot.opendata.arcgis.com/datasets/63d60513434e4288bb8446d4be531ab4,http://iowadot.maps.arcgis.com/sharing/rest/content/items/58ddd5336dc34dbea2c78cce350f41d8/data,"-180.0,-90.0,180.0,90.0",http://public-iowadot.opendata.arcgis.com/datasets/63d60513434e4288bb8446d4be531ab4
http://public-iowadot.opendata.arcgis.com/datasets/902b145f981b4b2495959a60c58c93d2_0,RTN Base Stations,Iowa DOT's Real-Time Network Base Stations.Visit the?Real-Time Network homepage?for more information.,2017-09-26T14:31:50.000Z,2017-09-25T18:42:00.000Z,http://public-iowadot.opendata.arcgis.com/datasets/902b145f981b4b2495959a60c58c93d2_0,https://gis.iowadot.gov/public/rest/services/Survey/RTN_Base_Stations/FeatureServer/0,"-97.0677,39.9432,-90.1428,43.6766",http://public-iowadot.opendata.arcgis.com/datasets/902b145f981b4b2495959a60c58c93d2_0
http://public-iowadot.opendata.arcgis.com/datasets/82067ee3e4d047cea77c24271f9c9efb_0,RWIS Atmospheric Data,"This REST service provide near real-time Atmospheric Roadway Weather Information System (RWIS) sensor and camera image feeds for use by Iowa DOT. This REST service was originally designed to support the?WeatherView?app.This data is updated every 5 minutes.?The weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans",2017-09-20T13:57:17.000Z,2017-10-02T11:18:28.172Z,http://public-iowadot.opendata.arcgis.com/datasets/82067ee3e4d047cea77c24271f9c9efb_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/RWIS_Atmospheric_Data/FeatureServer/0,"-96.34786400000381,40.657799999988924,-90.51310000042083,43.43349999997436",http://public-iowadot.opendata.arcgis.com/datasets/82067ee3e4d047cea77c24271f9c9efb_0
http://public-iowadot.opendata.arcgis.com/datasets/01b7c64693044b0684e23792af9a4c02_0,AWOS Data,"Live Automated Weather Observing System (AWOS) data pulled from NOAA METAR GeoJSON Feed for Iowa AWOS sites. Data is pulled every 5 minutes.?This service feeds Iowa DOT's?WeatherView?ApplicationThe weather data provided here by the Iowa Department of Transportation only reflects conditions at the specified site. Because of Iowa weather patterns, conditions can vary greatly in a small area; i.e., weather conditions a few miles away from the sensor could be completely different. In addition, failure of the sensors, or the equipment processing the information, may occur and produce unreliable information. Therefore, this information should not be used as the only factor in determining whether to travel in a particular area. The Iowa DOT recommends you check a number of sources, including media weather reports, in making your travel plans.",2017-09-18T13:23:25.000Z,2017-10-02T11:19:58.823Z,http://public-iowadot.opendata.arcgis.com/datasets/01b7c64693044b0684e23792af9a4c02_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/AWOS_Data/FeatureServer/0,"-96.19399999999409,40.45999999999967,-91.14599999998912,43.27500000000197",http://public-iowadot.opendata.arcgis.com/datasets/01b7c64693044b0684e23792af9a4c02_0
