identifier,title,description,issued,modified,landingPage,webService,spatial
http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_3,Maryland Water Quality - Tier II Catchments 2016,"This is a MD iMAP hosted service layer. Find more information at http://imap.maryland.gov.This dataset provides the Tier II catchments delineated for the most downstream Tier II segment. This file also provides the assimilative capacity (AC) status for each watershed. In cases where there is no remaining AC in a nested catchment but the larger encompassing segment has remaining AC, the smaller nested catchment is split out and assigned its own identification. These nested catchments are also then attributed to show the lack of AC remaining. The intended use of the catchment dataset is to assist State, Local, and Federal officials and stakeholders in determining the antidegradation status of current or planned activities which fall under the purview of the antidegradation policy and implementation procedure (COMAR 26.08.02.04-1).  Using GIS, the stakeholder can assess if any activity, proposed or operational, such as a discharge, is located on land which drains (has run off) directly into and can potentially adversely affect a Tier II stream segment.  This type of determination would be useful for permitting purposes, screening for sensitive or high quality resources, and various land use planning activities such as those undertaken by local officials during the Water Resources Element process, Water and Sewer Planning, or the Comprehensive Planning process.Last Updated: November 2016Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/3",2016-02-10T18:05:59.000Z,2017-08-23T16:31:01.282Z,http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_3,http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/3,"-79.5073,38.0147,-75.3428,39.9149",http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_3
http://data.imap.maryland.gov/datasets/5410cc341b144f52b59f7657902b3320_0,Maryland Integrated Report of Surface Water Quality - Tidal Waters - Swimming/Bacteria Assessments only (2014),"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The TW_ContactRec feature class is the official geospatial record depicting water contact recreation areas that have been assessed (for the Integrated Report (IR)) in Maryland's tidal waters. This feature class also provides information on whether the waters are designated 'bathing beaches'. Since water contact recreational waters are assessed on such a variable scale, this feature class was developed with point geometry. As a result, points represent the general location of these assessed waters. In the case of beaches, a point generally represents the center of a bathing beach. For other recreational waters the point may represent the boundary or the centroid of the assessed waters. Please be sure to review additional IR information for a better description of the spatial extent of the assessment. Disclaimer: This feature class is not an authoritative source for the location of beaches. Nor should the information contained herein be solely used by swimmers/bathers to determine if their beach is safe for swimming. Instead, swimmers/bathers should consult MDE's Beaches website to get more up-to-date information on the safety of swimming at beaches. This website can be accessed at: http://www.marylandhealthybeaches.org/. In addition, swimmers/bathers should contact their local health department for real-time updates.Map Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/0",2017-08-22T15:13:24.000Z,2017-08-22T15:15:29.913Z,http://data.imap.maryland.gov/datasets/5410cc341b144f52b59f7657902b3320_0,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/0,"-76.944,37.9845,-75.2565,39.3754",http://data.imap.maryland.gov/datasets/5410cc341b144f52b59f7657902b3320_0
http://data.imap.maryland.gov/datasets/dc87c605fbac4ef2896b29df975d9aeb_1,Maryland Water Quality - Tier II Baseline Stations 2016,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.This point dataset represents baseline Tier II MBSS stations used to designate each high quality Tier II stream segment within the State of Maryland. Each point represents either one benthic macroinvertebrate station location or one fish station location. This dataset currently contains 412 points, based on data collected between 1995 ? 2015.Creator: Maryland Department of the Environment, Science Services Administration (MDE SSA)Assessment Data: Maryland Department of Natural Resources, Monitoring and Non-tidal Assessment Division, Maryland Biological Stream Survey Program (DNR MBSS), MDE SSA, Baltimore County Department of Environmental Protection and Sustainability, Frederick County Department of Sustainability and Environmental Resources, and various non-government certified entities.Other Geospatial Data: USGSThis dataset does not represent all of the sites ever sampled in a Tier II stream segment, only the sites that led to the official stream segment designation, as determined by MDE. Once designation occurs, any additional data collected meeting the data quality guidelines is used to determine assimilative capacity status of the corresponding Tier II stream segment. The Maryland Department of the Environmental shall not be held liable for improper or incorrect use of the data described and/or contained herein. These data and related graphics, as available for download from the MDE webpage, are not legal documents and are not to be used as such. MDE gives no warranty, expressed or implied, as to the accuracy, reliability, or completeness of these data. The information contained in these data is dynamic and may change over time. It is the responsibility of the data user to use the data appropriately and consistent within the limitations of geospatial data in general and these data in particular. Users should be aware that comparison with other data sets for the same area may be inaccurate due to inconsistencies resulting from changes in mapping conventions, data collection, and computer processes over time. It is strongly recommended that these data be directly acquired from an MDE source and not indirectly through other sources, which may have altered the data in some way. It is standard for citation and legal purposes for the Maryland Department of the Environment be cited as a data source when products are developed from this dataset.Last Updated: September 2016Feature Service Link:?http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/1",2017-08-23T16:36:49.000Z,2017-08-23T16:38:40.200Z,http://data.imap.maryland.gov/datasets/dc87c605fbac4ef2896b29df975d9aeb_1,http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/1,"-79.4239,38.0423,-75.3567,39.7198",http://data.imap.maryland.gov/datasets/dc87c605fbac4ef2896b29df975d9aeb_1
http://data.imap.maryland.gov/datasets/d79d06e8481f43209e789d8bf7978ce5_4,Maryland Integrated Report of Surface Water Quality - Maryland Tidal Waters (2014),"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The Tidal_Waters feature class is the geospatial representation for tidal bodies of water (e.g. Chesapeake Bay, tidal tributaries to the Chesapeake Bay, Coastal Bays, and Atlantic Ocean) within Maryland's borders. This feature class is linked by relationship class to data from the 2014 Integrated Report of Surface Water Quality. This link allows for users to query water quality assessment information spatially and facilitates the development of other customized visuals. This feature class is built upon the Chesapeake Bay Program's salinity segmentation scheme and Maryland's coverage for the Coastal Bays. Note: This single feature class is one of a set of feature classes (7) that geospatially depict Maryland's assessment units in non-tidal streams, tidal water bodies, and impounded waters. Each of these feature classes correspond to a specific assessment scale (streams, impoundments, estuarine segments) within Maryland.Map ?Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/4",2017-08-22T15:24:16.000Z,2017-08-22T15:25:42.577Z,http://data.imap.maryland.gov/datasets/d79d06e8481f43209e789d8bf7978ce5_4,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/4,"-77.3284,37.8709,-74.9525,39.6149",http://data.imap.maryland.gov/datasets/d79d06e8481f43209e789d8bf7978ce5_4
http://data.imap.maryland.gov/datasets/895ddaaa080c472b8cda2d1ae22d153b_0,Maryland Roadway Mile Markers - Roadway Mile Markers,"This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Point features which represent the locations of mile marker signs along public roadways in the State of Maryland.?Roadway Mile Markers data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). This data is used by various modules throughout MDOT, as well as many other State and local government agencies for purposes such as planning, land use, transportation, data  asset collection.?Roadway Mile Markers data is published on an annual (yearly) basis for the prior year. This data is for the year 2015.?Last Updated: 07/2016For additional information, contact the MDOT SHA Geospatial Technologies Team:GIS@sha.state.md.usFor additional information related to the Maryland Department of Transportation (MDOT):http://www.mdot.maryland.gov/?For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):http://www.roads.maryland.gov/Home.aspx?MDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.Feature Service Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_RoadwayMileMarkers/FeatureServer/0",2017-08-25T22:46:12.000Z,2017-08-25T22:56:23.000Z,http://data.imap.maryland.gov/datasets/895ddaaa080c472b8cda2d1ae22d153b_0,http://geodata.md.gov/imap/rest/services/Transportation/MD_RoadwayMileMarkers/FeatureServer/0,"-79.459,38.0142,-75.0774,39.72",http://data.imap.maryland.gov/datasets/895ddaaa080c472b8cda2d1ae22d153b_0
http://data.imap.maryland.gov/datasets/9caf3182e00c49d0a3e4cae8b31df886_1,Maryland Integrated Report of Surface Water Quality - Tidal Waters - Legacy  Assessments only (2014),"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The TW_Points feature class is the official geospatial record depicting a very small subset (7) of water quality assessments on Maryland's 2014 Integrated Report (IR). These seven assessments, all in tidal waters, were placed in Category 4B as other technical fixes are expected to bring them into water quality standards attainment. Since these assessments do not adhere to the default tidal water listing scale they are represented as points denoting their approximate location. Users are advised to review additional IR information for a better description of the spatial extent of each assessment.Map Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/1",2017-08-22T15:08:28.000Z,2017-08-22T15:16:15.287Z,http://data.imap.maryland.gov/datasets/9caf3182e00c49d0a3e4cae8b31df886_1,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/1,"-76.6996,38.4628,-76.462,39.2283",http://data.imap.maryland.gov/datasets/9caf3182e00c49d0a3e4cae8b31df886_1
http://data.imap.maryland.gov/datasets/fafc10b62b2c4abea4711ed929ff3d12_2,Maryland Integrated Report of Surface Water Quality - Tidal Waters - Shellfish/Bacteria Assessment only (2014),"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.This feature class represents the location of assessed shellfish harvesting waters in Maryland. It was created using recent shoreline data from the Department of Natural Resources and bounding coordinates of restricted, conditional and seasonally conditionally approved areas as defined in a report entitled, 2011 Annual Bay Chart June 1 created by the Science Services Administration at Maryland Department of the Environment. In addition, coordinates from COMAR 26.08.02.08 were used to define the boundaries of Use II, or non-shellfish, waters. Disclaimer: This feature class is not an authoritative source for determining whether shellfish harvesting is approved in certain Maryland waters. Nor should the information contained herein be solely used by shellfish harvesters to determine if their waters are safe for shellfish harvest and consumption. Instead, shellfish harvesters should consult MDE's Shellfish Harvesting website to get more up-to-date information on the opening and closure of shellfish waters. This website can be accessed at: http://www.mde.state.md.us/programs/Marylander/CitizensInfoCenterHome/Pages/citizensinfocenter/fishandshellfish/pop_up/shellfishmaps.aspx.Map Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/2",2017-08-22T15:17:38.000Z,2017-08-22T15:19:11.571Z,http://data.imap.maryland.gov/datasets/fafc10b62b2c4abea4711ed929ff3d12_2,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/2,"-76.9159,37.9366,-75.0357,39.2122",http://data.imap.maryland.gov/datasets/fafc10b62b2c4abea4711ed929ff3d12_2
http://data.imap.maryland.gov/datasets/2e2afbf22247407da72d082d49249f94_1,Maryland Archived Water Quality - Archived Tier II Catchments 2012,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The Clean Water Act requires three components to water quality standards that set goals for and protect each States' waters. The three components are: (1) designated uses that set goals for each water body (e.g., recreational use), (2) criteria that set the minimum conditions to support the use (e.g., bacterial concentrations below certain concentrations) and (3) an antidegradation policy that maintains high quality waters so they are not allowed to degrade to meet only the minimum standards. The designated uses and criteria set the minimum standards for Tier I. Maryland's antidegradation policy has been promulgated in three regulations within the Code of Maryland Regulations (COMAR): COMAR 26.08.02.04 sets out the policy itself, COMAR 26.08.02.04-1, which is discussed here, provides for implementation of Tier II (high quality waters) of the antidegradation policy, and COMAR 26.08.02.04-2 that describes Tier III (Outstanding National Resource Waters or ONRW), the highest quality waters. No Tier III waters have been designated at this time. Tier II antidegradation implementation has the greatest immediate effect on local government planning functions so the Maryland Department of the Environment (MDE) has prepared this set of Tier II GIS data layers to provide technical assistance to local governments working to complete the Water Resources Element of their comprehensive plans as required by HB 1141. As part of this process, MDE has created this dataset representing the official record of all Maryland Tier II (high quality) stream segments as determined by MDE, the regulatory agency responsible for identification and listing of Maryland's Tier II waters. This dataset consists of a digital geospatial representation of all identified Tier II segments which includes those stream segments promulgated in (COMAR) 26.08.02.04-1, and those additional segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. This is a vector line file that was developed using the 24,000:1 scale National Hydrography Dataset (NHD) coverage for Maryland, and each identified Tier II stream segment has been linked to the NHD using the unique common identifier (COMID) code. MDE uses Maryland Biological Stream Survey (MBSS) data for designating streams as Tier II. Using all MBSS stations sampled within a stream reach (defined as a section of stream from confluence to confluence), an arithmetic mean of the benthic index of biotic integrity (IBI) and the fish IBI is calculated. Only if the means of both the benthic and fish IBIs are greater than or equal to 4.00 is a stream reach designated as Tier II. As such, Tier II streams represent the best streams in Maryland in terms of water quality, water chemistry, habitat, and biotic assemblages. Tier II stream segments can range in length generally terminating at confluences, impoundment outfalls, and tidal boundaries. However, in planning activities, one should consider the entire upstream watershed to a Tier II stream as any changes to this watershed can potentially have an effect on the water quality of the Tier II stream. It is worth noting that once a stream segment is designated as Tier II, this designation lasts in perpetuity regardless of changes in water quality or local landuse. The publicly maintained list of all Tier II waters and for further information regarding Maryland's High Quality Waters, Tier II, please visit http://mde.maryland.gov/programs/Water/TMDL/Integrated303dReports/Pages/Antidegradation.aspxAcknowledgement of the Maryland Department of the Environment, Science Services Administration as a data source would be appreciated in products developed from these data, and such acknowledgement as is standard for citation and legal practices for data sources is expected by users of this data. Sharing new data layers developed directly from these data would also be appreciated by Maryland Department of the Environment Science Services Administration staff. MDE shall not be held liable for improper or incorrect use of this data. These data are not legal documents and are not to be used as such.Last updated: 2012Feature Service Link:?http://archive.geodata.md.gov/imap/rest/services/Hydrology/MD_ArchivedWaterQuality/FeatureServer/1",2017-08-22T14:56:34.000Z,2017-08-22T14:59:06.974Z,http://data.imap.maryland.gov/datasets/2e2afbf22247407da72d082d49249f94_1,http://archive.geodata.md.gov/imap/rest/services/Hydrology/MD_ArchivedWaterQuality/FeatureServer/1,"-79.4376,38.0268,-75.3549,39.7291",http://data.imap.maryland.gov/datasets/2e2afbf22247407da72d082d49249f94_1
http://data.imap.maryland.gov/datasets/4e5caeadb4ef4fef915f69f974154825_0,Maryland Water Quality - Tier II Monitoring Stations Historic to 2017 Potential,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.This point dataset represents Tier II MBSS stations sampled by the Maryland Department of the Environment. Each point represents either one benthic macroinvertebrate station location or one fish station location. This dataset currently contains 108 points, based on data collected between 2012 ? 2016. This dataset also includes potential sites for 2017 monitoring.Creator: Maryland Department of the Environment, Science Services Administration (MDE SSA)?Assessment Data: MDE SSAThe Maryland Department of the Environmental shall not be held liable for improper or incorrect use of the data described and/or contained herein. This data is available upon request. MDE gives no warranty, expressed or implied, as to the accuracy, reliability, or completeness of these data. The information contained in these data is dynamic and may change over time. It is the responsibility of the data user to use the data appropriately and consistent within the limitations of geospatial data in general and these data in particular. Users should be aware that comparison with other data sets for the same area may be inaccurate due to inconsistencies resulting from changes in mapping conventions, data collection, and computer processes over time. It is strongly recommended that these data be directly acquired from an MDE source and not indirectly through other sources, which may have altered the data in some way. It is standard for citation and legal purposes for the Maryland Department of the Environment be cited as a data source when products are developed from this dataset.Last Updated: June 2017Feature Service Link:?http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/0",2017-08-23T16:33:18.000Z,2017-08-23T16:35:49.000Z,http://data.imap.maryland.gov/datasets/4e5caeadb4ef4fef915f69f974154825_0,http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/0,"-79.4251,38.2202,-75.3567,39.7198",http://data.imap.maryland.gov/datasets/4e5caeadb4ef4fef915f69f974154825_0
http://data.imap.maryland.gov/datasets/e01901640eec410faacdfaa4f65e4236_0,Maryland Roadway Posted Speed Limits - Roadway Posted Speed Limit Signs,"This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Point features which represent the location of posted speed limit signs along public roadways in the State of Maryland.?Roadway Posted Speed Limit Signs data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). This data is used by various modules throughout MDOT, as well as many other State and local government agencies. This data is key to understanding the locations of posted speed limit signs along public roadways in the State of Maryland.?Roadway Posted Speed Limit Signs data is updated and published on an annual (yearly) basis for the prior year. This data is for the year 2015.?Last Updated: 07/2016For additional information, contact the MDOT SHA Geospatial Technologies Team:?GIS@sha.state.md.us?For additional information related to the Maryland Department of Transportation (MDOT): http://www.mdot.maryland.gov/??For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):?http://www.roads.maryland.gov/Home.aspx??MDOT SHA Geospatial Data Legal Disclaimer:?The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.?Feature Service Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_RoadwayPostedSpeedLimits/FeatureServer/0",2017-08-25T23:31:18.000Z,2017-08-25T23:41:16.000Z,http://data.imap.maryland.gov/datasets/e01901640eec410faacdfaa4f65e4236_0,http://geodata.md.gov/imap/rest/services/Transportation/MD_RoadwayPostedSpeedLimits/FeatureServer/0,"-79.4863,37.9652,-75.0524,39.7222",http://data.imap.maryland.gov/datasets/e01901640eec410faacdfaa4f65e4236_0
