identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/968c9863d93e4470910aae75aa0ee62c,Taxicab Trips in 2016,"DC Taxicab trip data. Pick up and drop off locations are assigned to block locations with times rounded to the nearest hour. Detailed metadata included in download.The Department of For-Hire Vehicles (DFHV) provided OCTO with a taxicab trip text file representing trips. OCTO processed the data to assign block locations to pick up and drop off locations. The blocks are assigned using the original pick up, drop off lat/long coordinates and searching for the block locations in the DC Master Address Repository (radius tolerance of 250 meters and less). The pick and drop off times are rounded to the nearest hour. In addition, the pick up and drop off locations are assigned to an airport using locator polygons for Reagan, BWI, and Dulles. ?These polygons generally follow the visual borders of these airports.",2017-05-12T19:53:40.000Z,2017-05-12T19:55:44.000Z,http://opendata.dc.gov/datasets/968c9863d93e4470910aae75aa0ee62c,https://drive.google.com/open?id=0B4JuB6g9n_rmcHFQV0hfV1E4Tkk,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/968c9863d93e4470910aae75aa0ee62c
http://opendata.dc.gov/datasets/d677c9e7845643a7b1962896ee066281_48,Floodplains from 2010,"Floodplains from 2010.?The FIRM is the basis for floodplain management, mitigation, and insurance activities for the National Flood Insurance Program (NFIP). Insurance applications include enforcement of the mandatory purchase requirement of the Flood Disaster Protection Act, which ... requires the purchase of flood insurance by property owners who are being assisted by Federal programs or by Federally supervised, regulated or insured agencies or institutions in the acquisition or improvement of land facilities located or to be located in identified areas having special flood hazards, Section 2 (b) (4) of the Flood Disaster Protection Act of 1973. In addition to the identification of Special Flood Hazard Areas (SFHAs), the risk zones shown on the FIRMs are the basis for the establishment of premium rates for flood coverage offered through the NFIP. The DFIRM Database presents the flood risk information depicted on the FIRM in a digital format suitable for use in electronic mapping applications. The DFIRM database is a subset of the Digital FIS database that serves to archive the information collected during the FIS.",2017-03-14T17:30:34.000Z,2017-07-10T19:35:51.377Z,http://opendata.dc.gov/datasets/d677c9e7845643a7b1962896ee066281_48,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Environment_WebMercator/MapServer/48,"-77.1199,38.7916,-76.909,38.996",http://opendata.dc.gov/datasets/d677c9e7845643a7b1962896ee066281_48
http://opendata.dc.gov/datasets/0c1e1d6202c048eeb8645440adfce1c4_121,Carpooling Slug Routes,Slugging routes for casual carpooling. The data was originally obtained from?Sluglines.com.,2017-03-27T14:58:05.000Z,2017-05-12T22:57:55.245Z,http://opendata.dc.gov/datasets/0c1e1d6202c048eeb8645440adfce1c4_121,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/121,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/0c1e1d6202c048eeb8645440adfce1c4_121
http://opendata.dc.gov/datasets/70248b73c20f46b0a5ee895fc91d6222_25,Crash Details Table,"A ?companion table for the?Crashes in DC?point layer. This is a related table linked by field attribution, CrimeID.?Note that the CrimeID field is simply a unique id field within MPD crash database. It does not denote that a crime was committed.?Crash details related table,Type of participant (driver, occupant, bicyclist, pedestrian)Age of participantsIf injured, severity (minor, major, fatal)Type of vehicle (passenger car, large truck, taxi, government, bicycle, pedestrian, etc)If persons issued a ticketIf a vehicle, the state (jurisdiction) license plate was issued (not license plate number)Are any persons deemed ?impaired?Was person in vehicle where speeding was indicatedQuestions on the contents of these layers should be emailed to Metropolitan Police Department?or the?DDOT Traffic Safety Division.?Questions regarding the Open Data DC can be sent to?@OpenDataDC.",2017-06-19T14:07:38.000Z,2017-06-20T18:54:11.000Z,http://opendata.dc.gov/datasets/70248b73c20f46b0a5ee895fc91d6222_25,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/25,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/70248b73c20f46b0a5ee895fc91d6222_25
http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8,Summer Meals Sites,"DC's youth 18 and under can receive reimbursement for free nutritious meals and snacks as part of the DC Free Summer Meals Program (FSMP). The program operates June through August, with meal times and dates varying by location.For further details on summer meal sites please visit the?DC Office of the State Superintendent of Education.",2016-03-22T13:37:16.000Z,2017-07-10T19:30:38.331Z,http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/Summer_Events/MapServer/8,"-77.0807,38.8189,-76.9122,38.9819",http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8
http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0,Occupancy Permits in 2012,"The dataset contains locations and attributes of 2012 above ground permits applied for and approved by the District Department of Transportation. They are existing occupied constructions and events. ?Examples include: moving trucks, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. ?The public space permit process is described on the DDOT website?http://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2015-06-17T19:08:35.000Z,2017-05-18T17:26:46.000Z,http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0,http://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DCRA/MapServer/0,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0
http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1,FIOA Requests,"This dataset houses the Freedom of Information Act requests to DC Government by various organizations and individuals.  The data comes from DC?s Public FOIA Portal. (Note: Currently only data from June 2017 is available, efforts are underway to automate the data feed so it is regularly updated.)",2017-07-10T19:06:48.000Z,2017-07-10T20:08:28.000Z,http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Government_Operations/MapServer/1,"-180.0,-90.0,180.0,90.0",http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1
http://opendata.dc.gov/datasets/6845248e838446e5859a740bd741f9d1_120,Carpooling Slugging Locations,This layer shows slugging locations (pick-up and drop-off points) for casual carpooling. The data was originally obtained from?Sluglines.com.,2017-03-08T16:16:17.000Z,2017-05-12T22:53:25.849Z,http://opendata.dc.gov/datasets/6845248e838446e5859a740bd741f9d1_120,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/120,"-77.171,38.729,-76.916,38.993",http://opendata.dc.gov/datasets/6845248e838446e5859a740bd741f9d1_120
http://opendata.dc.gov/datasets/ce6ca4535c684ac0aff8b1a55fa1eb8c,LiDAR - Bare Earth - 2015,"This data is provided via download from a Google Drive. Bare Earth Light Detection and Ranging (LIDAR) Data - 2 foot resolution. The dataset contains locations and attributes of bare earth elevations in meters. ?Bare earth model is created by identifying those returns that fall on the ground surface and interpolating a surface between these points. ?In this manner buildings and vegetation are removed from Bare Earth Model. ?This data set does not include bridges and overpasses in the Bare Earth model as the delineation point for these structures is not reliably discernible in the LiDAR data.This metadata record describes the data products derived from the LiDAR data for the DC OCTO 2015 LiDAR project covering approximately 80 square miles, in which its extents cover Arlington County in Washington DC. This project consists of deliverables in accordance with USGS v1.2 specifications and meets or exceeds the level of quality for QL1 (8 points per meter).",2016-12-15T14:41:18.000Z,2017-05-16T14:50:44.000Z,http://opendata.dc.gov/datasets/ce6ca4535c684ac0aff8b1a55fa1eb8c,https://drive.google.com/open?id=0B4JuB6g9n_rmV0lLVGVYNm93cFU,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/ce6ca4535c684ac0aff8b1a55fa1eb8c
http://opendata.dc.gov/datasets/de5745ccf631400b9274e4d71d0baf63,Taxicab Trips in 2015,"DC Taxicab trip data from May to December 2015. Pick up and drop off locations are assigned to block locations with times rounded to the nearest hour. Detailed metadata included in download.The Department of For-Hire Vehicles (DFHV) provided OCTO with a taxicab trip text file representing trips. OCTO processed the data to assign block locations to pick up and drop off locations. The blocks are assigned using the original pick up, drop off lat/long coordinates and searching for the block locations in the DC Master Address Repository (radius tolerance of 250 meters and less). The pick and drop off times are rounded to the nearest hour. In addition, the pick up and drop off locations are assigned to an airport using locator polygons for Reagan, BWI, and Dulles. ?These polygons generally follow the visual borders of these airports.",2017-05-12T19:46:50.000Z,2017-07-10T19:25:03.773Z,http://opendata.dc.gov/datasets/de5745ccf631400b9274e4d71d0baf63,https://drive.google.com/open?id=0B4JuB6g9n_rmYXpUcVFFSmZ2QTg,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/de5745ccf631400b9274e4d71d0baf63
