identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,2014 Upstart Grants,"The UPSTART Program is the signature capacity building program of the DC Commission on the Arts and Humanities. UPSTART assists established DC-based arts and humanities nonprofit organizations with significant programmatic functions that face operational and infrastructure challenges and financial limitations that prevent organizational and programmatic sustainability.?The DC Commission on the Arts and Humanities recognizes the importance of remaining relevant in a city of competitive opportunities for residents who have at their disposal significant discretionary income for arts and cultural offerings. ? Further, according to the 2012 Arts and Economic Prosperity IV Study conducted by Americans for the Arts, $1.1 billion in economic activity is generated annually by the non-profit arts and culture industry in Washington, DC. ?Additionally, the culture industry returns $80 million in local tax revenue to the District?s coffers. ?These trends create an opportunity for DCCAH to position itself at the forefront of the city?s cultural planning. ? To achieve this goal, DCCAH will endeavor in a cultural planning process to understand the strategic opportunities that will be central to accomplishing this broad vision.",2015-02-27T20:39:16.000Z,2017-12-21T20:34:31.129Z,http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Cultural_and_Society_WebMercator/MapServer/36,"-77.1094799659,38.8273020471,-76.9198164848,38.9943466559",http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36
http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14,Walkout Route Collection Points,"Walkout Route Collection Points. The dataset contains locations and attributes of walkout route collection points used as locations where evacuees can board buses to exit the city, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.?",2015-02-27T21:12:04.000Z,2017-08-09T20:39:43.000Z,http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/14,"-77.0810260391,38.8269334365,-76.9121893008,38.9750447625",http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14
http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,Annual Public Space Rental Permits,Annual Public Space Rental Permits,2014-10-30T16:10:02.000Z,2017-11-15T16:11:39.000Z,http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DDOT/TOPS/MapServer/3,"-77.0962,38.8586,-76.97,38.9596",http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3
http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,Moving Violations Issued in December 2010,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T02:48:17.000Z,2017-12-21T22:24:01.505Z,http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2010/MapServer/11,"-77.1095,38.8174,-76.9099,38.9923",http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11
http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,Moving Violations Issued in July 2011,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:05:11.000Z,2017-12-21T18:17:45.494Z,http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2011/MapServer/6,"-77.11,38.8174,-76.9116,38.9915",http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6
http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,Street/Alley Lights - Last 30 Days,This data layer shows 311 Service Requests in the last 30 days for street/alley repair investigations on public property.,2015-04-30T13:01:18.000Z,2017-11-15T15:56:37.000Z,http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/SR_30days_Open/MapServer/30,"-77.1041198431,38.8253493899,-76.9124579858,38.9940785743",http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30
http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,Emergency Work Requests (via DDOT TOPs),This data sets shows emergency work requests from DDOT's Transportation Online Permitting System.?https://tops.ddot.dc.gov/,2014-11-05T15:28:00.000Z,2017-12-21T23:20:27.073Z,http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DDOT/MapServer/2,"-77.1143,38.8134,-76.9097,38.995",http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2
http://opendata.dc.gov/datasets/d5a5b7e20647441985055725e1a17b7d_5,Parking Violations Issued in June 2017,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of?the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2017-11-06T17:35:58.000Z,2017-11-06T17:37:01.000Z,http://opendata.dc.gov/datasets/d5a5b7e20647441985055725e1a17b7d_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2017/MapServer/5,"-77.1141,38.8202,-76.9096,38.9912",http://opendata.dc.gov/datasets/d5a5b7e20647441985055725e1a17b7d_5
http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9,Moving Violations Issued in October 2014,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:07:30.000Z,2017-12-21T22:31:27.579Z,http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2014/MapServer/9,"-77.1118,38.8146,-76.9133,38.9923",http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9
http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75,National Park Service Trails in DC,National Park Service (NPS) trails in the District of Columbia.?,2015-02-27T21:15:14.000Z,2017-12-21T20:35:23.427Z,http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/75,"-77.1167136948,38.6879403394,-76.8885564158,38.9955701952",http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75
http://opendata.dc.gov/datasets/f88d947d0ba945b688e00a46d6cbcd6c_9,Census Tracts in 2000,"The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Face refers to the areal (polygon) topological primitives that make up MTDB. A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face. The Topological Faces Shapefile contains the attributes of each topological primitive face. Each face has a unique topological face identifier (TFID) value. Each face in the shapefile includes the key geographic area codes for almost all geographic areas for which the Census Bureau tabulates data for both the 2010 Census and Census 2000. The geometries of each of these geographic areas can then be built by dissolving the face geometries on the appropriate key geographic area codes in the Topological Faces Shapefile.",2015-02-27T20:47:52.000Z,2017-08-09T15:26:09.000Z,http://opendata.dc.gov/datasets/f88d947d0ba945b688e00a46d6cbcd6c_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Demographic_WebMercator/MapServer/9,"-77.1198964251,38.7915818465,-76.9090163369,38.9959674016",http://opendata.dc.gov/datasets/f88d947d0ba945b688e00a46d6cbcd6c_9
http://opendata.dc.gov/datasets/97eb610df55b43fb9a3ad5338a547d33,Sewer Survey Historic Map - 1873,"This data provided via download from a Google Drive. Exhibit chart showing streets  avenues of the cities of Washington and Georgetown, improved under the Board of Public Works, D.C. : Nov. 1st 1873",2015-10-22T18:49:21.000Z,2017-08-09T15:27:55.000Z,http://opendata.dc.gov/datasets/97eb610df55b43fb9a3ad5338a547d33,https://drive.google.com/a/dc.gov/file/d/0B1Wt8FRXoFfJd1BPMmFmTV94dEE/view,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/97eb610df55b43fb9a3ad5338a547d33
http://opendata.dc.gov/datasets/d26fd72e1902449c8d31af5f2fc53f53_0,Website Analytics Daily Landing Pages,"This dataset is a direct export from DC government's Google Analytics report for daily landing pages, per year, on the?http://www.dc.gov?web portal from 2008 to 2016.?The landing page is the first page viewed during a session, or in other words, the entrance page to the portal. Landing pages can be considered the most popular points of entry as users navigate the DC.gov website.More information at?http://support.google.com.",2017-11-21T19:33:35.000Z,2017-12-21T20:24:48.936Z,http://opendata.dc.gov/datasets/d26fd72e1902449c8d31af5f2fc53f53_0,http://opendata.arcgis.com/datasets/d26fd72e1902449c8d31af5f2fc53f53_0/FeatureServer/0,"-77.136,38.786,-76.928,38.994",http://opendata.dc.gov/datasets/d26fd72e1902449c8d31af5f2fc53f53_0
http://opendata.dc.gov/datasets/9005ddd3fd724b5b8b2ac4ecb635c52c_28,Wetland General Types,"National Wetlands Inventory. NWI digital data files are records of wetlands location and classification as defined by the U.S. Fish  Wildlife Service. This dataset is one of a series available in 7.5 minute by 7.5 minute blocks containing ground planimetric coordinates of wetlands point, line, and area features and wetlands attributes. When completed, the series will provide coverage for all of the contiguous United States, Hawaii, Alaska, and U.S. protectorates in the Pacific and Caribbean. The digital data as well as the hardcopy maps that were used as the source for the digital data are produced and distributed by the U.S. Fish  Wildlife Service's National Wetlands Inventory project. This dataset was reprojected as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T20:55:49.000Z,2017-12-21T20:35:23.163Z,http://opendata.dc.gov/datasets/9005ddd3fd724b5b8b2ac4ecb635c52c_28,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Environment_WebMercator/MapServer/28,"-77.1198964251,38.7915818465,-76.9090163369,38.9959674016",http://opendata.dc.gov/datasets/9005ddd3fd724b5b8b2ac4ecb635c52c_28
http://opendata.dc.gov/datasets/934f3c014a554b2cb951ea2de62a113b_6,Moving Violations Issued in July 2012,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:13:22.000Z,2017-12-21T22:03:20.986Z,http://opendata.dc.gov/datasets/934f3c014a554b2cb951ea2de62a113b_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2012/MapServer/6,"-77.1058,38.8174,-76.9128,38.9915",http://opendata.dc.gov/datasets/934f3c014a554b2cb951ea2de62a113b_6
http://opendata.dc.gov/datasets/ec634c5d3ce64a07bad5f74558acafcc_9,Commission of Fine Arts Review Area,"Commission of fine arts review areas. The dataset contains locations and attributes of CFA review areas, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. This layer captured all squares that bounded the Shipstead-Luce boundary. For the areas within this jurisdiction boundary and outside the Shipstead-Luce boundary, the applicant needs to check with CFA about review -- it doesn't automatically mean that review is required. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T19:20:21.000Z,2017-08-09T15:26:14.000Z,http://opendata.dc.gov/datasets/ec634c5d3ce64a07bad5f74558acafcc_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Administrative_Other_Boundaries_WebMercator/MapServer/9,"-77.0800020132,38.8533200633,-77.0005736078,38.9959669428",http://opendata.dc.gov/datasets/ec634c5d3ce64a07bad5f74558acafcc_9
http://opendata.dc.gov/datasets/ff6c783670984cf5abf3ae068e86a7b4,Aerial Photography Download (Orthophoto) - 2013,"This data provided via download from a Google Drive.?Aerial Photography Download (Orthophoto) of Washington, DC at 6 inch resolution. Dated 2013.",2015-10-22T23:17:24.000Z,2017-08-09T15:26:00.000Z,http://opendata.dc.gov/datasets/ff6c783670984cf5abf3ae068e86a7b4,https://drive.google.com/a/dc.gov/file/d/0B1Wt8FRXoFfJNXdiUzBqTXBON28/view,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/ff6c783670984cf5abf3ae068e86a7b4
http://opendata.dc.gov/datasets/65a81d0a91654b9692c08ca37809c3c3_3,City Service Requests in 2012,"Data provided here are from the District's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at?http://311.dc.gov, electronic and US mail service or via other methods of communication.The?Office of Unified Communications (OUC)?oversees the designated call center for all 311 calls and for all District 911 calls.Please also visit the?DC 311 Service Request Map?which allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.http://311.dc.gov",2016-10-19T17:04:38.000Z,2017-09-12T15:27:35.000Z,http://opendata.dc.gov/datasets/65a81d0a91654b9692c08ca37809c3c3_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ServiceRequests/MapServer/3,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/65a81d0a91654b9692c08ca37809c3c3_3
