identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/6aa55c37671c4b00b487c858ca7646d7_7,Correctional and Halfway Houses,"The dataset contains locations and attributes of Correctional Halfway Houses, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the DC Department of Corrections (DOC) identified Halfway House locations and DC GIS staff geo-processed the data. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",2015-02-27T21:12:00.000Z,2017-08-09T20:46:30.000Z,http://opendata.dc.gov/datasets/6aa55c37671c4b00b487c858ca7646d7_7,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/7,"-77.0232541482,38.8547908493,-76.9729638383,38.9100868165",http://opendata.dc.gov/datasets/6aa55c37671c4b00b487c858ca7646d7_7
http://opendata.dc.gov/datasets/d9d0410e00a6424ab7ee6479023bebd4_0,2013 Private Building Energy and Water Performance Benchmarking,"The Clean and Affordable Energy Act of 2008 established that all private buildings over 50,000 gross square feet within the District of Columbia (DC), including multifamily residences, must annually measure and disclose their energy and water consumption to the District Department of the Environment (DDOE). Benchmarking is defined as tracking a building?s energy and water use and using a standard metric to compare the building?s performance against past performance and to its peers nationwide. These comparisons have been shown to drive energy efficiency upgrades and increase occupancy rates and property values. DC has chosen U.S. EPA?s free, industry-standard ENERGY STAR? Portfolio Manager? tool for benchmarking and reporting. DDOE is required to publicly disclose the ENERGY STAR? Benchmarking results for each privately owned building that is subject to the benchmarking law, beginning with the 2nd year of benchmarking data for that building. For more information, see ddoe.dc.gov/energybenchmarking.",2015-01-29T19:52:00.000Z,2017-08-09T15:25:45.000Z,http://opendata.dc.gov/datasets/d9d0410e00a6424ab7ee6479023bebd4_0,http://opendata.arcgis.com/datasets/d9d0410e00a6424ab7ee6479023bebd4_0/FeatureServer/0,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/d9d0410e00a6424ab7ee6479023bebd4_0
http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8,Summer Meals Sites,"DC's youth 18 and under can receive reimbursement for free nutritious meals and snacks as part of the DC Free Summer Meals Program (FSMP). The program operates June through August, with meal times and dates varying by location.For further details on summer meal sites please visit the?DC Office of the State Superintendent of Education.",2016-03-22T13:37:16.000Z,2017-10-06T18:10:55.141Z,http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/Summer_Events/MapServer/8,"-77.0807,38.8189,-76.9122,38.9819",http://opendata.dc.gov/datasets/da5efb5502c54cd88a7c214fa1b0192d_8
http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0,Occupancy Permits in 2012,"The dataset contains locations and attributes of 2012 above ground permits applied for and approved by the District Department of Transportation. They are existing occupied constructions and events. ?Examples include: moving trucks, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. ?The public space permit process is described on the DDOT website?http://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2015-06-17T19:08:35.000Z,2017-09-11T14:09:50.000Z,http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DCRA/MapServer/0,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/eed84f600bdc4f2b9bf33af1d13f33fe_0
http://opendata.dc.gov/datasets/af1c2b79ad6d4f8ab2da5a650912b06b_1,IT Staff Augmentation Current Awarded Engagements,"ITSA is the District?s method for the procurement of IT Staff Augmentation contractors. OST, Inc. (Optimal Solutions and Technologies) facilitates the staff augmentation procurement process between District program managers and ITSA-registered vendors. OST, Inc. has partnered with Peoplefluent to provide a fully-functional Vendor Management System that handles the workflow from beginning to end. The ITSA Project is ISO 9001:2008 compliant. ?More information at?http://itsa.ostglobal.com.",2015-06-18T17:06:19.000Z,2017-08-09T15:26:38.000Z,http://opendata.dc.gov/datasets/af1c2b79ad6d4f8ab2da5a650912b06b_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/ITSA_Feeds/MapServer/1,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/af1c2b79ad6d4f8ab2da5a650912b06b_1
http://opendata.dc.gov/datasets/333a674a1a1748ffad283fca523b5a49_32,Parcel Lots (Historical),"The dataset contains locations and attributes of historical or retired Parcel Lot polygons, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. These features are created when a property transaction occurs that changes the lot. Please visit http://vpm.dc.gov/ for additional information. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",2015-02-27T21:10:02.000Z,2017-08-09T20:18:31.000Z,http://opendata.dc.gov/datasets/333a674a1a1748ffad283fca523b5a49_32,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Property_and_Land_WebMercator/MapServer/32,"-77.0995637226,38.8105782305,-76.9317415995,38.9876984375",http://opendata.dc.gov/datasets/333a674a1a1748ffad283fca523b5a49_32
http://opendata.dc.gov/datasets/f2ffaaace4a645818a7e9de283e52af8_0,2014 Building Energy and Water Performance Benchmarking,"The Clean and Affordable Energy Act of 2008 established that all private buildings over 50,000 gross square feet within the District of Columbia, including multifamily residences, must annually measure and disclose their energy and water consumption to the Department of Energy and Environment (DOEE). Benchmarking is defined as tracking a building?s energy and water use and using a standard metric to compare the building?s performance against past performance and to its peers nationwide. These comparisons have been shown to drive energy efficiency upgrades and increase occupancy rates and property values. The District of Columbia has chosen U.S. EPA?s free, industry-standard ENERGY STAR? Portfolio Manager? tool for benchmarking and reporting. DDOE is required to publicly disclose the ENERGY STAR? Benchmarking results for each publicly or privately owned building that is subject to the benchmarking law, beginning with the 2nd year of benchmarking data for that building. For more information, see?http://doee.dc.gov/energybenchmarking",2016-03-29T19:27:10.000Z,2017-08-09T15:25:46.000Z,http://opendata.dc.gov/datasets/f2ffaaace4a645818a7e9de283e52af8_0,http://opendata.arcgis.com/datasets/f2ffaaace4a645818a7e9de283e52af8_0/FeatureServer/0,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/f2ffaaace4a645818a7e9de283e52af8_0
http://opendata.dc.gov/datasets/155496f6b34247b5909fd1173f8163b5_0,CBEs Active in ITSA Program,"Certified Business Enterprise (?CBE?). ?This dataset contains current businesses that are active in the CBE Program. ?The program provides preference to District-based firms pursuing District Government issued procurement opportunities, and expands the availability of business opportunities with District-sponsored development projects. ?The CBE program process is described on the DSLBD website?http://dslbd.dc.gov.?ITSA is the District?s method for the procurement of IT Staff Augmentation contractors. OST, Inc. (Optimal Solutions and Technologies) facilitates the staff augmentation procurement process between District program managers and ITSA-registered vendors. OST, Inc. has partnered with Peoplefluent to provide a fully-functional Vendor Management System that handles the workflow from beginning to end. The ITSA Project is ISO 9001:2008 compliant. ?More information on ITSA is available at?http://itsa.ostglobal.com.",2015-06-18T16:59:29.000Z,2017-09-11T19:16:44.000Z,http://opendata.dc.gov/datasets/155496f6b34247b5909fd1173f8163b5_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/ITSA_Feeds/MapServer/0,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/155496f6b34247b5909fd1173f8163b5_0
http://opendata.dc.gov/datasets/91035a3459b4459d85f920d73978c4e2_11,Downtown Credit Trade Area,"Credit Trade Areas exist only in the Downtown Zones in the 2016 Zoning Regulations and are generated by the development of residential, arts, or preferred uses and may also be generated on historic properties through conservation efforts. Credits can also be used/converted/or generated under specified circumstances if the properties were eligible for Transferable Development Rights (TDR) or Combined Lot Development (CLD) under the 1958 Zoning Regulations. ",2017-09-12T14:28:31.000Z,2017-09-21T17:19:39.000Z,http://opendata.dc.gov/datasets/91035a3459b4459d85f920d73978c4e2_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCOZ/Zone_Mapservice/MapServer/11,"-77.0488,38.8765,-77.002,38.9108",http://opendata.dc.gov/datasets/91035a3459b4459d85f920d73978c4e2_11
http://opendata.dc.gov/datasets/e8b6fca126474060a9209b0c94760572_0,Summer Events in Next 7 Days,Summer events that are scheduled to occur in the next 7 days where youth can participate. For more information visit?http://summer.dc.gov.,2017-06-07T16:31:28.000Z,2017-08-09T15:28:04.000Z,http://opendata.dc.gov/datasets/e8b6fca126474060a9209b0c94760572_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/Summer_Events/MapServer/0,"-77.0807,38.8189,-76.9198,38.9703",http://opendata.dc.gov/datasets/e8b6fca126474060a9209b0c94760572_0
