publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"City of Washington, DC","[u'DC', u'DC', u'dc', u'DDOT', u'District', u'District of Columbia', u'DMV', u'DPW', u'enforcement', u'moving', u'moving violations', u'MPD', u'odtest', u'parking', u'parking violation', u'Parking Enforcement', u'police', u'ppsa', u'transportation', u'violations', u'Vision Zero', u'vision zero', u'VZ', u'Washington', u'washington dc', u'may2018']",http://opendata.dc.gov/datasets/94455e9d5f42439788da06caeaaf35ac_6,Moving Violations Issued in July 2017,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2018-04-05T15:31:27.000Z,2018-05-04T18:13:05.000Z,http://opendata.dc.gov/datasets/94455e9d5f42439788da06caeaaf35ac_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2017/MapServer/6,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'apr2018', u'dc', u'dcgis', u'ddot', u'district of columbia', u'meter', u'parking', u'parking meter', u'parking meter space', u'transportation', u'washington dc']",http://opendata.dc.gov/datasets/54c633e5cd5540b880b609ae5618ed71_122,Parking Meter Spaces,"Parking Meter Spaces provides metered space information as it pertains to a Pay-by-Space Multi-Space Meter (MSM) Environment. Customers would interact via pay-by-phone or the MSM to pay for a particular parking space. The Pay-by-space environment has been used in the District since October 2015, when it first debuted in Penn Quarter/Chinatown. That area encompasses from 3rd St NW to 11th St NW and from E St NW to H St NW. Since that time, there has not been any further expansion of the Pay-by-Space Multi-Space Meter (MSM) Environment. For more information visit https://wiki.ddot.dc.gov/display/OP/Parking+Meter+Spaces+Data.",2018-04-05T15:08:40.000Z,2018-05-03T20:36:38.429Z,http://opendata.dc.gov/datasets/54c633e5cd5540b880b609ae5618ed71_122,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/122,"-77.0271,38.896,-77.0151,38.8999"
"City of Washington, DC","[u'taxi', u'cars', u'dc', u'dc gis', u'dfhv', u'for hire', u'public transit', u'taxicab', u'transportation', u'washington dc', u'may2018']",http://opendata.dc.gov/datasets/3110212ec14047f2aaf67d17af19dd01_132,Taxicab Trips Sampling in July 2017,"A sampling of taxicab trip data from July 23 to July 29, 2017. Pick up and drop off locations are assigned to block locations with times rounded to the nearest hour.The Department of For-Hire Vehicles (DFHV) provided OCTO with a taxicab trip text file representing trips. OCTO processed the data to assign block locations to pick up and drop off locations. The blocks are assigned using the original pick up, drop off lat/long coordinates and searching for the block locations in the DC Master Address Repository (radius tolerance of 250 meters and less). The pick and drop off times are rounded to the nearest hour. In addition, the pick up and drop off locations are assigned to an airport using locator polygons for Reagan, BWI, and Dulles.",2018-05-04T15:26:24.000Z,2018-05-04T17:30:36.035Z,http://opendata.dc.gov/datasets/3110212ec14047f2aaf67d17af19dd01_132,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/132,"-77.101,38.816,-76.899,39.018"
"City of Washington, DC","[u'District of Columbia', u'Street', u'Street Segment', u'Streetsegment', u'volume', u'DCGIS', u'Washington', u'DC', u'traffic volume', u'DC GIS', u'terrestrial', u'DC', u'traffic', u'transportation', u'may2018', u'hpms', u'highway performance management system', u'aadt', u'annual average daily traffic', u'federal highway administration', u'fha']",http://opendata.dc.gov/datasets/ae78500807964d93be817f52b5f523cf_126,2012 Traffic Volume,"Traffic volume of Street segments. The dataset contains traffic volume data, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). A database provided by the District of Columbia, Department of Transportation identified traffic volume. Count data is collected (both direction) at pre-selected locations on Highway Performance Monitoring System (HPMS) Sections on a three-year cycle. These counts are converted to Annual Average Daily Traffic (AADT).",2018-04-27T19:13:40.000Z,2018-05-04T15:50:25.000Z,http://opendata.dc.gov/datasets/ae78500807964d93be817f52b5f523cf_126,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/126,"-77.1167,38.7932,-76.9094,38.9953"
"City of Washington, DC","[u'DC', u'DC', u'dc', u'DDOT', u'District', u'District of Columbia', u'DMV', u'DPW', u'enforcement', u'moving', u'moving violations', u'MPD', u'odtest', u'parking', u'parking violation', u'Parking Enforcement', u'police', u'ppsa', u'transportation', u'violations', u'Vision Zero', u'vision zero', u'VZ', u'Washington', u'washington dc', u'may2018']",http://opendata.dc.gov/datasets/3fb427effc254bfea7d31c62d3f37a14_5,Moving Violations Issued in June 2017,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2018-04-05T15:30:24.000Z,2018-05-04T18:13:05.000Z,http://opendata.dc.gov/datasets/3fb427effc254bfea7d31c62d3f37a14_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2017/MapServer/5,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'District of Columbia', u'Street', u'Street Segment', u'Streetsegment', u'volume', u'DCGIS', u'Washington', u'DC', u'traffic volume', u'DC GIS', u'terrestrial', u'DC', u'traffic', u'transportation', u'may2018', u'hpms', u'highway performance management system', u'aadt', u'annual average daily traffic', u'federal highway administration', u'fha']",http://opendata.dc.gov/datasets/c72b4996a2bf40ab86197e2f92246f00_127,2013 Traffic Volume,"Traffic volume of Street segments. The dataset contains traffic volume data, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). A database provided by the District of Columbia, Department of Transportation identified traffic volume. Count data is collected (both direction) at pre-selected locations on Highway Performance Monitoring System (HPMS) Sections on a three-year cycle. These counts are converted to Annual Average Daily Traffic (AADT).",2018-04-27T19:16:41.000Z,2018-05-04T15:50:37.000Z,http://opendata.dc.gov/datasets/c72b4996a2bf40ab86197e2f92246f00_127,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/127,"-77.1167,38.7932,-76.9094,38.9953"
"City of Washington, DC","[u'DC', u'DC', u'dc', u'DDOT', u'District', u'District of Columbia', u'DMV', u'DPW', u'enforcement', u'moving', u'moving violations', u'MPD', u'odtest', u'parking', u'parking violation', u'Parking Enforcement', u'police', u'ppsa', u'transportation', u'violations', u'Vision Zero', u'vision zero', u'VZ', u'Washington', u'washington dc', u'may2018']",http://opendata.dc.gov/datasets/f7fb9a35ff1c43239b071709ab597ff3_1,Moving Violations Issued in February 2018,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2018-04-05T15:39:40.000Z,2018-05-04T18:13:05.000Z,http://opendata.dc.gov/datasets/f7fb9a35ff1c43239b071709ab597ff3_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2018/MapServer/1,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'mario', u'transportation', u'DDOT', u'violations', u'Vision Zero', u'VZ', u'feb2016', u'odtest', u'DPW', u'DMV', u'dc', u'washington dc', u'MPD', u'police', u'enforcement', u'parking', u'parking violation', u'Parking Enforcement', u'January 2009  June 2015', u'Washington', u'DC', u'District of Columbia', u'DC', u'District']",http://opendata.dc.gov/datasets/b00605a8e3e54d2ca75c525ba42966ea_11,Parking Violations Issued in December 2014,"Parking citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD)and partner agencies with the authority. For example, the District Department of Transportation's (DDOT)traffic control officers write parking violations to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle'seTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO)geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T23:42:25.000Z,2018-03-13T14:29:05.000Z,http://opendata.dc.gov/datasets/b00605a8e3e54d2ca75c525ba42966ea_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2014/MapServer/11,"-77.1141,38.8193,-76.9115,38.9936"
"City of Washington, DC","[u'District of Columbia', u'Street', u'Street Segment', u'Streetsegment', u'volume', u'DCGIS', u'Washington', u'DC', u'traffic volume', u'DC GIS', u'terrestrial', u'DC', u'traffic', u'transportation', u'may2018', u'hpms', u'highway performance management system', u'aadt', u'annual average daily traffic', u'federal highway administration', u'fha']",http://opendata.dc.gov/datasets/2102cb84263e448682df872d595d1f08_125,2011 Traffic Volume,"Traffic volume of Street segments. The dataset contains traffic volume data, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). A database provided by the District of Columbia, Department of Transportation identified traffic volume. Count data is collected (both direction) at pre-selected locations on Highway Performance Monitoring System (HPMS) Sections on a three-year cycle. These counts are converted to Annual Average Daily Traffic (AADT).",2018-04-27T19:12:19.000Z,2018-05-04T15:50:14.000Z,http://opendata.dc.gov/datasets/2102cb84263e448682df872d595d1f08_125,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/125,"-77.1167,38.7932,-76.9094,38.9953"
"City of Washington, DC","[u'taxi', u'cars', u'dc', u'dc gis', u'dfhv', u'for hire', u'public transit', u'taxicab', u'transportation', u'washington dc', u'may2018']",http://opendata.dc.gov/datasets/2b67cb8005d943168feb0a5fb6ae973f_131,Taxicab Trips Sampling in February 2017,"A samplingof taxicab trip data from February 5 to 11, 2017. Pick up and drop off locations are assigned to block locations with times rounded to the nearest hour.The Department of For-Hire Vehicles (DFHV) provided OCTO with a taxicab trip text file representing trips. OCTO processed the data to assign block locations to pick up and drop off locations. The blocks are assigned using the original pick up, drop off lat/long coordinates and searching for the block locations in the DC Master Address Repository (radius tolerance of 250 meters and less). The pick and drop off times are rounded to the nearest hour. In addition, the pick up and drop off locations are assigned to an airport using locator polygons for Reagan, BWI, and Dulles.",2018-05-04T15:33:48.000Z,2018-05-04T17:34:31.223Z,http://opendata.dc.gov/datasets/2b67cb8005d943168feb0a5fb6ae973f_131,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/131,"-77.136,38.786,-76.928,38.994"
