identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,2014 Upstart Grants,"The UPSTART Program is the signature capacity building program of the DC Commission on the Arts and Humanities. UPSTART assists established DC-based arts and humanities nonprofit organizations with significant programmatic functions that face operational and infrastructure challenges and financial limitations that prevent organizational and programmatic sustainability.?The DC Commission on the Arts and Humanities recognizes the importance of remaining relevant in a city of competitive opportunities for residents who have at their disposal significant discretionary income for arts and cultural offerings. ? Further, according to the 2012 Arts and Economic Prosperity IV Study conducted by Americans for the Arts, $1.1 billion in economic activity is generated annually by the non-profit arts and culture industry in Washington, DC. ?Additionally, the culture industry returns $80 million in local tax revenue to the District?s coffers. ?These trends create an opportunity for DCCAH to position itself at the forefront of the city?s cultural planning. ? To achieve this goal, DCCAH will endeavor in a cultural planning process to understand the strategic opportunities that will be central to accomplishing this broad vision.",2015-02-27T20:39:16.000Z,2017-07-12T18:43:30.127Z,http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Cultural_and_Society_WebMercator/MapServer/36,"-77.1094799659,38.8273020471,-76.9198164848,38.9943466559",http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36
http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14,Walkout Route Collection Points,"Walkout Route Collection Points. The dataset contains locations and attributes of walkout route collection points used as locations where evacuees can board buses to exit the city, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:12:04.000Z,2017-07-10T19:27:45.042Z,http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/14,"-77.0810260391,38.8269334365,-76.9121893008,38.9750447625",http://opendata.dc.gov/datasets/fc66309ca22e44aca3748efdeb0459af_14
http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,Annual Public Space Rental Permits,Annual Public Space Rental Permits,2014-10-30T16:10:02.000Z,2017-02-02T15:33:40.000Z,http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,http://maps2.dcgis.dc.gov/dcgis/rest/services/DDOT/TOPS/MapServer/3,"-77.0962,38.8586,-76.97,38.9596",http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3
http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,Moving Violations Issued in December 2010,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T02:48:17.000Z,2017-07-10T22:02:35.787Z,http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2010/MapServer/11,"-77.1095,38.8174,-76.9099,38.9923",http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11
http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,Moving Violations Issued in July 2011,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:05:11.000Z,2017-07-10T21:15:44.819Z,http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2011/MapServer/6,"-77.11,38.8174,-76.9116,38.9915",http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6
http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,Parking Violations Issued in January 2009,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:53:13.000Z,2017-07-10T22:13:10.502Z,http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/0,"-77.1067,38.8189,-76.91,38.9936",http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0
http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,Street/Alley Lights - Last 30 Days,This data layer shows 311 Service Requests in the last 30 days for street/alley repair investigations on public property.,2015-04-30T13:01:18.000Z,2017-07-10T19:43:00.078Z,http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/SR_30days_Open/MapServer/30,"-77.1041198431,38.8253493899,-76.9124579858,38.9940785743",http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30
http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,Emergency Work Requests (via DDOT TOPs),This data sets shows emergency work requests from DDOT's Transportation Online Permitting System.?https://tops.ddot.dc.gov/,2014-11-05T15:28:00.000Z,2017-07-10T20:44:26.943Z,http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,http://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DDOT/MapServer/2,"-77.1143,38.8134,-76.9097,38.995",http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2
http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9,Moving Violations Issued in October 2014,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:07:30.000Z,2017-07-10T22:17:15.447Z,http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2014/MapServer/9,"-77.1118,38.8146,-76.9133,38.9923",http://opendata.dc.gov/datasets/90e060f20b63426c9f9cee968c608eb9_9
http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75,National Park Service Trails in DC,National Park Service (NPS) trails in the District of Columbia.?,2015-02-27T21:15:14.000Z,2017-07-10T19:34:40.147Z,http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75,http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/75,"-77.1167136948,38.6879403394,-76.8885564158,38.9955701952",http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75
