Title,Alternative Title,Description,Rights,Provenance,Is Part Of,Subject,Spatial Coverage,Temporal Coverage,Date Issued,Creator,Publisher,Format,Language,Type,Identifier,UUID,Geometry Type,GeoRSS Box,Apache Solr Year,Information Page,Download File,Esri Rest Service,Tags
"Ward Districts: Hennepin County, Minnesota",Ward Districts,"This dataset contains the boundaries of Voting Wards in Hennepin County where municipalities choose to use them. Based upon 2012 redistricting, some cities use wards to break down their election districts, then break down further to precincts within those wards. The fields MUNIC_NAME and WARD contain the name of each Ward. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Ward%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,90b2cef147c94a3f9fc0011aae0fa39c_11,90b2cef147c94a3f9fc0011aae0fa39c_11,surface,"-93.5263,44.7843,-93.1935,45.2124",2015,http://gis-hennepin.opendata.arcgis.com/datasets/90b2cef147c94a3f9fc0011aae0fa39c_11,http://gis-hennepin.opendata.arcgis.com/datasets/90b2cef147c94a3f9fc0011aae0fa39c_11.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/11,MapServer
"Voting Precincts: Hennepin County, Minnesota",Voting Precincts,"Boundaries represent the 2012 redistricting precincts defined through legal descriptions from the cities redistricting processes. The fields MUNIC_NAME, WARD, and PRECINCT contain the name of each precinct. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Voting%20Precincts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,ec9dc2a51cb5478c91a85b90128adcf5_10,ec9dc2a51cb5478c91a85b90128adcf5_10,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/ec9dc2a51cb5478c91a85b90128adcf5_10,http://gis-hennepin.opendata.arcgis.com/datasets/ec9dc2a51cb5478c91a85b90128adcf5_10.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/10,MapServer
"Commissioner Districts: Hennepin County, Minnesota",Commissioner Districts,"This dataset contains the boundary areas of the Hennepin County Commissioner Districts, as determined by the 2012 redistricting work. This dataset is maintained by the Hennepin County Resident and Real Estate Services Department. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Commissioner%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this data set, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,173069c1f85943bea833c90710c87d85_0,173069c1f85943bea833c90710c87d85_0,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/173069c1f85943bea833c90710c87d85_0,http://gis-hennepin.opendata.arcgis.com/datasets/173069c1f85943bea833c90710c87d85_0.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/0,MapServer
"Minnesota Legislative Districts: Hennepin County, Minnesota",Minnesota Legislative Districts,"This dataset contains the Minnesota Legislative District Boundaries for Hennepin County from the 2012 redistricting process. The field NAME_TXT contains the district identifier for each Legislative District. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Legislative%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,37804fc6f7154114bfb036bdb77c00e2_3,37804fc6f7154114bfb036bdb77c00e2_3,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/37804fc6f7154114bfb036bdb77c00e2_3,http://gis-hennepin.opendata.arcgis.com/datasets/37804fc6f7154114bfb036bdb77c00e2_3.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/3,MapServer
"Park Districts: Hennepin County, Minnesota",Park Districts,"Hennepin County Regional Park districts from 2012 redistricting for local elections. The field NAME_TXT contains the district identifier for each Park District. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Park%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,a229f865839e4ab6826d3c0bdffda83e_5,a229f865839e4ab6826d3c0bdffda83e_5,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/a229f865839e4ab6826d3c0bdffda83e_5,http://gis-hennepin.opendata.arcgis.com/datasets/a229f865839e4ab6826d3c0bdffda83e_5.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/5,MapServer
"Municipalities: Hennepin County, Minnesota",Hennepin County Municipalities,"This dataset contains the boundary area of Hennepin County municipalities as defined from Auditor legal descriptions and tax area boundaries. It includes any annexations that may affect the corporate boundary. The NAME_TXT attribute field contains the municipality text label. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Municipal%20Boundaries.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.This dataset contains the boundary area of Hennepin County municipalities as defined from Auditor legal descriptions and tax area boundaries. It includes any annexations that may affect the corporate boundary. The NAME_TXT attribute field contains the municipality text label.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,c36362ca783240ec974e29b87063a144_4,c36362ca783240ec974e29b87063a144_4,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/c36362ca783240ec974e29b87063a144_4,http://gis-hennepin.opendata.arcgis.com/datasets/c36362ca783240ec974e29b87063a144_4.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/4,MapServer
"US Congressional Districts: Hennepin County, Minnesota",US Congressional Districts,"Hennepin County US Congressional Districts based on the 2012 redistricting of US Congressional district polygons determined from Legislative district boundaries. The field NAME_TXT contains the district identifier for each Congressional District. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/US%20Congressional%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,c5f67030adce4b3987782a88e0652093_9,c5f67030adce4b3987782a88e0652093_9,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/c5f67030adce4b3987782a88e0652093_9,http://gis-hennepin.opendata.arcgis.com/datasets/c5f67030adce4b3987782a88e0652093_9.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/9,MapServer
"Boundary: Hennepin County, Minnesota",Hennepin County Boundary,"This dataset contains the boundary area of Hennepin County. A large part of Hennepin County is bounded by rivers. The boundary in some cases is determined by the Township and Range Lines of the Public Land Survey System. The NAME_TXT attribute field contains the county text label. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/County%20Boundary.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,d47c495bda3f4458bdbfff0e6a842d70_1,d47c495bda3f4458bdbfff0e6a842d70_1,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/d47c495bda3f4458bdbfff0e6a842d70_1,http://gis-hennepin.opendata.arcgis.com/datasets/d47c495bda3f4458bdbfff0e6a842d70_1.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/1,MapServer
"Zip Codes: Hennepin County, Minnesota",Zip Codes,"Dataset contains the ZIP code boundaries inside of Hennepin County. Non-taxing polygons for Zip code areas are defined using parcel attributes of property mailing address. The field NAME_TXT contains the ZIP Code number for each polygon. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Zipcodes.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,9/14/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,fd527cfaa7d645fd95631eb658cec4fa_12,fd527cfaa7d645fd95631eb658cec4fa_12,surface,"-93.7727,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/fd527cfaa7d645fd95631eb658cec4fa_12,http://gis-hennepin.opendata.arcgis.com/datasets/fd527cfaa7d645fd95631eb658cec4fa_12.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/12,MapServer
"Soil and Water Districts: Hennepin County, Minnesota",Soil and Water Districts,"This dataset contains the Soil and Water District Boundaries in Hennepin County for local elections. Current boundaries are as of the 2002 redistricting for Soil and Water election districts. The field NAME_TXT contains the district identifier for each Soil and Water District. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Soil%20Water%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Public,Minnesota,ArcGIS Open Data,Boundaries|Environment,"5029877: Hennepin County (country, state, region,...), Minnesota, United States|5037779: Minnesota (country, state, region,...), Minnesota, United States",,10/12/2015,Hennepin County GIS,Hennepin County,Shapefile,English,Dataset,b1bd3283733744b992a0d9e27206fef6_7,b1bd3283733744b992a0d9e27206fef6_7,surface,"-93.7728,44.783,-93.1766,45.2471",2015,http://gis-hennepin.opendata.arcgis.com/datasets/b1bd3283733744b992a0d9e27206fef6_7,http://gis-hennepin.opendata.arcgis.com/datasets/b1bd3283733744b992a0d9e27206fef6_7.zip,http://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/7,MapServer
