identifier,title,description,issued,modified,landingPage,webService,spatial
http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0,Expiration of Redemption,There is no description available.,2017-04-14T13:45:42.000Z,2017-04-14T13:45:52.671Z,http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Expiration_of_Redemption/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0
http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0,"Washington County, MN Facilities","To launch this map, visit http://maps.co.washington.mn.us/CountyFacilities/?.This map is designed to help identify the location of various Washington County facilities. Descriptions with details of the facility (location, contact information, photographs, maps, handicap accessibility, rental availability, etc.) display within each county facility?s listing.",2013-10-17T16:24:31.000Z,2017-02-08T20:56:23.000Z,http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0,https://www.arcgis.com/home/webmap/viewer.html?webmap=e8ec50bd914445f2be35bcb7be5b44d0,"-93.8494,44.5918,-91.9281,45.3959",http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0
http://data-wcmn.opendata.arcgis.com/datasets/60af777568e343c9ab55c85abe76c8d4_0,RoadCenterlines,Road Centerlines in Washington County,2016-01-27T20:40:23.000Z,2016-03-03T19:30:07.397Z,http://data-wcmn.opendata.arcgis.com/datasets/60af777568e343c9ab55c85abe76c8d4_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/RoadCenterlines/FeatureServer/0,"-93.02093452650415,44.74681960360233,-92.75035745679978,45.29740767275688",http://data-wcmn.opendata.arcgis.com/datasets/60af777568e343c9ab55c85abe76c8d4_0
http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48,Expiration of Redemption,There is no description available.,2017-04-14T13:55:19.000Z,2017-04-14T14:05:23.238Z,http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48,https://www.arcgis.com/home/webmap/viewer.html?webmap=3de2fbdcbcfb425aa55dce50ff9b9a48,"-93.1677,44.8185,-92.4914,45.1971",http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48
http://data-wcmn.opendata.arcgis.com/datasets/2dcea4496b434bfebd08c3d438158746_0,Streets,"This data provides a routable network of Federal, State, County and Municipal roads. The vector data is updated utilizing positions calculated from plats using coordinate geometry programs as well as aerial photos to approximate 'as built' locations. Platted, Public road centerlines are captured within this database. Private roads may not be shown.The centerlines usually represent the center of the physical roadway pavement. The center of physical roadway pavement may or may not represent the center of the road right of way. Road right of ways may taper or change width. This file has been further modified using several sources including survey centerlines and digitizing off aerial photos. Attributes have been included to allow geo-coding and the support of Washingon County Sherriff's Office Communication Center.",2015-02-27T19:52:44.000Z,2015-02-27T20:18:44.426Z,http://data-wcmn.opendata.arcgis.com/datasets/2dcea4496b434bfebd08c3d438158746_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Streets/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/2dcea4496b434bfebd08c3d438158746_0
http://data-wcmn.opendata.arcgis.com/datasets/c33f9e92e20b47da8225fc75892a85fa_0,Railroads,This data set contains map features similar to those previously shown on hand drawn tax maps.Layers included:Railroad centerlinesRailroad Right of WaysAbandoned/vacated railroad,2015-02-27T16:10:16.000Z,2015-02-27T18:41:52.871Z,http://data-wcmn.opendata.arcgis.com/datasets/c33f9e92e20b47da8225fc75892a85fa_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/railroads/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/c33f9e92e20b47da8225fc75892a85fa_0
http://data-wcmn.opendata.arcgis.com/datasets/9f5a97e4b46d4ec8bd9fec701cffc67f_0,45aerials,georeferenced 1945 aerials,2015-09-17T14:49:14.000Z,2016-12-06T18:22:00.346Z,http://data-wcmn.opendata.arcgis.com/datasets/9f5a97e4b46d4ec8bd9fec701cffc67f_0,http://maps.co.washington.mn.us/arcgis/rest/services/Aerials/45aerials/MapServer/0,"-93.024,44.7461,-92.7389,45.2968",http://data-wcmn.opendata.arcgis.com/datasets/9f5a97e4b46d4ec8bd9fec701cffc67f_0
http://data-wcmn.opendata.arcgis.com/datasets/65b3a820c78b4f5fa40920d8d8131924_0,CommissionerDistricts,There is no description available.,2016-11-28T16:50:00.000Z,2017-02-08T19:52:20.602Z,http://data-wcmn.opendata.arcgis.com/datasets/65b3a820c78b4f5fa40920d8d8131924_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/CommissionerDistricts/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/65b3a820c78b4f5fa40920d8d8131924_0
http://data-wcmn.opendata.arcgis.com/datasets/c4b2e35ad285432384991c6275267d06,Soil Survey,There is no description available.,2016-06-01T14:58:25.000Z,2016-06-01T15:04:52.000Z,http://data-wcmn.opendata.arcgis.com/datasets/c4b2e35ad285432384991c6275267d06,https://www.arcgis.com/home/webmap/viewer.html?webmap=c4b2e35ad285432384991c6275267d06,"-92.8437,45.0,-92.7667,45.0422",http://data-wcmn.opendata.arcgis.com/datasets/c4b2e35ad285432384991c6275267d06
http://data-wcmn.opendata.arcgis.com/datasets/e093aef55c664c3db14dc3b424b845bb_0,SchoolDistricts,"The exterior boundary of each School District coverage has been examined to remove all overshoots, undershoots, unwanted intersections and checked for missing or duplicate polygon labels.
Completeness in the checking process is examined through the examination and comparison of all detail collected by county staff. Sources used include: School District staff, County Auditor's Office, Metropolitan Council, Department of Children, Families and Learning, Minnesota Historical Society, Minnesota Legislative Reference Library.

https://www.co.washington.mn.us/1610/School-District-Boundaries
",2017-02-08T20:27:06.000Z,2017-02-08T20:28:25.904Z,http://data-wcmn.opendata.arcgis.com/datasets/e093aef55c664c3db14dc3b424b845bb_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/SchoolDistricts/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/e093aef55c664c3db14dc3b424b845bb_0
http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0,Park Boundaries,There is no description available.,2015-02-10T16:14:02.000Z,2014-09-18T15:17:09.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0,http://maps.co.washington.mn.us/arcgis/rest/services/Recreation/ParkBoundaries/MapServer/0,"-93.02,44.7484,-92.7524,45.2953",http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0
http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0,LicensedFacilities,There is no description available.,2016-12-13T16:13:51.000Z,2016-12-13T16:14:00.620Z,http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/LicensedFacilities/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0
