publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_18,Leader Lines,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:09:07.534Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_18,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/18,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN","[u'structures', u'elevation', u'ArcGIS', u'Service Definition', u'sd']",http://data-wcmn.opendata.arcgis.com/datasets/c0d1e737e576433398fb8b67780f8376_0,Structures (2011),There is no description available.,2016-08-17T15:32:45.000Z,2018-05-23T15:12:41.449Z,http://data-wcmn.opendata.arcgis.com/datasets/c0d1e737e576433398fb8b67780f8376_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Structures/FeatureServer/0,"-93.02028080499743,44.747086498859225,-92.73956979348704,45.296716900918966"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_19,Parcels,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:10:40.220Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_19,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/19,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN","[u'Structures', u'Elevation']",http://data-wcmn.opendata.arcgis.com/datasets/488c02ef028c433bb768b79b01e01030,Structures,There is no description available.,2016-08-17T15:43:14.000Z,2018-05-23T15:15:34.090Z,http://data-wcmn.opendata.arcgis.com/datasets/488c02ef028c433bb768b79b01e01030,https://www.arcgis.com/home/webmap/viewer.html?webmap=488c02ef028c433bb768b79b01e01030,"-92.7713,44.9615,-92.7625,44.9666"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_21,ParcelBoundaryRefLines,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:11:00.113Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_21,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/21,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_20,Easements,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:10:44.932Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_20,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/20,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_23,Plats,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:11:35.321Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_23,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/23,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_22,HistoricParcels,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:11:04.042Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_22,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/22,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_25,QQ Sections,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:12:36.149Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_25,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/25,"-93.0462,44.7293,-92.7106,45.2999"
"Washington County, MN",[u'Washington County Cadastrals Parcels'],http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_24,ROW,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,2018-06-27T16:12:06.115Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_24,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/24,"-93.0462,44.7293,-92.7106,45.2999"
