identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.minneapolismn.gov/datasets/77c3283978464432b9a391b8b9cf7885_0,Air Quality Survey,"For questions about this data please contact?HealthOpenData@minneapolismn.govFor more information about Air Quality in the City of Minneapolis, check the?Health Department's page?on the City websiteAttribute InformationDate?? The month and year during which this sample was collected. Each sample is collected over a period of 72-hours. The exact dates of collection are not specified on this dataset.Can ID ??A unique identifier for this sample and is determined by concatenating the collecting Summa canister?s identification number with the month and year of collection.Parameter ??The chemical (for this study, all are Volatile Organic Compounds, or VOCs) for which the result is reported.Results ??The amount of the particular VOC (parameter) detected in this sample. All results above the detection limit are reported in this dataset.Units ??The units in which the result is reported. All results are reported in units of micrograms per cubic meter (?g/m3).CAS ??The CAS Registry Number, also referred to as CASRN or CAS Number, is a unique numerical identifier assigned by Chemical Abstracts Service to every chemical substance described in the open scientific literature.HRV ??A Health Risk Value (HRV) is the concentration of a chemical that is likely to pose little or no risk to human health and is being used by our study as a reference level for comparing the results. Most HRVs are expressed as concentrations of micrograms of chemical per cubic meter of air (?g/m3). HRVs are developed to protect human health for a specified length of exposure (e.g., one hour, 13 weeks, a lifetime). In cases where an HRV promulgated using the public process described in the Administrative Procedures Act (Minnesota Statutes Chapter 14) was not available as a reference level, we instead used the recommended exposure limit (REL) from the National Institute for Occupational Safety and Health (NIOSH) or the permissible exposure limit (PEL) from the Occupational Safety and Health Administration (OSHA), selecting the most conservative level. For purposes of our study, all reference levels (HRVs, RELs, and PELs) will be referred to as a Health Risk Value.Units -?The units associated with the HRV, REL, or PEL reference level. All reference levels have been converted to units of micrograms per cubic meter (?g/m3).HRV Types ??The type (HRV, REL, or PEL) of reference level selected. For the purpose of this study, all are referred to as a Health Risk Value. The value selected was the lowest, most conservative value.Name ??The name of the location. Volunteer names and business names are left blank.Description ??The type of location where the canister was placed. Volunteer locations are typically residential sites where the property owner/occupant hosts a sampling Summa canister. Business locations, which are also VOC emitters, who are voluntarily participating in the study. ?MPCA locations are sites of existing Minnesota Pollution Control Agency air monitors sampling for VOCs where a sampling Summa canister is placed for data comparison. MPRB locations are Minneapolis Park and Recreation Board properties. Sponsored locations are sites where the community has paid for additional sampling Summa canisters to be placed.Address ??The address at or near where the sampling Summa canister was placed.City ??For mapping purposes, we have included the city where the sampling Summa canister was placed (all are within the Minneapolis boundary).State ??For mapping purposes, we have included the state where the sampling Summa canister was placed.Zip ??For mapping purposes, we have included the zip code where the sampling Summa canister was placed.",2015-04-27T17:25:16.000Z,2017-06-01T17:31:05.452Z,http://opendata.minneapolismn.gov/datasets/77c3283978464432b9a391b8b9cf7885_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/AirQualitySurvey2015Update/FeatureServer/0,"-93.32676124159701,44.89270886631688,-93.208779105617,45.04759052202385",http://opendata.minneapolismn.gov/datasets/77c3283978464432b9a391b8b9cf7885_0
http://opendata.minneapolismn.gov/datasets/c9b871eb925a4178a862f45310460510_0,Active Rental Licenses,"For questions about this data please contact?RegulatoryServicesOpenData@minneapolismn.govRental PropertyMinneapolis
 requires that every rental dwelling, including single-family rental 
dwellings and rental units in owner-occupied duplexes, and rooming and 
shared-bath units (unless they are in a licensed lodging house) must 
have a rental license.?The
number of locations shown on the map above reflects the unique amount of
dwellings in the City of Minneapolis with rental licenses, not the unique
amount of rental licenses.Why License Rental Properties?The intent of the rental license ordinance is to:Promote the health, safety, and welfare of the general public.Assure preservation of the existing housing supply.Help maintain property values.Work toward eliminating substandard and deteriorating rental housing.Maintain a living environment that contributes to healthful individual and family living.For more information on the licensing process, call 311 or outside Minneapolis city limits call (612) 673-3000.

Dataset
Information

APN- Parcel
identification number

License Number- This is the
designated rental license identification number

Tier ? This is the designated Tier
for the rental license.

Licensed Units ? This is the number of
paid units registered with the rental license.

Issue date- The date that
the rental license was issued.

Expiration Date- This is the
date that the rental license is set to expire.? The applicant of the
rental license must renew the rental license before this date.

Address- The address of
the rental licensed property. The suite, if applicable,
is included in the address.

Applicant - The applicant
of the rental license.? This is the person primarily responsible for the
rental licensed property.

Applicant Address ? The address of the applicant.

Applicant City ? The city of the applicant?s
address.

Ward- This is the
ward that the rental licensed property is located.

Community- This is the
community that the rental licensed property is located.

Neighborhood- This is the
neighborhood that the rental licensed property is located.

Police Precinct- This is the
police precinct that the rental licensed property is located.

Latitude ? The geographic
latitude of the property.

Longitude ? The geographic longitude of the
property.

X-WebMercator- The
X-coordinate for the geographic location of the property (Web Mercator).

Y-WebMercator- The
Y-coordinate of the geographic location for the property (Web Mercator).",2017-03-16T17:57:38.000Z,2017-06-30T23:45:37.341Z,http://opendata.minneapolismn.gov/datasets/c9b871eb925a4178a862f45310460510_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Active_Rental_Licenses/FeatureServer/0,"-93.32878159489181,0.0,0.0,45.051087223932214",http://opendata.minneapolismn.gov/datasets/c9b871eb925a4178a862f45310460510_0
http://opendata.minneapolismn.gov/datasets/87b0f1d3a75e44b8bbf17805c5130f2c_0,311 Incidents 2011,"For questions about this data please contact?311OpenData@minneapolismn.govThe
 data provided are public-facing service requests that were taken by 311
 contact center agents, or through online and mobile applications, and 
entered the Lagan CRM system during 2011. The two main identifiers of 
data, with which users of the open data should converse with 311, are 
the Case ID and the Type Name field. Type name is the common used title 
for a service request among city staff, 311, and the community at large.Attribute DescriptionsCase ID - Gives a unique identifying number associated with each case.?Subject
 - This is the top level hierarchy definition of a service request. It 
is most closely associated with a department designation.?Enquiry Type ID - An additional identification number .Reason
 - This is the 2nd level classification of a service request and 
reflects a program name or a division assigned to perform the service 
request.?Type - This is 
the 3rd level classification describing what the service request 
specifically is for. It is the most common designation description used 
in the city.?Title - Similar to the Type column, this describes more details about the incident.?Case
 Status - If case status = 0, it means the case is closed. If case 
status = 1, the case is still considered open. All cases with a case 
status of 1 should not have a closed date.Open
 Date Time - This is the date and time stamp when the department, 
program, or division assigned to complete the task in a service request 
starts working that service request.?Closed Date Time - The date a resolving department, division or program completed the service request.?XCoord
  YCoord - This is the coordinate the city provides of where the 
service request occurred in the WGS 84 web Mercator auxilliary sphere 
coordinate system.Service Request Definition ListAbandoned Vehicle ??a
 vehicle parked in a public right of way (street) that appears to have 
been left by its owner in excess of 72 consecutive hours or lacking 
vital component parts (City Ordinance 478.250).Abandoned Vehicle ? Open311?? vehicle reported abandoned via the Minneapolis Mobile Application.Abandoned/Illegally Parked Bicycle ??This is a report of an abandoned (or missing parts) bike by owner or someone elseAir Pollution Complaint ??air contaminants, fumes, or other offensive odors that occur outdoors and impacts the environment.Animal Complaint ? Livability ??nuisance conditions such as barking dog, stray petsAnimal Complaint ? Public Health ? abandoned, mistreated or uncared for animal, excessive feces in yard causing health risks.Barricade Pickup/Placement ??request for City staff to deploy or remove barricades from city street and or sidewalks.Bicycle Lane Issue??
 complaint for users of bike paths to report off-street bike path trail 
issues such as pavement, lighting, fencing, signs, debris, overgrown 
vegetation, etc. phones or other nuisance conditions on city bicycle 
paths.Bridge Complaint ??structural issue that needs attentionChemical Spill?? chemical contaminant spilled in any non-authorized location in the city.Commercial Food Safety/Sanitation Complaint ??unclean or unhealthy conditions suspected at an eating establishmentDebris in the Street or Alley?? branches, appliances, or general objects that are blocking an alleyway or street.Debris Alley/Street ? Open 311?? Debris in street or alley reported via the Minneapolis Mobile Application.Emergency Pollution Complaint?same as land, air, water but emergency requiring contact with 911Exterior Nuisance Complaint ??nuisance conditions located on the exterior of a building, such as long grass, debris or trash, or long weeds.Exterior Nuisance ? Self Service?? nuisance conditions reportable on the 311 online applications on the websiteFence or Guardrail Maintenance?? report about a fence or guardrail along a city street that may be in disrepairFire Hydrant Snow Issue ??snow is impeding the normal operation of a fire hydrant?.needs to be shoveled out.General Street Complaint?? non-specific problem with a street that does not fit in any other type of street complaintGraffiti complaint/reporting?? tagger or gang graffiti on properties, public signs, or any surfaceGraffiti ? Open 311?? graffiti complaint made via Minneapolis Mobile ApplicationHydrant Issue?? hydrant out of service, leaking water, damaged, etcIllegal Dumping Complaint?? report of waste being disposed at a location other than where it was generated and there is proof of the dumpingLand Pollution Complaint?? contaminant suspected in land that may require environmental remediation to restoreLicensing Complaint?? complaints or concerns about a business either licensed by Minneapolis, or operating without a license.Newspaper Box Complaint ??newspaper
 boxes for community newspapers, shoppers, or even major dailies in a 
state of disrepair, or not used, or obstructing the public right of way.Noise Pollution Complaint?? excessive noise that disrupts peace and tranquility of neighborhoods.Parking Meter Citation Issue?report that a defective meter/pay station may have cause the vehicle owner to get a ticketParking Meter Problem?? parking meter in need of attention or maintenance?possibly malfunctioningParking Meter ? Open311?? parking meter problem reported via Minneapolis Mobile Application.Parking Ramp/Lot Issue?? problem with ramp such as lights out affecting safety, mechanical problems with equipment, cluttered or unsafe stairwells.Parking Violation Complaint?? someone parked in a no parking zone, fire lane, etc.Parking Violation ? Open311 ??parking violation made via Minneapolis Mobile ApplicationPermitted Work -?report of concerns about construction work being done on private property after a permit has been obtainedPothole?? report of pavement depression/defectPothole ? Open311?? pothole reported via Minneapolis Mobile ApplicationResidential Conditions Complaint??
 a structural problem with a residential property with 1-3 dwelling 
units, such as stairwell needing repair, or a chimney in disrepair, or a
 broken window.?Residential Conditions Complaint HOD (High Occupancy Dwelling) ??a
 conditions complaint for properties with 4 or more residential dwelling
 units, or a mixed commercial and residential building, or a commercial 
building complaint.Residential Conditions Complaint Tenant ??a
 complaint in which the tenant of a 1-3 unit residential dwelling unit 
is adversely affected by a condition in a property, such as nuisance 
conditions like pests, or heat issues, or malfunctioning equipment.Residential Conditions Complaint HOD Tenant -?this
 is a tenant complaint in a residential building with 4 or more units, a
 mixed commercial and residential building, or a commercial building 
complaint.Residential Disability Zone ??a vehicle parked in a zone reserved for disabled citizens illegally, or periodically can be reported here.Sand Barrell ??request to have a sand barrel placed at a location in the City of MinneapolisSewer Issues ??report of sewer issues such as missing grate,?odor, plugged basin, manhole cover issue, sewer backup, etc.Sidewalk Obstruction Complaint ??an object or overhanging bush or tree that prevents public right of way on the sidewalkSidewalk Snow  Ice Complaint ??sidewalk that has not been maintained after a snow event or in a melt refreeze cycle.Sidewalk Snow and Ice ? SS ??sidewalk snow and ice complaint that is reported on the 311 website.Sidewalk Snow  Ice ? Open311 ??sidewalk snow  ice report via Minneapolis Mobile ApplicationSidewalk Structural Complaint ??a sidewalk that is uneven, or fractured can be reported on this service request.Sidewalk Structural ? Open311?? a sidewalk structural complaint made via Minneapolis Mobile ApplicationSign Complaint?? a sign that is not permitted in the city, like a bandit sign for real estate purchasing companies, or other unwanted signs.Snow ? Illegal Dumping?? complaint about snow being shoveled and dumped back into the street or public right of way.Snow  Ice Complaint?? this is a snow and ice complaint in a city street or alleySpecial Sweep?? customer can request a street sweep of their street due to dirt or loose debris in the streetSpeed Wagon?? a request for a speed indicator to be deployed on a city right of way (street) to indicate vehicle speedsSports Equipment in Street?? items that create obstructions for right of way in streets like portable basketball hoops.Street Light ? New?? a request for the city to deploy a new street light in a given city street/alleyStreet Light Trouble?? street lights no longer working that need to be replacedStreet Light Trouble ? Open311 ??street light issues reported via Minneapolis Mobile ApplicationStreets Snow  Ice ? Open311?? snow and ice complaint via Minneapolis Mobile ApplicationTraffic Sign ? New ??request for a new traffic sign at an intersection, or somewhere in??or near the public right of wayTraffic Sign ? Removal?? request for an existing traffic sign to be removedTraffic Sign ? Repair ??request for a sign in some level of reported disrepair to be repaired or restored to fully functional conditionTraffic Sign Repair ? Open311?? sign repair requested via Minneapolis Mobile ApplicationTraffic Signal ? New/Modification?? a request for a new traffic light at an intersectionTraffic Signal Timing Issue??
 a problem with a light that causes delays or spillover traffic in other
 intersections due to poorly or disproportionate time given to one right
 of way over another.Traffic Signal Trouble?? signal has lights out or is malfunctioning in some wayTraffic Signal Trouble ? Open311 ??traffic signal trouble reported via Minneapolis Mobile ApplicationTrees Down?? report about a tree or tree branch that is obstruction the public right of wayUnpermitted Work??
 report that indicates concern that a citizen or contractor is 
performing work on properties that requires a city of Minneapolis permitUrgent Pollution Complaint ??land, air, water pollution complaints that need immediate attentionWater Main Break ??Report about water leaking or gushing from a main water pipeWater Pollution Complaint?? can report concerns about suspected water pollutionWater Quality Issues ??reports about water having color, or fishy taste, or some other concern about the quality of water.Water Service Issue ??report about frozen water pipes, leaks, low pressure, no water, etc.Zoning Ordinance Complaint?? complaints about zoning regulations",2016-06-08T21:37:02.000Z,2017-06-01T17:31:07.790Z,http://opendata.minneapolismn.gov/datasets/87b0f1d3a75e44b8bbf17805c5130f2c_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/311_2011/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://opendata.minneapolismn.gov/datasets/87b0f1d3a75e44b8bbf17805c5130f2c_0
http://opendata.minneapolismn.gov/datasets/944cbb45a5fd4f6dbee2f7136f166184_0,Police Incidents 2013,For questions about this data please contact?PoliceOpenData@minneapolismn.govPolice Incidents for 2013,2017-03-06T14:42:41.000Z,2017-03-06T15:34:47.291Z,http://opendata.minneapolismn.gov/datasets/944cbb45a5fd4f6dbee2f7136f166184_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/PoliceOffense2013/FeatureServer/0,"-93.329,44.89,-93.2,45.051",http://opendata.minneapolismn.gov/datasets/944cbb45a5fd4f6dbee2f7136f166184_0
http://opendata.minneapolismn.gov/datasets/16aa315d624d4f988f2d0c49d0ea1be5_0,Activity Centers,"For questions about this data please contact?CPEDOpenData@minneapolismn.gov



?

Designated land use
features from the City's adopted comprehensive plan.",2017-03-17T14:25:54.000Z,2017-06-01T17:31:04.837Z,http://opendata.minneapolismn.gov/datasets/16aa315d624d4f988f2d0c49d0ea1be5_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Activity_Centers/FeatureServer/0,"-93.32902535322283,44.910718812062626,-93.2132016367271,45.01492409567304",http://opendata.minneapolismn.gov/datasets/16aa315d624d4f988f2d0c49d0ea1be5_0
http://opendata.minneapolismn.gov/datasets/0f8cd532bc9a48518d6e69d681a0ffb9_0,Community Corridors,For questions about this data please contact?CPEDOpenData@minneapolismn.govDesignated land use features from the City's Adopted comprehensive plan.,2014-12-10T14:41:38.000Z,2017-06-01T17:31:03.695Z,http://opendata.minneapolismn.gov/datasets/0f8cd532bc9a48518d6e69d681a0ffb9_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Community_Corridors/FeatureServer/0,"-93.32911431400622,44.889803287071096,-93.20333176078049,45.04393324382811",http://opendata.minneapolismn.gov/datasets/0f8cd532bc9a48518d6e69d681a0ffb9_0
http://opendata.minneapolismn.gov/datasets/6d08a19ce96b42ab844bcf08c70e5480_0,Police Incidents 2010,For questions about this data please contact?PoliceOpenData@minneapolismn.govPolice Incidents for 2010,2017-03-06T14:34:06.000Z,2017-06-01T17:31:13.345Z,http://opendata.minneapolismn.gov/datasets/6d08a19ce96b42ab844bcf08c70e5480_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/PoliceOffense2010/FeatureServer/0,"-93.329,44.89,-93.2,45.051",http://opendata.minneapolismn.gov/datasets/6d08a19ce96b42ab844bcf08c70e5480_0
http://opendata.minneapolismn.gov/datasets/ec8f6413eaf4406b97e8bef6fe32b7a7_0,Fire Districts,For questions about this data please contact?FireOpenData@minneapolismn.govMap service showing the Fire Districts for the Minneapolis Fire Department.,2015-04-14T14:29:42.000Z,2015-12-02T16:29:47.303Z,http://opendata.minneapolismn.gov/datasets/ec8f6413eaf4406b97e8bef6fe32b7a7_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/FireDistricts/FeatureServer/0,"-93.32910836426294,44.89015200184134,-93.18961599873607,45.051246260236795",http://opendata.minneapolismn.gov/datasets/ec8f6413eaf4406b97e8bef6fe32b7a7_0
http://opendata.minneapolismn.gov/datasets/78bf8e2d9b6849f1baf37b30bd83d9b7_0,Property Sales 2015,"The Minneapolis Assessor's Office tracks and records every real property transaction in the city. This is public information.?Attributes included in the dataset:?CRV - Certificate of Real Estate Value number. A unique identifier given to every certificate of real estate value.?PIN_TEXT - The 13-digit tax ID that uniquely identifies a taxable parcel. Stored as a text data type.?Sale_Date - The date of the sale.?InRTOStudy - Yes or no depending on whether the sale was used for the Minnesota Department of Revenue Sales Ratio Study. Only sales that are considered fair market value sales are included.?Neighborhood - The name of the neighborhood the property is in.?Ward - The number of the ward that the property is in.?Address - The street address of the property.?HouseNumber - The house or street number part of the property.HouseNumber2 - Any additional alphanumeric parts of the house number.PrefixDirection - Any direction indicator that comes before the street name.StreetName - The name of the street that the property is on.StreetType - The type of street (e.g. St, Ave)SuffixDirection - Any direction indicator that comes after the street name.?Grantee - The buyer name.?Grantor - The seller name.?Adjusted_Sale_Price - The sale price after accounting for seller-paid adjustments.?Gross_Sale_Price - The unadjusted sale price.?Downpayment - The dollar value of the initial downpayment?X - The X coordinate of the parcel centroid of the sold property?Y - The Y coordinate of the parcel centroid of the sold property The coordinates are expressed in the NAD 83 Hennepin County HARN coordinate system (WKID: 103734)",2016-08-12T15:22:41.000Z,2017-06-01T17:31:06.108Z,http://opendata.minneapolismn.gov/datasets/78bf8e2d9b6849f1baf37b30bd83d9b7_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Sales2015_2/FeatureServer/0,"-93.32874869313328,44.89098050805761,-93.19993068547747,45.05095961274192",http://opendata.minneapolismn.gov/datasets/78bf8e2d9b6849f1baf37b30bd83d9b7_0
http://opendata.minneapolismn.gov/datasets/657ebd6b1af14af296e1004ed02080d8_0,Police Incidents 2011,For questions about this data please contact?PoliceOpenData@minneapolismn.govPolice Incidents for 2011,2017-03-06T14:37:10.000Z,2017-03-06T15:01:11.686Z,http://opendata.minneapolismn.gov/datasets/657ebd6b1af14af296e1004ed02080d8_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/PoliceOffense2011/FeatureServer/0,"-93.329,44.89,-93.2,45.051",http://opendata.minneapolismn.gov/datasets/657ebd6b1af14af296e1004ed02080d8_0
