identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-michigan.opendata.arcgis.com/datasets/1323e887f5824467b7537969f098cd71_2,1939 Forest Cover Types - East Upper Peninsula,There is no description available.,2015-12-10T16:37:55.000Z,2017-01-31T21:53:58.234Z,http://gis-michigan.opendata.arcgis.com/datasets/1323e887f5824467b7537969f098cd71_2,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/open_1939ForestCoverTypes/FeatureServer/2,"-87.4006,45.5219,-83.4223,46.7946",http://gis-michigan.opendata.arcgis.com/datasets/1323e887f5824467b7537969f098cd71_2
http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12,Lake Michigan Shoreline,Lake Michigan ShorelineMore Metadata,2015-03-02T20:04:26.000Z,2015-06-11T18:24:29.000Z,http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/12,"-88.7468,41.4985,-84.9001,46.1051",http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12
http://gis-michigan.opendata.arcgis.com/datasets/15fed90dd41048ecbcc4504a83e3aac0_14,Aerial Survey 2004 Disease/Pest,There is no description available.,2016-07-07T16:58:51.000Z,2017-09-15T13:21:49.040Z,http://gis-michigan.opendata.arcgis.com/datasets/15fed90dd41048ecbcc4504a83e3aac0_14,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/14,"-88.662,44.042,-83.2305,46.7767",http://gis-michigan.opendata.arcgis.com/datasets/15fed90dd41048ecbcc4504a83e3aac0_14
http://gis-michigan.opendata.arcgis.com/datasets/0e78979ab94648b8b5e34759bbdc8cf2_5,Michigan Commercial Forest Act Lands,There is no description available.,2015-07-06T14:45:51.000Z,2017-09-27T18:06:30.000Z,http://gis-michigan.opendata.arcgis.com/datasets/0e78979ab94648b8b5e34759bbdc8cf2_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/5,"-90.4585,41.7212,-83.1857,47.491",http://gis-michigan.opendata.arcgis.com/datasets/0e78979ab94648b8b5e34759bbdc8cf2_5
http://gis-michigan.opendata.arcgis.com/datasets/2d27163e3819446bb3956474fda3fc11_26,River Valley Segments,Michigan River Valley SegmentsMore Metadata,2015-03-03T16:26:23.000Z,2017-09-09T13:53:52.919Z,http://gis-michigan.opendata.arcgis.com/datasets/2d27163e3819446bb3956474fda3fc11_26,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/26,"-90.4184,41.6786,-82.4193,47.4682",http://gis-michigan.opendata.arcgis.com/datasets/2d27163e3819446bb3956474fda3fc11_26
http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27,MDOT Maintenance Responsibility,"The Maintenance Responsibility layer is a delineation of which entities are responsible for maintenance on Michigan Trunkline routes. This information enables MDOT to track and compare the costs of doing business between the various parties responsible for maintenance. These parties include MDOT maintenance garages, county road commissions, cities, and bridge authorities. Please see the?MDOT Metadata Form?for additional information.?Update Cycle: Maintenance Responsibility is updated on an annual basis in conjunction with the Lane Mile Inventory (LMI) release and is based on the new framework version. Any additional changes to the data are provided by the data owner to DOGMA staff for inclusion that year.Coverage: This inventory is complete in its coverage of all State of Michigan trunkline roadways.Symbology: The symbology for the Maintenance Responsibility layer is categorized using the MAINTENANCE field and grouped by MDOT, County, and Local Agency services with different colors for each and a size 2 line.Contact: Margaret Kramer,?kramerm@michigan.gov",2015-06-03T19:02:32.000Z,2017-10-04T17:37:43.628Z,http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/27,"-90.2677,41.6417,-82.135,47.4964",http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27
http://gis-michigan.opendata.arcgis.com/datasets/0be25c05c8ca4763b7ea1031f8d99171_26,River Valley Segments,There is no description available.,2017-04-27T12:58:16.000Z,2017-04-27T12:58:44.000Z,http://gis-michigan.opendata.arcgis.com/datasets/0be25c05c8ca4763b7ea1031f8d99171_26,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/26,"-90.4184,41.6786,-82.4193,47.4682",http://gis-michigan.opendata.arcgis.com/datasets/0be25c05c8ca4763b7ea1031f8d99171_26
http://gis-michigan.opendata.arcgis.com/datasets/67a8ff23b5f54f15b7133b8c30981441_0,Counties (v17a),County boundaries?from the Michigan Geographic Framework (MGF) base map.More Metadata,2015-02-24T20:02:04.000Z,2017-08-28T16:42:51.000Z,http://gis-michigan.opendata.arcgis.com/datasets/67a8ff23b5f54f15b7133b8c30981441_0,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/0,"-90.4183,41.6961,-82.4135,48.2627",http://gis-michigan.opendata.arcgis.com/datasets/67a8ff23b5f54f15b7133b8c30981441_0
http://gis-michigan.opendata.arcgis.com/datasets/a0350f22dd194436bc1c0d0cfc3bfbe5_27,Aerial Survey 2009 Severity,There is no description available.,2016-07-07T17:05:09.000Z,2017-09-15T13:21:49.310Z,http://gis-michigan.opendata.arcgis.com/datasets/a0350f22dd194436bc1c0d0cfc3bfbe5_27,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/27,"-90.1635,41.679,-83.3611,48.1596",http://gis-michigan.opendata.arcgis.com/datasets/a0350f22dd194436bc1c0d0cfc3bfbe5_27
http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_0,2017 May Lease Auction Qtr-Qtr Section Grid,There is no description available.,2017-08-31T20:16:19.000Z,2017-08-31T20:16:31.415Z,http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/open_ogauction_2017_may/FeatureServer/0,"-85.46552963577646,42.10756080078093,-83.74947918468476,45.184826115585366",http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_0
http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3,Saginaw Bay (Lake Huron) Bathymetric Contours,Bathymetric Contours in Saginaw Bay (Lake Huron)More Metadata,2015-03-03T17:09:16.000Z,2015-06-12T12:12:30.000Z,http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/3,"-83.9621,43.5701,-83.0636,44.1723",http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3
http://gis-michigan.opendata.arcgis.com/datasets/06a6013391014810b03a1ccc9f519118_0,Michigan DNR Law Enforcement Management Units,There is no description available.,2015-05-07T11:49:12.000Z,2017-09-15T14:02:55.747Z,http://gis-michigan.opendata.arcgis.com/datasets/06a6013391014810b03a1ccc9f519118_0,http://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrLawEnforcement/MapServer/0,"-90.5552,41.6317,-82.0729,48.2631",http://gis-michigan.opendata.arcgis.com/datasets/06a6013391014810b03a1ccc9f519118_0
http://gis-michigan.opendata.arcgis.com/datasets/1b2324aab23944f58a62f19999a97d3d_6,Aerial Survey 2002 Severity,There is no description available.,2016-07-07T16:51:51.000Z,2017-09-15T13:21:51.863Z,http://gis-michigan.opendata.arcgis.com/datasets/1b2324aab23944f58a62f19999a97d3d_6,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/6,"-90.0891,41.9363,-82.441,48.0507",http://gis-michigan.opendata.arcgis.com/datasets/1b2324aab23944f58a62f19999a97d3d_6
http://gis-michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3,Wellhead Protection Areas,Wellhead protection areas represent the land surface area that contributes ground water to wells serving public water supply systems throughout Michigan. The areas define a landscape in which management strategies are employed to protect public water supply wells from ground water contamination.More Metadata,2015-03-03T19:45:58.000Z,2017-09-09T13:46:47.647Z,http://gis-michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/3,"-90.2297,41.7151,-82.5252,47.4676",http://gis-michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3
http://gis-michigan.opendata.arcgis.com/datasets/91d6080f34c2479ba9895768ce33b006_2,Michigan State Park Campgrounds,State Park Campgrounds are public campgrounds located within Michigan State Parks.Metadata,2015-05-13T11:54:23.000Z,2017-09-15T13:22:18.179Z,http://gis-michigan.opendata.arcgis.com/datasets/91d6080f34c2479ba9895768ce33b006_2,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrParksAndRecreation/MapServer/2,"-90.0317,41.7811,-82.2149,47.4813",http://gis-michigan.opendata.arcgis.com/datasets/91d6080f34c2479ba9895768ce33b006_2
http://gis-michigan.opendata.arcgis.com/datasets/00b84d92d52940a39b3dfe48fc48c530_25,Spruce Budworm 2003,Spruce Budworm 2003 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:28:50.000Z,2017-02-06T21:13:24.000Z,http://gis-michigan.opendata.arcgis.com/datasets/00b84d92d52940a39b3dfe48fc48c530_25,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/25,"-88.7774,41.7181,-82.2623,46.7765",http://gis-michigan.opendata.arcgis.com/datasets/00b84d92d52940a39b3dfe48fc48c530_25
http://gis-michigan.opendata.arcgis.com/datasets/8c470b26095b48e38f4272e6ba409052_10,Aerial Survey 2003 Pattern,There is no description available.,2016-07-07T16:56:00.000Z,2017-09-15T13:21:49.737Z,http://gis-michigan.opendata.arcgis.com/datasets/8c470b26095b48e38f4272e6ba409052_10,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/10,"-88.7774,41.7181,-82.2623,46.7765",http://gis-michigan.opendata.arcgis.com/datasets/8c470b26095b48e38f4272e6ba409052_10
http://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_0,2006 Traffic Volumes,"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and the?Commercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercial?vehicles.?Data DictionaryData Quality:?For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:?The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:?AADT  CAADT volumes are created and released every year.Contact:?Kevin Krzeminski",2015-10-15T17:19:06.000Z,2017-10-04T17:34:33.052Z,http://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_0,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_0
http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,Lake Erie Shoreline,Lake Erie ShorelineMore Metadata,2015-03-02T19:51:48.000Z,2017-10-04T17:50:38.041Z,http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/11,"-83.5803,41.1976,-78.7663,43.1033",http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11
http://gis-michigan.opendata.arcgis.com/datasets/749027dabec946559d225a04a93709c8_20,Watershed Boundary - 12 Digit,"This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S. Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from new watershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologicunit regions, all attributed by a standard nomenclature. Development of the Watershed Boundary Dataset started in the early 1990's and has progressed to the format and attributionthat is now being distributed. The delineation and attribution was done on a state basis using a variety of methods and source data. Each state HU dataset has gone through an extensive quality review process to ensure accuracy and complianceto the Federal Standard for Delineation of Hydrologic Unit Boundaries (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/water/watersheds/?cid=nrcs143_021630) before and during submittal to USDA-NRCS National Geospatial Management Center (NGMC).",2017-04-27T12:53:15.000Z,2017-04-27T12:53:57.000Z,http://gis-michigan.opendata.arcgis.com/datasets/749027dabec946559d225a04a93709c8_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/20,"-92.344,40.7594,-78.0471,49.0389",http://gis-michigan.opendata.arcgis.com/datasets/749027dabec946559d225a04a93709c8_20
http://gis-michigan.opendata.arcgis.com/datasets/73be4465aaf6476f981b3a6cf72465be_0,Michigan Circa 1800 Presettlement Vegetation Cover,The Circa 1800 Presettlement Vegetation Cover was digitized from the original General Land Office surveyor notes.,2015-12-10T16:36:30.000Z,2017-09-11T11:06:19.110Z,http://gis-michigan.opendata.arcgis.com/datasets/73be4465aaf6476f981b3a6cf72465be_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/open_PresettlementVegetation/FeatureServer/0,"-90.5551,41.6321,-82.0662,48.2616",http://gis-michigan.opendata.arcgis.com/datasets/73be4465aaf6476f981b3a6cf72465be_0
http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_1,2016 October Lease Auction Qtr-Qtr Grid of All Results,2016 Oil and Gas Lease Auction results,2017-02-24T16:15:12.000Z,2017-09-15T13:22:18.352Z,http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_1,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/open_ogauction_2016fall/FeatureServer/1,"-85.81459620483633,42.656002508835186,-83.3133419105569,45.310265516482865",http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_1
http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_1,2017 May Lease Auction Results Table,There is no description available.,2017-08-31T20:16:19.000Z,2017-09-22T18:15:54.000Z,http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_1,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/open_ogauction_2017_may/FeatureServer/1,"-85.46552963577646,42.10756080078093,-83.74947918468476,45.184826115585366",http://gis-michigan.opendata.arcgis.com/datasets/c7c2259a1a7d4bf4a7a9b34fc783e886_1
http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,Topo Quad Boundaries,"The 1:24,000-scale (24K) U.S. Geological Survey (USGS) quadrangle boundary data set contains the following information. (1) The approximate boundaries of the various 24K USGS quadrangles. (2) The names and indexing codes associated with each 24K quadrangle.Topo Quads MetadataMore Metadata",2015-03-03T18:42:06.000Z,2017-06-09T14:31:25.000Z,http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,http://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/4,"-90.6567,41.5576,-81.9912,48.3986",http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4
http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_2,2016 October Lease Auction Successful Bid results,2016 Oil and Gas Lease Auction results,2017-02-24T16:15:12.000Z,2017-02-24T21:57:06.141Z,http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_2,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/open_ogauction_2016fall/FeatureServer/2,"-85.81459620483633,42.656002508835186,-83.3133419105569,45.310265516482865",http://gis-michigan.opendata.arcgis.com/datasets/f2be472b90004d1ca9b9da685d2bf255_2
