identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-michigan.opendata.arcgis.com/datasets/085d873414dc49599f31adde7d0bf418_4,Michigan MIRIS Railroads,Railroads throughout the State of Michigan.  Data is edited through the forest compartment review process.  Original linework came from the MiRIS base maps which were digitized from the 1978 USGS Topographic Quadrangles.,2015-05-13T00:19:11.000Z,2017-10-24T14:36:01.888Z,http://gis-michigan.opendata.arcgis.com/datasets/085d873414dc49599f31adde7d0bf418_4,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/4,"-90.2462,41.6552,-82.1718,46.9209",http://gis-michigan.opendata.arcgis.com/datasets/085d873414dc49599f31adde7d0bf418_4
http://gis-michigan.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,Public Land Survey Sections,Survey sections and private claims for Michigan's Upper and Lower PeninsulasMore Metadata,2015-03-03T15:26:34.000Z,2017-11-02T19:00:41.455Z,http://gis-michigan.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/4,"-90.4261,41.6969,-82.4186,48.2683",http://gis-michigan.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4
http://gis-michigan.opendata.arcgis.com/datasets/537e94ba5031436d9fdb195fb0aafb24_0,Michigan DNR Managed Culverts,Point data for culvert locations. These culverts are managed through the DNR's forest inventory process.,2015-05-12T23:27:40.000Z,2017-10-24T15:01:00.370Z,http://gis-michigan.opendata.arcgis.com/datasets/537e94ba5031436d9fdb195fb0aafb24_0,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/0,"-88.4251,44.0861,-83.2416,47.2785",http://gis-michigan.opendata.arcgis.com/datasets/537e94ba5031436d9fdb195fb0aafb24_0
http://gis-michigan.opendata.arcgis.com/datasets/954d40c6b69c4914905f4ebc66551c55_2,Michigan DNR Managed Gates and Berms,Gates and Berms are managed through the DNR's forest inventory process.,2015-05-13T00:09:22.000Z,2017-10-24T15:09:29.158Z,http://gis-michigan.opendata.arcgis.com/datasets/954d40c6b69c4914905f4ebc66551c55_2,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/2,"-88.4866,41.7706,-82.2654,46.7656",http://gis-michigan.opendata.arcgis.com/datasets/954d40c6b69c4914905f4ebc66551c55_2
http://gis-michigan.opendata.arcgis.com/datasets/2fce7bdd294840d6b77ff9e57bfe768b_6,DNR Visitor Centers,Points are extracted from the Citrix Facilities database.  Locations are derived from the latitude/longitude coordinates entered into the Facilities database. ,2017-10-23T14:43:20.000Z,2017-10-23T14:49:10.000Z,http://gis-michigan.opendata.arcgis.com/datasets/2fce7bdd294840d6b77ff9e57bfe768b_6,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/6,"-90.0314,41.7492,-82.2007,47.489",http://gis-michigan.opendata.arcgis.com/datasets/2fce7bdd294840d6b77ff9e57bfe768b_6
http://gis-michigan.opendata.arcgis.com/datasets/853b1d5481a848b99c934cd4fa8deae0_3,Michigan DNR Managed Roads,"State Forest Roads are from the Michigan Geographic Framework dataset version 9 with state forest roads added through the Department of Natural Resources' (DNR) forest inventory process.  This dataset is not complete at this time, but will have new roads added as the DNR continues its forest inventory process.",2015-05-13T00:12:07.000Z,2017-11-02T12:28:59.526Z,http://gis-michigan.opendata.arcgis.com/datasets/853b1d5481a848b99c934cd4fa8deae0_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/3,"-89.4067,41.7911,-82.6069,47.4818",http://gis-michigan.opendata.arcgis.com/datasets/853b1d5481a848b99c934cd4fa8deae0_3
http://gis-michigan.opendata.arcgis.com/datasets/256cb84f97014fa1bf710d0d7b447939_8,DNR Customer Service Center,"?Feature service of DNR managed GIS data to be
published on the MI DNR Open Data site.",2017-10-25T15:17:29.000Z,2017-10-25T15:18:42.000Z,http://gis-michigan.opendata.arcgis.com/datasets/256cb84f97014fa1bf710d0d7b447939_8,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/8,"-90.0314,41.7492,-82.2007,47.489",http://gis-michigan.opendata.arcgis.com/datasets/256cb84f97014fa1bf710d0d7b447939_8
http://gis-michigan.opendata.arcgis.com/datasets/d2098c160e574a77b4c4f7ddf79c6241_7,DNR Agency Facilities,Points are extracted from the Citrix Facilities database.  Locations are derived from the latitude/longitude coordinates entered into the Facilities database. ,2017-10-23T14:46:13.000Z,2017-10-25T15:23:35.000Z,http://gis-michigan.opendata.arcgis.com/datasets/d2098c160e574a77b4c4f7ddf79c6241_7,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/7,"-90.0314,41.7492,-82.2007,47.489",http://gis-michigan.opendata.arcgis.com/datasets/d2098c160e574a77b4c4f7ddf79c6241_7
http://gis-michigan.opendata.arcgis.com/datasets/202be3addda34b3e9e0c22dc3291075e_1,Michigan DNR Managed Bridges,"Point data for bridge locations, includes vehicular and pedestrian bridges on road networks and recreational trails. These bridges are updated through the DNR's forest inventory and trails management processes.",2015-05-13T00:05:51.000Z,2017-10-24T14:41:58.883Z,http://gis-michigan.opendata.arcgis.com/datasets/202be3addda34b3e9e0c22dc3291075e_1,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/1,"-88.7128,42.6334,-82.2623,46.85",http://gis-michigan.opendata.arcgis.com/datasets/202be3addda34b3e9e0c22dc3291075e_1
http://gis-michigan.opendata.arcgis.com/datasets/b03f2251d9af4b4bb4c3419ac988091d_9,DNR Forest Management Unit Office,"Feature
service of DNR managed GIS data to be published on the MI DNR Open Data site.",2017-10-25T15:20:16.000Z,2017-10-25T15:21:31.000Z,http://gis-michigan.opendata.arcgis.com/datasets/b03f2251d9af4b4bb4c3419ac988091d_9,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/9,"-90.0314,41.7492,-82.2007,47.489",http://gis-michigan.opendata.arcgis.com/datasets/b03f2251d9af4b4bb4c3419ac988091d_9
