identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-michigan.opendata.arcgis.com/datasets/08c70007e32a40cca80c5c559bacbbcf_20,Ash Host Species 2015,Ash Host Species 2015 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2016-01-22T17:40:44.000Z,2018-08-31T19:42:35.421Z,http://gis-michigan.opendata.arcgis.com/datasets/08c70007e32a40cca80c5c559bacbbcf_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/20,"-90.2176,42.4499,-83.1354,48.0913",http://gis-michigan.opendata.arcgis.com/datasets/08c70007e32a40cca80c5c559bacbbcf_20
http://gis-michigan.opendata.arcgis.com/datasets/b8f9f66950304d39b74f65636dc61e36_7,Water Wells - Southwest Michigan,"NOTE: THIS DATA DOWNLOAD DOES NOT CONTAIN THE ASSOCIATED LITHOLOGY FILES. TO DOWNLOAD THIS DATA BY COUNTY WITH LITHOLOGY FILE?CLICK HERE.The data in these six files is derived from Wellogic, the Michigan Department of Environmental Quality statewide ground water database. ?The six files combined contain information on over 575,000 spatially verified water well records.? The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central ? Southeastern Lower Peninsula.? The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. ?Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic.? For wells drilled before 2000 the rate of inclusion is highly variable from one county to another.? Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.More Metadata",2018-07-12T13:28:24.000Z,2018-09-06T16:23:48.866Z,http://gis-michigan.opendata.arcgis.com/datasets/b8f9f66950304d39b74f65636dc61e36_7,https://gisago-qa.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/7,"-90.4077,41.656,-82.4156,48.1419",http://gis-michigan.opendata.arcgis.com/datasets/b8f9f66950304d39b74f65636dc61e36_7
http://gis-michigan.opendata.arcgis.com/datasets/0ff1565ef9c84f1aa2d18b40eb45b7b0_15,Ash Host Species 2010,Ash Host Species 2010 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:20:17.000Z,2018-08-31T19:47:35.466Z,http://gis-michigan.opendata.arcgis.com/datasets/0ff1565ef9c84f1aa2d18b40eb45b7b0_15,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/15,"-90.1146,42.3674,-82.7058,47.3987",http://gis-michigan.opendata.arcgis.com/datasets/0ff1565ef9c84f1aa2d18b40eb45b7b0_15
http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_1,2017 October Lease Auction Results Table,The 2017 October Oil and Gas Lease Auction data contains Quarter Quarter Sections related to the lease auction results data table.??,2018-03-20T17:50:25.000Z,2018-03-20T20:15:57.000Z,http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_1,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/pub_auction_results_2017Oct/FeatureServer/1,"-85.75890985295325,42.40558370138644,-83.92324148661514,44.15316691668827",http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_1
http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_0,2017 October Lease Auction Qtr-Qtr Section Grid,The 2017 October Oil and Gas Lease Auction data contains Quarter Quarter Sections related to the lease auction results data table.??,2018-03-20T17:50:25.000Z,2018-03-20T17:50:55.172Z,http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/pub_auction_results_2017Oct/FeatureServer/0,"-85.75890985295325,42.40558370138644,-83.92324148661514,44.15316691668827",http://gis-michigan.opendata.arcgis.com/datasets/f399a66559c64761942406d46a9b9099_0
http://gis-michigan.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0,Detroit People Mover Stations,Detroit People Mover Stations layer.,2018-10-02T15:44:23.000Z,2018-10-02T15:44:46.651Z,http://gis-michigan.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Detroit_People_Mover_Stations/FeatureServer/0,"-83.05267482645229,42.3252406742519,-83.03998705461706,42.33580436753613",http://gis-michigan.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0
http://gis-michigan.opendata.arcgis.com/datasets/c158a016a081423c99219682b44f74c8_0,Buildings Detroit,"SEMCOG?s buildings data layer represents the digital footprint of each building in Southeast Michigan, as of April 2010, along with associated attributes of each building. The building footprints were originally compiled using heads-up digitizing of 2010 aerial photography, and then attributed with additional information on their location and physical characteristics using a variety of sources.",2018-08-20T00:24:29.000Z,2018-08-20T00:31:20.217Z,http://gis-michigan.opendata.arcgis.com/datasets/c158a016a081423c99219682b44f74c8_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Buildings_Detroit/FeatureServer/0,"-83.28756076703351,42.255681418291985,-82.91098553477838,42.450105913403604",http://gis-michigan.opendata.arcgis.com/datasets/c158a016a081423c99219682b44f74c8_0
http://gis-michigan.opendata.arcgis.com/datasets/afbd514737e14ea3bdbdb428aeb2d904_0,Trout and Salmon Inland Stream Regulation Types (Layer 2 of 4) - Dual,"Features from the 1:24,000 scale National Hydrography Dataset (NHD) were used to depict inland stream trout and salmon dual regulations for 2018-2019. NHD features were altered to fit the extent of the regulations described in FO 200 and FO 210. Except for streams in the Michigan-Wisconsin Boundary Waters, any other inland stream not classified by type (1-4; GR, RA, BTRA, 10BKT) are still subject to trout and salmon fishing regulations as described on page 40 of the Michigan Fishing Guide. Please see pp. 24-25 for Michigan-Wisconsin Boundary Waters regulations. Note that the 4 inland stream trout and salmon regulation type GIS layers only show the streams classified by type; these layers do not include any streams that are not classified by type. The regulation type associated with a stream feature is indicated in the Reg_Type field and the designation status is indicated in the Designated field (with 0 as non-designated and 1 as designated). Each regulation type is associated with specific rules for the length of the fishing and possession seasons, minimum size limits, and daily possession limits. See FO 200 and the Michigan Fishing Guide for more details about the individual regulation types. Regulation types are as follows: 1 - Type 1 Trout Stream; 2 - Type 2 Trout Stream; 3 - Type 3 Trout Stream; 4 - Type 4 Trout Stream; 10BKT - 10 Brook Trout Stream; BTRA ? Brook Trout Restoration Area; RA - Research Area Trout Stream; GR - Gear Restricted Stream. Designation status is either designated or non-designated. Designated trout streams are inland streams containing a significant population of trout or salmon, as identified by the State of Michigan. Designated trout streams are protected from certain activities, see the Michigan Fishing Guide or FO 210 for more details. All Type 1, Type 2, GR, 10BKT, and BTRA are designated trout streams. Most Type 3 and Type 4 streams are designated trout streams. The main layer shows the majority of inland streams that are classified by type for trout and salmon regulations. However, streams with multiple types will have additional features in the BTRA lines, BTRA polygon or the dual regulation layers. To show all inland streams that are classified by type for trout and salmon regulations, all four layers must be displayed in the proper order using established symbology. The BTRA polygon layer should be displayed on the top of the other layers, with the dual regulations underneath the BTRA polygon, the main file underneath the dual regulations, and finally the BTRA lines on the bottom. When displaying with inland trout and salmon lakes Types A-F, all four of the stream layers should be displayed underneath the Types A-F layer. For the main regulation type layer, set the drawing order so that specific regulations type display on top of others. Do this by going to Properties  Symbology  Advanced  Symbol levels and using the following order, from top to bottom: GR, RA, 4_0, 4_1, 3_0, 3_1, 2_1, 10BKT, 1_1. GIS layer was last updated 04/01/2011.",2018-04-19T14:36:30.000Z,2018-08-31T19:28:07.765Z,http://gis-michigan.opendata.arcgis.com/datasets/afbd514737e14ea3bdbdb428aeb2d904_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/dnrFisheriesTroutRegs/FeatureServer/0,"-88.885809,42.573353,-83.541649,47.10601",http://gis-michigan.opendata.arcgis.com/datasets/afbd514737e14ea3bdbdb428aeb2d904_0
http://gis-michigan.opendata.arcgis.com/datasets/352ed2b1c7464dcaa6987c256ef0afc8_0,Wildfire  Prescribed Burn Locations (2017),Wildfire and prescribed burn locations that occurred in 2017.? These points reference burned areas larger than 10 acres and are located on state land.,2018-04-26T19:20:28.000Z,2018-04-27T20:42:51.728Z,http://gis-michigan.opendata.arcgis.com/datasets/352ed2b1c7464dcaa6987c256ef0afc8_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/pub_MiMorelsApp/FeatureServer/0,"-90.0362,41.8065,-82.4876,47.4743",http://gis-michigan.opendata.arcgis.com/datasets/352ed2b1c7464dcaa6987c256ef0afc8_0
http://gis-michigan.opendata.arcgis.com/datasets/51e69017a74a446491a8ee4905a27264_4,Water Wells - Upper Peninsula,"NOTE: THIS DATA DOWNLOAD DOES NOT CONTAIN THE ASSOCIATED LITHOLOGY FILES. TO DOWNLOAD THIS DATA BY COUNTY WITH LITHOLOGY FILE?CLICK HERE.The data in these six files is derived from Wellogic, the Michigan Department of Environmental Quality statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records.? The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central ? Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. ?Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.More Metadata",2018-07-12T14:03:45.000Z,2018-09-06T16:24:29.177Z,http://gis-michigan.opendata.arcgis.com/datasets/51e69017a74a446491a8ee4905a27264_4,https://gisago-qa.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/4,"-90.4077,41.656,-82.4156,48.1419",http://gis-michigan.opendata.arcgis.com/datasets/51e69017a74a446491a8ee4905a27264_4
