"schema","uuid","id","title","abstract","datasetURI","category","metadatacreationdate","date-publication","date-revision","temporal_extent_start","temporal_extent_end","keyword","geoBox","LegalConstraints","link","format","contact-pointOfContact","keyword-1","Constraints"
"iso19139","1990a4e5-75e4-4b3f-a273-00ab84aa49b0","102090","Watershed Boundary - 8 Digit: Michigan, 2015","This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S.Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from newwatershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed bya standard nomenclature.;;","","dataset","2016-08-23T10:08:33","2015-10-11T13:26:46","2015-10-11T15:08:25","2015","2015","Michigan, United States###Hydrology","-92.3439###-78.0471###40.7593###49.0389","public","https://gis.michigan.opendata.arcgis.com/datasets/04966a515fd3413c8b9ab36376466748_21.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/21###https://gis.michigan.opendata.arcgis.com/datasets/04966a515fd3413c8b9ab36376466748_21","ESRI Shapefile","","","",
"iso19139","19619f79-971f-431f-bafb-a5540d26e4b7","102091","Lake Polygons: Michigan, 2015","Michigan Lake Polygons","","dataset","2016-08-23T10:08:36","2015-02-28T20:09:09","2016-07-10T18:53:53","2015","2015","Michigan, United States###Hydrology","-90.3753###-82.4603###41.6986###48.1594","public","https://gis.michigan.opendata.arcgis.com/datasets/e38a9564839040f2a34272af79084168_23.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/23###https://gis.michigan.opendata.arcgis.com/datasets/e38a9564839040f2a34272af79084168_23","ESRI Shapefile","","","",
"iso19139","05d641e9-3cc9-4beb-9dc5-06e24e209741","102111","Lake Erie Bathymetric Contours: Michigan, 2015","Lake Erie Bathymetric Contours","","dataset","2016-08-23T10:23:42","2015-02-28T19:34:59","2016-07-10T18:53:55","2015","2015","Michigan, United States###Hydrology","-83.5803###-78.7663###41.1976###43.1035","public","https://gis.michigan.opendata.arcgis.com/datasets/dc1289644494437a9f34940269c971b5_0.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/0###https://gis.michigan.opendata.arcgis.com/datasets/dc1289644494437a9f34940269c971b5_0","ESRI Shapefile","","","",
"iso19139","0d84958b-88b1-4533-8974-a8a1aa3a3e6c","102102","Block Groups: Michigan, 2010","2010 Block Groupsfrom the Michigan Geographic Framework (MGF) base map.Block groups (BGs) are combinations of census blocks within a census tract or BNA that share the same first digit in their identifying numbers. For example, BG 3 within a particular census tract comprises all blocks numbered between 301 and 399. A census tract or BNA contains a maximum of nine BGs. BG2010 consists of the 6 digit tract number followed by the 1 digit block group number.","","dataset","2016-09-09T09:48:40","2015-02-25T20:10:42","2015-06-09T17:52:27","2010","2010","Michigan, United States###Demographics###Census","-90.5567###-82.0649###41.6321###48.2841","public","https://gis.michigan.opendata.arcgis.com/datasets/b3853ce50a754bc99e4b04ce405bbc31_14.zip###https://gis.michigan.opendata.arcgis.com/datasets/b3853ce50a754bc99e4b04ce405bbc31_14.kml###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/14###https://gis.michigan.opendata.arcgis.com/datasets/b3853ce50a754bc99e4b04ce405bbc31_14","ESRI Shapefile","","","",
"iso19139","193d3a52-791c-47d5-9cd5-7e5448771a9c","102092","Michigan DNR Designated Equestrian Trails: Michigan, 2015","Designated Equestrian Trails are the trails specifically designated for Horseback Riding. Other uses may exist including, but not limited to motorized vehicles, hiking pathways, bicycle trails, etc. The trails are located on State, Federal, County, Local, and Private Lands.","","dataset","2016-07-18T15:17:48","2015-05-23T13:02:48.000Z","2016-07-12T18:55:09.704Z","2015","2015","Michigan, United States","-90.5436###-82.0796###41.6457###48.1903","public","https://gis.michigan.opendata.arcgis.com/datasets/3d861d05460f4e87aca7b5375f3fe26c_3.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrTrails/MapServer/3###https://gis.michigan.opendata.arcgis.com/datasets/3d861d05460f4e87aca7b5375f3fe26c_3","ESRI Shapefile","","","",
"iso19139","1736a760-0bdb-435b-92ec-739e8e6a4160","102094","Spruce Budworm: Michigan, 2001","Spruce Budworm 2001 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","","dataset","2016-07-18T15:17:50","2015-12-09T16:27:58","2016-07-11T18:54:44","2001","2001","Forests###Trees###Michigan, United States","-90.5379###-83.1516###42.2861###48.1735","public","https://gis.michigan.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_23.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/23###https://gis.michigan.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_23","ESRI Shapefile","","","",
"iso19139","0ad4d87d-9ebf-44f5-b3ef-f4f5ae0f9f67","102105","People Mover Route, Detroit: Michigan, 2014","This dataset covers Michigan Forest Stand treatments.","","dataset","2016-07-18T15:17:54","2014-02-21T05:06:24.000Z","2015-05-01T15:16:35.229Z","2014","2014","Michigan, United States###Light Rail","-83.05295163169771###-83.03982938336465###42.32463525473611###42.336294966960104","public","https://gis.michigan.opendata.arcgis.com/datasets/34e492b59a35475cb2d4b67a9bc7f837_0.zip###https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/PeopleMover_Route/FeatureServer/0###https://gis.michigan.opendata.arcgis.com/datasets/34e492b59a35475cb2d4b67a9bc7f837_0","ESRI Shapefile","","","",
"iso19139","1b03da28-3313-47cd-9457-432f0dbcde55","102088","Traffic Volumes: Michigan, 2007","The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and theCommercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercialvehicles.Data DictionaryData Quality:For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:AADT & CAADT volumes are created and released every year.Contact:Kevin Krzeminski","","dataset","2016-07-18T15:18:00","2015-10-14T17:19:06","2016-07-12T11:14:11","2007","2007","Michigan, United States","-88.4579###-82.2626###41.7008###47.2141","public","https://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_1.zip###https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/1###https://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_1","ESRI Shapefile","","","",
"iso19139","077cab0e-ccbd-4e79-825d-96266ae433c1","102109","Spruce Budworm: Michigan, 2011","Spruce Budworm 2011 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","","dataset","2016-07-18T15:18:02","2015-12-09T16:32:37","2016-07-11T18:55:52","2011","2011","Forests###Trees###Michigan, United States","-90.0717###-83.3599###43.4747###46.9006","public","https://gis.michigan.opendata.arcgis.com/datasets/99dfcdf0b8e9456bb2e8fd08bff6218e_33.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/33###https://gis.michigan.opendata.arcgis.com/datasets/99dfcdf0b8e9456bb2e8fd08bff6218e_33","ESRI Shapefile","","","",
"iso19139","072f0295-dc64-4f66-adfa-2d0378252627","102110","Federal Land Open to Hunting: Michigan, 2015","Federal Lands Open to Hunting includes lands managed by the US Forest Service, National Park Service, and the US Fish and Wildlife Service that are open to public hunting. Please double check with the appropriate federal agency for specific rules and regulations.","","dataset","2016-07-18T15:18:08","2015-12-10T15:46:35.000Z","2016-07-12T18:55:00.796Z","2015","2015","Michigan, United States###Hunting","-90.367###-82.8147###41.7112###48.2615","public","https://gis.michigan.opendata.arcgis.com/datasets/9c5e71bc214e42939476817ffda4c509_7.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrHuntableLands/MapServer/7###https://gis.michigan.opendata.arcgis.com/datasets/9c5e71bc214e42939476817ffda4c509_7","ESRI Shapefile","","","",
"iso19139","0c84df46-f102-4d7a-8b62-796f0492f986","102104","Spruce Budworm: Michigan, 2007","Spruce Budworm 2007 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","","dataset","2016-07-18T15:18:09","2015-12-09T16:30:53","2016-07-11T18:55:52","2007","2007","Forests###Trees###Michigan, United States","-90.1571###-83.2295###42.3503###48.1063","public","https://gis.michigan.opendata.arcgis.com/datasets/d617c3bceedb4521b5f500a863ae3712_29.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/29###https://gis.michigan.opendata.arcgis.com/datasets/d617c3bceedb4521b5f500a863ae3712_29","ESRI Shapefile","","","",
"iso19139","018a5749-77ae-43ef-961f-79f7f3ce1a7f","102113","MDOT Five Year Transportation Program (5YTP) - Roads: Michigan, 2015","The Five-Year Transportation Program (5YTP) is an annual document listing road and bridge projects planned for the next five years. A snapshot of 5YTP projects is produced annually and presented for approval to the State Transportation Commission. The 5YTP snapshot is later archived and the document is posted on MDOTs Web site. A Web-based interactive state map is available which plots individual projects for the public to easily view. Please see theMDOT Metadata Formfor additional information or visit the5YTP Website.Update Cycle:The Five Year Transportation Program (5YTP) layer was last updated in January 2016 and is updated on an annual basis.;Data Quality:The GIS layer is generated from MDOTs MAP database 5YTP archive snapshot.;Coverage:This layer covers all projects in the current 5YTP snapshot.;Contact:Eric Mullen,mullene@michigan.gov","","dataset","2016-07-18T15:18:09","2015-06-04T12:31:22.000Z","2016-07-12T18:56:01.021Z","2015","2015","Michigan, United States","-91.4358###-81.6055###41.4359###48.522","public","https://gis.michigan.opendata.arcgis.com/datasets/ef46fd744ebf46cd966780ce1913e4db_37.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/37###https://gis.michigan.opendata.arcgis.com/datasets/ef46fd744ebf46cd966780ce1913e4db_37","ESRI Shapefile","","","",
"iso19139","07ae8262-7c20-4a14-abd6-c1b413dd6f0f","102108","Michigan Forest Stewardship Plan Boundaries: Michigan, 2015","The Forest Stewarship program is a cooperative effort between the US Forest Service and the Michigan DNR. The Forest Stewardship Plan Boundaries are digitized from the legal descriptions provided in the plan documents. Only those private individuals who wish to participate in the Forest Stewardship program and have active Forest Stewardship plans are included in this data.","","dataset","2016-07-18T15:18:18","2015-05-12T02:22:45","2016-07-11T18:55:33","2015","2015","Forests###Trees###Michigan, United States","-90.4427###-82.2441###41.638###47.4921","public","https://gis.michigan.opendata.arcgis.com/datasets/833a800ebcb548b194e9b40362a396f1_6.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/6###https://gis.michigan.opendata.arcgis.com/datasets/833a800ebcb548b194e9b40362a396f1_6","ESRI Shapefile","","","",
"iso19139","155b131e-a058-4574-a58a-3983f28a1c69","102096","Michigan DNR Easement Status: Michigan, 2015","Easements DNR Parcels data are the DNR Parcels layer with the PAR_ID field linked to the LOTS database. Updates to the LOTS tables are completed nightly.","","dataset","2016-07-18T15:18:19","2015-05-12T11:51:43","2016-07-11T18:56:03","2015","2015","Michigan, United States","-90.0345###-82.211###41.7352###47.4908","public","https://gis.michigan.opendata.arcgis.com/datasets/058dbc35024d495ab566246400ced195_4.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrMinerals/MapServer/4###https://gis.michigan.opendata.arcgis.com/datasets/058dbc35024d495ab566246400ced195_4","ESRI Shapefile","","","",
