identifier,title,description,issued,modified,landingPage,webService,spatial
http://data-southbend.opendata.arcgis.com/datasets/a0e20346fb234767bb21ae9204444291_0,Social Services St Joseph County,"Partial listing of social services available in St. Joseph County.?Includes organization type, location, contact information, and hours of operation, if known.?This is not a comprehensive list. For additional listings, visit the United Way website at http://www.myuw211.org/",2016-05-27T00:39:35.000Z,2017-07-28T17:17:52.000Z,http://data-southbend.opendata.arcgis.com/datasets/a0e20346fb234767bb21ae9204444291_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Social_Services_St_Joseph_County/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/a0e20346fb234767bb21ae9204444291_0
http://data-southbend.opendata.arcgis.com/datasets/61a71f9d839c47faa070c7ca55986826_0,Employee Compensation (2012-2014),Report of Public Employment and Compensation for years 2012-2014.,2016-05-27T00:11:26.000Z,2017-07-28T17:13:34.000Z,http://data-southbend.opendata.arcgis.com/datasets/61a71f9d839c47faa070c7ca55986826_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Employee_Compensation_City_of_South_Bend/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/61a71f9d839c47faa070c7ca55986826_0
http://data-southbend.opendata.arcgis.com/datasets/7ca67e0d3dcd4b159a7d8c9fd54316a1_0,Line Item Budget,There is no description available.,2016-08-29T20:46:40.000Z,2017-07-28T17:16:24.000Z,http://data-southbend.opendata.arcgis.com/datasets/7ca67e0d3dcd4b159a7d8c9fd54316a1_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Line_Item_Budget/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/7ca67e0d3dcd4b159a7d8c9fd54316a1_0
http://data-southbend.opendata.arcgis.com/datasets/be2343eb281f4b6cb214750e1922aa9d_1,Free Public Wireless Zones,The geographic boundaries of the Free Public Wifi zones.?,2016-06-17T21:41:13.000Z,2017-06-08T18:59:58.300Z,http://data-southbend.opendata.arcgis.com/datasets/be2343eb281f4b6cb214750e1922aa9d_1,https://gis.southbendin.gov/arcgis/rest/services/LandRecords/PublicEssentials/MapServer/1,"-86.3612,41.5969,-86.1911,41.7609",http://data-southbend.opendata.arcgis.com/datasets/be2343eb281f4b6cb214750e1922aa9d_1
http://data-southbend.opendata.arcgis.com/datasets/013a929995734a89b0f71dc115235b45_0,Financial Assistance to Non Governmental Entities,There is no description available.,2016-05-27T00:15:06.000Z,2017-07-28T17:14:00.000Z,http://data-southbend.opendata.arcgis.com/datasets/013a929995734a89b0f71dc115235b45_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Financial_Assistance_to_Non_Governmental_Entities/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/013a929995734a89b0f71dc115235b45_0
http://data-southbend.opendata.arcgis.com/datasets/e1bf4a12105740c7b8db76125c783baa_0,Detailed Receipts,There is no description available.,2016-05-27T00:08:41.000Z,2017-07-28T17:13:26.000Z,http://data-southbend.opendata.arcgis.com/datasets/e1bf4a12105740c7b8db76125c783baa_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Detailed_Receipts/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/e1bf4a12105740c7b8db76125c783baa_0
http://data-southbend.opendata.arcgis.com/datasets/f649d91c2d5246a785c4b3fd9bb4f621_0,Green Tour Database,There is no description available.,2016-05-27T00:33:14.000Z,2017-07-28T16:39:21.000Z,http://data-southbend.opendata.arcgis.com/datasets/f649d91c2d5246a785c4b3fd9bb4f621_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Green_Tour_Database/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/f649d91c2d5246a785c4b3fd9bb4f621_0
http://data-southbend.opendata.arcgis.com/datasets/348ba12be0744e368ca85d54d55ff642_0,Fiscal Dashboard Property Tax Revenue All Funds Cash Basis,There is no description available.,2017-09-06T04:05:02.000Z,2017-09-06T04:05:16.000Z,http://data-southbend.opendata.arcgis.com/datasets/348ba12be0744e368ca85d54d55ff642_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/Fiscal_Dashboard_Property_Tax_Revenue_All_Funds_Cash_Basis/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-southbend.opendata.arcgis.com/datasets/348ba12be0744e368ca85d54d55ff642_0
http://data-southbend.opendata.arcgis.com/datasets/dae5b6557d3740b291378f528abfe4a0_0,South Bend Businesses Open to All Customers,"These businesses are committed to a welcoming environment for everyone regardless of race, religion, or sexual orientation.All submissions are subject to review prior to being published. View the Businesses Open to All Customers listing: https://data.southbendin.gov/Business/South-Bend-Businesses-Open-to-All-Customers/mqet-2q6r",2016-05-27T00:41:30.000Z,2017-07-31T15:37:37.868Z,http://data-southbend.opendata.arcgis.com/datasets/dae5b6557d3740b291378f528abfe4a0_0,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/South_Bend_Businesses_Open_to_All_Customers/FeatureServer/0,"-86.329,41.604,-86.179,41.754",http://data-southbend.opendata.arcgis.com/datasets/dae5b6557d3740b291378f528abfe4a0_0
http://data-southbend.opendata.arcgis.com/datasets/f21d9d69303346ab827f74bfcfb14b28_0,Abandoned Property Parcels,A link to a color-descriptive version of this data can be found at?http://southbend.maps.arcgis.com/home/webmap/viewer.html?webmap=c37fbb8adc0e4f689c21fc9211c75c1e,2017-01-05T18:22:01.000Z,2017-01-05T18:38:38.000Z,http://data-southbend.opendata.arcgis.com/datasets/f21d9d69303346ab827f74bfcfb14b28_0,https://gis.southbendin.gov/arcgis/rest/services/OpenData/VacantAbandoned/MapServer/0,"-86.3612,41.5969,-86.1912,41.7609",http://data-southbend.opendata.arcgis.com/datasets/f21d9d69303346ab827f74bfcfb14b28_0
