identifier,title,description,issued,modified,landingPage,webService,spatial
http://maps-semcog.opendata.arcgis.com/datasets/eaa8c4defb4d414b9bf196a4a9995c64_0,County Boundaries,"County polygons extracted from version 15 of the Michigan Geographic Framework, but modified by SEMCOG to extend only to the region's shoreline.",2015-09-24T12:13:17.000Z,2017-07-07T18:34:20.000Z,http://maps-semcog.opendata.arcgis.com/datasets/eaa8c4defb4d414b9bf196a4a9995c64_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/CountyBoundary/MapServer/0,"-84.16166,41.708942,-82.412299,43.183854",http://maps-semcog.opendata.arcgis.com/datasets/eaa8c4defb4d414b9bf196a4a9995c64_0
http://maps-semcog.opendata.arcgis.com/datasets/83fc70460f324806bbb00b1bde17f5c1_0,Bicycle Pedestrian Facilities,"This data, built off of Michigan Geographic Framework-Version 12b, uses the road network to identify roadways with existing or planned bicycle and/or pedestrian facilities in Southeast Michigan. This data also adds new line work to the Michigan Geographic Framework to help identify shared use pathways that are not within road right-of-way (commonly referred to as trails).Furthermore it identifies existing and planned bike routes (local, county, regional, state, or national) and bicycle friendly roadways which may not have bicycle/pedestrian facilities or official hike-bike routes; but, due to a combination of low traffic volumes and low posted speed, are none-the-less more comfortable to travel on.",2017-01-06T13:08:09.000Z,2017-07-07T18:33:23.000Z,http://maps-semcog.opendata.arcgis.com/datasets/83fc70460f324806bbb00b1bde17f5c1_0,http://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Bicycle_Pedestrian_Facilities/MapServer/0,"-84.1617,41.7089,-82.4123,43.1837",http://maps-semcog.opendata.arcgis.com/datasets/83fc70460f324806bbb00b1bde17f5c1_0
http://maps-semcog.opendata.arcgis.com/datasets/3d0b4b4fe99b43dbb9cf1ea4e1e42539_0,Buildings Detroit,"SEMCOG?s buildings data layer represents the digital footprint of each building in Southeast Michigan, as of April 2015, along with associated attributes of each building. The building footprints were originally compiled using heads-up digitizing of 2010 aerial photography, and then attributed with additional information on their location and physical characteristics using a variety of sources.",2016-09-26T17:26:44.000Z,2017-07-07T18:33:28.000Z,http://maps-semcog.opendata.arcgis.com/datasets/3d0b4b4fe99b43dbb9cf1ea4e1e42539_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Buildings_Detroit/MapServer/0,"-83.2908,42.2528,-82.9102,42.4539",http://maps-semcog.opendata.arcgis.com/datasets/3d0b4b4fe99b43dbb9cf1ea4e1e42539_0
http://maps-semcog.opendata.arcgis.com/datasets/43dee8a33afc47fabed5dd0d2a41e59c_0,Soils Livingston,"This is the most current soil data by county, for Southeast Michigan.",2016-11-30T15:22:42.000Z,2017-09-13T15:08:48.969Z,http://maps-semcog.opendata.arcgis.com/datasets/43dee8a33afc47fabed5dd0d2a41e59c_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Soils_Livingston/MapServer/0,"-84.1594,42.4223,-83.6608,42.7852",http://maps-semcog.opendata.arcgis.com/datasets/43dee8a33afc47fabed5dd0d2a41e59c_0
http://maps-semcog.opendata.arcgis.com/datasets/f7c1006ffdd74601a68e498f1851d782_0,UrbanArea,All areas in Southeast Michigan categorized as urban by the Census Bureau following the 2010 Census. This includes both urbanized areas and urban clusters.,2017-01-04T14:56:55.000Z,2017-09-13T14:59:20.667Z,http://maps-semcog.opendata.arcgis.com/datasets/f7c1006ffdd74601a68e498f1851d782_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/UrbanArea/MapServer/0,"-84.1476,41.7109,-82.4126,43.1838",http://maps-semcog.opendata.arcgis.com/datasets/f7c1006ffdd74601a68e498f1851d782_0
http://maps-semcog.opendata.arcgis.com/datasets/57905615fb2c4ae6aa99738ffd86eb11_0,Soils Washtenaw,"This is the most current soil data by county, for Southeast Michigan.",2016-11-30T16:09:09.000Z,2017-07-07T18:35:41.000Z,http://maps-semcog.opendata.arcgis.com/datasets/57905615fb2c4ae6aa99738ffd86eb11_0,http://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Soils_Washtenaw/MapServer/0,"-84.1344,42.0688,-83.5348,42.4379",http://maps-semcog.opendata.arcgis.com/datasets/57905615fb2c4ae6aa99738ffd86eb11_0
http://maps-semcog.opendata.arcgis.com/datasets/423f8e0cd726488abaf1f329f834b55d_0,Truck Routes,"This feature class contains Michigan Geographic Framework v.10 roads that are designed for heavy truck travel in Southeast Michigan. These roads are either all-season (higher weight limits during seasonal load limit periods) State roads, all-season County roads, or intermodal connectors. This feature class does not contain city roads. This feature class does not contain roads with heavy truck traffic that have seasonal load limits.",2015-10-05T19:01:29.000Z,2017-09-13T14:56:01.617Z,http://maps-semcog.opendata.arcgis.com/datasets/423f8e0cd726488abaf1f329f834b55d_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/TruckRoutes/MapServer/0,"-84.152493,41.709774,-82.418153,43.183703",http://maps-semcog.opendata.arcgis.com/datasets/423f8e0cd726488abaf1f329f834b55d_0
http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0,2000 Census Tracts,2000 Census Tracts,2015-09-29T13:15:09.000Z,2017-07-07T17:59:53.000Z,http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/2000CensusTracts/MapServer/0,"-84.161655,41.70893,-82.412548,43.183855",http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0
http://maps-semcog.opendata.arcgis.com/datasets/ea6bf6cdcbb248679f533bb6bc0afb08_0,Roads,Roads: Road features extracted from version 15 of the Michigan Geographic Framework.,2015-10-05T19:00:51.000Z,2017-07-07T18:35:08.000Z,http://maps-semcog.opendata.arcgis.com/datasets/ea6bf6cdcbb248679f533bb6bc0afb08_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Roads/MapServer/0,"-84.16166,41.708963,-82.413547,43.18372",http://maps-semcog.opendata.arcgis.com/datasets/ea6bf6cdcbb248679f533bb6bc0afb08_0
http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0,2000 Traffic Analysis Zones,The 2000 Traffic Analysis Zones (TAZs) for Southeast Michigan were created using the Michigan Geographic Framework (MGF) Census geography.,2015-10-05T18:55:01.000Z,2017-07-07T18:00:29.000Z,http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/2000TrafficAnalysisZones/MapServer/0,"-84.161655,41.70893,-82.412549,43.183855",http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0
