identifier,title,description,keywords,issued,modified,publisherName,fn,hasEmail,accessLevel,title1,format1,mediaType1,accessURL1,title2,format2,mediaType2,accessURL2,title3,format3,mediaType3,downloadURL3,title4,format4,mediaType4,downloadURL4,title5,format5,mediaType5,downloadURL5,title6,format6,mediaType6,downloadURL6,landingPage,webService,license,spatial,theme
http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1,Solid Waste Sites -Historic (open data),"<div>**Change URL to https when loading layer to web map.<br /></div><div><br /></div><div>This dataset contains locations of historical waste disposal sites in Ohio based on solid waste file archives at the Ohio Environmental Protection Agency. The sites are primarily solid waste disposal sites, including municipal solid waste, industrial solid waste, residual solid waste, and construction and demolition debris. Some sites with hazardous waste are also included. The types of sites may include licensed landfills, landfills that existed prior to state regulatory programs, exempt waste sites, unauthorized dumps, open dumps, and disposal lagoons. Some sites in the database may have been partially or fully remediated and may no longer contain significant amounts of waste. </div><div><br /></div><div>The data are incomplete and are still in development.  New locations will be added and existing locations may be corrected.  This file does not include all sites regulated by Ohio EPA under other regulatory programs (e.g. there are many sites regulated under programs such as hazardous waste sites, surface water, &quot;brownfields&quot;, etc. that are not included in this dataset). </div><div><br /></div><div>Data were developed from Ohio EPA archival files. The accuracy of the locations depends on the available information. Where possible, points were located on the actual waste unit, or within the tax parcel boundary where the waste was said to be located. Some points were located using coordinates or descriptive text in field notes, inspection reports, etc.  In some cases, the best available information is the nearest intersection or an address. 
When possible the data were compared against local tax maps to improve the accuracy of the locations. Additional sources of information included but were not limited to newspaper archives, solid waste district plans, pollution inventories, historical societies, and local governments. </div><div><br /></div><div>The information used in this dataset come from files that date back to the late 1960s and may not represent the current site conditions. The data includes only that known to Ohio EPA's solid waste regulatory program and may not include sites that were under past authority of other regulatory agencies such as local health departments. </div><div><br /></div>","['land use', 'permitted activities']",2017-03-17T14:22:45.000Z,2018-05-18T14:54:44.330Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1,Esri Rest API,Esri REST,application/json,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DMWM/MapServer/1,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DMWM/MapServer/1,https://hub.arcgis.com/api/v2/datasets/68860bbc5a2c4ed2b74cdb6c68c219b1_1/license,"-85.0,37.0,-80.0,45.0",['geospatial']
http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0,Drinking Water Advisories,Map Service showing the location and details of drinking water advisories at Ohio public water systems.,"['public drinking water', 'Drinking Water', 'PWS']",2018-01-02T13:38:57.000Z,2018-05-18T14:54:24.052Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0,Esri Rest API,Esri REST,application/json,https://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_advisories_public/MapServer/0,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_0,https://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_advisories_public/MapServer/0,https://hub.arcgis.com/api/v2/datasets/90ff16c843f94c0985f12c2839d3c082_0/license,"-85.0,38.0,-80.0,43.0",['geospatial']
http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3,Biosolids Application Fields (open data),"<div>**Change URL to https when loading layer to web map. </div>Fields approved for biosolids application.
Ohio EPA's biosolids program regulates the disposal and/or beneficial use of sewage sludge and biosolids generated by non-industrial wastewater treatment plants in Ohio, as well as any sewage sludge or biosolids brought into Ohio by out-of-state, non-industrial wastewater treatment plants. The goals of the biosolids program are to protect public health and the environment, encourage the beneficial reuse of biosolids and minimize the creation of nuisance odors.","['surface water', 'land use', 'permitted activities']",2017-06-29T15:41:24.000Z,2018-05-18T14:54:14.894Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3,Esri Rest API,Esri REST,application/json,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DSW/MapServer/3,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DSW/MapServer/3,https://hub.arcgis.com/api/v2/datasets/6a9c5c09abf642c8b8cb35c9387338cb_3/license,"-84.8161,38.4195,-80.519,41.9283",['geospatial']
http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_1,Advisory Notes Public,Map Service showing the location and details of drinking water advisories at Ohio public water systems.,"['public drinking water', 'Drinking Water', 'PWS']",2018-01-02T13:38:57.000Z,2018-05-18T14:53:54.217Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_1,Esri Rest API,Esri REST,application/json,https://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_advisories_public/MapServer/1,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_1.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_1.csv,http://ogrip-geohio.opendata.arcgis.com/datasets/90ff16c843f94c0985f12c2839d3c082_1,https://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_advisories_public/MapServer/1,https://hub.arcgis.com/api/v2/datasets/90ff16c843f94c0985f12c2839d3c082_1/license,"-85.0,38.0,-80.0,43.0"
http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2,Inland Source Water Protection Areas (open data),"<div>**Change URL to https when loading layer to web map.<b><br /></b></div><div><br /></div><div><b>Ohio's Source Water Assessment and Protection Program</b><br /></div><div><br /></div><div>Also known as Wellhead Protection and Drinking Water Source Protection, the Source Water Assessment and Protection (SWAP) program helps public water suppliers protect sources of drinking water (streams, rivers, lakes, reservoirs and aquifers) from contamination. The SWAP program addresses more than 4,500 public water systems in Ohio. It does not address private residential water systems.<br /></div><div><br /></div><div>Several types of source water protection areas have been defined for surface water supplied water systems. The definiton and the method of delineation are based on the type of water body from which the system withdrawls water. The waterbody types are 1) interior lakes, rivers or streams, 2) the Ohio River or 3) Lake Erie. All of these areas are delineated or endorsed by Ohio EPA under Ohio's Source Water Assessment and Protection Program. For systems with intakes on interior lakes, rivers and streams, three types of areas are defined: 1) the Drinking Water Source Protection Area (DWSPA)- the drainage area upstream of the point where a public water system withdraws water from a surface source; 2) the Corridor Managment Zone (CMZ) - the surface and subsurface area where the potential for drinking water contamination warrants delineation, inventory, and management because of its proximity to a public water system intake; and 3) the Emergency Management Zone - the surface and subsurface area in the immediate vicinity of a public water system intake. For systems with intakes on Lake Erie, a Critical Area Zone (CAZ) is delineated. The size of the CAZ is based upon the sensitivity of the intake to contamination which is determined by its depth and distance from shore. The shape and extent of this area may be modified to take into account site specific conditions. Contaminants within this zone can quickly impact water quality at the intake. A Potential Influence Zone (PIZ) may also be delineated. The PIZ is the area along the lake shore and any contributing tributaries up to the point of known contaminant sources and the length of shoreline where pollutants may become a threat to the intake. Public water systems with intakes on the Ohio River have three zones defined. Zone 1, or the Zone of Critical Concern, extends one quarter mile below a water intake to 25 miles upstream in the Ohio River. Zone 2, the Zone of High Concern extends one quarter mile below a surface water intake, upstream, to one quarter mile below the next Ohio River intake. Major tributaries are incorporated within a 25 mile distance upstream from the intake. Zone 3 is the Source Water Area, or the entire portion of the Ohio River Basin upstream from the surface water intake.<br /></div><div><p><br /></p><p>For more information on the SWAP Program, visit <a href=""http://epa.ohio.gov/ddagw/swap.aspx"">epa.ohio.gov/ddagw/swap.aspx</a>, send an email to <a href=""mailto:whp@epa.ohio.gov"">whp@epa.ohio.gov</a> or call (614) 644-2752 and ask to speak with one of the Drinking Water Source Protection staff. Data updated daily at midnight.</p><p> </p><p></p></div>","['public drinking water', 'surface water', 'source water protection']",2016-05-17T20:02:41.000Z,2018-05-18T14:53:43.209Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2,Esri Rest API,Esri REST,application/json,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_SWP/MapServer/2,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/1b1cefb8cf88414d9b2c78815859f82b_2,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_SWP/MapServer/2,https://hub.arcgis.com/api/v2/datasets/1b1cefb8cf88414d9b2c78815859f82b_2/license,"-85.0,38.0,-80.0,42.2",['geospatial']
http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1,Public Water System Drinking Water Wells (open data),<p>**Change URL to https when loading layer to web map.<br /></p><p>Active public drinking water wells using ground water in Ohio. Data updated daily at midnight.</p>,"['groundwater', 'public drinking water']",2016-07-25T18:42:40.000Z,2018-05-18T14:53:27.843Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1,Esri Rest API,Esri REST,application/json,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_WI/MapServer/1,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/f7b34ff26312437689d17fa2e5f33c99_1,http://epagistest2.oit.ohio.gov/arcgis/rest/services/WM/DDAGW_WI/MapServer/1,https://hub.arcgis.com/api/v2/datasets/f7b34ff26312437689d17fa2e5f33c99_1/license,"-86.8072,38.4125,-80.5196,41.872",['geospatial']
http://ogrip-geohio.opendata.arcgis.com/datasets/358ec1e175ea41c3bf5c68f0da11ae2b,Dark Gray Canvas,"This web map provides a detailed vector basemap for the world symbolized with a dark gray, neutral background style with minimal colors, labels, and features that is designed to draw attention to your thematic content.  The web map includes vector tile layers that are similar in content and style to the popular <a href=""http://www.arcgis.com/home/item.html?id=1970c1995b8f44749f4b9b6e81b5ba45"" target=""_blank"">Dark Gray Canvas</a> map, which is delivered as two layers with raster fused map cache.  This map uses vector tile layers that provide unique capabilities for customization, high-resolution display, and offline use in mobile devices. <div><br /></div><div>This map includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, and administrative boundaries. The vector tile layers in this map are built using the same data sources used for the <a href=""http://www.arcgis.com/home/item.html?id=1970c1995b8f44749f4b9b6e81b5ba45"" target=""_blank"">Dark Gray Canvas</a> and other Esri basemaps.  Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri or any governing authority.  </div><div><br /></div><div>Use this Map</div><div><br /></div><div>This map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map.  You can add layers to this web map and save as your own map.  If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps.  If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.</div><div><br /></div><div>Customize this Map</div><div><br /></div><div>Because this map includes vector tile layers, you can customize the map to change its content and symbology.  You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. See the <a href=""http://www.arcgis.com/home/group.html?id=30de8da907d240a0bccd5ad3ff25ef4a"" target=""_blank"">Vector Basemap group</a> for other vector web maps. For details on how to customize this map, please refer to these articles on the <a href=""https://blogs.esri.com/esri/arcgis/tag/vector-basemap/"" target=""_blank"">ArcGIS Online Blog</a>.</div>","['basemap', 'esri_basemap', 'vector', 'canvas', 'dark', 'esri_vector']",2015-11-13T23:37:28.000Z,2018-05-17T00:56:36.000Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,Web Page,text/html,https://www.arcgis.com/home/webmap/viewer.html?webmap=358ec1e175ea41c3bf5c68f0da11ae2b,http://ogrip-geohio.opendata.arcgis.com/datasets/358ec1e175ea41c3bf5c68f0da11ae2b,https://www.arcgis.com/home/webmap/viewer.html?webmap=358ec1e175ea41c3bf5c68f0da11ae2b,https://hub.arcgis.com/api/v2/datasets/358ec1e175ea41c3bf5c68f0da11ae2b/license,"-173.3731,-7.4496,86.2559,79.1217"
http://ogrip-geohio.opendata.arcgis.com/datasets/d5e02a0c1f2b4ec399823fdd3c2fdebd,Topographic,"<p>This map is designed to be used as a basemap by GIS professionals and as a reference map by anyone. The map includes cities, water features, physiographic features, parks, landmarks, highways, roads, railways, airports, and administrative boundaries, overlaid on land cover and shaded relief imagery for added context. Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri or any governing authority.</p><p>The map provides coverage for the world down to a scale of ~1:72k. Coverage is provided down to ~1:4k for the following areas: Africa, Australia and New Zealand; Europe and Russia; India; the continental United States and Hawaii; Canada; Mexico; most of the Middle East; Pacific Island nations; South America and Central America. Coverage down to ~1:1k and ~1:2k is available in select urban areas. </p><p>This basemap was compiled from a variety of best available sources from several data providers, including the U.S. Geological Survey (USGS), U.S. Environmental Protection Agency (EPA) , U.S. National Park Service (NPS), Food and Agriculture Organization of the United Nations (FAO), Department of Natural Resources Canada (NRCAN), GeoBase, Agriculture and Agri-Food Canada, DeLorme, HERE, and Esri. Data for Africa and Pacific Island nations from ~1:288k to ~1:4k (~1:1k in select areas) was sourced from OpenStreetMap contributors. Specific country list and documentation of Esri's process for including OSM data is <a href=""http://downloads.esri.com/esri_content_doc/basemaps/OSM-Data-Usage-in-ArcGIS-Online-Basemaps-Mapping-Matrix.pdf"" target=""_blank"">available to view</a>.<br /></p><p>The data for the World Topographic Map is provided by the GIS community. You can contribute your data to this service and have it served by Esri. For details on the coverage in this map and the users who contributed data for this map via the <a href=""http://www.esri.com/software/arcgis/arcgisonline/community-maps.html"" target=""_blank"">Community Maps Program</a>, view the list of <a href=""http://esriurl.com/WorldTopographicMapContributors"" target=""_blank"">Contributors for the World Topographic Map</a>.<br /></p><p><b>Feedback</b>: Have you ever seen a problem in the Esri World Topographic Map community basemap that you wanted to see fixed? You can use the <a href=""http://www.arcgis.com/home/item.html?id=6365ecd9bd6046d4986159d557e67971"" target=""_self"">Topographic Map Feedback</a> web map to provide feedback on issues or errors that you see in the Esri World Topographic Map. The feedback will be reviewed by the ArcGIS Online team and considered for one of our updates.</p>","['world', 'topo maps', 'topographic', 'topography', 'maps', 'topo', 'community', 'shaded relief', 'administrative boundaries', 'cities', 'parks', 'landmarks', 'transportation', 'roads', 'highways', 'airports', 'railroads', 'buildings', 'community map', 'content sharing program', 'basemap', 'current', 'esri_basemap']",2010-05-22T16:05:17.000Z,2018-03-29T03:23:53.000Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,Web Page,text/html,https://www.arcgis.com/home/webmap/viewer.html?webmap=d5e02a0c1f2b4ec399823fdd3c2fdebd,http://ogrip-geohio.opendata.arcgis.com/datasets/d5e02a0c1f2b4ec399823fdd3c2fdebd,https://www.arcgis.com/home/webmap/viewer.html?webmap=d5e02a0c1f2b4ec399823fdd3c2fdebd,https://hub.arcgis.com/api/v2/datasets/d5e02a0c1f2b4ec399823fdd3c2fdebd/license,"-180.0,-84.5287,180.0,84.554"
http://ogrip-geohio.opendata.arcgis.com/datasets/c03a526d94704bfb839445e80de95495,Imagery with Metadata,"<p>World Imagery provides one meter or better satellite and aerial imagery in many parts of the world and lower resolution satellite imagery worldwide. The map includes 15m TerraColor imagery at small and mid-scales (~1:591M down to ~1:72k) and 2.5m SPOT Imagery (~1:288k to ~1:72k) for the world. The map features 0.3m resolution imagery in the continental United States and parts of Western Europe from DigitalGlobe. Additional DigitalGlobe sub-meter imagery is featured in many parts of the world, with concentrations in South America, Eastern Europe, India, Japan, the Middle East and Northern Africa, Southern Africa, Australia, and New Zealand. Sub-meter Pléiades imagery is available in select urban areas globally. In the United States, 1 meter resolution NAIP 2013 imagery is available (~1:36k down to ~1:4k) across all or parts of 23 states. In other parts of the world 1 meter resolution imagery is available from GeoEye IKONOS, Getmapping, AeroGRID, IGN Spain, and IGP Portugal. Additionally, imagery at different resolutions has been contributed by the GIS User Community.<br /></p><p>For more information on this map, view the <a href=""http://goto.arcgisonline.com/maps/World_Imagery"" target=""_blank"">World Imagery item description</a>.  <br /></p><p><b>Metadata:</b> This service is metadata-enabled. With the Identify tool in ArcMap or the <a href=""http://www.arcgis.com/home/item.html?id=c03a526d94704bfb839445e80de95495"" target=""_blank"">World Imagery with Metadata web map</a>, you can see the resolution, collection date, and source of the imagery at the location you click. Values of &quot;99999&quot; mean that metadata is not available for that field.  The metadata applies only to the best available imagery at that location. You may need to zoom in to view the best available imagery.</p><p><b>Feedback:</b>  Have you ever seen a problem in the Esri World Imagery Map  that you wanted to see fixed?  You can use the I<a href=""http://www.arcgis.com/home/item.html?id=ebdfa4146680410bb952c7d532ea5407"" target=""_blank"">magery Map Feedback web map</a> to provide feedback on issues or errors that you see. The feedback will be reviewed by the ArcGIS Online team and considered for one of our updates.</p>","['world', 'world imagery', 'satellite imagery', 'air photographs', 'air photography', 'imagery', 'basemap', 'baseimagery', 'current', 'metadata']",2011-04-03T05:48:53.000Z,2018-05-15T16:48:06.736Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,Web Page,text/html,https://www.arcgis.com/home/webmap/viewer.html?webmap=c03a526d94704bfb839445e80de95495,http://ogrip-geohio.opendata.arcgis.com/datasets/c03a526d94704bfb839445e80de95495,https://www.arcgis.com/home/webmap/viewer.html?webmap=c03a526d94704bfb839445e80de95495,https://hub.arcgis.com/api/v2/datasets/c03a526d94704bfb839445e80de95495/license,"-106.3972,39.637,-106.3737,39.6507"
http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5,Senior Citizen Centers,"Point layer consisting of nursing homes within Stark County, Ohio. ","['Nursing', 'Homes', 'Medical', 'Community', 'Features', 'Demographic', 'Public', 'Safety']",2015-01-12T15:16:55.000Z,2018-05-08T19:23:15.231Z,Ohio Geographically Referenced Information Program,Jeff Smith,mailto:gis.support@das.ohio.gov,public,ArcGIS Open Dataset,Web page,text/html,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5,Esri Rest API,Esri REST,application/json,https://scgisa.starkcountyohio.gov/arcgis/rest/services/RegionalPlanningCommission/CommunityFeatures/MapServer/5,GeoJSON,GeoJSON,application/vnd.geo+json,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5.geojson,CSV,CSV,text/csv,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5.csv,KML,KML,application/vnd.google-earth.kml+xml,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5.kml,Shapefile,ZIP,application/zip,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5.zip,http://ogrip-geohio.opendata.arcgis.com/datasets/f8bc057741bb4433afc603cbdedc10e3_5,https://scgisa.starkcountyohio.gov/arcgis/rest/services/RegionalPlanningCommission/CommunityFeatures/MapServer/5,https://hub.arcgis.com/api/v2/datasets/f8bc057741bb4433afc603cbdedc10e3_5/license,"-81.592,40.7185,-81.1046,40.9752",['geospatial']
