identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/2c53370abe214bd8acf28985db7488ad_26,Secondary Signed Routes,"Secondary Signed Route locations. The dataset contains locations and attributes of Secondary Signed Routes, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). A database provided by the District of Columbia, Department of Transportation identified StreetSegment locations. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:14:46.000Z,2017-12-13T18:30:17.000Z,http://opendata.dc.gov/datasets/2c53370abe214bd8acf28985db7488ad_26,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/26,"-77.0652348594,38.8728555773,-77.0239555762,38.903354313",http://opendata.dc.gov/datasets/2c53370abe214bd8acf28985db7488ad_26
http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95,Car Share Locations,"Car Sharing locations. The dataset contains locations and attributes of car sharing locations, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). The points are the general locations where the Car Sharing (Zip Car) currently exist. A database provided by the District of Columbia, Department of Transportation identified Car sharing locations All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:15:27.000Z,2017-12-13T20:58:04.000Z,http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/95,"-77.0793181409,38.8260239614,-76.937432135,38.9743104765",http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95
http://opendata.dc.gov/datasets/4c5d5e0ec6924410bd104c33fa8748b2_1,Moving Violations Issued in February 2015,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:18:49.000Z,2017-09-19T19:07:36.000Z,http://opendata.dc.gov/datasets/4c5d5e0ec6924410bd104c33fa8748b2_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2015/MapServer/1,"-77.1141,38.8174,-76.9108,38.9923",http://opendata.dc.gov/datasets/4c5d5e0ec6924410bd104c33fa8748b2_1
http://opendata.dc.gov/datasets/950581a796464df0a5b2496ee9790bfa_8,Parking Violations Issued in September 2011,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:15:08.000Z,2017-09-19T19:06:34.000Z,http://opendata.dc.gov/datasets/950581a796464df0a5b2496ee9790bfa_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2011/MapServer/8,"-77.1112,38.8193,-76.9101,38.9936",http://opendata.dc.gov/datasets/950581a796464df0a5b2496ee9790bfa_8
http://opendata.dc.gov/datasets/bc28e338278b471086df10e1361ff5f2_1,Moving Violations Issued in February 2013,"Moving?citation locations in the District of Columbia.?The?Vision Zero?data contained in this layer pertain to?moving violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses..Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where theOffice of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-29T22:24:41.000Z,2017-09-19T19:07:35.000Z,http://opendata.dc.gov/datasets/bc28e338278b471086df10e1361ff5f2_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2013/MapServer/1,"-77.1118,38.8166,-76.9096,38.9923",http://opendata.dc.gov/datasets/bc28e338278b471086df10e1361ff5f2_1
http://opendata.dc.gov/datasets/36b5d185ab2d4107958932814988f388_4,Parking Violations Summary for 2009 - Weeks 1 to 26,"The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority to do so. For example, the?District Department of Transportation's (DDOT)?traffic control officers who?prevent congestion through enforcement and control at intersections throughout the District. Locations of moving violations are identified from a database provided by the?District?Department of Motor Vehicles (DMV).The data is summarized by ticket counts based on time of day, week of year, year, and category of violation.?The summary form was created as a series of aggregated street segment data, in order to view spatial patterns on a weekly basis. This is a temporal crosstab of violation types (defined below) by week and time of day (ranges defined below).Users are able to query by week to get a DC-wide yearly and weekly perspective on over?50 different combinations of violations.??Create interesting street segment heat maps which can get quite specific to identify patterns and answer questions. For example, what type of parking violations occurred the most in the time period of this data? These data will give up to?26 distinct street segments of information ? one for each week of the half year.Field Definitions:Identification?Weeknumber ? Week of Year, based on a Sunday start of the weekStreetSeg ? Street Segment ID, corresponds to the DDOT street centerline ?StreetSegID? fieldRegistered Name ? Street nameStreetType ? Type of Street (Road, Ave, etc)Quad ? DC Quadrant?FromAddLeft ? Unit number start (for approximating this segment?s block)?ToAddLeft ? Unit number end (for approximating this segment?s blockMovingImproper commercial and residential vehicle parkingparking in a manner impeding bicycle and pedestrian access parking meter violations?miscellaneous parking violations parking in a restricted/reserved curbside use zone ?residential permit parking program violationsImportant Notes:? Records which could not be associated to a street centerline segment (StreetSeg) were excluded from these summaries. Records which do not have a time of day associated with the violation were excluded from these summaries.",2016-02-10T17:41:01.000Z,2017-12-21T22:21:10.286Z,http://opendata.dc.gov/datasets/36b5d185ab2d4107958932814988f388_4,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ViolationsSummary/MapServer/4,"-77.1122,38.8147,-76.9094,38.9953",http://opendata.dc.gov/datasets/36b5d185ab2d4107958932814988f388_4
http://opendata.dc.gov/datasets/b866ab4f6a0e4f01adbdb8bf48828487_2,Parking Violations Summary for 2010 - Weeks 27 to 52,"The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority to do so. For example, the?District Department of Transportation's (DDOT)?traffic control officers who?prevent congestion through enforcement and control at intersections throughout the District. Locations of moving violations are identified from a database provided by the?District?Department of Motor Vehicles (DMV).The data is summarized by ticket counts based on time of day, week of year, year, and category of violation.?The summary form was created as a series of aggregated street segment data, in order to view spatial patterns on a weekly basis. This is a temporal crosstab of violation types (defined below) by week and time of day (ranges defined below).Users are able to query by week to get a DC-wide yearly and weekly perspective on over?50 different combinations of violations.??Create interesting street segment heat maps which can get quite specific to identify patterns and answer questions. For example, what type of parking violations occurred the most in the time period of this data? These data will give up to?26 distinct street segments of information ? one for each week of the half year.Field Definitions:Identification?Weeknumber ? Week of Year, based on a Sunday start of the weekStreetSeg ? Street Segment ID, corresponds to the DDOT street centerline ?StreetSegID? fieldRegistered Name ? Street nameStreetType ? Type of Street (Road, Ave, etc)Quad ? DC Quadrant?FromAddLeft ? Unit number start (for approximating this segment?s block)?ToAddLeft ? Unit number end (for approximating this segment?s blockMovingImproper commercial and residential vehicle parkingparking in a manner impeding bicycle and pedestrian access parking meter violations?miscellaneous parking violations parking in a restricted/reserved curbside use zone ?residential permit parking program violationsImportant Notes:? Records which could not be associated to a street centerline segment (StreetSeg) were excluded from these summaries. Records which do not have a time of day associated with the violation were excluded from these summaries.",2016-02-09T15:50:37.000Z,2017-09-19T19:06:25.000Z,http://opendata.dc.gov/datasets/b866ab4f6a0e4f01adbdb8bf48828487_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ViolationsSummary/MapServer/2,"-77.113,38.8191,-76.9104,38.9953",http://opendata.dc.gov/datasets/b866ab4f6a0e4f01adbdb8bf48828487_2
http://opendata.dc.gov/datasets/0964b879af2e4b50a5ddd947d94063c3_5,Moving Violations Issued in June 2015,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:26:18.000Z,2017-12-21T22:15:56.785Z,http://opendata.dc.gov/datasets/0964b879af2e4b50a5ddd947d94063c3_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2015/MapServer/5,"-77.11,38.8174,-76.9096,38.9895",http://opendata.dc.gov/datasets/0964b879af2e4b50a5ddd947d94063c3_5
http://opendata.dc.gov/datasets/5abe529357044c9d8f87c4bc8581ac54_2,Moving Violations Issued in March 2010,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T02:04:33.000Z,2017-09-19T19:07:40.000Z,http://opendata.dc.gov/datasets/5abe529357044c9d8f87c4bc8581ac54_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2010/MapServer/2,"-77.1141,38.8188,-76.911,38.9923",http://opendata.dc.gov/datasets/5abe529357044c9d8f87c4bc8581ac54_2
http://opendata.dc.gov/datasets/30b8e32da5c44ee6b83fc3a6ad7e440c_1,Moving Violations Issued in February 2014,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:02:35.000Z,2017-12-21T22:24:56.149Z,http://opendata.dc.gov/datasets/30b8e32da5c44ee6b83fc3a6ad7e440c_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2014/MapServer/1,"-77.1137,38.8174,-76.9133,38.9923",http://opendata.dc.gov/datasets/30b8e32da5c44ee6b83fc3a6ad7e440c_1
