identifier,title,description,issued,landingPage,webService,spatial
http://public-iowadot.opendata.arcgis.com/datasets/ec90c66951304195ae8ec61e2dd06c63_0,RAMS - Lane Type,Lane Type data maintained inside the Roadway Asset Management System (RAMS).,2016-12-06T17:13:51.000Z,http://public-iowadot.opendata.arcgis.com/datasets/ec90c66951304195ae8ec61e2dd06c63_0,https://gis.iowadot.gov/public/rest/services/RAMS/Lane_Type/FeatureServer/0,"-96.6696,40.3572,-90.0861,43.5409",http://public-iowadot.opendata.arcgis.com/datasets/ec90c66951304195ae8ec61e2dd06c63_0
http://public-iowadot.opendata.arcgis.com/datasets/936886c6adba4297a158060091f84b27_2,AADT Turning Traffic 2013,"Iowa turning traffic data (AADT) for intersections on the primary, secondary and municipal roadway systems for 2013. The state is divided into 4 quadrants and each quadrant is counted every 4 years.The?Turning Movements?application?includes all AADT Turning Traffic data for years 1998-2015 and can be found on the Iowa DOT Interactive Map Portal.",2016-09-29T18:40:17.000Z,http://public-iowadot.opendata.arcgis.com/datasets/936886c6adba4297a158060091f84b27_2,https://gis.iowadot.gov/public/rest/services/Traffic/AADT_Turning_Traffic/FeatureServer/2,"-96.5083,41.5491,-90.0981,43.5389",http://public-iowadot.opendata.arcgis.com/datasets/936886c6adba4297a158060091f84b27_2
http://public-iowadot.opendata.arcgis.com/datasets/35cfd866774a415ea41a91e8483c5f57_0,ATR Continuous Count Sites,This REST service depicts the continuous count Automatic Traffic Recorder (ATR) location sites in the state of Iowa.,2016-06-17T13:34:48.000Z,http://public-iowadot.opendata.arcgis.com/datasets/35cfd866774a415ea41a91e8483c5f57_0,https://gis.iowadot.gov/public/rest/services/Traffic/ATR_Locations/FeatureServer/0,"-96.5917,40.4455,-90.2556,43.4905",http://public-iowadot.opendata.arcgis.com/datasets/35cfd866774a415ea41a91e8483c5f57_0
http://public-iowadot.opendata.arcgis.com/datasets/ac4a93ae34074437b34a336f723dcfc2_6,Federal Functional Classification (large-scale),This layer shows all the Federal Functional Classes in Iowa. It shows more detail than the small-scale version. You may need to zoom in to see all of the features.,2016-11-08T18:17:14.000Z,http://public-iowadot.opendata.arcgis.com/datasets/ac4a93ae34074437b34a336f723dcfc2_6,https://gis.iowadot.gov/public/rest/services/Systems_Planning/Network/FeatureServer/6,"-96.6697,40.3572,-90.0861,43.5411",http://public-iowadot.opendata.arcgis.com/datasets/ac4a93ae34074437b34a336f723dcfc2_6
http://public-iowadot.opendata.arcgis.com/datasets/c2caf04dba9a46a389504a6971ee2be3_8,I-80 PEL Resources - Woodlands / Potential Endangered Bat Habitat,This map shows known or potential woodlands/endangered bat habitat resources within the I-80 Planning and Environmental Linkage (PEL) Study Area. The PEL study is being conducted by the Office of Location and Environment.,2016-06-16T20:29:16.000Z,http://public-iowadot.opendata.arcgis.com/datasets/c2caf04dba9a46a389504a6971ee2be3_8,https://services.arcgis.com/8lRhdTsQyJpO52F1/ArcGIS/rest/services/I80PELResources/FeatureServer/8,"-95.8055,41.2487,-90.3561,41.7161",http://public-iowadot.opendata.arcgis.com/datasets/c2caf04dba9a46a389504a6971ee2be3_8
http://public-iowadot.opendata.arcgis.com/datasets/63a24ee149a64a92977033e3e77a6707_0,Airport Part 77 Surfaces - Primary,"The Primary surface extends 200 feet beyond each end of the runway, but when the runway has no specially prepared hard surface, the surface ends at the end of that runway.",2016-06-16T15:52:50.000Z,http://public-iowadot.opendata.arcgis.com/datasets/63a24ee149a64a92977033e3e77a6707_0,https://gis.iowadot.gov/public/rest/services/Aviation/Airport_Part77_Surfaces/FeatureServer/0,"-96.448,40.4307,-90.2399,43.4875",http://public-iowadot.opendata.arcgis.com/datasets/63a24ee149a64a92977033e3e77a6707_0
http://public-iowadot.opendata.arcgis.com/datasets/b0234e3d1dfc499ba0d16203f4321a6b_1,Survey Markers - Retired,This layer contains the archived records for survey markers collected by Iowa DOT surveying crews that are considered retired.Contact the?Office of Design?for more information.,2015-12-11T16:42:55.000Z,http://public-iowadot.opendata.arcgis.com/datasets/b0234e3d1dfc499ba0d16203f4321a6b_1,https://gis.iowadot.gov/public/rest/services/Survey/Survey_Markers/MapServer/1,"-180.0,-68.4667,180.0,89.0",http://public-iowadot.opendata.arcgis.com/datasets/b0234e3d1dfc499ba0d16203f4321a6b_1
http://public-iowadot.opendata.arcgis.com/datasets/8421af5ea2284f7cb7c883e29191fb73_0,Survey Markers - Active,This layer contains the most recent records for survey markers collected by Iowa DOT surveying crews that are considered active.Contact the?Office of Design?for more information.,2015-12-11T16:42:17.000Z,http://public-iowadot.opendata.arcgis.com/datasets/8421af5ea2284f7cb7c883e29191fb73_0,https://gis.iowadot.gov/public/rest/services/Survey/Survey_Markers/MapServer/0,"-92.1218,41.4724,-90.14,43.5015",http://public-iowadot.opendata.arcgis.com/datasets/8421af5ea2284f7cb7c883e29191fb73_0
http://public-iowadot.opendata.arcgis.com/datasets/bc267e5df6354e51b7b3f829f87c0b36_20,Rest Area Aging Infrastructure - Building in First Half of Design Life,Iowa Department of Transportation statewide rest area data. This layer displays aging rest area infrastructure where a building is in the first half of its design life.,2016-08-19T20:41:08.000Z,http://public-iowadot.opendata.arcgis.com/datasets/bc267e5df6354e51b7b3f829f87c0b36_20,https://gis.iowadot.gov/public/rest/services/Facilities/IaDOT_Statewide_Rest_Area/MapServer/20,"-96.8425,39.4263,-89.4309,43.739",http://public-iowadot.opendata.arcgis.com/datasets/bc267e5df6354e51b7b3f829f87c0b36_20
http://public-iowadot.opendata.arcgis.com/datasets/785761c2043c4c5dbe6c693d45f832c3_0,Enriched 10 Minute Walk-Time (Points),This is a feature layer that uploads data points from The General Transit Feed Specification representing bus stops.? This layer then enriches each point in a 10 minute walk time to extract specific information about certain demographics.,2018-08-09T19:51:28.000Z,http://public-iowadot.opendata.arcgis.com/datasets/785761c2043c4c5dbe6c693d45f832c3_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Enriched_10_Minute_Walk_Time_(Point)/FeatureServer/0,"-96.49728170378123,40.774628900272,-90.17678833657195,43.16947232933184",http://public-iowadot.opendata.arcgis.com/datasets/785761c2043c4c5dbe6c693d45f832c3_0
