identifier,title,description,issued,modified,landingPage,webService,spatial
http://data.imap.maryland.gov/datasets/4241e2d015354ca9b9dfcd72e7403481_1,Maryland Seafood Marketing - Oyster Pledges,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.Maryland's Oyster Pledge Program is a way for restaurants and businesses to work with the State of Maryland to support Maryland Seafood. By pledging to have at least one piece of Maryland Seafood on their menu, a restaurant can volunteer to participate in the Oyster Pledge Program.Last Updated: 10/2017Feature Service Link:?http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/1",2017-10-13T16:33:36.000Z,2017-10-13T16:35:11.000Z,http://data.imap.maryland.gov/datasets/4241e2d015354ca9b9dfcd72e7403481_1,http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/1,"-77.6529,37.9683,-75.0561,40.2499",http://data.imap.maryland.gov/datasets/4241e2d015354ca9b9dfcd72e7403481_1
http://data.imap.maryland.gov/datasets/5274c2a7f84e44669df8f67d03bbd908_2,Maryland Highway Performance Monitoring System - Roadway Federal Aid Eligibility,"This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Linear features which specifically show roadways that are eligible for Federal funding in the State of Maryland. The Maryland Department of Transportation State Highway Administration (MDOT SHA) currently reports this data only on the inventory direction (generally North or East) side of the roadway. Roadway Federal Aid Eligibility data is administrative for planning purposes and is not a complete representation of all roadway geometry.??Roadway Federal Aid Eligibility data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual (yearly) basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). This data is used by various modules throughout MDOT, as well as many other State and local government agencies. This data is key to understanding which roadways are eligible for federal funding in the State of Maryland.?Roadway Federal Aid Eligibility data is updated and published on an annual (yearly) basis for the prior year. This data is for the year 2016.??Last Updated: 07/2017?For additional data information, contact the MDOT SHA Traffic Monitoring System (TMS) Team:TMS@sha.state.md.usFor additional information, contact the MDOT SHA Geospatial Technologies Team:GIS@sha.state.md.usFor additional information related to the Maryland Department of Transportation (MDOT):http://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):http://www.roads.maryland.gov/MDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.Map Service Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/2",2017-10-27T22:17:59.000Z,2017-11-02T19:21:05.956Z,http://data.imap.maryland.gov/datasets/5274c2a7f84e44669df8f67d03bbd908_2,http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/2,"-79.4871,37.9781,-75.0524,39.723",http://data.imap.maryland.gov/datasets/5274c2a7f84e44669df8f67d03bbd908_2
http://data.imap.maryland.gov/datasets/5294824501f045fbb77d64a329aa6ac9_1,Maryland Highway Performance Monitoring System - Roadway Administrative Classification,"This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Linear features which specifically show the administrative classification of public roadways in the State of Maryland.? Roadway Administrative Classification consists of three State systems, which are the State Primary system, the State Secondary system, and all other public roadways. The Maryland Department of Transportation State Highway Administration (MDOT SHA) currently reports this data only on the inventory direction (generally North or East) side of the roadway.??Roadway?Administrative Classification data is for planning purposes only and is not a complete representation of all roadway geometry.??Roadway?Administrative Classification data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). This data is used by various modules throughout MDOT, as well as many other State and local government agencies. This data is key to understanding the administrative classification of public roadways in the State of Maryland.?Roadway??Administrative Classification data is updated and published on an annual (yearly) basis for the prior year. This data is for the year 2016.?Last Updated: 07/2017?For additional data information, contact the MDOT SHA Traffic Monitoring System (TMS) Team:TMS@sha.state.md.usFor additional information, contact the MDOT SHA Geospatial Technologies Team:GIS@sha.state.md.usFor additional information related to the Maryland Department of Transportation (MDOT):http://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):http://www.roads.maryland.gov/MDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.Map Service Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/1",2017-10-27T22:09:17.000Z,2017-11-02T18:57:13.659Z,http://data.imap.maryland.gov/datasets/5294824501f045fbb77d64a329aa6ac9_1,http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/1,"-79.4871,37.9562,-75.0502,39.7238",http://data.imap.maryland.gov/datasets/5294824501f045fbb77d64a329aa6ac9_1
http://data.imap.maryland.gov/datasets/00ac3c27a119494aa0da9cc179a40643_4,Maryland Highway Performance Monitoring System - Roadway Maintenance Responsibility,"This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Linear features which specifically show the government agencies responsible for maintaining public roadways throughout the State of Maryland. The Maryland Department of Transportation State Highway Administration (MDOT SHA) currently reports this data only on the inventory direction (generally North or East) side of the roadway. Roadway Maintenance Responsibility data is for planning purposes only and is not a complete representation of all roadway geometry.?Roadway Maintenance Responsibility data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). This data is used by various modules throughout MDOT, as well as many other State and local government agencies. Roadway Maintenance Responsibility data is key to understanding which government agencies?are responsible for maintaining public roadways throughout the State of Maryland.?Roadway Maintenance Responsibility data is updated and published on an annual (yearly) basis for the prior year. This data is for the year 2016.?Last Updated: 07/2017View the latest Roadway Maintenance Responsibility data in the?Maryland Know Your Roads ApplicationFor additional data information, contact the MDOT SHA Traffic Monitoring System (TMS) Team:TMS@sha.state.md.usFor additional information, contact the MDOT SHA Geospatial Technologies Team:GIS@sha.state.md.usFor additional information related to the Maryland Department of Transportation (MDOT):http://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):http://www.roads.maryland.gov/MDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.Map Service Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/4",2017-10-27T22:35:46.000Z,2017-11-02T19:10:35.501Z,http://data.imap.maryland.gov/datasets/00ac3c27a119494aa0da9cc179a40643_4,http://geodata.md.gov/imap/rest/services/Transportation/MD_HighwayPerformanceMonitoringSystem/MapServer/4,"-79.4871,37.9562,-75.0502,39.7238",http://data.imap.maryland.gov/datasets/00ac3c27a119494aa0da9cc179a40643_4
http://data.imap.maryland.gov/datasets/1dbe987b5c064bea87639f160fb51103_13,MD Incentive Zones - Arts and Entertainment Districts - Point,"This is a MD iMAP hosted service. Find more information at?http://imap.maryland.gov.The Maryland State Arts Council sponsors Arts  Entertainment Districts as a way to stimulate the economy and improve quality of life. This legislation enables local jurisdictions, municipalities, counties, or a combination thereof, to apply for state designations for the Arts and Entertainment Districts within their boundaries and offer tax incentives as provided by law.Last Updated: 10/2017Feature Service Link:https://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/13",2017-10-20T18:40:20.000Z,2017-10-24T13:02:36.910Z,http://data.imap.maryland.gov/datasets/1dbe987b5c064bea87639f160fb51103_13,https://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/13,"-79.4086,38.1765,-75.214,39.6972",http://data.imap.maryland.gov/datasets/1dbe987b5c064bea87639f160fb51103_13
http://data.imap.maryland.gov/datasets/c9ad1440726d4e118263e866e1472e5e_0,Maryland Seafood Marketing - Aquaculture Operations,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The state of Maryland has numerous operations which process crabs and oysters for restaurants throughout the bay area. The information contained here is being published in order for foodservice to be better connected with our local seafood industry. These companies may, or may not, sell directly to foodservice. It is up to individual restaurants to contact each directly.Last Updated: 10/2017Feature Service Link:?http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/0",2017-10-13T16:26:50.000Z,2017-10-13T16:31:11.000Z,http://data.imap.maryland.gov/datasets/c9ad1440726d4e118263e866e1472e5e_0,http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/0,"-76.7911,37.9681,-75.1216,39.1463",http://data.imap.maryland.gov/datasets/c9ad1440726d4e118263e866e1472e5e_0
http://data.imap.maryland.gov/datasets/f6af9a5a2c7b403195b569578bbc1e5a_14,Maryland Incentive Zones - Metropolitan Planning Organizations Boundaries,"This is a MD iMAP hosted service. Find more information at?http://imap.maryland.gov.Polygon features that represent the political boundaries of Metropolitan Planning Organizations (MPO) that exist in Maryland and for which the Maryland Department of Transportation (MDOT) is a member. In several instances, these MPO boundaries extend beyond Maryland?s borders into neighboring states as well as the District of Columbia. MPO Boundaries? data includes information on each boundary's name, geographic location, and the total size / extent of each area. MPO Boundaries data was intended to be used for planning purposes within governments at the National and State level. Maryland's MPO Boundaries data is a sub-set of the U.S. Department of Transportation (USDOT) Office of the Assistant Secretary for Research and Technology's Bureau of Transportation Statistics (BTS) National Transportation Atlas Database (NTAD).?A metropolitan planning organization (MPO) is a federally-mandated and federally-funded transportation policy-making organization that is made up of representatives from local governments and governmental transportation authorities. Federal law requires the formation of an MPO for any urbanized area (UZA) with a population greater than 50,000. Federal funding for transportation projects and programs are channeled through this planning process. Congress created MPOs to ensure that existing and future expenditures of federal funds for transportation projects and programs are based on a continuing, cooperative, and comprehensive (?3?C?) planning process. MPOs are charged with developing a 20-year long-range transportation plan (LRTP) and a short-term (usually 2-6 years) program called the transportation improvement program (TIP) for each of their respective regions. 

The seven MPOs of which Maryland jurisdictions and agencies are members are listed below. The Maryland member jurisdictions are listed under each MPO (note that some MPOs cover multi-State regions). The Maryland Department of Transportation is a member of each of the MPOs listed. Each of the listed member?jurisdictions?has a different level of involvement with its MPO.Maryland's MPOs are as follows:?National Capital Region Transportation Planning Board (TPB)https://www.mwcog.org/tpb/- Charles County, Maryland- Frederick County, Maryland- Montgomery County, Maryland- Prince George's County, Maryland- City of Bowie, Maryland- City of College Park, Maryland- City of Frederick, Maryland- City of Gaithersburg, Maryland- City of Greenbelt, Maryland- City of Laurel, Maryland-?City?of Rockville, Maryland- City of Takoma Park, Maryland- Maryland Department of Transportation (MDOT)Baltimore Regional Transportation Board (BRTB)https://baltometro.org/- Anne Arundel County, Maryland- Baltimore County, Maryland- Carroll County, Maryland- Harford County, Maryland- Howard County, Maryland- Queen Anne's County, Maryland- City of Annapolis, Maryland- City of Baltimore, Maryland- Maryland Department of Transportation (MDOT)Cumberland Area Metropolitan Planning Organization (CAMPO)http://alleganygov.org/473/Metropolitan-Planning-Organization- Allegany County, Maryland- City of Cumberland, Maryland- City of Frostburg, Maryland- Maryland Department of Transportation (MDOT)Hagerstown / Eastern Panhandle Metropolitan Planning Organization (HEPMPO)https://www.hepmpo.net/- Washington County, Maryland- City of Hagerstown, Maryland- Maryland Department of Transportation (MDOT)Wilmington Area Planning Council (WILMAPCO)http://www.wilmapco.org/- Cecil County, Maryland- Maryland Department of Transportation (MDOT)Salisbury / Wicomico Metropolitan Planning Organization (S / WMPO)http://www.swmpo.org/- Wicomico County, Maryland- City of Fruitland, Maryland-?City?of Salisbury, Maryland- Town of Delmar, Maryland- Maryland Department of Transportation (MDOT)Calvert-St. Mary?s Metropolitan Planning Organization (C - SMMPO)http://www.calvert-stmarysmpo.com/- Calvert County, Maryland- St. Mary's County, Maryland- Maryland Department of Transportation (MDOT)Maryland's MPO Boundaries data is owned and maintained by the Transportation Secretary's Office (TSO) of the Maryland Department of Transportation (MDOT). Being a subset of the USDOT's NTAD, an annual update of Maryland's MPO Boundaries data is performed by TSO in close coordination with each MPO, the Maryland Department of Transportation State Highway Administration (MDOT SHA) and the Federal Highway Administration (FHWA). MPO Boundaries data is a strategic resource for the USDOT, FHWA, MDOT, as well as many other Federal, State, and local government agencies.?Maryland's MPO Boundaries data is updated on an annual basis. This data was last updated in October 2017.Last Updated: 10/2017?For additional MPO information, contact MDOT's Office of Planning and Capital Programming:MDOTGIS@mdot.state.md.usFor additional data information, contact the MDOT SHA Geospatial Technologies Team:GIS@sha.state.md.usFor additional information related to the Maryland Department of Transportation (MDOT):http://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):http://www.roads.maryland.gov/Feature Service Link:http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/14",2017-10-20T15:52:07.000Z,2017-10-27T17:01:06.000Z,http://data.imap.maryland.gov/datasets/f6af9a5a2c7b403195b569578bbc1e5a_14,http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/14,"-79.0678,38.1834,-75.4241,39.839",http://data.imap.maryland.gov/datasets/f6af9a5a2c7b403195b569578bbc1e5a_14
http://data.imap.maryland.gov/datasets/13a90445aa51482a89eab79b36dbdaf5_2,Maryland Seafood Marketing - True Blue Participants,This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.The 'True Blue' certification program allows restaurants serving Department-verified Maryland blue crab product to use a special logo in marketing or advertising the product. Once a restaurant is signed up they will receive a 'True Blue' logo to signify to their patrons that they are True Blue Certified.Last Updated: 10/2017Feature Service Link:?http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/2,2017-10-13T16:36:32.000Z,2017-10-13T16:37:58.000Z,http://data.imap.maryland.gov/datasets/13a90445aa51482a89eab79b36dbdaf5_2,http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_SeafoodMarketing/FeatureServer/2,"-79.5873,37.514,-75.0519,40.8864",http://data.imap.maryland.gov/datasets/13a90445aa51482a89eab79b36dbdaf5_2
http://data.imap.maryland.gov/datasets/787436593c8d4058b66967103746a498_1,Six Inch Imagery Flight Information - Control Points 2013,This layer contains the control points used for orthrectification for the 2013 Maryland Eastern Shore acquisition.,2017-10-20T14:35:39.000Z,2017-10-20T14:36:31.000Z,http://data.imap.maryland.gov/datasets/787436593c8d4058b66967103746a498_1,http://imagery.geodata.md.gov/imap/rest/services/SixInch/SixInchFlightInformation/MapServer/1,"-76.3743,37.9591,-75.0509,39.7303",http://data.imap.maryland.gov/datasets/787436593c8d4058b66967103746a498_1
http://data.imap.maryland.gov/datasets/47d48f3082c34f868661df63f7bc5c7a_3,Maryland Local Businesses - Farmers Markets,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Map service of farmers market locations in Maryland. Maryland has over 150 farmers markets annually located throughout the entire State.?Last Updated: 10/13/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_LocalBusinesses/FeatureServer/3,2017-10-13T15:37:39.000Z,2017-10-24T13:10:51.187Z,http://data.imap.maryland.gov/datasets/47d48f3082c34f868661df63f7bc5c7a_3,https://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_LocalBusinesses/FeatureServer/3,"-79.41,37.9791,-75.0529,39.7015",http://data.imap.maryland.gov/datasets/47d48f3082c34f868661df63f7bc5c7a_3
