identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/26542a56936047d2acba4e3da38e7b35_6,Parking Violations Issued in July 2009,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:01:06.000Z,2017-10-06T19:44:28.762Z,http://opendata.dc.gov/datasets/26542a56936047d2acba4e3da38e7b35_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/6,"-77.1141,38.8193,-76.91,38.9907",http://opendata.dc.gov/datasets/26542a56936047d2acba4e3da38e7b35_6
http://opendata.dc.gov/datasets/920d1655a6d044259c37a35f6fab06f1_7,Parking Violations Issued in August 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:31:02.000Z,2017-10-06T19:46:04.960Z,http://opendata.dc.gov/datasets/920d1655a6d044259c37a35f6fab06f1_7,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/7,"-77.1121,38.8193,-76.9096,38.9928",http://opendata.dc.gov/datasets/920d1655a6d044259c37a35f6fab06f1_7
http://opendata.dc.gov/datasets/0d12f2c9a2b740ccbc42d8c045e8f6be_9,Parking Violations Issued in October 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:32:25.000Z,2017-10-06T19:14:03.067Z,http://opendata.dc.gov/datasets/0d12f2c9a2b740ccbc42d8c045e8f6be_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/9,"-77.1121,38.8188,-76.9122,38.9936",http://opendata.dc.gov/datasets/0d12f2c9a2b740ccbc42d8c045e8f6be_9
http://opendata.dc.gov/datasets/34379a1df90c465f8a9f87c26c4e4b04_7,Parking Violations Issued in August 2016,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District?Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2017-02-21T13:57:44.000Z,2017-09-19T19:06:18.000Z,http://opendata.dc.gov/datasets/34379a1df90c465f8a9f87c26c4e4b04_7,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/7,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/34379a1df90c465f8a9f87c26c4e4b04_7
http://opendata.dc.gov/datasets/87d953ba7b0e427dbc352825a02c1483_4,Parking Violations Issued in May 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:25:06.000Z,2017-10-06T20:07:24.691Z,http://opendata.dc.gov/datasets/87d953ba7b0e427dbc352825a02c1483_4,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/4,"-77.1121,38.8193,-76.9106,38.9929",http://opendata.dc.gov/datasets/87d953ba7b0e427dbc352825a02c1483_4
http://opendata.dc.gov/datasets/b86079c597e14bc199f2fff0025a1f77_4,Parking Violations Issued in May 2016,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2016-07-21T15:28:00.000Z,2017-10-06T18:15:25.223Z,http://opendata.dc.gov/datasets/b86079c597e14bc199f2fff0025a1f77_4,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/4,"-77.1113,38.8188,-76.91,38.9918",http://opendata.dc.gov/datasets/b86079c597e14bc199f2fff0025a1f77_4
http://opendata.dc.gov/datasets/6fa96d2b20364bac88d18048e7cdc91e_8,Parking Violations Issued in September 2009,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:03:42.000Z,2017-10-06T20:05:47.730Z,http://opendata.dc.gov/datasets/6fa96d2b20364bac88d18048e7cdc91e_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/8,"-77.112,38.8196,-76.91,38.9899",http://opendata.dc.gov/datasets/6fa96d2b20364bac88d18048e7cdc91e_8
http://opendata.dc.gov/datasets/2bb91541a6a744c7acfdcb7faf7a65dd_0,Parking Violations in January 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:22:33.000Z,2017-10-06T19:28:16.942Z,http://opendata.dc.gov/datasets/2bb91541a6a744c7acfdcb7faf7a65dd_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/0,"-77.1124,38.8193,-76.91,38.9936",http://opendata.dc.gov/datasets/2bb91541a6a744c7acfdcb7faf7a65dd_0
http://opendata.dc.gov/datasets/2e967e9053144a309680fccea0f7b4e1_11,Parking Violations Issued in December 2015,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-13T00:55:46.000Z,2017-09-19T19:06:20.000Z,http://opendata.dc.gov/datasets/2e967e9053144a309680fccea0f7b4e1_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2015/MapServer/11,"-77.1132,38.8134,-76.9102,38.9907",http://opendata.dc.gov/datasets/2e967e9053144a309680fccea0f7b4e1_11
http://opendata.dc.gov/datasets/10d9348a1a8640d885ae5471beabe00c_7,Parking Violations Issued in August 2009,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:02:17.000Z,2017-10-06T20:10:19.317Z,http://opendata.dc.gov/datasets/10d9348a1a8640d885ae5471beabe00c_7,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/7,"-77.1121,38.8197,-76.91,38.9936",http://opendata.dc.gov/datasets/10d9348a1a8640d885ae5471beabe00c_7
http://opendata.dc.gov/datasets/491568da188f4f26bf353633cf41502d_11,Parking Violations Issued in December 2016,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District?Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2017-02-21T14:13:15.000Z,2017-09-19T19:06:21.000Z,http://opendata.dc.gov/datasets/491568da188f4f26bf353633cf41502d_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/11,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/491568da188f4f26bf353633cf41502d_11
http://opendata.dc.gov/datasets/3baa79929b00451099acf1028d638b67_0,Parking Violations Issued in February 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:23:08.000Z,2017-10-06T19:20:34.210Z,http://opendata.dc.gov/datasets/3baa79929b00451099acf1028d638b67_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/0,"-77.1139,38.8193,-76.91,38.9936",http://opendata.dc.gov/datasets/3baa79929b00451099acf1028d638b67_0
http://opendata.dc.gov/datasets/7637a409c4534388af9d403d70310e79_3,Parking Violations Issued in April 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:24:28.000Z,2017-10-06T19:17:41.142Z,http://opendata.dc.gov/datasets/7637a409c4534388af9d403d70310e79_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/3,"-77.1112,38.8193,-76.9108,38.9936",http://opendata.dc.gov/datasets/7637a409c4534388af9d403d70310e79_3
http://opendata.dc.gov/datasets/2aafd56019a74b868b4d18939f93edf6_5,Parking Violations Issued in June 2009,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:00:01.000Z,2017-10-06T20:11:25.511Z,http://opendata.dc.gov/datasets/2aafd56019a74b868b4d18939f93edf6_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/5,"-77.112,38.8193,-76.91,38.9927",http://opendata.dc.gov/datasets/2aafd56019a74b868b4d18939f93edf6_5
http://opendata.dc.gov/datasets/41cb415a876e4f9c8e7c1794f57810e1_10,Parking Violations Issued in November 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:33:05.000Z,2017-10-06T20:03:59.164Z,http://opendata.dc.gov/datasets/41cb415a876e4f9c8e7c1794f57810e1_10,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/10,"-77.1121,38.8193,-76.9108,38.9929",http://opendata.dc.gov/datasets/41cb415a876e4f9c8e7c1794f57810e1_10
http://opendata.dc.gov/datasets/150cf72502b344448d900a4f1d779b3a_1,Parking Violations Issued in February 2016,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of?the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2016-07-21T15:07:51.000Z,2017-09-19T19:06:21.000Z,http://opendata.dc.gov/datasets/150cf72502b344448d900a4f1d779b3a_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/1,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/150cf72502b344448d900a4f1d779b3a_1
http://opendata.dc.gov/datasets/275d5120b2b4468984aeacd0901ab115_8,Parking Violations Issued in September 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:31:42.000Z,2017-10-06T20:03:59.224Z,http://opendata.dc.gov/datasets/275d5120b2b4468984aeacd0901ab115_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/8,"-77.112,38.8188,-76.9116,38.9936",http://opendata.dc.gov/datasets/275d5120b2b4468984aeacd0901ab115_8
http://opendata.dc.gov/datasets/7b4816cbd94f46d3961d63b5819a32ae_3,Parking Violations Issued in April 2010,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-11T14:33:21.000Z,2017-09-19T19:06:16.000Z,http://opendata.dc.gov/datasets/7b4816cbd94f46d3961d63b5819a32ae_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2010/MapServer/3,"-77.1129,38.8204,-76.91,38.9905",http://opendata.dc.gov/datasets/7b4816cbd94f46d3961d63b5819a32ae_3
http://opendata.dc.gov/datasets/825f603d4cfc41fe9cf9ee74c359f893_2,Parking Violations Issued in March 2016,"Parking citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District?Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2016-07-21T15:14:31.000Z,2017-09-19T19:06:29.000Z,http://opendata.dc.gov/datasets/825f603d4cfc41fe9cf9ee74c359f893_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/2,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/825f603d4cfc41fe9cf9ee74c359f893_2
http://opendata.dc.gov/datasets/897a9bb2a9a1476e8b8f3b984ed1bf8f_5,Parking Violations Issued in June 2016,"Parking citation locations in the District of Columbia.?The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking violations to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2017-02-21T13:39:27.000Z,2017-10-06T18:21:55.282Z,http://opendata.dc.gov/datasets/897a9bb2a9a1476e8b8f3b984ed1bf8f_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/5,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/897a9bb2a9a1476e8b8f3b984ed1bf8f_5
http://opendata.dc.gov/datasets/7c46d01a9b2145afb05f8fa17af00264_6,Parking Violations Issued in July 2012,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:30:15.000Z,2017-10-06T19:45:45.092Z,http://opendata.dc.gov/datasets/7c46d01a9b2145afb05f8fa17af00264_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2012/MapServer/6,"-77.1113,38.8134,-76.9122,38.9936",http://opendata.dc.gov/datasets/7c46d01a9b2145afb05f8fa17af00264_6
http://opendata.dc.gov/datasets/5d582d5304424c9b823985c294faba66_11,Parking Violations Issued in December 2013,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T23:50:53.000Z,2017-09-19T19:06:19.000Z,http://opendata.dc.gov/datasets/5d582d5304424c9b823985c294faba66_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2013/MapServer/11,"-77.1113,38.8136,-76.9109,38.9936",http://opendata.dc.gov/datasets/5d582d5304424c9b823985c294faba66_11
http://opendata.dc.gov/datasets/b14fd4516f4a41e1ae6fd35caedfee65_8,Parking Violations Issued in September 2010,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-11T14:43:13.000Z,2017-09-19T19:06:33.000Z,http://opendata.dc.gov/datasets/b14fd4516f4a41e1ae6fd35caedfee65_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2010/MapServer/8,"-77.1113,38.8197,-76.91,38.9936",http://opendata.dc.gov/datasets/b14fd4516f4a41e1ae6fd35caedfee65_8
http://opendata.dc.gov/datasets/e0e59dfa9dc24c3491120036de78bc12_9,Parking Violations Issued in October 2016,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District?Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2017-02-21T14:02:50.000Z,2017-09-19T19:06:33.000Z,http://opendata.dc.gov/datasets/e0e59dfa9dc24c3491120036de78bc12_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2016/MapServer/9,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/e0e59dfa9dc24c3491120036de78bc12_9
