identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/7e970163eece486298defda49a8d70eb_4,Moving Violations Issued in May 2016,"Moving citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to moving violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses..Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of?the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2016-07-21T14:44:21.000Z,2017-09-19T19:07:42.000Z,http://opendata.dc.gov/datasets/7e970163eece486298defda49a8d70eb_4,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2016/MapServer/4,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/7e970163eece486298defda49a8d70eb_4
http://opendata.dc.gov/datasets/a4b123fdfd3a4e92a089b3acbd09de06_10,Moving Violations Issued in November 2016,"Moving?citation locations in the District of Columbia.?The?Vision Zero?data contained in this layer pertain to?moving violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses..Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2017-01-04T16:23:07.000Z,2017-09-19T19:07:44.000Z,http://opendata.dc.gov/datasets/a4b123fdfd3a4e92a089b3acbd09de06_10,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2016/MapServer/10,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/a4b123fdfd3a4e92a089b3acbd09de06_10
http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95,Car Share Locations,"Car Sharing locations. The dataset contains locations and attributes of car sharing locations, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). The points are the general locations where the Car Sharing (Zip Car) currently exist. A database provided by the District of Columbia, Department of Transportation identified Car sharing locations All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:15:27.000Z,2017-09-11T13:54:41.000Z,http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/95,"-77.0793181409,38.8260239614,-76.937432135,38.9743104765",http://opendata.dc.gov/datasets/efad2a2696164d2db65e6c16d426939e_95
http://opendata.dc.gov/datasets/7a15410fcb714b16a7526e4c7ba931d2_4,Moving Violations Issued in May 2012,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:12:10.000Z,2017-09-19T19:07:42.000Z,http://opendata.dc.gov/datasets/7a15410fcb714b16a7526e4c7ba931d2_4,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2012/MapServer/4,"-77.1118,38.8174,-76.9107,38.9923",http://opendata.dc.gov/datasets/7a15410fcb714b16a7526e4c7ba931d2_4
http://opendata.dc.gov/datasets/3c04e94c2a574061a5bbf25a5e7feb27_78,Railroads,"Railroad. The dataset contains polygons representing planimetric railroads, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). This is a complete new capture from aerial photography flown in mid to Late April, completed on April 24, 2015. This is part of a comprehensive sensor collection effort to sychronize orthophotos, oblique imagery, LiDAR, and basemap layers. The following planimetric layers were updated: - Barrier Lines- Building Polygons- Bridge and Tunnel Polygons- Curb Lines- Grate Points- Horizontal and Vertical Control Points- Hydrography Lines- Obscured Area Polygons- Railroad Lines- Road, Parking, and Driveway Polygons- Sidewalk and Stair Polygons- Swimming Pools- Water PolygonsDUE TO THE LOW ALTITUDE FLOWN TO CAPTURE THE COMPLETE IMAGERY FOR THE 2015 SENSOR FLIGHT, THERE IS INCOMPLETE AERIAL PHOTOGRAPHY COVERAGE AROUND THE WHITE HOUSE AND CAPITOL. FOR THESE AREAS, 2013 PLANIMETRIC FEATURES WERE SEEMLESSLY MERGED INTO THE 2015 DATA.",2015-02-27T21:15:16.000Z,2017-09-11T13:30:29.000Z,http://opendata.dc.gov/datasets/3c04e94c2a574061a5bbf25a5e7feb27_78,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/78,"-77.0416392481,38.8205678762,-76.9315104254,38.9799321061",http://opendata.dc.gov/datasets/3c04e94c2a574061a5bbf25a5e7feb27_78
http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,Moving Violations Issued in December 2010,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T02:48:17.000Z,2017-11-22T18:15:59.648Z,http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2010/MapServer/11,"-77.1095,38.8174,-76.9099,38.9923",http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11
http://opendata.dc.gov/datasets/7906787f79ef47d6b1bc80a4d19ea567_3,Parking Violations Issued in April 2013,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T23:46:35.000Z,2017-11-22T17:35:35.042Z,http://opendata.dc.gov/datasets/7906787f79ef47d6b1bc80a4d19ea567_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2013/MapServer/3,"-77.1124,38.8193,-76.9097,38.9918",http://opendata.dc.gov/datasets/7906787f79ef47d6b1bc80a4d19ea567_3
http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,Parking Violations Issued in January 2009,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:53:13.000Z,2017-09-19T19:06:22.000Z,http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/0,"-77.1067,38.8189,-76.91,38.9936",http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0
http://opendata.dc.gov/datasets/f43fc2b0ad40448aae77a08d4ec3ccf5_2,IT Staff Augmentation Current Open Requirements (Retired),"This dataset was retired as of July 2017. ITSA is the District?s method for the procurement of IT Staff Augmentation contractors. OST, Inc. (Optimal Solutions and Technologies) facilitates the staff augmentation procurement process between District program managers and ITSA-registered vendors. OST, Inc. has partnered with Peoplefluent to provide a fully-functional Vendor Management System that handles the workflow from beginning to end. The ITSA Project is ISO 9001:2008 compliant. More information at?http://itsa.ostglobal.com.",2015-06-18T17:09:20.000Z,2017-11-20T16:11:57.000Z,http://opendata.dc.gov/datasets/f43fc2b0ad40448aae77a08d4ec3ccf5_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/ITSA_Feeds/MapServer/2,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/f43fc2b0ad40448aae77a08d4ec3ccf5_2
http://opendata.dc.gov/datasets/3eb5851353a3416da234e185c0583cf0_3,Parking Violations Issued in April 2017,"Parking citation locations in the District of Columbia. The?Vision Zero?data contained in this layer pertain to parking violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority. For example, the?District Department of Transportation's (DDOT)?traffic control officers write parking?violations?to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the?District Department of Motor Vehicle's?eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the?Office of?the Chief Technology Officer (OCTO)?geocoded citation data to the street segment level. Data was then visualized using the street segment centroid?coordinates.",2017-11-06T17:31:27.000Z,2017-11-22T15:35:27.309Z,http://opendata.dc.gov/datasets/3eb5851353a3416da234e185c0583cf0_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2017/MapServer/3,"-77.1141,38.8201,-76.9146,38.9859",http://opendata.dc.gov/datasets/3eb5851353a3416da234e185c0583cf0_3
