identifier,title,description,issued,landingPage,webService,spatial
http://opendata.dc.gov/datasets/94455e9d5f42439788da06caeaaf35ac_6,Moving Violations Issued in July 2017,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2018-04-05T15:31:27.000Z,http://opendata.dc.gov/datasets/94455e9d5f42439788da06caeaaf35ac_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2017/MapServer/6,"-77.136,38.786,-76.928,38.994",http://opendata.dc.gov/datasets/94455e9d5f42439788da06caeaaf35ac_6
http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,2014 Upstart Grants,"The UPSTART Program is the signature capacity building program of the DC Commission on the Arts and Humanities. UPSTART assists established DC-based arts and humanities nonprofit organizations with significant programmatic functions that face operational and infrastructure challenges and financial limitations that prevent organizational and programmatic sustainability. The DC Commission on the Arts and Humanities recognizes the importance of remaining relevant in a city of competitive opportunities for residents who have at their disposal significant discretionary income for arts and cultural offerings. ? Further, according to the 2012 Arts and Economic Prosperity IV Study conducted by Americans for the Arts, $1.1 billion in economic activity is generated annually by the non-profit arts and culture industry in Washington, DC. ?Additionally, the culture industry returns $80 million in local tax revenue to the District?s coffers. ?These trends create an opportunity for DCCAH to position itself at the forefront of the city?s cultural planning. ? To achieve this goal, DCCAH will endeavor in a cultural planning process to understand the strategic opportunities that will be central to accomplishing this broad vision.",2015-02-27T20:39:16.000Z,http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Cultural_and_Society_WebMercator/MapServer/36,"-77.1094799659,38.8273020471,-76.9198164848,38.9943466559",http://opendata.dc.gov/datasets/938c55f714544e03b3bfdedfcad1f68d_36
http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,Annual Public Space Rental Permits,Annual Public Space Rental Permits,2014-10-30T16:10:02.000Z,http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3,https://maps2.dcgis.dc.gov/dcgis/rest/services/DDOT/TOPS/MapServer/3,"-77.0962,38.8586,-76.97,38.9596",http://opendata.dc.gov/datasets/0a19cd4d215e405a94d95cf5088ab4eb_3
http://opendata.dc.gov/datasets/6a1341ffec934e6fb373f4185e3a0464_2,Moving Violations Issued in March 2017,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2018-04-05T15:20:37.000Z,http://opendata.dc.gov/datasets/6a1341ffec934e6fb373f4185e3a0464_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2017/MapServer/2,"-77.136,38.786,-76.928,38.994",http://opendata.dc.gov/datasets/6a1341ffec934e6fb373f4185e3a0464_2
http://opendata.dc.gov/datasets/ac5b8cbf7f3d4ff6a89c43f8ef7fea6b_9,Wooded Areas 2008,"Wooded Areas. The dataset contains polygons representing planimetric wooded areas, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). These features were originally captured in 1999 and updated in 2005 and 2008. The following planimetric layers were updated: - Building Polygons (BldgPly) - Bridge and Tunnel Polygons (BrgTunPly) - Horizontal and Vertical Control Points (GeoControlPt) - Obscured Area Polygons (ObsAreaPly) - Railroad Lines (RailRdLn) - Road, Parking, and Driveway Polygons (RoadPly) - Sidewalk Polygons (SidewalkPly) - Wooded Areas (WoodPly).",2018-07-19T16:05:52.000Z,http://opendata.dc.gov/datasets/ac5b8cbf7f3d4ff6a89c43f8ef7fea6b_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Planimetrics_2008/MapServer/9,"-77.119,38.8031,-76.937,38.9957",http://opendata.dc.gov/datasets/ac5b8cbf7f3d4ff6a89c43f8ef7fea6b_9
http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,Moving Violations Issued in December 2010,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T02:48:17.000Z,http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2010/MapServer/11,"-77.1095,38.8174,-76.9099,38.9923",http://opendata.dc.gov/datasets/8ccfc339840f4acfa3bf2fc2e805afc8_11
http://opendata.dc.gov/datasets/ae78500807964d93be817f52b5f523cf_126,2012 Traffic Volume,"Traffic volume of Street segments. The dataset contains traffic volume data, created as part of the District of Columbia, Department of Transportation (DDOT) Street Spatial Database (SSD). A database provided by the District of Columbia, Department of Transportation identified traffic volume. Count data is collected (both direction) at pre-selected locations on Highway Performance Monitoring System (HPMS) Sections on a three-year cycle. These counts are converted to Annual Average Daily Traffic (AADT).",2018-04-27T19:13:40.000Z,http://opendata.dc.gov/datasets/ae78500807964d93be817f52b5f523cf_126,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/126,"-77.1167,38.7932,-76.9094,38.9953",http://opendata.dc.gov/datasets/ae78500807964d93be817f52b5f523cf_126
http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,Moving Violations Issued in July 2011,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:05:11.000Z,http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2011/MapServer/6,"-77.11,38.8174,-76.9116,38.9915",http://opendata.dc.gov/datasets/570624ed24f5440486cd2c8249337b0f_6
http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,Parking Violations Issued in January 2009,"Parking citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD)and partner agencies with the authority. For example, the District Department of Transportation's (DDOT)traffic control officers write parking violations to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle'seTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO)geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T21:53:13.000Z,http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2009/MapServer/0,"-77.1067,38.8189,-76.91,38.9936",http://opendata.dc.gov/datasets/e7431d6341c0426c8f9b5f5a14ff061d_0
http://opendata.dc.gov/datasets/c2be7682fc8841e1b883c7ea567d9857_12,Moving Violations Summary for 2013,"The?Vision Zero?data contained in this layer pertain to moving violations issued by the District of Columbia's?Metropolitan Police Department (MPD)?and partner agencies with the authority to do so. For example, the?District Department of Transportation's (DDOT)?traffic control officers who?prevent congestion through enforcement and control at intersections throughout the District. Locations of moving violations are identified from a database provided by the?District?Department of Motor Vehicles (DMV).The data is summarized by ticket counts based on time of day, week of year, year, and category of violation.?The summary form was created as a series of aggregated street segment data, in order to view spatial patterns on a weekly basis. This is a temporal crosstab of violation types (defined below) by week and time of day (ranges defined below).Users are able to query by week to get a DC-wide yearly and weekly perspective on over 40 different combinations of violations.??Create interesting street segment heat maps which can get quite specific to identify patterns and answer questions. For example, where are the majority of Unsafe Operator moving violations in the AM Rush of 2009? These data will give up to 52 distinct street segments of information ? one for each week of the year.Field Definitions:Identification?Weeknumber ? Week of Year, based on a Sunday start of the week StreetSeg ? Street Segment ID, corresponds to the DDOT street centerline ?StreetSegID? field Registered Name ? Street nameStreetType ? Type of Street (Road, Ave, etc)Quad ? DC Quadrant?FromAddLeft ? Unit number start (for approximating this segment?s block)?ToAddLeft ? Unit number end (for approximating this segment?s blockMovingLow Speeding (Under 20mph) - speed violations under 20mphHigh Speeding (above 20mph) - speed violations over 20 mph including reckless drivingUnsafe Driving -violations for driving maneuvers unsafe to traffic?Unsafe Vehicle - violations for vehicle characteristics unsafe to traffic Unsafe Operator- violations for operator (driver) characteristics unsafe to trafficOther- miscellaneous violationsImportant Notes:? Records which could not be associated to a street centerline segment (StreetSeg) were excluded from these summariesRecords which do not have a time of day associated with the violation were excluded from these summaries.",2016-02-10T17:35:30.000Z,http://opendata.dc.gov/datasets/c2be7682fc8841e1b883c7ea567d9857_12,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ViolationsSummary/MapServer/12,"-77.1107,38.8175,-76.9131,38.9897",http://opendata.dc.gov/datasets/c2be7682fc8841e1b883c7ea567d9857_12
