identifier,title,description,issued,modified,landingPage,webService,spatial
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/18374a763ead4ea98ea463c035056e6b_0,DVRPC New Jersey Transportation Improvement Program (TIP) 2018-2021 (point),"The DVRPC FY2018 TIP for NJ(FY2018-2021) was adopted by the DVRPC Board on October 26, 2017, and became effective on January 23, 2018. This important document represents the latest program of transportation projects for the NJ portion of the region. This TIP will remain in effect until at least September 30, 2020.The TIP is the regionally agreed-upon list of priority transportation projects, as required by federal law (ISTEA, TEA-21, SAFETEA LU, MAP-21, and the FAST Act). The TIP document must list all projects that intend to use federal funds, along with all non-federally funded projects that are regionally significant. We also include all other State funded capital projects. The projects are multi-modal; that is, they include bicycle, pedestrian, ITS, and freight related projects, as well as the more traditional highway and public transit projects.",2018-01-22T20:24:22.000Z,2018-06-22T16:08:37.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/18374a763ead4ea98ea463c035056e6b_0,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/NJTIP/FeatureServer/0,"-75.45,39.5354,-74.503,40.3351",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/18374a763ead4ea98ea463c035056e6b_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/07b3b1fe483043a3b912066fe7823acd_2,DVRPC Pennsylvania Transportation Improvement Program (TIP) 2017-2020 (polygon),"The TIP is the regionally agreed-upon list of priority transportation projects, as required by federal law (ISTEA, TEA-21, SAFETEA LU, MAP-21, and the FAST Act). The TIP document must list all projects that intend to use federal funds, along with all non-federally funded projects that are regionally significant. We also include all other State funded capital projects. The projects are multi-modal; that is, they include bicycle, pedestrian, ITS, and freight related projects, as well as the more traditional highway and public transit projects.The?DVRPC FY2017 TIP for PA (FY2017-2020)?was adopted by the DVRPC Board on July 28, 2016, and is in effect from October 1, 2016 to September 30, 2018. This important document catalogs the latest program of transportation projects for the Pennsylvania counties in the bi-state region.",2018-01-22T20:13:34.000Z,2018-01-22T20:14:13.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/07b3b1fe483043a3b912066fe7823acd_2,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/PATIP/FeatureServer/2,"-75.7184,39.8198,-75.0581,40.3719",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/07b3b1fe483043a3b912066fe7823acd_2
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/169a9a6dfaaf492a8dc6dcdd5c38144a_0,DVRPC Connections 2045 Freight Centers,"Connections 2045 Plan for Greater Philadelphia - Administrative Version DVRPC Publication No. 17039 12/2017Greater Philadelphia has 67 identified ?Freight Centers,? which are major focal points and trip generators. The Freight Centers are a testament to the broad range of manufacturing, warehousing, transportation, quarry, and utility activity that occurs locally. They also highlight the strong linkage between freight transportation and job retention and creation.",2018-07-16T18:23:31.000Z,2018-07-16T18:25:37.447Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/169a9a6dfaaf492a8dc6dcdd5c38144a_0,https://services1.arcgis.com/LWtWv6q6BJyKidj8/arcgis/rest/services/DVRPC_Connections_2045_Freight_Centers/FeatureServer/0,"-75.98472901237483,39.729997547358174,-74.49178908711635,40.46383848917891",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/169a9a6dfaaf492a8dc6dcdd5c38144a_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0,DVRPC Port Terminals,The DVRPC port terminals data set represents the landside and pier data for active commercial marine terminals in the Delaware Valley. The data shows piers consolidated by operator along with the landside terminal facilities. Data varies by bulk and general cargo facility. Data was compiled by DVRPC using port terminal marketing materials and outreach with terminal operators.,2016-02-17T19:26:14.000Z,2017-09-21T16:49:23.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0,https://arcgis.dvrpc.org/arcgis/rest/services/Freight/PortTerminals/FeatureServer/0,"-75.4414,39.8039,-74.7261,40.1838",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0,DVRPC Bike Stress DRAFT Philadelphia LTS 3 Connections,"Shows all LTS 3 roads in Philadelphia. ?Top [x] Percent? attributes show if the segment is in the top [x] percent in the city. The percentages are based on the number of connections between Census blocks that would be enabled if LTS was reduced to 1 or 2 along these segments. A value of ?1 ?in the percentage attribute means the segment falls in that percentage, while a value of ?0 ?means that it does not.?",2017-11-02T20:59:20.000Z,2018-07-10T23:08:07.903Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0,https://arcgis.dvrpc.org/arcgis/rest/services/AppData/BSTRESS_PhilaLTS3/MapServer/0,"-75.2645,39.8764,-74.9612,40.131",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f8cf3245754c4b79a89a04a5d278a450_1,Hourly Bicycle Counts,"DVRPC collects traffic volume, bicycle, and pedestrian counts at over 5,000 locations each year. The data is collected by the pneumatic tubes you see laying across the road. DVRPC also obtains traffic data collected by other entities and includes that data in its database as a public service. Traffic data is used by transportation engineers and planners, developers, market analysts, and may be of interest to the general public. This file is updated nightly.",2015-07-15T18:19:34.000Z,2018-07-10T23:02:42.665Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f8cf3245754c4b79a89a04a5d278a450_1,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/BicycleCounts/FeatureServer/1,"-75.8298,39.6098,-74.4805,40.4421",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f8cf3245754c4b79a89a04a5d278a450_1
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/2674bf6a117b4b788c3d2be4a48edb7d_0,DVRPC Freight Good Neighbor,"Freight as a good neighbor, is an initiative to highlight cooperation across private, public and non-profit interests to reduce negative externalities related to freight activity. These features respresent examples from the DVRPC region.",2016-02-17T19:20:57.000Z,2018-07-10T23:12:40.622Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/2674bf6a117b4b788c3d2be4a48edb7d_0,https://arcgis.dvrpc.org/arcgis/rest/services/Freight/GoodNeighbor/FeatureServer/0,"-75.6092,39.8185,-74.587,40.2197",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/2674bf6a117b4b788c3d2be4a48edb7d_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0,DVRPC Intermodal Rail Yards,"Intermodal rail terminals provide key connections between the nation freight rail network and local shippers and receivers. The DVRPC intermodal rail terminals data set represents four types of intermodal terminals: trans-flow, transload, auto-intermodal and intermodal container.",2016-02-17T19:22:21.000Z,2018-07-10T23:10:05.141Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0,https://arcgis.dvrpc.org/arcgis/rest/services/Freight/IntermodalRailYard/FeatureServer/0,"-76.0253,39.7457,-74.7645,40.241",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f2ffbb0bf69e4771898ff0c12b879fc3_0,DVRPC Pennsylvania Transportation Improvement Program (TIP) 2017-2020 (point),"The TIP is the regionally agreed-upon list of priority transportation projects, as required by federal law (ISTEA, TEA-21, SAFETEA LU, MAP-21, and the FAST Act). The TIP document must list all projects that intend to use federal funds, along with all non-federally funded projects that are regionally significant. We also include all other State funded capital projects. The projects are multi-modal; that is, they include bicycle, pedestrian, ITS, and freight related projects, as well as the more traditional highway and public transit projects.The?DVRPC FY2017 TIP for PA (FY2017-2020)?was adopted by the DVRPC Board on July 28, 2016, and is in effect from October 1, 2016 to September 30, 2018. This important document catalogs the latest program of transportation projects for the Pennsylvania counties in the bi-state region.",2018-01-22T20:02:50.000Z,2018-07-10T23:03:07.908Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f2ffbb0bf69e4771898ff0c12b879fc3_0,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/PATIP/FeatureServer/0,"-76.0104,39.5795,-74.7717,40.5802",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f2ffbb0bf69e4771898ff0c12b879fc3_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0,DVRPC Demographic and Employment Forecast Data by Municipality - 2010 to 2040,"As the region's metropolitan planning organization (MPO), DVRPC provides technical assistance and services to its member state, county, and local governments; the private sector; and the public. Delaware Valley Data is our periodic series of free data bulletins, data snapshots, and analytical data reports. This analytical data report provides revised 2040 and interim-year population and employment forecasts for the DVRPC region?s counties and municipalities. DVRPC prepared these forecasts in order to incorporate the results of the 2010 Census, account for the ongoing economic recession, and maintain a 30-year planning horizon. 2040 population forecasts were originally adopted by the DVRPC Board on January 26, 2012 and published in April 2012 in Analytical Data Report 18. On February 28, 2013, the DVRPC Board amended the 2040 and interim year population forecasts for Upper Merion Township in Montgomery County, Pennsylvania, to account for a significant residential development that was unforeseen when the 2040 population forecasts were adopted in January 2012. This amendment resulted in corresponding revisions to the population forecasts for Montgomery County and the DVRPC region as a whole. This amended analytical data report includes these revisions. This report also consolidates the adopted population forecasts for Princeton Township and Princeton Borough in Mercer County, New Jersey, which merged and became one municipality known simply as Princeton on January 1, 2013. Additionally, inconsistencies in some summary totals in ADR 18 caused by rounding were also corrected. The adopted population forecasts provided in this report will serve as the basis for DVRPC?s planning and modeling activities, along with the 2040 employment forecasts that were prepared and adopted in September 2012.NETS database for 2010 was used for employment data.http://www.dvrpc.org/asp/pubs/publicationabstract.asp?pub_id=ADR019http://www.dvrpc.org/asp/pubs/publicationabstract.asp?pub_id=ADR018-ASource of geographic boundaries: DVRPC",2016-02-17T14:05:27.000Z,2018-07-10T23:00:48.998Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0,https://arcgis.dvrpc.org/arcgis/rest/services/Demographics/PopEmpForecastMCD/FeatureServer/0,"-76.151337,39.509354,-74.381483,40.608726",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/def7081206b042cd848abe95a4a61a82_0,DVRPC Connections 2045 Planning Areas,"Connections 2045 Plan for Greater Philadelphia - Administrative Version DVRPC Publication No. 17039 12/2017Greater Philadelphia is a complex mosaic of 352 diverse cities, boroughs, and townships. The Connections 2045 Long-Range Plan characterizes each of the region?s municipalities as either a Core City, Developed Community, Growing Suburb, or Rural Area, as a means of categorizing the types of communities and defining the corresponding long-range planning policies most appropriate for each type. This categorization is shown on the Planning Areas and Centers dataset. Many municipalities have areas within their boundaries that fit the characteristics of more than one of these Planning Area types. Gloucester Township (in Camden County, New Jersey), for example, has neighborhoods that are fully developed, but it also has a significant number of undeveloped acres and forecasted population and employment growth more characteristic of a Growing Suburb. The intent of the Plan is to assign to each municipality the planning area type associated with the long-range planning policies that will be most beneficial to the entire community. While the Planning Areas and Centers map is a guide for policy direction at the regional scale, actual approaches should always be guided by local conditions.The region?s four Core Cities are Philadelphia, Trenton, Camden, and Chester. Targeted infrastructure investment, maintenance and rehabilitation, comprehensive neighborhood revitalization, and efforts focused on reinforcing a network of social and educational programs will help to rebuild and revitalize the region?s cities.Developed Communities are places that have already experienced most of their population and employment growth, and include inner ring communities adjacent to the Core Cities; railroad boroughs and trolley car communities; and mature suburban townships. Many of these communities are stable and thriving, offering affordable housing opportunities; access to transit; safe pedestrian and bicycling environments; and a strong community identity. Others, however, are experiencing population and employment losses; have deteriorating infrastructure systems; have aging resident populations living on limited incomes; and have stagnant or declining tax bases that cannot keep pace with rising service demands. Rehabilitation and maintenance of infrastructure systems and the housing stock, and local economic and community development can help to reinforce location advantages, while stabilizing neighborhoods and stemming decline.Growing Suburbs are communities that have a significant number of developable acres remaining and are experiencing or are forecast to experience significant population and/or employment growth. Key planning policies in these communities focus on the need to improve the form of development, reduce congestion, and mitigate the negative consequences of unmanaged growth, and include growth management and enhanced community design. Smart growth techniques that support a more concentrated development pattern (such as clustering, mixed uses, transit-oriented development, and transfer of development rights) can provide the critical mass necessary to support new transit services and other alternatives to the automobile. The quality of design and architectural character of the built environment, open space preservation, and the creation of an integrated system of open space and recreation are all priorities in these communities.Rural Areas include the region?s agricultural communities and communities with large remaining natural areas. Key policy approaches for these communities focus on preservation and limiting development, and include limited expansion of infrastructure systems, preservation of a rural lifestyle and village character, support for continued farming, and enhanced natural resource protection. Livable communities in these areas include rural centers that have an identi fi able main street, a mix of uses, higher densities than their surrounding uses, and a true sense of place. ",2018-07-13T15:38:26.000Z,2018-07-13T15:47:08.528Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/def7081206b042cd848abe95a4a61a82_0,https://services1.arcgis.com/LWtWv6q6BJyKidj8/arcgis/rest/services/DVRPC_Connections_2045_Planning_Areas/FeatureServer/0,"-76.13307803135899,39.50936157024132,-74.38148475618051,40.607078112155676",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/def7081206b042cd848abe95a4a61a82_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0,DVRPC Protected Open Space (2016),"Protected Open Space for the DVRPC Region as of 2016. DVRPC maintains an inventory of protected public and private open space in the Delaware Valley. The inventory tracks all publicly-owned open space, preserved farmland, and non profit protected open space. State, county and municipal programs preserve farms by purchasing development rights with public funds. Non-profits (land trusts and conservancies) protect privately owned open space lands by purchasing easements or by acquiring land outright with a combination of public and private funds. This file is a compilation from the following sources and is not necessarily parcel-based: Bucks County Planning Commission; Burlington County Department of Economic Development and Regional Planning; Camden County Division of Open Space and Farmland Preservation; Camden County Improvement Authority; Chester County Planning Commission; Delaware County Planning Department; Gloucester County Planning Division; Mercer County Planning Division; Montgomery County Planning Commission; Natural Lands Trust; New Jersey Conservation Foundation; New Jersey Department of Environmental Protection; New Jersey State Agriculture Development Committee; Pennsylvania Department of Conservation and Natural Resources; Philadelphia City Planning Commission; Philadelphia Department of Parks and Recreation In the cases where land had multiple owners, the following heirarchy was applied: 1. Preserved Farmland 2. Federal 3. State 4. County 5. Municipal 6. Nonprofit",2015-07-16T14:39:12.000Z,2018-01-12T16:17:23.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0,https://arcgis.dvrpc.org/arcgis/rest/services/Planning/ProtectedOpenSpace/FeatureServer/0,"-76.1513,39.5238,-74.3815,40.6082",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/78ff6fa6d6a848ac8d5bc919d51eef38_0,DVRPC Equity Through Access - Priority Score,"The Equity Through Access (ETA) project of the Delaware Valley Regional Planning Commission (DVRPC) is an update to the region's Coordinated Human Services Transportation Plan (CHSTP). The ETA project engaged a variety of stakeholders to identify unmet needs and service gaps, recommend innovative transportation access solutions, and empower communities to climb ladders of opportunity towards greater social and economic mobility.

As part of the ETA project, DVRPC developed the Priority Score to visualize where gaps in service may be occurring. The data in this dataset is used in the ETA Map ToolkitThis Census block group level dataset aims to highlight:
areas of vulnerable populations; areas of essential services; where there's a spatial mismatch between vulnerable populations and essential services; areas of low transit accessibility; areas where there's a greater need for transit services to improve mobility for vulnerable populations to essential services",2017-04-14T14:08:25.000Z,2018-07-10T23:04:34.277Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/78ff6fa6d6a848ac8d5bc919d51eef38_0,https://arcgis.dvrpc.org/arcgis/rest/services/Planning/DVRPC_ETA_PScore/FeatureServer/0,"-76.1514,39.5093,-74.3813,40.6087",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/78ff6fa6d6a848ac8d5bc919d51eef38_0
