Title,Alternative Title,Description,Rights,Provenance,Is Part Of,Subject,Spatial Coverage,Temporal Coverage,Date Issued,Creator,Publisher,Format,Language,Type,Identifier,UUID,Geometry Type,GeoRSS Box,Apache Solr Year,Information Page,Download File,Esri Rest Service,Tags
"City Township Boundaries: Carver County, Minnesota","Administrative, City Township Boundaries",Summary Carver County City and Township Boundary file. Description This is a polygon dataset for the city and township boundaries within Carver County derived from the County Surveryor's base map.,Public,Minnesota,ArcGIS Open Data,Boundaries,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,2c06019eb3534e3d8930be81009c34c9_9,2c06019eb3534e3d8930be81009c34c9_9,surface,"-94.0129,44.6347,-93.5108,44.9788",2014,http://data-carver.opendata.arcgis.com/datasets/2c06019eb3534e3d8930be81009c34c9_9,http://data-carver.opendata.arcgis.com/datasets/2c06019eb3534e3d8930be81009c34c9_9.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Administrative/MapServer/9,MapServer
"County Boundary: Carver County, Minnesota","Administrative, County Boundary",Summary Carver County Boundary file. Description This is a polygon dataset for the County Boundary derived from the County Surveryor's base map.,Public,Minnesota,ArcGIS Open Data,Boundaries,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,5/29/2014,CarverGIS,Carver County,Shapefile,English,Dataset,f8f50203413a49178aa051536083d1b0_10,f8f50203413a49178aa051536083d1b0_10,surface,"-94.0129,44.6347,-93.5194,44.9788",2014,http://data-carver.opendata.arcgis.com/datasets/f8f50203413a49178aa051536083d1b0_10,http://data-carver.opendata.arcgis.com/datasets/f8f50203413a49178aa051536083d1b0_10.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Administrative/MapServer/10,MapServer
"Major Watersheds: Carver County, Minnesota","Hydrography, Major Watersheds",Major Watersheds within Carver County.,Public,Minnesota,ArcGIS Open Data,Utilities and Communications|Inland Waters|Geoscientific Information,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,502e97a1de6246b7ac0bc94f3ef53a52_10,502e97a1de6246b7ac0bc94f3ef53a52_10,surface,"-94.0172,44.631,-93.5165,44.9819",2014,http://data-carver.opendata.arcgis.com/datasets/502e97a1de6246b7ac0bc94f3ef53a52_10,http://data-carver.opendata.arcgis.com/datasets/502e97a1de6246b7ac0bc94f3ef53a52_10.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Hydrography/MapServer/10,MapServer
"NonPublic Tiles: Carver County, Minnesota","Hydrography, NonPublic Tiles",Nonpublic tiles within Carver County.,Public,Minnesota,ArcGIS Open Data,Utilities and Communications|Inland Waters|Geoscientific Information,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,a3ff6c0a00e44a2ca0b110332925cff5_6,a3ff6c0a00e44a2ca0b110332925cff5_6,curve,"-94.0251,44.6312,-93.5088,44.9872",2014,http://data-carver.opendata.arcgis.com/datasets/a3ff6c0a00e44a2ca0b110332925cff5_6,http://data-carver.opendata.arcgis.com/datasets/a3ff6c0a00e44a2ca0b110332925cff5_6.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Hydrography/MapServer/6,MapServer
"Public Ditches: Carver County, Minnesota","Hydrography, Public Ditches",Public ditches within Carver County.,Public,Minnesota,ArcGIS Open Data,Utilities and Communications|Inland Waters|Geoscientific Information,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,b14dca0f63b64ccaaf591fcd38fd0d3c_2,b14dca0f63b64ccaaf591fcd38fd0d3c_2,curve,"-94.0251,44.6312,-93.5088,44.9872",2014,http://data-carver.opendata.arcgis.com/datasets/b14dca0f63b64ccaaf591fcd38fd0d3c_2,http://data-carver.opendata.arcgis.com/datasets/b14dca0f63b64ccaaf591fcd38fd0d3c_2.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Hydrography/MapServer/2,MapServer
"Hydrography, Public Tiles: Carver County, Minnesota","Hydrography, Public Tiles",Public tiles within Carver County.,Public,Minnesota,ArcGIS Open Data,Utilities and Communications|Inland Waters|Geoscientific Information,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,6151b07ae6374202b5fd0f63869a770d_5,6151b07ae6374202b5fd0f63869a770d_5,curve,"-94.0251,44.6312,-93.5088,44.9872",2014,http://data-carver.opendata.arcgis.com/datasets/6151b07ae6374202b5fd0f63869a770d_5,http://data-carver.opendata.arcgis.com/datasets/6151b07ae6374202b5fd0f63869a770d_5.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Hydrography/MapServer/5,MapServer
"Floodway: Carver County, Minnesota","Floodplain, Floodway",2010 FEMA DFIRM floodway.,Public,Minnesota,ArcGIS Open Data,Inland Waters,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,db197f51e3644bf18d7b543b60bcd1fd_2,db197f51e3644bf18d7b543b60bcd1fd_2,surface,"-94.0129,44.6343,-93.5194,44.9788",2014,http://data-carver.opendata.arcgis.com/datasets/db197f51e3644bf18d7b543b60bcd1fd_2,http://data-carver.opendata.arcgis.com/datasets/db197f51e3644bf18d7b543b60bcd1fd_2.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Floodplain/MapServer/2,MapServer
"Lakesheds: Carver County, Minnesota","Hydrography, Lakesheds",Lakesheds for Carver County lakes.,Public,Minnesota,ArcGIS Open Data,Inland Waters,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,1bebe2b7addb42b79378cec1be9f9103_9,1bebe2b7addb42b79378cec1be9f9103_9,surface,"-94.0176,44.65,-93.516,44.9814",2014,http://data-carver.opendata.arcgis.com/datasets/1bebe2b7addb42b79378cec1be9f9103_9,http://data-carver.opendata.arcgis.com/datasets/1bebe2b7addb42b79378cec1be9f9103_9.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Hydrography/MapServer/9,MapServer
"Base Flood Elevation: Carver County, Minnesota","Floodplain, Base Flood Elevation",2010 FEMA DFIRM base flood elevations.,Public,Minnesota,ArcGIS Open Data,Inland Waters|Elevation|Imagery Base Maps Earth Cover|Intelligence Military,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,6/5/2014,CarverGIS,Carver County,Shapefile,English,Dataset,ce4fdaf6e33541a69be07f0191c9f5fe_1,ce4fdaf6e33541a69be07f0191c9f5fe_1,surface,"-94.0128,44.6398,-93.5203,44.9777",2014,http://data-carver.opendata.arcgis.com/datasets/ce4fdaf6e33541a69be07f0191c9f5fe_1,http://data-carver.opendata.arcgis.com/datasets/ce4fdaf6e33541a69be07f0191c9f5fe_1.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Floodplain/MapServer/1,MapServer
"Commissioner Districts: Carver County, Minnesota","Administrative, Commissioner Districts",Carver County commissioner districts.,Public,Minnesota,ArcGIS Open Data,Location,"5037779: Minnesota (country, state, region,...), Minnesota, United States|5020499: Carver County (country, state, region,...), Minnesota, United States",,5/29/2014,CarverGIS,Carver County,Shapefile,English,Dataset,7bfd682ca3124a47a51b714a5542b52a_3,7bfd682ca3124a47a51b714a5542b52a_3,surface,"-94.0129,44.6347,-93.5194,44.9788",2014,http://data-carver.opendata.arcgis.com/datasets/7bfd682ca3124a47a51b714a5542b52a_3,http://data-carver.opendata.arcgis.com/datasets/7bfd682ca3124a47a51b714a5542b52a_3.zip,https://gis.co.carver.mn.us/arcgis_ea/rest/services/OpenAccess/CC_Administrative/MapServer/3,MapServer
