identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.gis.co.scott.mn.us/datasets/26659cd8ba5949abbf9faf973584fc9b_0,Sections,"This dataset contains Public Land Survey System sections within Scott County. Attributes include Township, Range, and Section. This data is maintained by the Scott County Survey Department.",2016-08-10T21:09:29.000Z,2017-10-19T13:49:15.980Z,http://opendata.gis.co.scott.mn.us/datasets/26659cd8ba5949abbf9faf973584fc9b_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Sections/FeatureServer/0,"-93.92122874387799,44.486275469541546,-93.26014318629115,44.86567974952462",http://opendata.gis.co.scott.mn.us/datasets/26659cd8ba5949abbf9faf973584fc9b_0
http://opendata.gis.co.scott.mn.us/datasets/0b6c02bd5c674c72bf3493a9c929eb1d_0,Street Centerlines,This dataset contains the street centerlines within Scott County. The data schema is consistent with the standards established by MetroGIS and its partners as part of the Metro Regional Centerline Collaborative (MRCC). This centerline data should be considered preliminary until the MRCC effort is finalized.,2016-10-21T20:14:56.000Z,2017-10-08T22:38:02.632Z,http://opendata.gis.co.scott.mn.us/datasets/0b6c02bd5c674c72bf3493a9c929eb1d_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Street_Centerlines/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://opendata.gis.co.scott.mn.us/datasets/0b6c02bd5c674c72bf3493a9c929eb1d_0
http://opendata.gis.co.scott.mn.us/datasets/5ba7fdf4df8f456c9fe0dca6e675d8e7,2014 County Highway Map (Front),"Detailed highway map of Scott County. This is the front of the map showing the locations of highways, townships, lakes, rivers, etc...",2015-08-11T18:15:13.000Z,2017-10-19T13:49:13.465Z,http://opendata.gis.co.scott.mn.us/datasets/5ba7fdf4df8f456c9fe0dca6e675d8e7,http://gis.co.scott.mn.us/maps/maps/Public_Works/Front2014.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/5ba7fdf4df8f456c9fe0dca6e675d8e7
http://opendata.gis.co.scott.mn.us/datasets/38ddaa84dcda4eb0a3d3f51ed57c1298,Electric Service Areas Map,Electric Service Areas map showing electric service areas within Scott County.,2015-08-11T21:14:07.000Z,2017-10-19T13:49:06.613Z,http://opendata.gis.co.scott.mn.us/datasets/38ddaa84dcda4eb0a3d3f51ed57c1298,http://gis.co.scott.mn.us/maps/maps/Public_Works/Electric_Service_Areas.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/38ddaa84dcda4eb0a3d3f51ed57c1298
http://opendata.gis.co.scott.mn.us/datasets/6720d3dd0b864d7c9d2e23deb073346c,Minor Basins Map,Minor Basins map showing minor basin locations within Scott County.,2015-08-11T20:49:26.000Z,2017-10-19T13:49:14.964Z,http://opendata.gis.co.scott.mn.us/datasets/6720d3dd0b864d7c9d2e23deb073346c,http://gis.co.scott.mn.us/maps/maps/Community_Development/Minor_Basins.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/6720d3dd0b864d7c9d2e23deb073346c
http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0,Smoke Free Public Housing,Smoke free public housing within Scott County. Locations include smoke free apartments and townhomes.,2016-08-10T21:19:33.000Z,2017-10-08T22:50:17.365Z,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Smoke_Free_Public_Housing/FeatureServer/0,"-93.82907525037301,44.55224760489705,-93.28225090423439,44.865900728916756",http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0
http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0,Points of Interest,Points of Interest,2016-08-10T20:10:14.000Z,2017-10-08T22:47:32.306Z,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Points_of_Interest/FeatureServer/0,"-93.86059201527026,44.50289537591703,-93.27639246512634,44.83821556467814",http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0
http://opendata.gis.co.scott.mn.us/datasets/973e782b5fc74a0c8e7595d06955b774,Minor Civil Divisions Map,Minor Civil Divisions map showing cities and townships within Scott County.,2015-08-11T20:09:49.000Z,2017-10-19T13:49:14.379Z,http://opendata.gis.co.scott.mn.us/datasets/973e782b5fc74a0c8e7595d06955b774,http://gis.co.scott.mn.us/maps/maps/Community_Development/Municipal_Civil_Divisions_MCD.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/973e782b5fc74a0c8e7595d06955b774
http://opendata.gis.co.scott.mn.us/datasets/6c8cceb230ba49539510d1790efc99ed_0,Bluff Overlay,Bluffs within Scott County.,2016-04-08T18:20:22.000Z,2017-10-19T13:49:15.792Z,http://opendata.gis.co.scott.mn.us/datasets/6c8cceb230ba49539510d1790efc99ed_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Bluff_Overlay/FeatureServer/0,"-93.89401455348894,44.5423071814825,-93.28114968593015,44.77720277070464",http://opendata.gis.co.scott.mn.us/datasets/6c8cceb230ba49539510d1790efc99ed_0
http://opendata.gis.co.scott.mn.us/datasets/a007b09fc8f84963867291d05fc68ad1,Transmission Lines Map,Transmission Line map showing transmission lines within Scott County.,2015-08-11T21:11:58.000Z,2017-10-19T13:49:06.414Z,http://opendata.gis.co.scott.mn.us/datasets/a007b09fc8f84963867291d05fc68ad1,http://gis.co.scott.mn.us/maps/maps/Public_Works/Transmission_Lines.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/a007b09fc8f84963867291d05fc68ad1
http://opendata.gis.co.scott.mn.us/datasets/290a2c0997344178bff826e294e79589,2008-2017 Transportation Improvement Program Map,2008-2017 Transportation Improvement Program map showing plans for road improvements within Scott County.,2015-08-11T21:07:16.000Z,2017-10-19T13:49:14.970Z,http://opendata.gis.co.scott.mn.us/datasets/290a2c0997344178bff826e294e79589,http://gis.co.scott.mn.us/maps/maps/Public_Works/2008-2017_Transportation_Improvement_Program.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/290a2c0997344178bff826e294e79589
http://opendata.gis.co.scott.mn.us/datasets/4b530484097f420c908565538553c05b,Ditch Inventory Map,Ditch Inventory map showing ditch locations in Scott County.,2015-08-11T20:16:56.000Z,2017-10-19T13:49:14.034Z,http://opendata.gis.co.scott.mn.us/datasets/4b530484097f420c908565538553c05b,http://gis.co.scott.mn.us/maps/maps/Community_Development/Ditch_Inventory.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/4b530484097f420c908565538553c05b
http://opendata.gis.co.scott.mn.us/datasets/4781517135184693b1f37d7e793aba6a,Hydric Soils Map,Hydric Soils in Scott County Minnesota.,2015-08-11T20:06:13.000Z,2017-10-19T13:49:15.031Z,http://opendata.gis.co.scott.mn.us/datasets/4781517135184693b1f37d7e793aba6a,http://gis.co.scott.mn.us/maps/maps/Community_Development/Hydric_Soils.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/4781517135184693b1f37d7e793aba6a
http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0,Building Permits,"Scott County building
permit data represents permit data that is created and maintained by the
Property and Taxation Services department.? This permit data represents
permits that are issued on or after January 1, 2010, within a township, and
that have a status of Finalled, Issued, or Expired.? Scott County is the
permitting authority for the townships, to obtain permit data for a city within
Scott County please contact the city. Once data has been downloaded and opened in Excel, you must select the dateIssued field and change the field type to Short Date or Long Date.",2016-01-25T20:55:33.000Z,2017-09-25T19:46:53.937Z,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Building_Permits/FeatureServer/0,"-160.0,-80.00000000000001,160.0,80.0",http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0
http://opendata.gis.co.scott.mn.us/datasets/cda7d43295f54cdcb918f06938258ca2_0,Buildings,Buildings within Scott County. This planimetric data was collected in 2003.,2015-09-03T21:55:40.000Z,2017-10-19T13:49:15.473Z,http://opendata.gis.co.scott.mn.us/datasets/cda7d43295f54cdcb918f06938258ca2_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Buildings/FeatureServer/0,"-93.89057168474294,44.54252457147889,-93.27791666775902,44.80406556503441",http://opendata.gis.co.scott.mn.us/datasets/cda7d43295f54cdcb918f06938258ca2_0
http://opendata.gis.co.scott.mn.us/datasets/5c790ccce70148d5b0d2bb46ab5eb109,School Locations Map,School location map showing school locations within Scott County.,2015-08-11T20:57:46.000Z,2017-10-19T13:49:07.055Z,http://opendata.gis.co.scott.mn.us/datasets/5c790ccce70148d5b0d2bb46ab5eb109,http://gis.co.scott.mn.us/maps/maps/Public_Works/School_Locations.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/5c790ccce70148d5b0d2bb46ab5eb109
http://opendata.gis.co.scott.mn.us/datasets/a86028e2833e4a5fb2994ed86737d5a4,Conservation Reserve Enhancement Program Map,"Conservation Reserve Enhancement Program map of Scott County, Minnesota.",2015-08-11T18:30:44.000Z,2017-10-19T13:49:15.128Z,http://opendata.gis.co.scott.mn.us/datasets/a86028e2833e4a5fb2994ed86737d5a4,http://gis.co.scott.mn.us/maps/maps/Community_Development/Conservation_Reserve_Enhancement_Program.pdf,"-93.726,44.408,-93.276,44.858",http://opendata.gis.co.scott.mn.us/datasets/a86028e2833e4a5fb2994ed86737d5a4
