@type,identifier,title,description,keyword/0,keyword/1,keyword/2,keyword/3,issued,modified,publisher/name,contactPoint/@type,contactPoint/fn,contactPoint/hasEmail,accessLevel,distribution/0/@type,distribution/0/title,distribution/0/format,distribution/0/mediaType,distribution/0/accessURL,distribution/1/@type,distribution/1/title,distribution/1/format,distribution/1/mediaType,distribution/1/accessURL,distribution/2/@type,distribution/2/title,distribution/2/format,distribution/2/mediaType,distribution/2/downloadURL,distribution/3/@type,distribution/3/title,distribution/3/format,distribution/3/mediaType,distribution/3/downloadURL,landingPage,webService,license,spatial,distribution/4/@type,distribution/4/title,distribution/4/format,distribution/4/mediaType,distribution/4/downloadURL,distribution/5/@type,distribution/5/title,distribution/5/format,distribution/5/mediaType,distribution/5/downloadURL,theme/0,keyword/4,keyword/5,keyword/6,keyword/7
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0,Building Permits,"<p>Scott County building
permit data represents permit data that is created and maintained by the
Property and Taxation Services department.  This permit data represents
permits that are issued on or after January 1, 2010, within a township, and
that have a status of Finalled, Issued, or Expired.  Scott County is the
permitting authority for the townships, to obtain permit data for a city within
Scott County please contact the city. Once data has been downloaded and opened in Excel, you must select the dateIssued field and change the field type to Short Date or Long Date.</p>",Scott County Minnesota,Building Permits,Livable,Safe,2016-01-25T20:55:33.000Z,2017-03-27T21:51:36.410Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Building_Permits/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0.csv,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Building_Permits/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/7e4ff334783847f1b85499aed8f3cbb4_0/license.json,"-160.0,-80.00000000000001,160.0,80.0",,,,,,,,,,,,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0,Split Zoning,"Scott County Split Zoning. Zoning data falls into 1 of 12 categories:
A-1 = Agricultural Preservation District
A-2 = Agricultural Woodlands District
A-3 = Agricultural Preservation Density District
C-1 = General Commercial District
I-1 = Rural Industrial District
RR-1 = Rural Residential Reserve District
RR-1C = Rural Residential Reserve Cluster District
RR-2 = Rural Residential Single Family District
RR-3 = Residential Suburban Single Family District
UBR = Urban Business Reserve District
UER = Urban Expansion Reserve District
UERC = Urban Expansion Reserve Cluster District
UTR = Urban Transition Reserve District
UTR-C = Urban Transition Reserve Cluster District",Scott County Minnesota, Zoning, Property,,2016-08-10T21:31:29.000Z,2017-02-10T22:45:50.880Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Split_Zoning/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0.csv,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Split_Zoning/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0/license.json,"-93.89458356569068,44.48766857085602,-93.27498326081356,44.84336468840095",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/96d49c0337bf48599d4cb454e088f408_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0,Smoke Free Public Housing,Smoke free public housing within Scott County. Locations include smoke free apartments and townhomes.,Scott County Minnesota, Smoke Free Public Housing, People,,2016-08-10T21:19:33.000Z,2017-02-10T22:44:28.011Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Smoke_Free_Public_Housing/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0.csv,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Smoke_Free_Public_Housing/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0/license.json,"-93.82907525037301,44.55224760489705,-93.28225090423439,44.865900728916756",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0,Polling Precincts,"This dataset contains polling precincts within Scott County. The county is broken up into 49 precincts.
",Scott County Minnesota, Polling Precincts, Voting, Elections,2016-08-10T20:49:14.000Z,2017-02-10T22:43:15.376Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Polling_Precincts/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0.csv,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Polling_Precincts/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0/license.json,"-93.92122874387799,44.486275469541546,-93.26014318629115,44.86567974952462",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/b9d1688fec5741b7819d151213521203_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0,Polling Places,"This dataset contains polling places throughout Scott County. Attributes include polling location, address, and precinct.",Polling Places, Scott County Minnesota, Elections,,2016-08-10T20:17:46.000Z,2017-02-10T22:41:59.190Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Polling_Places/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0.csv,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Polling_Places/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0/license.json,"-93.86109986096807,44.516467098130406,-93.30753949604697,44.834292695421716",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/0d9749c775174de6995066b205e5fda5_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0,Points of Interest,Points of Interest,POI, Points of Interest, Scott County Minnesota, Property,2016-08-10T20:10:14.000Z,2017-02-10T22:40:50.908Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Points_of_Interest/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0.csv,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Points_of_Interest/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0/license.json,"-93.86059201527026,44.50289537591703,-93.27639246512634,44.83821556467814",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0,Parcels,"Scott County Parcels represent property tax boundaries and were created, and are maintained, by the Survey department. The tax boundaries are joined to the Assessor's CAMA data using the PID field providing field attributes for each property. For a list of field descriptions, click here.",Scott County Minnesota, Parcels, Property,,2016-08-09T21:20:29.000Z,2017-02-10T22:39:40.084Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Parcels/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0.csv,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Parcels/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0/license.json,"-94.0998532989391,44.38814887946268,-93.09210567476022,44.965744503406356",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/93bdfb2c9a9f4c2b9a53b87dd875a4be_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0,Minor Civil Divisions,This dataset contains the Minor Civil Divisions within Scott County.,Scott County Minnesota, Cities, Townships, Administrative,2016-08-09T21:09:27.000Z,2017-02-10T22:33:39.396Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Minor_Civil_Divisions/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0.csv,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Minor_Civil_Divisions/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0/license.json,"-93.91553719234781,44.49286808951896,-93.26664872295001,44.865274431382346",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/edb2d3607f0f4e1491fef03d75802e9f_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0,Foreclosures,This dataset contains foreclosures that have occurred in Scott County. This dataset is current and has records that date back to 1985.,Scott County Minnesota, Foreclosures, Livable, Property,2016-08-09T20:58:52.000Z,2017-02-10T22:33:01.347Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Foreclosures/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0.csv,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Foreclosures/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0/license.json,"-93.931919322261,44.483964665065116,-93.23219020415927,44.853133841785834",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/c07b378a7f5247558d5f339a9570094c_0.zip,geospatial,,,,
dcat:Dataset,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0,Food Resources,"Food Resources within Scott County. Locations include community gardens, farmers markets, food programs, food shelves, and grocery stores. ",Scott County Minnesota, Food, People,,2016-08-09T20:29:13.000Z,2017-02-10T22:31:57.781Z,Scott County Minnesota,vcard:Contact,Patrick Thorsell,mailto:gis@co.scott.mn.us,public,dcat:Distribution,ArcGIS Open Dataset,Web page,text/html,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0,dcat:Distribution,Esri Rest API,Esri REST,application/json,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Food_Resources/FeatureServer/0,dcat:Distribution,GeoJSON,GeoJSON,application/vnd.geo+json,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0.geojson,dcat:Distribution,CSV,CSV,text/csv,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0.csv,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Food_Resources/FeatureServer/0,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0/license.json,"-93.77155608146514,44.5413476280892,-93.33201825318505,44.8014133403349",dcat:Distribution,KML,KML,application/vnd.google-earth.kml+xml,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0.kml,dcat:Distribution,Shapefile,ZIP,application/zip,http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0.zip,geospatial,,,,
