identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12,Lake Michigan Shoreline,Lake Michigan ShorelineMore Metadata,2015-03-02T20:04:26.000Z,2017-06-05T17:03:38.008Z,http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/12,"-88.7468,41.4985,-84.9001,46.1051",http://gis-michigan.opendata.arcgis.com/datasets/5e2911231fe246128d0ff8495935ee85_12
http://gis-michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0,Bedrock Geology,Michigan bedrock geologyMore Metadata,2015-02-27T21:20:37.000Z,2017-06-05T16:34:48.855Z,http://gis-michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/0,"-90.4185,41.6961,-82.4186,48.2627",http://gis-michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0
http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27,MDOT Maintenance Responsibility,"The Maintenance Responsibility layer is a delineation of which entities are responsible for maintenance on Michigan Trunkline routes. This information enables MDOT to track and compare the costs of doing business between the various parties responsible for maintenance. These parties include MDOT maintenance garages, county road commissions, cities, and bridge authorities. Please see the?MDOT Metadata Form?for additional information.?Update Cycle: Maintenance Responsibility is updated on an annual basis in conjunction with the Lane Mile Inventory (LMI) release and is based on the new framework version. Any additional changes to the data are provided by the data owner to DOGMA staff for inclusion that year.Coverage: This inventory is complete in its coverage of all State of Michigan trunkline roadways.Symbology: The symbology for the Maintenance Responsibility layer is categorized using the MAINTENANCE field and grouped by MDOT, County, and Local Agency services with different colors for each and a size 2 line.Contact: Margaret Kramer,?kramerm@michigan.gov",2015-06-03T19:02:32.000Z,2017-06-05T16:23:52.293Z,http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/27,"-90.2677,41.6417,-82.135,47.4964",http://gis-michigan.opendata.arcgis.com/datasets/796ee43a52a54a71a716d9a5af7ec56f_27
http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3,Saginaw Bay (Lake Huron) Bathymetric Contours,Bathymetric Contours in Saginaw Bay (Lake Huron)More Metadata,2015-03-03T17:09:16.000Z,2017-06-05T16:57:06.319Z,http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/3,"-83.9621,43.5701,-83.0636,44.1723",http://gis-michigan.opendata.arcgis.com/datasets/23ff824509bb4ceb94db6a4d5d3b0e64_3
http://gis-michigan.opendata.arcgis.com/datasets/e38a9564839040f2a34272af79084168_23,Lake Polygons,Michigan Lake PolygonsMore Metadata,2015-03-02T20:09:09.000Z,2017-06-05T17:03:06.179Z,http://gis-michigan.opendata.arcgis.com/datasets/e38a9564839040f2a34272af79084168_23,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/23,"-90.3753,41.6986,-82.4603,48.1594",http://gis-michigan.opendata.arcgis.com/datasets/e38a9564839040f2a34272af79084168_23
http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,Lake Erie Shoreline,Lake Erie ShorelineMore Metadata,2015-03-02T19:51:48.000Z,2015-06-11T18:18:29.000Z,http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/11,"-83.5803,41.1976,-78.7663,43.1033",http://gis-michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11
http://gis-michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20,Watershed Boundary - 12 Digit,"This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S.?Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from new?watershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed by?a standard nomenclature. Development of the Watershed Boundary Dataset started in the early 1990's and has progressed to the format?and attribution that is now being distributed. The delineation and attribution was done on a state basis using a variety of methods?and source data. Each state HU dataset has gone through an extensive quality review process to ensure accuracy and compliance to?the Federal Standard for Delineation of Hydrologic Unit Boundaries before and during submittal to USDA-NRCS National Geospatial?Management Center (NGMC).More Metadata",2015-10-13T13:14:08.000Z,2017-06-05T16:27:33.353Z,http://gis-michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/20,"-92.344,40.7594,-78.0471,49.0389",http://gis-michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20
http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,Topo Quad Boundaries,"The 1:24,000-scale (24K) U.S. Geological Survey (USGS) quadrangle boundary data set contains the following information. (1) The approximate boundaries of the various 24K USGS quadrangles. (2) The names and indexing codes associated with each 24K quadrangle.Topo Quads MetadataMore Metadata",2015-03-03T18:42:06.000Z,2017-06-09T14:31:31.560Z,http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,http://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/4,"-90.6567,41.5576,-81.9912,48.3986",http://gis-michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4
http://gis-michigan.opendata.arcgis.com/datasets/e2c9f99a5bf44f16bbe2f86602c07921_7,Water Wells - Southwest Michigan,"The data in these six files is derived from Wellogic, the
Michigan Department of Environmental Quality statewide ground water database. ?The six files combined contain information on over
575,000 spatially verified water well records.?
The six files are intended to provide water well information for wells
in counties clustered by geographic region: Upper Peninsula, Northern Lower
Peninsula, East Central Lower Peninsula, West Central Lower Peninsula,
Southwest Lower Peninsula and the South Central ? Southeastern Lower Peninsula.? The files are constructed to be easily
merged, containing the same number and type of attribute fields.

Although the derived data in these files represents the
best readily available data, the six files do not represent a complete database
of all wells or well records in existence. ?Until January 1, 2000 not all water well
records for new wells in Michigan were entered into Wellogic.? For wells drilled before 2000 the rate of
inclusion is highly variable from one county to another.? Further, there is a quality control check on
location that may exclude a limited number of wells from Wellogic from the six
files made available on this site.More Metadata",2015-10-16T20:19:01.000Z,2017-06-05T16:24:59.840Z,http://gis-michigan.opendata.arcgis.com/datasets/e2c9f99a5bf44f16bbe2f86602c07921_7,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/7,"-90.4077,41.656,-82.4156,48.1419",http://gis-michigan.opendata.arcgis.com/datasets/e2c9f99a5bf44f16bbe2f86602c07921_7
http://gis-michigan.opendata.arcgis.com/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5,Water Wells - Northern Lower Peninsula,"The data in these six files is derived from Wellogic, the
Michigan Department of Environmental Quality statewide ground water database. ?The six files combined contain information on over
575,000 spatially verified water well records.?
The six files are intended to provide water well information for wells
in counties clustered by geographic region: Upper Peninsula, Northern Lower
Peninsula, East Central Lower Peninsula, West Central Lower Peninsula,
Southwest Lower Peninsula and the South Central ? Southeastern Lower Peninsula.? The files are constructed to be easily
merged, containing the same number and type of attribute fields.

Although the derived data in these files represents the
best readily available data, the six files do not represent a complete database
of all wells or well records in existence. ?Until January 1, 2000 not all water well
records for new wells in Michigan were entered into Wellogic.? For wells drilled before 2000 the rate of
inclusion is highly variable from one county to another.? Further, there is a quality control check on
location that may exclude a limited number of wells from Wellogic from the six
files made available on this site.More Metadata",2015-10-16T16:31:31.000Z,2016-03-17T14:35:44.000Z,http://gis-michigan.opendata.arcgis.com/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/5,"-90.4077,41.656,-82.4156,48.1419",http://gis-michigan.opendata.arcgis.com/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5
