identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-mdot.opendata.arcgis.com/datasets/5fddb53b929b4b729b8d4282b4d23ade_20,All Roads (v17a),All roads from the Michigan Geographic Framework (MGF) base map.More Metadata,2015-07-30T17:42:46.000Z,2017-10-04T17:50:16.768Z,http://gis-mdot.opendata.arcgis.com/datasets/5fddb53b929b4b729b8d4282b4d23ade_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/20,"-90.4853,41.6322,-82.1301,47.4964",http://gis-mdot.opendata.arcgis.com/datasets/5fddb53b929b4b729b8d4282b4d23ade_20
http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,Public Land Survey Sections,Survey sections and private claims for Michigan's Upper and Lower PeninsulasMore Metadata,2015-03-03T15:26:34.000Z,2015-08-27T11:49:39.000Z,http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/4,"-90.4261,41.6969,-82.4186,48.2683",http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4
http://gis-mdot.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,Lake Erie Shoreline,Lake Erie ShorelineMore Metadata,2015-03-02T19:51:48.000Z,2017-10-04T17:50:38.041Z,http://gis-mdot.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/11,"-83.5803,41.1976,-78.7663,43.1033",http://gis-mdot.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11
http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_4,IRI 2014/2015,"International Roughness Index is a statistic of a pavement
surface?s longitudinal profile that quantifies ride quality as the estimated
accumulation of a passenger vehicle?s vertical movement (in inches) as it
drives over the subject road for a distance of one mile.? The reported IRI
units are, therefore, inches-per-mile, with a lower IRI value depicting a
smoother ride.? This Transportation Performance?Measurement?reports the average IRI
calculation determined from laser-measured elevation changes in each wheel
path.?",2017-10-04T12:49:08.000Z,2017-10-11T17:12:50.000Z,http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_4,http://gisago-qa.mcgi.state.mi.us/arcgis/rest/services/MDOT/MdotMpoIri/MapServer/4,"-90.240018,41.655168,-82.159819,47.150427",http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_4
http://gis-mdot.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,Topo Quad Boundaries,"The 1:24,000-scale (24K) U.S. Geological Survey (USGS) quadrangle boundary data set contains the following information. (1) The approximate boundaries of the various 24K USGS quadrangles. (2) The names and indexing codes associated with each 24K quadrangle.Topo Quads MetadataMore Metadata",2015-03-03T18:42:06.000Z,2017-06-09T14:31:25.000Z,http://gis-mdot.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,http://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/4,"-90.6567,41.5576,-81.9912,48.3986",http://gis-mdot.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4
http://gis-mdot.opendata.arcgis.com/datasets/37c9d44bf04c446f992a79f7c2177b62_39,MDOT Bridge Connections,"The bridge connection layer is a statewide inventory of the bridge mounted signs installed on MDOT bridges, railroad bridges and local bridges within MDOT?s jurisdiction. ?The data is used to populate the MiBridge System for bridge mounted signs inspection, for designers to determine existing bridge and bridge mounted sign information when upgrading overhead signs attached to bridges, and for contractors when performing installation of bridge mounted signs.?Please see the?MDOT Metadata Form?for additional information.?Update Cycle: Bridge Connections inventory was last updated on April 3, 2015 as part of the initial inventory conducted by a signing pre-qualified consultant, OHM. Updates are anticipated, but a schedule and time line are still being developed.Data Quality: The inventory effort utilized tablets with Trimble Terraflex software to collect the bridge connection locations, attributes, and photos. This is the final project deliverable from the consultant.Coverage: This inventory is complete in its coverage of all bridge connections on State of Michigan trunkline roads.Contact:?Alonso Uzcategui",2015-06-03T18:25:04.000Z,2016-12-08T19:04:55.000Z,http://gis-mdot.opendata.arcgis.com/datasets/37c9d44bf04c446f992a79f7c2177b62_39,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/39,"-88.4125,41.7154,-82.1688,47.2237",http://gis-mdot.opendata.arcgis.com/datasets/37c9d44bf04c446f992a79f7c2177b62_39
http://gis-mdot.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5,2011 Traffic Volumes,"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and the?Commercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercial?vehicles.?Data DictionaryData Quality:?For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:?The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:?AADT  CAADT volumes are created and released every year.Contact:?Kevin Krzeminski",2015-10-15T17:19:06.000Z,2017-10-04T17:36:58.657Z,http://gis-mdot.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/5,"-180.0,-90.0,180.0,90.0",http://gis-mdot.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5
http://gis-mdot.opendata.arcgis.com/datasets/ae387365c550430ebbdc2c54b839030d_30,Michigan Prosperity Regions,"This layer outlines the 10 economic prosperity regions in Governor Snyder's Region Prosperity Initiative. The Regional Prosperity Initiative is comprised of two parts, an effort by the State of Michigan to align around a common set of service delivery boundaries to create a better structure for collaboration and a local voluntary grant initiative. This geographic delineation is based on county boundaries at the lowest level. Please see the MDOT Metadata Form for additional information.?Update Cycle: Michigan RPI Boundaries are static boundaries.Coverage: This is the official boundary delineation for Governor Snyder?s Region Prosperity Initiative (RPI).Contact:?Brad Winkler",2017-02-09T17:03:48.000Z,2017-10-04T17:40:41.444Z,http://gis-mdot.opendata.arcgis.com/datasets/ae387365c550430ebbdc2c54b839030d_30,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/30,"-90.5567,41.6321,-82.0701,48.2841",http://gis-mdot.opendata.arcgis.com/datasets/ae387365c550430ebbdc2c54b839030d_30
http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_5,IRI 2016,"International Roughness Index is a statistic of a pavement
surface?s longitudinal profile that quantifies ride quality as the estimated
accumulation of a passenger vehicle?s vertical movement (in inches) as it
drives over the subject road for a distance of one mile.? The reported IRI
units are, therefore, inches-per-mile, with a lower IRI value depicting a
smoother ride.? This Transportation Performance?Measurement?reports the average IRI
calculation determined from laser-measured elevation changes in each wheel
path.?",2017-10-04T12:49:08.000Z,2017-10-11T17:12:50.000Z,http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_5,http://gisago-qa.mcgi.state.mi.us/arcgis/rest/services/MDOT/MdotMpoIri/MapServer/5,"-90.240018,41.655168,-82.159819,47.150427",http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_5
http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_2,IRI 2010/2011,"International Roughness Index is a statistic of a pavement
surface?s longitudinal profile that quantifies ride quality as the estimated
accumulation of a passenger vehicle?s vertical movement (in inches) as it
drives over the subject road for a distance of one mile.? The reported IRI
units are, therefore, inches-per-mile, with a lower IRI value depicting a
smoother ride.? This Transportation Performance?Measurement?reports the average IRI
calculation determined from laser-measured elevation changes in each wheel
path.?",2017-10-04T12:49:08.000Z,2017-10-11T17:12:50.000Z,http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_2,http://gisago-qa.mcgi.state.mi.us/arcgis/rest/services/MDOT/MdotMpoIri/MapServer/2,"-90.240018,41.655168,-82.159819,47.150427",http://gis-mdot.opendata.arcgis.com/datasets/ef18250a515e4e51a860594069d39fb8_2
