identifier,title,description,issued,modified,landingPage,webService,spatial
http://portal.datadrivendetroit.org/datasets/cc9c87adb75c4df8be74ee3fc0454ce8_12,OC Land Use 2012,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.?A spatial representation of land use. The polygons contained in this 
feature class were derived from the Oakland County Tax Parcel feature 
class. Each parcel was categorized by its land use. When a parcel has 
multiple land uses, the dominant land use is shown. Assessing 
records and orthophotography were the main sources used to attribute 
each tax parcel with land use information. The data was collected in 
2012. Key attributes are the land use and key pin (Sidwell 
number). Land Use stores the Land Use description for each parcel. The 
Key Pin is the unique Parcel Identification Number (Pin) used to link 
the parcel to the parcel attributes which are stored and maintained in 
Oakland County Land Records.The 2012 version of land use was 
created using the 2011 version as a primary source. It was assumed that 
if the Parcel Identification Number and the Use Code were equal in both 
years, then the land use did not change. Thus, only the parcels where a 
change occured had to be assigned a land use. To ensure the quality of 
the land use data, however, several types of use codes were manually 
checked again for this update to enusre the assigned use is still 
accurate. Also, reference data such as the Adult Care, Public Beach, and
 Recreation Land feature classes the were used to locate misrepresented 
parcels. The development process consists of three basic steps. 
First, parcels with use codes that are assumed to relate to a single 
land use are categorized as such. Second, parcels with a use code that 
is assumed to relate to more than one land use are manually classified 
using orthophotography and ownership as a reference. Lastly, tax 
parcels, right-of-way, and hydrography are unioned to create a single 
land use dataset.Assumptions: In 2005, Oakland County 
Equalization and many of the local assessors have changed from using the
 use codes described below to property class codes. These codes were 
interpreted to simliar use codes for the purpose of this data. One major
 change is that tax exempt property is no longer recorded using the ME,
 Miscellaneous Exempt use code, but are instead usually classifed as 
RV, Residential Vacant. The Taxable field was referenced to locate 
tax exempt property such as schools, churches, and governemnt-owned 
property during this land use update. Any parcel classified as 
vacant may be an accessory use to an adjacent, commonly owned, improved 
parcel. In this event, the vacant parcel is reclassified as the use of 
the adjacent, commonly owned, improved parcel. It should be noted, 
however, that parcels with use codes of RV, SV, and LV, that represent a
 single family vacant use, are exempt from this assumption. Parcels
 with an Equalization use code of RV, SV, or LV may include uses to be 
reclassified as Vacant or Recreation  Conservation (due to 
subdivision open space). These parcels are not manually checked. Queries
 are conducted to search for those parcels that are subdivision open 
space. The following strings are queried from the Owner1 and Owner2 
fields: *own* (unknown, homeowner), ass* (association, ass'n, etc), 
and park. The Equalization use code BI, Business Improved 
includes uses that are reclassified as Commercial/Office. Uses may also 
fall into Public/Institutional, however, all BI parcels are not manually
 checked for reclassification. The Equalization use code MM, 
Miscellaneous Business includes uses that are reclassified as Recreation
 and Conservation, Multiple Family, Commercial/Office, or Mobile Home 
Park. The Equalization use code ME, Miscellaneous Exempt 
includes uses that are reclassified as Recreation  Conservation, 
Public/Institutional, Transportation, Utility  Communication, 
Industrial (municipal landfills), or any Single Family classification. The
 Equalization use code KI, Condominium Improved includes uses that are 
reclassified as Multiple Family, Single Family, or Commercial/Office. Any
 parcel with an Equalization use code of FI, Farm Improved or FV, Farm 
Vacant is considered to be an active agricultural use. Any parcel with an Equalization use code of II, Industrial Improved is considered to be an industrial use. Any parcel with an Equalization use code of FC, Farm Conservation is considered to be a recreational/conservation use. Any parcel with an Equalization use code of AI, Apartment Improved is considered to be a multiple family residential use. Any
 parcel with an Equalization use code of UI, Utility Improved is 
considered to be a transportation, utility, or communication related 
use. Parcels with an Equalization use code of DI, Developmental Improved are reclassified as Single Family or Vacant. Any
 parcel with an Equalization use code of DV for Developmental Vacant may
 be reclassified as Vacant, Recreation  Conservation, (golf 
courses) or Industrial (mining or extractive). Polygons in the 
ROW region of the parcel coverage will be classified as Recreation and 
Conservation, and Commercial/Office, Vacant, Road ROW, and Railroad ROW.
 Because of inconsistencies in Use Code data, unique uses, and 
the goal of creating an accurate coverage that is not limited by its 
metadata, there may be exceptions from these assumptions. Exceptions: There
 are nine isolated cases where the land use would be tremendously 
overstated if the whole parcel was shown in a single use. In these 
cases, the polygon was split to show the use of the rest of the parcel 
vacant. These parcels are listed below: 01-29-451-001 01-35-300-014 04-08-200-002 04-24-100-004 07-13-301-006 14-04-376-002 18-19-476-015 21-10-200-001 21-10-200-002",2016-10-16T18:42:06.000Z,2016-11-02T15:33:26.000Z,http://portal.datadrivendetroit.org/datasets/cc9c87adb75c4df8be74ee3fc0454ce8_12,https://gisservices.oakgov.com/arcgis/rest/services/Enterprise/EnterpriseLandUseMapService/MapServer/12,"-83.694337,42.426087,-83.074282,42.893598",http://portal.datadrivendetroit.org/datasets/cc9c87adb75c4df8be74ee3fc0454ce8_12
http://portal.datadrivendetroit.org/datasets/ba6c186d52ed4fbe83cd446b4e1bff70_9,Under Age 18 Poverty .74 to .99  Below ,"These Socioeconomic Indicators are from the American Community Survey, 2014 5-year estimates. They are at Zip Code level for Oakland, Macomb and Wayne Counties. ",2016-05-05T19:46:10.000Z,2017-06-12T21:17:33.654Z,http://portal.datadrivendetroit.org/datasets/ba6c186d52ed4fbe83cd446b4e1bff70_9,https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/KEEDPublishingSocioEconomic/FeatureServer/9,"-180.0,-90.0,180.0,90.0",http://portal.datadrivendetroit.org/datasets/ba6c186d52ed4fbe83cd446b4e1bff70_9
http://portal.datadrivendetroit.org/datasets/e62ff6c76c854a23ab791e8d64fdb00b_0,Problem Resolution Offices,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.A spatial representation of the locations of Michigan UIA Problem Resolution Offices (PRO).Data Source:?PRO Locations

Problem Resolution Offices - Need Help?The UIA's Problem Resolution Offices (PROs) resolve customer problems and provide access to automated resources.PROs provide:Telephones and computers for the convenience of customers who may not have access to a computer or telephone to file their claim. If you are going to file an unemployment claim at a PRO, please bring: Your Social Security Number, your Driver's License Number or State Identification or your MARVIN PIN (if you have one); along with the names and addresses of employers you have worked for in the past 18 months with your quarterly gross earnings and the last date of employment with each employer. If you are not a U.S. citizen or national, you will need your Alien Registration Number and the expiration date of your work authorization.In-person help for problems with claimsA presence in the community that includes, on request, presentations about unemployment insurance services to employer, business, labor, and community groupsFile at a PRO:?If you are going to file an unemployment claim at a PRO, please bring:Your Social Security Number, your Driver's License Number or State Identification or your MARVIN PIN (if you have one)If you are not a U.S. citizen or national, you will need your Alien Registration Number and the expiration date of your work authorization.Names and addresses of employers you have worked for in the past 18 months including quarterly gross earnings and the last date of employment with each.",2016-12-07T16:34:17.000Z,2016-12-07T16:39:17.074Z,http://portal.datadrivendetroit.org/datasets/e62ff6c76c854a23ab791e8d64fdb00b_0,https://services1.arcgis.com/GE4Idg9FL97XBa3P/arcgis/rest/services/Problem_Resolution_Offices/FeatureServer/0,"-89.31654788974997,42.11083248591568,-82.89111706444818,47.12710003150568",http://portal.datadrivendetroit.org/datasets/e62ff6c76c854a23ab791e8d64fdb00b_0
http://portal.datadrivendetroit.org/datasets/c1c033d6115f41cc8bbdd90131121b95_0,OC 2004 MNFI Potential Natural Areas,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.?A spatial representation of potential natural areas. The polygons 
contained in this feature class were derived from data developed for the
 2004 Oakland County Natural Areas Report update. Each feature was 
assigned a priority of One, Two, or Three. Digital Landcover, 
orthophotography, and USGS quadrangle maps were the main sources used to
 identify each natural area. The data from the Oakland County Natural 
Areas update project was collected in 2004. Key attributes include 
Priority and TotalScore. Priority is a reflection of quality and 
indicates the level of priority to retain or conserve the natural state 
of the identified area.The NaturalArea2004 data should be distributed with the Oakland County Potential Conservation/Natural Areas Report - April 2004. This document provides essential information for the attributes and procedures used to create the features in the dataset. Shiawassee  Huron Headwaters Resource Preservation Project - March 2000 Project Staff: Carlisle Wortman  Associates - Richard Carlisle, PCP, and Carey Nyberg Land Information Access Association - Joe VanderMeulen Michigan Natural Features Inventory - John Paskus Oakland County Planning  Economic Development Services
 - Bret C. Rasegan, RA, Charlotte P. Burckhardt, AICP, PCP, Lawrence S. 
Falardeau, RLA, Russell Lewis, RA, Leslie E. Kettren, AICP, Jim 
Keglovitz, and JoAnn Browning The Shiawassee and Huron 
Headwaters Resource Preservation Project involved six communities 
(Highland, Milford, Rose, Springfield, and White Lake Townships, and the
 Village of Milford) in western Oakland County. A Steering Committee 
composed of local officials, developers, property owners, and land 
conservancy members was the policy group that directed the project. The 
Steering Committee contracted with the Michigan Natural Features 
Inventory (MNFI) to identify potentially significant natural areas. Oakland County Potential Conservation/Natural Areas Report - July 2002 Prepared by: John Paskus, Associate Program Leader - Conservation Michael Penskar, Program Leader - Botany Helen Enander, Information Technologist I Oakland County Potential Conservation/Natural Areas Report - April 2004 Prepared by: John Paskus, Associate Program Leader - Conservation Helen
 Enander, Information Technologist I Michigan Natural Features Inventory
 P.O. Box 30444 8th Floor, Mason Bldg. Lansing, MI 48909-7944 This
 report identifies and ranks Potential Natural Areas remaining in 
Oakland County. Potential Natural Areas are defined as places on the 
landscape dominated by native vegetation that have various levels of 
potential for harboring high quality natural areas and unique natural 
features. In addition these areas may provide critical ecological 
services such as maintaining water quality and quantity, soil 
development and stabilization, pollination of cropland, wildlife travel 
corridors, stopover sites for migratory birds, sources of genetic 
diversity, and floodwater retention. However, the actual ecological 
value of these areas can only be truly ascertained through on the ground
 biological surveys. The process established by the Michigan Natural 
Features Inventory (MNFI) of identifying potential conservation areas 
can also be used to update and track the status of these remaining 
sites. The site map and ranking data can be used by local 
municipalities, land trusts, and other agencies to prioritize 
conservation efforts and assist in finding opportunities to establish an
 open space system of linked natural areas throughout Oakland County. In
 this report the term potential natural area has been used in place of
 the term potential conservation area. The substitution was made in 
order to convey to the reader a clearer picture of the type of sites 
that are being delineated. It is felt that more people have a better 
understanding of the term natural area. The term potential natural 
area, however, is not to be confused with the legal term dedicated 
Natural Area as described in Part 351, Wilderness and Natural Areas, of
 the Natural Resources and Environmental Protection Act of 1994 which 
gives land special legal protection.When using this information 
it is important to keep in mind that site boundaries and ranking are a 
starting point and tend to be somewhat general in nature. Consequently, 
each community, group or individual using this information should 
determine what additional expertise is needed in order to establish more
 exact boundaries and the most appropriate conservation efforts. Materials and Interpretation Methodology: Interpretation
 of the 25-township area in Oakland County was conducted by using 
digital aerial photography taken in 2002, Tax Parcel, and 2002 Oakland 
County Potential Conservation/Natural Areas provided by Oakland County's
 Planning and Economic Development Services Division. As the 
townships were methodically interpreted and digitized using this 
imagery, the same areas were examined using: Southeast Michigan Council 
of Governments (SEMCOG) 2000 digital landcover, Michigan Center for 
Geographic Information (MCGI) MI Geographic Framework Hydrography (v3b),
 and Michigan Natural Features Inventory (MNFI) Biotics Database. These 
additional data sources were used to enhance and corroborate the 
interpretation process. Delineation of sites was done through 
aerial photo interpretation, with emphasis placed on 1) intactness, 2) 
wetlands and wetland complexes, 3) riparian corridors, and 4) forested 
tracts. Delineation of sites during this phase of the process was done 
conservatively, such that the chance of capturing sites that may end up 
being eliminated upon closer inspection, was greater than the chance of 
omitting sites that should have been delineated. Sites were delineated 
by focusing on wetlands and forest tracts and eliminating as much 
development (including roads), active agriculture and old fields as 
possible. Boundaries typically were defined by hard edges such as roads,
 parking lots, developments, and railroad beds. All potential natural 
areas were identified and delineated regardless of size. Municipal 
boundaries were not utilized to delineate site boundaries unless the 
boundary corresponded to a defined hard edge, such as a road. Once all 
sites were delineated, sites under 20 acres were deleted. Following
 the aerial photo interpretation and the delineation of potential 
natural areas, a more rigorous level of examination was undertaken based
 upon specific scaled criteria to prioritize sites. The criteria used to
 first delineate the sites were translated to a numerical scale. Each 
site could then be assessed based upon the scaled criteria and a total 
calculated score, based upon the sum of the scores for each criterion.",2016-10-16T18:55:49.000Z,2017-06-12T21:16:41.429Z,http://portal.datadrivendetroit.org/datasets/c1c033d6115f41cc8bbdd90131121b95_0,https://gisservices.oakgov.com/arcgis/rest/services/Enterprise/EnterpriseNaturalFeaturesMapService/MapServer/0,"-83.694337,42.426087,-83.074282,42.893598",http://portal.datadrivendetroit.org/datasets/c1c033d6115f41cc8bbdd90131121b95_0
http://portal.datadrivendetroit.org/datasets/527fa24c35bb42f78fae44200cb990b0_1,Underground Railroad Sites,"These sites were compiled through the National Network to Freedom-Underground Railroad Program, National Park Service, Harriet Tubman National Historic Site.  These are sites that have been admitted formally into the program based on National level review.Metadata are available?here.",2017-05-22T15:33:38.000Z,2017-05-22T15:33:49.848Z,http://portal.datadrivendetroit.org/datasets/527fa24c35bb42f78fae44200cb990b0_1,https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/NPS_Underground_Railroad_2016/FeatureServer/1,"-180.0,-90.0,180.0,90.0",http://portal.datadrivendetroit.org/datasets/527fa24c35bb42f78fae44200cb990b0_1
http://portal.datadrivendetroit.org/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5,Water Wells - Northern Lower Peninsula,"The data in these six files is derived from Wellogic, the
Michigan Department of Environmental Quality statewide ground water database. ?The six files combined contain information on over
575,000 spatially verified water well records.?
The six files are intended to provide water well information for wells
in counties clustered by geographic region: Upper Peninsula, Northern Lower
Peninsula, East Central Lower Peninsula, West Central Lower Peninsula,
Southwest Lower Peninsula and the South Central ? Southeastern Lower Peninsula.? The files are constructed to be easily
merged, containing the same number and type of attribute fields.

Although the derived data in these files represents the
best readily available data, the six files do not represent a complete database
of all wells or well records in existence. ?Until January 1, 2000 not all water well
records for new wells in Michigan were entered into Wellogic.? For wells drilled before 2000 the rate of
inclusion is highly variable from one county to another.? Further, there is a quality control check on
location that may exclude a limited number of wells from Wellogic from the six
files made available on this site.More Metadata",2015-10-16T16:31:31.000Z,2016-03-17T14:35:44.000Z,http://portal.datadrivendetroit.org/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/5,"-90.4077,41.656,-82.4156,48.1419",http://portal.datadrivendetroit.org/datasets/9d7ae7766e0e4a90a7660aa37675c0e8_5
http://portal.datadrivendetroit.org/datasets/39e26a5885a34fceacf10d07de229a88_0,Births ByZip 2013,"Select Birth Data, from the State of Michigan Office of Vital Statistics. Data is for 2013, by Zip Code. Formatted by Data Driven Detroit. 
Low Birth Weight =  2500 grams
Inadequate Care = Care began after first trimester and had less than 1 check per month of gestation.
Teen Mom = Mother under 20 years old. ",2016-05-05T18:40:15.000Z,2017-06-12T21:13:19.669Z,http://portal.datadrivendetroit.org/datasets/39e26a5885a34fceacf10d07de229a88_0,https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/Births_ByZip_2013/FeatureServer/0,"-84.3420483562267,41.99054146764252,-82.1078951244829,42.9389520348037",http://portal.datadrivendetroit.org/datasets/39e26a5885a34fceacf10d07de229a88_0
http://portal.datadrivendetroit.org/datasets/280e02057fff4a9483a1286f07a4cfd1_0,BirthData 2010 13 WayneZips,"Annual average birth data by zip code from the Michigan Department of Community Health, Vital Statistics. Covers years 2009-11, 2010-12, and 2011-13. Birth rates were calculated by Kurt Metzger. Birth Rate = Number of births per 1,000 Women 15-44 years of age (2010 Census). ",2016-03-17T20:07:00.000Z,2017-01-19T15:19:55.000Z,http://portal.datadrivendetroit.org/datasets/280e02057fff4a9483a1286f07a4cfd1_0,https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/BirthData_2010_13_WayneZips/FeatureServer/0,"-83.67622259183133,42.03255780461255,-82.8603700283191,42.515089495298035",http://portal.datadrivendetroit.org/datasets/280e02057fff4a9483a1286f07a4cfd1_0
http://portal.datadrivendetroit.org/datasets/cbaef4e3b93749078a66214bdf0c06d3_0,Crime Detroit Block 2016,The Detroit Police Department provided property and violent crime location data for 2016. Data Driven Detroit aggregated the data up to a block level. Data was obtained for the health and Safety section of Little Caesar's Arena District Needs Assessment.Click?here?for metadata (descriptions of the fields).,2017-05-12T19:33:59.000Z,2017-05-12T19:49:42.797Z,http://portal.datadrivendetroit.org/datasets/cbaef4e3b93749078a66214bdf0c06d3_0,https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/Crime_Detroit_Block_2016/FeatureServer/0,"-83.29100412776623,42.25663741244185,-82.90954599215281,42.461997603048125",http://portal.datadrivendetroit.org/datasets/cbaef4e3b93749078a66214bdf0c06d3_0
http://portal.datadrivendetroit.org/datasets/a71afc7eb13c43f09b659613bb6f4431_8,OC Zip Code Area,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.?The boundaries were digitized 
based on legal descriptions from the US Postal Service. The date of the 
legal descriptions is unknown. Zip code areas for which a legal 
description could not be obtained were digitized using the zip code 
contained in the site address from the August, 2009 Oakland County tax 
parcel feature class. The key attribute is Zip.",2016-10-16T16:48:15.000Z,2016-11-02T15:51:41.000Z,http://portal.datadrivendetroit.org/datasets/a71afc7eb13c43f09b659613bb6f4431_8,https://gisservices.oakgov.com/arcgis/rest/services/Enterprise/EnterpriseAdminDataMapService/MapServer/8,"-83.694337,42.426087,-83.074282,42.893598",http://portal.datadrivendetroit.org/datasets/a71afc7eb13c43f09b659613bb6f4431_8
