identifier,title,description,issued,landingPage,webService,spatial
http://maps-semcog.opendata.arcgis.com/datasets/75caeadc857e451499ac6b4090179828_0,Parks,"This dataset contains basic location information on parks in Southeast Michigan.? More detailed information about these parks can be found in the Park Attributes dataset, also hosted at SEMCOG's Open Data Portal.? ",2018-08-22T17:26:46.000Z,http://maps-semcog.opendata.arcgis.com/datasets/75caeadc857e451499ac6b4090179828_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Parks/FeatureServer/0,"-84.14067179119694,41.724248779044295,-82.41875443661644,43.164444471533265",http://maps-semcog.opendata.arcgis.com/datasets/75caeadc857e451499ac6b4090179828_0
http://maps-semcog.opendata.arcgis.com/datasets/9d86980ae7ca41278b147b335bc73560_0,2014 Crash Locations,"Mappable traffic crashes in Southeast Michigan, 2017.",2018-08-20T14:46:48.000Z,http://maps-semcog.opendata.arcgis.com/datasets/9d86980ae7ca41278b147b335bc73560_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Crash2014/FeatureServer/0,"-84.14829592955718,41.72681769582301,-82.42203440131443,43.16752209788034",http://maps-semcog.opendata.arcgis.com/datasets/9d86980ae7ca41278b147b335bc73560_0
http://maps-semcog.opendata.arcgis.com/datasets/b81ad6323c244f139dce30027c3d312d_0,Rail,Railroads: Rail features extracted from version 17 of the Michigan Geographic Framework.,2018-08-21T16:50:15.000Z,http://maps-semcog.opendata.arcgis.com/datasets/b81ad6323c244f139dce30027c3d312d_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Rail/FeatureServer/0,"-84.14870001961975,41.72524482600821,-82.42272309293038,43.158811003427324",http://maps-semcog.opendata.arcgis.com/datasets/b81ad6323c244f139dce30027c3d312d_0
http://maps-semcog.opendata.arcgis.com/datasets/93291aefbf334c51807aba595821d3ba_0,2010 Census Urban Area,All area in Southeast Michigan categorized as urban by the Census Bureau following the 2010 census. This includes both urbanized areas and urban clusters. It is notthe same thing as the adjusted census urban area/boundary (ACUA/ACUB). This is the TIGER version of the data.,2018-09-11T12:28:10.000Z,http://maps-semcog.opendata.arcgis.com/datasets/93291aefbf334c51807aba595821d3ba_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/2010_Census_Urban_Area/FeatureServer/0,"-84.14429241142369,41.725247992558245,-82.41866090492739,43.16895430487893",http://maps-semcog.opendata.arcgis.com/datasets/93291aefbf334c51807aba595821d3ba_0
http://maps-semcog.opendata.arcgis.com/datasets/8a2d7d329b854c02b0fb173d1fd660a0_0,2017 Crash Locations,"Mappable traffic crashes in Southeast Michigan, 2017.",2018-08-20T12:55:30.000Z,http://maps-semcog.opendata.arcgis.com/datasets/8a2d7d329b854c02b0fb173d1fd660a0_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Crash2017/FeatureServer/0,"-84.14792403780935,41.72673769524197,-82.42222809156443,43.16615797852996",http://maps-semcog.opendata.arcgis.com/datasets/8a2d7d329b854c02b0fb173d1fd660a0_0
http://maps-semcog.opendata.arcgis.com/datasets/4d499b5d1c664372a1c0c66a3752bb3a_0,MDOT Carpool Lots,"

The
Michigan Carpool Parking Lot Program (sometimes referred to as Park and Ride)
began as a pilot program in 1974 with 11 carpool parking lots. Today there are
over 240 carpool parking lots located across the state providing nearly 9,000
parking spaces. In addition to lots owned and maintained by MDOT, the Meijer
Corporation has partnered with MDOT to provide carpool parking at several of
their stores. Please see the?MDOT Metadata Form?for additional information.

Update
Cycle:?Carpool
lots are added and updated as needed when new lots are constructed or removed.

Coverage: This inventory shows all
MDOT owned and operated carpool lots in Michigan along with several Meijer
parking lots that provide carpool parking in partnership with MDOT.

Contact:?Kami Brown

",2016-03-28T12:20:11.000Z,http://maps-semcog.opendata.arcgis.com/datasets/4d499b5d1c664372a1c0c66a3752bb3a_0,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/MdotCarpoolLot/FeatureServer/0,"-90.403,41.7586,-82.1604,47.3071",http://maps-semcog.opendata.arcgis.com/datasets/4d499b5d1c664372a1c0c66a3752bb3a_0
http://maps-semcog.opendata.arcgis.com/datasets/c212fc46605e47f298580c9c5c7359de_0,Roads,Roads: Road features extracted from version 17 of the Michigan Geographic Framework.,2018-08-21T16:01:39.000Z,http://maps-semcog.opendata.arcgis.com/datasets/c212fc46605e47f298580c9c5c7359de_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Roads/FeatureServer/0,"-84.15818788102185,41.72354924377085,-82.41955125215495,43.1688609951875",http://maps-semcog.opendata.arcgis.com/datasets/c212fc46605e47f298580c9c5c7359de_0
http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0,2000 Census Tracts,2000 Census Tracts,2015-09-29T13:15:09.000Z,http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/2000CensusTracts/MapServer/0,"-84.161655,41.70893,-82.412548,43.183855",http://maps-semcog.opendata.arcgis.com/datasets/5a893b703dcd4ccb83ea06b97d2b33fa_0
http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0,2000 Traffic Analysis Zones,The 2000 Traffic Analysis Zones (TAZs) for Southeast Michigan were created using the Michigan Geographic Framework (MGF) Census geography.,2015-10-05T18:55:01.000Z,http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0,https://arcgisserver.semcog.org/arcgis/rest/services/OpenData/2000TrafficAnalysisZones/MapServer/0,"-84.161655,41.70893,-82.412549,43.183855",http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0
http://maps-semcog.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0,Detroit People Mover Stations,Detroit People Mover Stations layer.,2018-10-02T15:44:23.000Z,http://maps-semcog.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/Detroit_People_Mover_Stations/FeatureServer/0,"-83.05267482645229,42.3252406742519,-83.03998705461706,42.33580436753613",http://maps-semcog.opendata.arcgis.com/datasets/feb283feaead4b6284f6a06ebba2a4ca_0
