identifier,title,description,issued,modified,landingPage,webService,spatial
http://data-phl.opendata.arcgis.com/datasets/a81285f4822241499255b4aa63b91d2b_0,Highway Subsections arc,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2015-10-30T16:54:12.000Z,2017-07-19T04:41:00.714Z,http://data-phl.opendata.arcgis.com/datasets/a81285f4822241499255b4aa63b91d2b_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Highway_Subsections_arc/FeatureServer/0,"-75.28416926772177,39.86860118820498,-74.9540407567552,40.13647002117566",http://data-phl.opendata.arcgis.com/datasets/a81285f4822241499255b4aa63b91d2b_0
http://data-phl.opendata.arcgis.com/datasets/87be1a70f9904a16921c6e343144ae5c_0,PavingPlan2015,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2015-06-01T22:45:15.000Z,2016-12-08T15:48:28.152Z,http://data-phl.opendata.arcgis.com/datasets/87be1a70f9904a16921c6e343144ae5c_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/PavingPlan2015/FeatureServer/0,"-75.34266703326031,39.85054469198466,-74.89814625079754,40.17221360451193",http://data-phl.opendata.arcgis.com/datasets/87be1a70f9904a16921c6e343144ae5c_0
http://data-phl.opendata.arcgis.com/datasets/957f032f9c874327a1ad800abd887d17_0,PPR StreetTrees,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2016-08-05T16:51:38.000Z,2017-07-19T04:41:08.821Z,http://data-phl.opendata.arcgis.com/datasets/957f032f9c874327a1ad800abd887d17_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/PPR_StreetTrees/FeatureServer/0,"-75.30041351798515,39.87784334517055,-74.95693617562831,40.13605792896632",http://data-phl.opendata.arcgis.com/datasets/957f032f9c874327a1ad800abd887d17_0
http://data-phl.opendata.arcgis.com/datasets/e1509fe9cd3c433a824305bcc7c84797_0,Council Districts 1990,"CLICK HERE?to view metadata. For any questions or technical assistance
please email?maps@phila.gov.",2015-08-18T20:05:58.000Z,2017-07-19T04:41:03.574Z,http://data-phl.opendata.arcgis.com/datasets/e1509fe9cd3c433a824305bcc7c84797_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Council_Districts_1990/FeatureServer/0,"-75.28415308536714,39.86904795556165,-74.95403394929744,40.13646982781231",http://data-phl.opendata.arcgis.com/datasets/e1509fe9cd3c433a824305bcc7c84797_0
http://data-phl.opendata.arcgis.com/datasets/0c2e5ed280734ba3bfd698bc73b4fa94_0,GSI Planning Districts,"CLICK HERE?to view metadata. For any questions or technical assistance
please email?maps@phila.gov.",2015-05-08T15:26:25.000Z,2016-12-08T15:42:43.257Z,http://data-phl.opendata.arcgis.com/datasets/0c2e5ed280734ba3bfd698bc73b4fa94_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/GSI_Planning_Districts/FeatureServer/0,"-75.28218787823306,39.886285774622614,-75.00375153850851,40.0848296384355",http://data-phl.opendata.arcgis.com/datasets/0c2e5ed280734ba3bfd698bc73b4fa94_0
http://data-phl.opendata.arcgis.com/datasets/66c9704654a0423382ee82bc4741d3ca_0,GSI Private Projects Retrofit,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2016-04-26T19:31:16.000Z,2017-12-29T13:36:33.690Z,http://data-phl.opendata.arcgis.com/datasets/66c9704654a0423382ee82bc4741d3ca_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/GSI_Private_Projects_Retrofit/FeatureServer/0,"-75.24226050430795,39.903504275348816,-74.97677077680271,40.11986453314676",http://data-phl.opendata.arcgis.com/datasets/66c9704654a0423382ee82bc4741d3ca_0
http://data-phl.opendata.arcgis.com/datasets/423948ec6ecd4774a0306ae77e19182b_0,TobFreeSchoolZones,CLICK HERE?to view metadata. For any questions or technical assistance please email maps@phila.gov.?,2016-12-21T16:15:46.000Z,2016-12-21T16:15:57.984Z,http://data-phl.opendata.arcgis.com/datasets/423948ec6ecd4774a0306ae77e19182b_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/TobFreeSchoolZones/FeatureServer/0,"-75.27315466846306,39.89258409925493,-74.96552390686674,40.13107329233361",http://data-phl.opendata.arcgis.com/datasets/423948ec6ecd4774a0306ae77e19182b_0
http://data-phl.opendata.arcgis.com/datasets/df844a47a94941fea3c45b2cd60af5f9_0,RainCheck Installed,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2015-10-14T15:49:42.000Z,2017-04-04T17:31:39.455Z,http://data-phl.opendata.arcgis.com/datasets/df844a47a94941fea3c45b2cd60af5f9_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/RainCheck_Installed/FeatureServer/0,"-75.27380639208447,39.90356091133887,-74.97228928862525,40.1284094213605",http://data-phl.opendata.arcgis.com/datasets/df844a47a94941fea3c45b2cd60af5f9_0
http://data-phl.opendata.arcgis.com/datasets/7fdc13effc904756b9b7b6023b522b65_0,Rail,CLICK HERE?to view metadata. For any questions or technical assistance please email?maps@phila.gov.,2015-09-29T17:56:32.000Z,2016-12-08T15:37:11.687Z,http://data-phl.opendata.arcgis.com/datasets/7fdc13effc904756b9b7b6023b522b65_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Rail/FeatureServer/0,"-75.35423601054114,39.790513903870945,-74.90965493626149,40.22911084620802",http://data-phl.opendata.arcgis.com/datasets/7fdc13effc904756b9b7b6023b522b65_0
http://data-phl.opendata.arcgis.com/datasets/210cdc6e80aa464881aa9c98b4a24fe1_0,SHOOTINGS,CLICK HERE?to view metadata. For any questions or technical assistance please email maps@phila.gov.,2016-12-20T20:37:42.000Z,2017-12-29T15:17:52.982Z,http://data-phl.opendata.arcgis.com/datasets/210cdc6e80aa464881aa9c98b4a24fe1_0,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/SHOOTINGS/FeatureServer/0,"-75.27359886799997,39.89264138900006,-74.96476318299995,40.114911471000035",http://data-phl.opendata.arcgis.com/datasets/210cdc6e80aa464881aa9c98b4a24fe1_0
