identifier,title,description,issued,modified,landingPage,webService,spatial
http://accessoakland.oakgov.com/datasets/eee188d13bc84abf9dbddc4b2fd62ae2,Bloomfield2015,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This
MrSID file was derived from the 2015 raster dataset, which consists of 8-bit,
4-band (R, G, B, NIR) color orthoimagery. A digital orthoimage is a raster
image processed from vertical aerial images in which displacement in the image
due to sensor orientation and terrain relief have been removed. Orthoimagery
combines the image characteristics of an image with the geometric qualities of
a map. Unlike planimetric maps which depict natural and manmade features by
means of lines, point symbols, texts and polygons, orthoimagery illustrates the
actual images of features and are thus more easily interpreted than regular
maps. The normal orientation of data in an orthoimage is by lines (rows) and
samples (columns). Each line contains a series of pixels ordered from west to
east with the order of the lines from north to south. Each image tile is stored
in industry standard TIFF (tagged interchange file format) with an associated
TIFF world file. Aerial imagery was acquired between April 12 and 15 2015 from
flying heights of approximately 1400-1640 feet above ground level (AGL). Each
orthoimage tile is 2500feet X 2500feet in dimension, edge-tied with the
adjacent tiles (no gap and no overlap). This dataset is published in
NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2111_Feet_Intl_feet.",2016-12-09T20:07:41.000Z,2017-12-05T18:26:43.000Z,http://accessoakland.oakgov.com/datasets/eee188d13bc84abf9dbddc4b2fd62ae2,http://ocgispublic.s3.amazonaws.com/Imagery2015/Bloomfield2015.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/eee188d13bc84abf9dbddc4b2fd62ae2
http://accessoakland.oakgov.com/datasets/2ef1bd06dc7b42c495be872b64772da9,Oxford 2017,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This MrSID Gen 4 file? was derived from the 2017 orthogonal imagery produced from nadir images captured by Pictometry International during the Spring of 2017. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to an Oakland County-provided LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible.",2017-12-05T21:02:44.000Z,2017-12-06T18:44:38.000Z,http://accessoakland.oakgov.com/datasets/2ef1bd06dc7b42c495be872b64772da9,http://ocgispublic.s3.amazonaws.com/Imagery2017/Oxford2017.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/2ef1bd06dc7b42c495be872b64772da9
http://accessoakland.oakgov.com/datasets/9d32404d1eb84978b5a8a0c43ff698fd,WhiteLake2015,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.?This
MrSID file was derived from the 2015 raster dataset, which consists of 8-bit,
4-band (R, G, B, NIR) color orthoimagery. A digital orthoimage is a raster
image processed from vertical aerial images in which displacement in the image
due to sensor orientation and terrain relief have been removed. Orthoimagery
combines the image characteristics of an image with the geometric qualities of
a map. Unlike planimetric maps which depict natural and manmade features by
means of lines, point symbols, texts and polygons, orthoimagery illustrates the
actual images of features and are thus more easily interpreted than regular
maps. The normal orientation of data in an orthoimage is by lines (rows) and
samples (columns). Each line contains a series of pixels ordered from west to
east with the order of the lines from north to south. Each image tile is stored
in industry standard TIFF (tagged interchange file format) with an associated
TIFF world file. Aerial imagery was acquired between April 12 and 15 2015 from
flying heights of approximately 1400-1640 feet above ground level (AGL). Each
orthoimage tile is 2500feet X 2500feet in dimension, edge-tied with the
adjacent tiles (no gap and no overlap). This dataset is published in
NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2111_Feet_Intl_feet.",2016-12-12T17:24:33.000Z,2017-12-05T18:16:49.000Z,http://accessoakland.oakgov.com/datasets/9d32404d1eb84978b5a8a0c43ff698fd,http://ocgispublic.s3.amazonaws.com/Imagery2015/WhiteLake2015.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/9d32404d1eb84978b5a8a0c43ff698fd
http://accessoakland.oakgov.com/datasets/d189ace9906541a8a75273d67eea5988,Springfield 2017,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This MrSID Gen 4 file? was derived from the 2017 orthogonal imagery produced from nadir images captured by Pictometry International during the Spring of 2017. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to an Oakland County-provided LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible.",2017-12-05T20:18:05.000Z,2017-12-06T18:47:50.000Z,http://accessoakland.oakgov.com/datasets/d189ace9906541a8a75273d67eea5988,http://ocgispublic.s3.amazonaws.com/Imagery2017/Springfield2017.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/d189ace9906541a8a75273d67eea5988
http://accessoakland.oakgov.com/datasets/dd559e2e01d247e18a577a33568a31aa,Oxford2015,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This
MrSID file was derived from the 2015 raster dataset, which consists of 8-bit,
4-band (R, G, B, NIR) color orthoimagery. A digital orthoimage is a raster
image processed from vertical aerial images in which displacement in the image
due to sensor orientation and terrain relief have been removed. Orthoimagery
combines the image characteristics of an image with the geometric qualities of
a map. Unlike planimetric maps which depict natural and manmade features by
means of lines, point symbols, texts and polygons, orthoimagery illustrates the
actual images of features and are thus more easily interpreted than regular
maps. The normal orientation of data in an orthoimage is by lines (rows) and
samples (columns). Each line contains a series of pixels ordered from west to
east with the order of the lines from north to south. Each image tile is stored
in industry standard TIFF (tagged interchange file format) with an associated
TIFF world file. Aerial imagery was acquired between April 12 and 15 2015 from
flying heights of approximately 1400-1640 feet above ground level (AGL). Each
orthoimage tile is 2500feet X 2500feet in dimension, edge-tied with the
adjacent tiles (no gap and no overlap). This dataset is published in
NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2111_Feet_Intl_feet.",2016-12-09T20:58:32.000Z,2017-12-05T18:22:13.000Z,http://accessoakland.oakgov.com/datasets/dd559e2e01d247e18a577a33568a31aa,http://ocgispublic.s3.amazonaws.com/Imagery2015/Oxford2015.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/dd559e2e01d247e18a577a33568a31aa
http://accessoakland.oakgov.com/datasets/29170198965649b3a052d29503f6b48c,White Lake 2017,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This MrSID Gen 4 file? was derived from the 2017 orthogonal imagery produced from nadir images captured by Pictometry International during the Spring of 2017. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to an Oakland County-provided LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible.",2017-12-05T19:18:13.000Z,2017-12-06T18:50:11.000Z,http://accessoakland.oakgov.com/datasets/29170198965649b3a052d29503f6b48c,http://ocgispublic.s3.amazonaws.com/Imagery2017/WhiteLake2017.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/29170198965649b3a052d29503f6b48c
http://accessoakland.oakgov.com/datasets/17bd4cf1889e4687a8e4e176a55ee8ac,Orion 2017,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This MrSID Gen 4 file? was derived from the 2017 orthogonal imagery produced from nadir images captured by Pictometry International during the Spring of 2017. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to an Oakland County-provided LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible.",2017-12-05T21:03:42.000Z,2017-12-06T18:44:00.000Z,http://accessoakland.oakgov.com/datasets/17bd4cf1889e4687a8e4e176a55ee8ac,http://ocgispublic.s3.amazonaws.com/Imagery2017/Orion2017.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/17bd4cf1889e4687a8e4e176a55ee8ac
http://accessoakland.oakgov.com/datasets/72dfbbe1c6e54f7cb3f9295011bed5bf,Lyon2015,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE.?This
MrSID file was derived from the 2015 raster dataset, which consists of 8-bit,
4-band (R, G, B, NIR) color orthoimagery. A digital orthoimage is a raster
image processed from vertical aerial images in which displacement in the image
due to sensor orientation and terrain relief have been removed. Orthoimagery
combines the image characteristics of an image with the geometric qualities of
a map. Unlike planimetric maps which depict natural and manmade features by
means of lines, point symbols, texts and polygons, orthoimagery illustrates the
actual images of features and are thus more easily interpreted than regular
maps. The normal orientation of data in an orthoimage is by lines (rows) and
samples (columns). Each line contains a series of pixels ordered from west to
east with the order of the lines from north to south. Each image tile is stored
in industry standard TIFF (tagged interchange file format) with an associated
TIFF world file. Aerial imagery was acquired between April 12 and 15 2015 from
flying heights of approximately 1400-1640 feet above ground level (AGL). Each
orthoimage tile is 2500feet X 2500feet in dimension, edge-tied with the
adjacent tiles (no gap and no overlap). This dataset is published in
NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2111_Feet_Intl_feet.",2016-12-09T20:26:27.000Z,2017-12-05T18:24:01.000Z,http://accessoakland.oakgov.com/datasets/72dfbbe1c6e54f7cb3f9295011bed5bf,http://ocgispublic.s3.amazonaws.com/Imagery2015/Lyon2015.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/72dfbbe1c6e54f7cb3f9295011bed5bf
http://accessoakland.oakgov.com/datasets/3c26e857e36e45bfb065f10ec2555bbf,Waterford 2017,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This MrSID Gen 4 file? was derived from the 2017 orthogonal imagery produced from nadir images captured by Pictometry International during the Spring of 2017. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to an Oakland County-provided LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible.",2017-12-05T20:17:24.000Z,2017-12-06T18:49:08.000Z,http://accessoakland.oakgov.com/datasets/3c26e857e36e45bfb065f10ec2555bbf,http://ocgispublic.s3.amazonaws.com/Imagery2017/Waterford2017.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/3c26e857e36e45bfb065f10ec2555bbf
http://accessoakland.oakgov.com/datasets/966081b67cd941079f95cd79cf3de17e,Brandon2015,"BY USING THIS WEBSITE OR THE CONTENT THEREIN, YOU AGREE TO THE?TERMS OF USE. This
MrSID file was derived from the 2015 raster dataset, which consists of 8-bit,
4-band (R, G, B, NIR) color orthoimagery. A digital orthoimage is a raster
image processed from vertical aerial images in which displacement in the image
due to sensor orientation and terrain relief have been removed. Orthoimagery
combines the image characteristics of an image with the geometric qualities of
a map. Unlike planimetric maps which depict natural and manmade features by
means of lines, point symbols, texts and polygons, orthoimagery illustrates the
actual images of features and are thus more easily interpreted than regular
maps. The normal orientation of data in an orthoimage is by lines (rows) and
samples (columns). Each line contains a series of pixels ordered from west to
east with the order of the lines from north to south. Each image tile is stored
in industry standard TIFF (tagged interchange file format) with an associated
TIFF world file. Aerial imagery was acquired between April 12 and 15 2015 from
flying heights of approximately 1400-1640 feet above ground level (AGL). Each
orthoimage tile is 2500feet X 2500feet in dimension, edge-tied with the
adjacent tiles (no gap and no overlap). This dataset is published in
NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2111_Feet_Intl_feet.",2016-12-09T20:10:13.000Z,2017-12-05T18:26:24.000Z,http://accessoakland.oakgov.com/datasets/966081b67cd941079f95cd79cf3de17e,http://ocgispublic.s3.amazonaws.com/Imagery2015/Brandon2015.zip,"-180.0,-90.0,180.0,90.0",http://accessoakland.oakgov.com/datasets/966081b67cd941079f95cd79cf3de17e
