identifier,title,description,issued,modified,landingPage,webService,spatial
http://ogrip-geohio.opendata.arcgis.com/datasets/4b77c809b8b54e2488b26a0d855ec47c,Safety,There is no description available.,2017-11-17T22:01:51.000Z,2017-11-17T22:01:54.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b77c809b8b54e2488b26a0d855ec47c,https://apps.morpc.org/safety/,"-180.0,-90.0,180.0,90.0",http://ogrip-geohio.opendata.arcgis.com/datasets/4b77c809b8b54e2488b26a0d855ec47c
http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0,Ashtabula Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T16:16:05.000Z,2014-12-29T16:18:45.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Ashtabula_LBRS/FeatureServer/0,"-81.0102,41.4947,-80.5066,41.9759",http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0
http://ogrip-geohio.opendata.arcgis.com/datasets/1b6f9acb31914c378f6d32c403263e49,Development Web Map,"This interactive map includes recent and current development activities. Data sources, currency and other information are displayed by selecting map features. Contact MORPC to add information to this map.",2017-11-14T14:51:39.000Z,2017-11-14T15:19:37.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/1b6f9acb31914c378f6d32c403263e49,http://apps.morpc.org/development/,"-180.0,-90.0,180.0,90.0",http://ogrip-geohio.opendata.arcgis.com/datasets/1b6f9acb31914c378f6d32c403263e49
http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0,Points Of Interest,"All Category/Type combinations for MORPC Points of Interest data, for 15-counties in Central Ohio, showing places of commercial activity, transportation, public places, hospitals, industrial (landfills, waste transfer stations, quarries, wastewater and water treatment), group quarters, government locations, and public places. Geography: 15 county Central Ohio region: Delaware, Fairfield, Fayette, Franklin, Hocking, Knox, Licking, Logan, Madison, Marion, Morrow, Perry, Pickaway, Ross, and Union Counties. Source: Sources vary by point category and type. Query source attribute on a specific point for more.",2017-04-07T19:02:33.000Z,2017-11-14T15:25:59.981Z,http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0,http://arcgiswebadp1.morpc.org/webadaptor/rest/services/poi/PointsOfInterest/MapServer/0,"-83.7862,39.1933,-82.1967,40.7244",http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0
http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0,Auglaize Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-30T14:55:42.000Z,2014-12-30T14:56:41.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Auglaize_LBRS/FeatureServer/0,"-84.4633,40.3554,-83.8751,40.6919",http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0
http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4,Ashtabula Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T16:29:04.000Z,2014-12-29T16:29:46.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Ashtabula_LBRS/FeatureServer/4,"-81.0479,41.463,-80.4673,41.9784",http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4
http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4,Adams Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-10-29T14:11:49.000Z,2014-12-22T16:49:02.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Adams_LBRS/FeatureServer/4,"-83.7279,38.5962,-83.2272,39.0619",http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4
http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0,Butler Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-30T16:46:11.000Z,2014-12-30T16:46:44.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Butler_LBRS/FeatureServer/0,"-84.828,39.2809,-84.3258,39.5923",http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0
http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5,Regional Energy Action Plan Web Map,"This web map contains information using research from the Columbus Region
 Energy Action Plan, 2013. Users may choose from over a dozen layers to 
help visualize the state of energy production, support manufacturing, 
related jobs, and political districts.",2017-02-01T17:18:01.000Z,2017-11-14T14:49:50.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5,http://apps.morpc.org/energy/,"-83.632,39.495,-82.369,40.555",http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5
http://ogrip-geohio.opendata.arcgis.com/datasets/3c9505809ab84b729014428ee78bd7e2_4,Brown Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection. ?View Full Metadata,2014-12-30T15:46:33.000Z,2014-12-30T15:47:12.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/3c9505809ab84b729014428ee78bd7e2_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Brown_LBRS/FeatureServer/4,"-84.0667,38.6373,-83.6481,39.2655",http://ogrip-geohio.opendata.arcgis.com/datasets/3c9505809ab84b729014428ee78bd7e2_4
http://ogrip-geohio.opendata.arcgis.com/datasets/546a17c1de70440e8b2d4d8498239234_0,Athens Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T17:13:44.000Z,2014-12-29T17:14:45.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/546a17c1de70440e8b2d4d8498239234_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Athens_LBRS/FeatureServer/0,"-82.297,39.1803,-81.7189,39.5555",http://ogrip-geohio.opendata.arcgis.com/datasets/546a17c1de70440e8b2d4d8498239234_0
http://ogrip-geohio.opendata.arcgis.com/datasets/c7952a4bd1a34630b36053b9c230edca_4,Athens Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T18:53:16.000Z,2014-12-29T18:54:00.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c7952a4bd1a34630b36053b9c230edca_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Athens_LBRS/FeatureServer/4,"-82.3269,39.141,-81.7028,39.5806",http://ogrip-geohio.opendata.arcgis.com/datasets/c7952a4bd1a34630b36053b9c230edca_4
http://ogrip-geohio.opendata.arcgis.com/datasets/614954c3a1e84aafaebe1980f9fb77e0,Metropolitan Transportation Plan 2016-2040 Web Map,The Metropolitan Transportation Plan (MTP) is the long-range transportation plan for Central Ohio. This interactive map includes transportation projects anticipated to occur by the year 2040 that will use federal transportation funds. The plan was developed by MORPC.,2016-09-16T17:48:40.000Z,2017-11-14T15:22:13.641Z,http://ogrip-geohio.opendata.arcgis.com/datasets/614954c3a1e84aafaebe1980f9fb77e0,http://apps.morpc.org/mtp2040/,"-83.204,39.794,-82.715,40.147",http://ogrip-geohio.opendata.arcgis.com/datasets/614954c3a1e84aafaebe1980f9fb77e0
http://ogrip-geohio.opendata.arcgis.com/datasets/515ad4bd038a4cc49701d498394e51f9,SFY 2018-2021 Transportation Improvement Program Web Map,"The TIP interactive map is designed to receive comments on MORPC's Draft Transportation Improvement Program for State Fiscal Years 2018-2021. The TIP is a schedule of transportation improvements in the MORPC transportation planning area. The TIP includes investments in highways, public transit, bikeways, pedestrian facilities, bridges, traffic signals and other aspects of the transportation system over a four-year period. It also includes planning and engineering studies that may lead to construction in later years.",2017-11-14T15:02:04.000Z,2017-11-14T15:22:13.366Z,http://ogrip-geohio.opendata.arcgis.com/datasets/515ad4bd038a4cc49701d498394e51f9,http://apps.morpc.org/tip/,"-180.0,-90.0,180.0,90.0",http://ogrip-geohio.opendata.arcgis.com/datasets/515ad4bd038a4cc49701d498394e51f9
