identifier,title,description,issued,modified,landingPage,webService,spatial
http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0,Ashtabula Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T16:16:05.000Z,2014-12-29T16:18:45.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Ashtabula_LBRS/FeatureServer/0,"-81.0102,41.4947,-80.5066,41.9759",http://ogrip-geohio.opendata.arcgis.com/datasets/9a3a106fee05467e84f9728e85386d1f_0
http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4,Adams Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-10-29T14:11:49.000Z,2014-12-22T16:49:02.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Adams_LBRS/FeatureServer/4,"-83.7279,38.5962,-83.2272,39.0619",http://ogrip-geohio.opendata.arcgis.com/datasets/c524688294ba4b2eb5a7265d9e279dd3_4
http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0,Points Of Interest,"All Category/Type combinations for MORPC Points of Interest data, for 15-counties in Central Ohio, showing places of commercial activity, transportation, public places, hospitals, industrial (landfills, waste transfer stations, quarries, wastewater and water treatment), group quarters, government locations, and public places. Geography: 15 county Central Ohio region: Delaware, Fairfield, Fayette, Franklin, Hocking, Knox, Licking, Logan, Madison, Marion, Morrow, Perry, Pickaway, Ross, and Union Counties. Source: Sources vary by point category and type. Query source attribute on a specific point for more.",2017-04-07T19:02:33.000Z,2017-04-07T19:31:32.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0,http://arcgiswebadp1.morpc.org/webadaptor/rest/services/poi/PointsOfInterest/MapServer/0,"-83.7862,39.1933,-82.1967,40.7244",http://ogrip-geohio.opendata.arcgis.com/datasets/952dc6ca042344268582c4ae22fc0b68_0
http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0,Auglaize Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-30T14:55:42.000Z,2014-12-30T14:56:41.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Auglaize_LBRS/FeatureServer/0,"-84.4633,40.3554,-83.8751,40.6919",http://ogrip-geohio.opendata.arcgis.com/datasets/016c141b94df4dd299c9cee432e3876d_0
http://ogrip-geohio.opendata.arcgis.com/datasets/db56463a7911491dbd297b15d8bdebcd_9,ODOT Active Rail,"The rail file illustrates the rail network in Ohio.? This file is supplied by PUCO/Ohio Rail
Commission.",2014-10-21T18:45:05.000Z,2014-10-31T20:35:35.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/db56463a7911491dbd297b15d8bdebcd_9,http://geo.oit.ohio.gov/arcgis/rest/services/ODOT/ODOT_Features/FeatureServer/9,"-84.918,38.368,-80.4803,41.987",http://ogrip-geohio.opendata.arcgis.com/datasets/db56463a7911491dbd297b15d8bdebcd_9
http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4,Ashtabula Centerlines LBRS,The State of Ohio Location Based Response System road centerlines depict center of pavement of public and private roads within participating Ohio Counties. Address Range data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-29T16:29:04.000Z,2014-12-29T16:29:46.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Ashtabula_LBRS/FeatureServer/4,"-81.0479,41.463,-80.4673,41.9784",http://ogrip-geohio.opendata.arcgis.com/datasets/0ede82e863a344eb8a2f6d36d64fe5ae_4
http://ogrip-geohio.opendata.arcgis.com/datasets/2797761b0abe40c8a33a9c982a779535_10,ODOT Cities,"The city polygon
file illustrates the boundaries of municipal jurisdictions within Ohio.? This file is maintained as a process related
to the updating of the Road Inventory for the distribution of gas tax monies.
This dataset is currently published on an annual basis.",2014-10-31T20:29:37.000Z,2014-10-31T20:31:16.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/2797761b0abe40c8a33a9c982a779535_10,http://geo.oit.ohio.gov/arcgis/rest/services/ODOT/ODOT_Features/MapServer/10,"-84.9136,38.3812,-80.481,41.9937",http://ogrip-geohio.opendata.arcgis.com/datasets/2797761b0abe40c8a33a9c982a779535_10
http://ogrip-geohio.opendata.arcgis.com/datasets/7212b60cc5fc4949869995813628182c_12,ODOT County Boundaries,"The
county polygon file illustrates the boundaries of the county jurisdictions
within Ohio.??",2014-10-21T18:38:56.000Z,2014-10-31T20:38:45.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/7212b60cc5fc4949869995813628182c_12,http://geo.oit.ohio.gov/arcgis/rest/services/ODOT/ODOT_Features/FeatureServer/12,"-84.9185,38.3802,-80.48,41.9934",http://ogrip-geohio.opendata.arcgis.com/datasets/7212b60cc5fc4949869995813628182c_12
http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0,Butler Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-30T16:46:11.000Z,2014-12-30T16:46:44.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Butler_LBRS/FeatureServer/0,"-84.828,39.2809,-84.3258,39.5923",http://ogrip-geohio.opendata.arcgis.com/datasets/5d63618f18564bfba8da3b328bc8a193_0
http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5,Regional Energy Action Plan,"This web map contains information using research from the Columbus Region
 Energy Action Plan, 2013. Users may choose from over a dozen layers to 
help visualize the state of energy production, support manufacturing, 
related jobs, and political districts.",2017-02-01T17:18:01.000Z,2017-10-18T13:51:18.504Z,http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5,http://apps.morpc.org/energy/,"-83.632,39.495,-82.369,40.555",http://ogrip-geohio.opendata.arcgis.com/datasets/fb4b2f3094874820b2252278b772f7a5
