identifier,title,description,issued,landingPage,webService,spatial
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_3,Water Bodies - Metroparks/CEGIS,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_3,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/3,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_3
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_13,Priority Conservation Areas - Ohio Balanced Growth Program,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_13,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/13,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_13
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_10,Active Stream Area ,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_10,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/10,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_10
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_11,Activity Nodes,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_11,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/11,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_11
http://data-cuyahoga.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0,CCPC - UTC Parcel Existing,Existing Tree Canopy By Parcel for Cuyahoga County,2017-03-01T16:37:14.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0,https://utility.arcgis.com/usrsvcs/servers/f3ae61040cb44adcbaa327f503d9adcb/rest/services/CCPC/UTC_Parcel_Existing_WGS84/MapServer/0,"-81.9711,41.2751,-81.3747,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0
http://data-cuyahoga.opendata.arcgis.com/datasets/ef402fc027b344eb859eeaf7941a6c5c_0,FEMA Floodzones for Cuyahoga County,"FEMA National Flood Hazard Layer Flood Zones for Cuyahoga County, Ohio. Last FEMA update 9/29/2016.For more information 
regarding the flood zones, including the most up to date flood hazard 
maps for your area and what to do with the information, visit FEMA's Flood Hazard Mapping website.
	
	Flood Zones By Type: flood zones symbolized by FEMA Zone designation, with any area not covered by a flood zone considered to have minimal flood risk",2017-03-16T17:59:19.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/ef402fc027b344eb859eeaf7941a6c5c_0,https://utility.arcgis.com/usrsvcs/servers/ef402fc027b344eb859eeaf7941a6c5c/rest/services/CUYAHOGA_BASE_TILED/FloodZones_WGS84/MapServer/0,"-81.9712,41.275,-81.3751,41.634",http://data-cuyahoga.opendata.arcgis.com/datasets/ef402fc027b344eb859eeaf7941a6c5c_0
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_14,Cleveland Metroparks 2020 Priority Watershed Areas,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_14,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/14,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_14
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_15,Open Space By Type,"Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_15,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/15,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_15
http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_0,ORIGINAL LOT,"Historical Original Lots, Original Townships, and 1850 Townships as recorded and maintained by Cuyahoga County Taxmap Department.",2017-10-11T18:22:18.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_0,https://utility.arcgis.com/usrsvcs/servers/468395ff0e8741019a2628e99895bd1c/rest/services/CUYAHOGA_BASE/Taxmap_PLSS_WGS84/MapServer/0,"-81.9711,41.275,-81.3747,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_0
http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_1,ORIGINAL TOWNSHIP,"Historical Original Lots, Original Townships, and 1850 Townships as recorded and maintained by Cuyahoga County Taxmap Department.",2017-10-11T18:22:18.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_1,https://utility.arcgis.com/usrsvcs/servers/468395ff0e8741019a2628e99895bd1c/rest/services/CUYAHOGA_BASE/Taxmap_PLSS_WGS84/MapServer/1,"-81.9711,41.275,-81.3747,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_1
http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_2,TOWNSHIP 1850,"Historical Original Lots, Original Townships, and 1850 Townships as recorded and maintained by Cuyahoga County Taxmap Department.",2017-10-11T18:22:18.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_2,https://utility.arcgis.com/usrsvcs/servers/468395ff0e8741019a2628e99895bd1c/rest/services/CUYAHOGA_BASE/Taxmap_PLSS_WGS84/MapServer/2,"-81.9711,41.275,-81.3747,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/468395ff0e8741019a2628e99895bd1c_2
http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_18,"Local Subwatersheds, By Percent Imperviousness","Cuyahoga County Planning Commission's Greenprint GIS features: Trails, Water Features, Wetlands, Open Space, Activity Nodes, Conservation Areas, Riparian, Watersheds",2017-03-29T19:23:13.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_18,https://utility.arcgis.com/usrsvcs/servers/7f805f34eb824474bd874bdfac196fc3/rest/services/CCPC/Greenprint_WGS84/MapServer/18,"-82.1813,41.0898,-81.0999,41.7651",http://data-cuyahoga.opendata.arcgis.com/datasets/7f805f34eb824474bd874bdfac196fc3_18
http://data-cuyahoga.opendata.arcgis.com/datasets/0cfce42890a74a8f8b0a77c0bd70f049_0,CCPC - 2010 Census Blocks,Census Blocks with basic demographic data from 2010,2017-03-01T16:28:47.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/0cfce42890a74a8f8b0a77c0bd70f049_0,https://utility.arcgis.com/usrsvcs/servers/0cfce42890a74a8f8b0a77c0bd70f049/rest/services/CCPC/CensusBlock2010_WGS84/MapServer/0,"-81.9713,41.2751,-81.3748,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/0cfce42890a74a8f8b0a77c0bd70f049_0
http://data-cuyahoga.opendata.arcgis.com/datasets/4817da5cc0dc4365a95282c38d9115c9_4,CSI Manhole,Sewer Infrastructure maintained by the Cuyahoga County Department of Public Works and made public with approval of the owner of the infrastructure.,2017-03-15T19:02:35.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/4817da5cc0dc4365a95282c38d9115c9_4,https://utility.arcgis.com/usrsvcs/servers/4817da5cc0dc4365a95282c38d9115c9/rest/services/CCDPW/Public_Sewer_Infrastructure_WGS84/MapServer/4,"-81.9701,41.2775,-81.4039,41.5888",http://data-cuyahoga.opendata.arcgis.com/datasets/4817da5cc0dc4365a95282c38d9115c9_4
http://data-cuyahoga.opendata.arcgis.com/datasets/ad8c8e5181684d4ebfb66ebb85006df7_0,Cuyahoga County Zip Codes,"ZIP Code boundaries: original data from ESRI, updated by Cuyahoga County GISWARNING: Not official USPS ZIPCODE boundaries.",2017-06-14T14:35:58.000Z,http://data-cuyahoga.opendata.arcgis.com/datasets/ad8c8e5181684d4ebfb66ebb85006df7_0,https://utility.arcgis.com/usrsvcs/servers/ad8c8e5181684d4ebfb66ebb85006df7/rest/services/CUYAHOGA_BASE/ZIPCode_WGS84/MapServer/0,"-81.9711,41.2526,-81.2977,41.6315",http://data-cuyahoga.opendata.arcgis.com/datasets/ad8c8e5181684d4ebfb66ebb85006df7_0
