identifier,title,description,issued,modified,landingPage
https://datacatalog.cookcountyil.gov/api/views/nu5w-d9cb,ccgisdata - Library Tax Dist 2015,Library Taxing Districts in Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/nu5w-d9cb,https://datacatalog.cookcountyil.gov/api/views/nu5w-d9cb
https://datacatalog.cookcountyil.gov/api/views/h5ph-eevy,ccgisdata - Community College Tax District 2015,Community College Tax Districts in Cook County for tax year 2015.,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/h5ph-eevy,https://datacatalog.cookcountyil.gov/api/views/h5ph-eevy
https://datacatalog.cookcountyil.gov/api/views/2df4-kwbu,ccgisdata - Park Tax Dist 2016,Park Taxing Districts within Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/2df4-kwbu,https://datacatalog.cookcountyil.gov/api/views/2df4-kwbu
https://datacatalog.cookcountyil.gov/api/views/dagh-zphu,ccgisdata - High School Tax Dist 2015,High School Taxing Districts in Cook County,2017-11-13,2017-11-30,https://datacatalog.cookcountyil.gov/d/dagh-zphu,https://datacatalog.cookcountyil.gov/api/views/dagh-zphu
https://datacatalog.cookcountyil.gov/api/views/kxy6-yhpt,ccgisdata - Right-Of-Way 2016,The feature class Right-of-Way indicates tax exempt rights-of-way digitized from recorded plats.,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/kxy6-yhpt,https://datacatalog.cookcountyil.gov/api/views/kxy6-yhpt
https://datacatalog.cookcountyil.gov/api/views/an6r-bw5a,ccgisdata - Elementary School Tax District 2016,Elementary School Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/an6r-bw5a,https://datacatalog.cookcountyil.gov/api/views/an6r-bw5a
https://datacatalog.cookcountyil.gov/api/views/2rg9-v9k5,ccgisdata - Fire Protection Tax Dist 2015,Fire Protection Taxing Districts in Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/2rg9-v9k5,https://datacatalog.cookcountyil.gov/api/views/2rg9-v9k5
https://datacatalog.cookcountyil.gov/api/views/vswv-u8be,ccgisdata - Lot 2016,The feature class LOT contains lot polygons as shown on the tax map.,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/vswv-u8be,https://datacatalog.cookcountyil.gov/api/views/vswv-u8be
https://datacatalog.cookcountyil.gov/api/views/a33b-b59u,ccgisdata - Parcels 2016,The Parcel 2016 feature contains tax parcel polygons for the 2016 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2016 through 12/31/2016. Each parcel is uniquely identified with a Property Index Number (PIN).,2017-11-07,2017-11-07,https://datacatalog.cookcountyil.gov/d/a33b-b59u,https://datacatalog.cookcountyil.gov/api/views/a33b-b59u
https://datacatalog.cookcountyil.gov/api/views/g4qd-796y,ccgisdata - Sanitary Tax Dist 2015,Sanitary Taxing Districts within Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/g4qd-796y,https://datacatalog.cookcountyil.gov/api/views/g4qd-796y
https://datacatalog.cookcountyil.gov/api/views/angb-d97z,ccgisdata - Unit School Tax Districts 2015,Unit School Taxing Districts in Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/angb-d97z,https://datacatalog.cookcountyil.gov/api/views/angb-d97z
https://datacatalog.cookcountyil.gov/api/views/6ney-zqpx,ccgisdata - Sanitary Tax Dist 2016,Sanitary Taxing Districts within Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/6ney-zqpx,https://datacatalog.cookcountyil.gov/api/views/6ney-zqpx
https://datacatalog.cookcountyil.gov/api/views/y8sv-9wex,ccgisdata - Elementary School Tax District 2015,Elementary School Taxing Districts in Cook County,2017-11-13,2017-11-30,https://datacatalog.cookcountyil.gov/d/y8sv-9wex,https://datacatalog.cookcountyil.gov/api/views/y8sv-9wex
https://datacatalog.cookcountyil.gov/api/views/dh3h-25vu,ccgisdata - ESRI Suburban Cook Building Footprints 2008,"Building Footprints based off data from 2008 for the buildings and 2010 vintage for UV SAL buildings in Cook County that are outside of the Chicago Open Data (which is various dates as collected)

2008 Cook County Lidar, UVM Spatial Analysis Lab 2010 Chicago Regional Land Cover (2008 Lidar building footprints were extracted using Esri software and UVM Spatial Analysis Lab building footprints were extracted/regularized using Esri software).",2017-10-19,2017-10-19,https://datacatalog.cookcountyil.gov/d/dh3h-25vu,https://datacatalog.cookcountyil.gov/api/views/dh3h-25vu
https://datacatalog.cookcountyil.gov/api/views/pr2q-arui,ccgisdata - Metropolitan Water Reclamation Tax Dist 2016,Metropolitan Water Reclamation Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/pr2q-arui,https://datacatalog.cookcountyil.gov/api/views/pr2q-arui
https://datacatalog.cookcountyil.gov/api/views/uvx8-ftf4,ccgisdata - Political Township 2016,Political Townships in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/uvx8-ftf4,https://datacatalog.cookcountyil.gov/api/views/uvx8-ftf4
https://datacatalog.cookcountyil.gov/api/views/h3xu-azvs,ccgisdata - High School Tax Dist 2016,High School Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/h3xu-azvs,https://datacatalog.cookcountyil.gov/api/views/h3xu-azvs
https://datacatalog.cookcountyil.gov/api/views/5n25-pb56,ccgisdata - Political Township 2015,Political Townships in Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/5n25-pb56,https://datacatalog.cookcountyil.gov/api/views/5n25-pb56
https://datacatalog.cookcountyil.gov/api/views/69tz-shqi,ccgisdata - Community College Tax District 2016,Community College Tax Districts in Cook County for tax year 2016.,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/69tz-shqi,https://datacatalog.cookcountyil.gov/api/views/69tz-shqi
https://datacatalog.cookcountyil.gov/api/views/594e-g5w3,ccgisdata - Unit School Tax Districts 2016,Unit School Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/594e-g5w3,https://datacatalog.cookcountyil.gov/api/views/594e-g5w3
https://datacatalog.cookcountyil.gov/api/views/7n8x-uj9u,ccgisdata - ESRI Chicago Bldg Footprints 2008,"Building Footprints based off data from 2008 for the buildings and 2010 vintage for UV SAL buildings in Cook County that are outside of the Chicago Open Data (which is various dates as collected)

2008 Cook County Lidar, UVM Spatial Analysis Lab 2010 Chicago Regional Land Cover (2008 Lidar building footprints were extracted using Esri software and UVM Spatial Analysis Lab building footprints were extracted/regularized using Esri software).",2017-10-19,2017-10-19,https://datacatalog.cookcountyil.gov/d/7n8x-uj9u,https://datacatalog.cookcountyil.gov/api/views/7n8x-uj9u
https://datacatalog.cookcountyil.gov/api/views/bgj7-e5i7,ccgisdata - Metropolitan Water Reclamation Tax Dist 2015,Metropolitan Water Reclamation Taxing Districts in Cook County,2017-11-13,2017-11-13,https://datacatalog.cookcountyil.gov/d/bgj7-e5i7,https://datacatalog.cookcountyil.gov/api/views/bgj7-e5i7
https://datacatalog.cookcountyil.gov/api/views/r43b-5ipg,ccgisdata - Park Tax Dist 2015,Park Taxing Districts within Cook County,2017-11-13,2017-11-30,https://datacatalog.cookcountyil.gov/d/r43b-5ipg,https://datacatalog.cookcountyil.gov/api/views/r43b-5ipg
https://datacatalog.cookcountyil.gov/api/views/egxy-cjyk,ccgisdata - Fire Protection Tax Dist 2016,Fire Protection Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/egxy-cjyk,https://datacatalog.cookcountyil.gov/api/views/egxy-cjyk
https://datacatalog.cookcountyil.gov/api/views/junp-4s2h,ccgisdata - Library Tax Dist 2016,Library Taxing Districts in Cook County,2017-11-30,2017-11-30,https://datacatalog.cookcountyil.gov/d/junp-4s2h,https://datacatalog.cookcountyil.gov/api/views/junp-4s2h
