identifier,title,description,issued,modified,landingPage,webService,spatial
http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_1,Maryland Water Quality - Tier II Catchments 2012,"This is a MD iMAP hosted service layer. Find more information at http://imap.maryland.gov.This dataset provides the Tier II catchments delineated for the most downstream Tier II segment. This file also provides the assimilative capacity (AC) status for each watershed. In cases where there is no remaining AC in a nested catchment but the larger encompassing segment has remaining AC, the smaller nested catchment is split out and assigned its own identification. These nested catchments are also then attributed to show the lack of AC remaining. The intended use of the catchment dataset is to assist State, Local, and Federal officials and stakeholders in determining the antidegradation status of current or planned activities which fall under the purview of the antidegradation policy and implementation procedure (COMAR 26.08.02.04-1).  Using GIS, the stakeholder can assess if any activity, proposed or operational, such as a discharge, is located on land which drains (has run off) directly into and can potentially adversely affect a Tier II stream segment.  This type of determination would be useful for permitting purposes, screening for sensitive or high quality resources, and various land use planning activities such as those undertaken by local officials during the Water Resources Element process, Water and Sewer Planning, or the Comprehensive Planning process.Last Updated: 2012Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/1",2016-02-10T18:05:59.000Z,2017-08-17T16:13:57.317Z,http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_1,http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/1,"-79.5073,38.0147,-75.3428,39.9149",http://data.imap.maryland.gov/datasets/c83e66c46c694ffb9b99bda1dc507ed0_1
http://data.imap.maryland.gov/datasets/6bb54dfd580e4fe5805bc462052d4463_0,Maryland Water Quality - Tier II High Quality Waters 2012,"This is a MD iMAP hosted service layer. Find more information at http://imap.maryland.gov.The intent of this dataset is for it to be used to produce maps and provide a spatial reference for all Tier II segments located in Maryland. The Clean Water Act requires that States review their water quality standards every three years and revise the standards as necessary.  During this required Triennial Review the State reviewed the antidegradation policy, and identified additional stream segments that meet the minimum requirements. Current Tier II designations are made based on biological characteristics from Maryland Biological Stream Survey (MBSS) data, which is collected annually. MBSS data which identifies new Tier II segments in between Triennial Review cycles are maintained on the pending list, as they are awaiting formal promulgation. The publicly maintained list of all Tier II waters can be found for each county at the following website:  http://mde.maryland.gov/programs/Water/TMDL/Integrated303dReports/Pages/Antidegradation.aspx. This dataset is intended to be used in conjunction with the other official Tier II MDE datasets:  Tier II Stream Catchments, Tier II MBSS Stations, and Tier II Stream Endpoints.Last Updated: 2012Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/0",2016-02-10T18:02:12.000Z,2017-08-17T16:17:10.935Z,http://data.imap.maryland.gov/datasets/6bb54dfd580e4fe5805bc462052d4463_0,http://geodata.md.gov/imap/rest/services/Hydrology/MD_WaterQuality/FeatureServer/0,"-79.4376,38.0268,-75.3549,39.7291",http://data.imap.maryland.gov/datasets/6bb54dfd580e4fe5805bc462052d4463_0
http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_0,Tier II Stream Segments 2016,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.This dataset contains the nested Tier II catchments, the Tier II catchments without assimilative capacity, designated Tier II stream segments, Tier II stream end points, and Tier II baseline station information. Contact: Angel D. Valdez,
Antidegradation Implementation Lead
Maryland Department of the Environment, 1800 Washington Blvd, Baltimore, MD 21230

Phone: 410-537-3606
E-Mail: angel.valdez@maryland.govLast Updated: 9/11/2016Map Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_TierIIHighQualityWaters_2016/MapServer",2017-03-23T16:47:35.000Z,2017-08-17T16:11:56.005Z,http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_0,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_TierIIHighQualityWaters_2016/MapServer/0,"-79.5172,37.9987,-75.3061,39.922",http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_0
http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_1,Tier II Catchments 2016,"This is a MD iMAP hosted service. Find more information on?http://imap.maryland.gov.This dataset contains the nested Tier II catchments, the Tier II catchments without assimilative capacity, designated Tier II stream segments, Tier II stream end points, and Tier II baseline station information. Contact: Angel D. Valdez,
Antidegradation Implementation Lead
Maryland Department of the Environment, 1800 Washington Blvd, Baltimore, MD 21230

Phone: 410-537-3606
E-Mail: angel.valdez@maryland.govLast Updated: 9/11/2016Map Service Link:?http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_TierIIHighQualityWaters_2016/MapServer",2017-03-23T16:47:35.000Z,2017-08-17T16:12:27.663Z,http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_1,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_TierIIHighQualityWaters_2016/MapServer/1,"-79.5172,37.9987,-75.3061,39.922",http://data.imap.maryland.gov/datasets/b424b71fde38405080c00fc4018f1ce3_1
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_6,Maryland Rivers (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_6,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/6,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_6
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_5,Maryland Impoundments (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_5,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/5,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_5
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_4,Maryland Tidal Waters (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_4,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/4,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_4
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_3,Tidal Waters - Fish Tissue and Metals Assessments only (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_3,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/3,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_3
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_2,Tidal Waters - Shellfish/Bacteria Assessments only (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_2,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/2,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_2
http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_1,Tidal Waters - Legacy Assessments only (2014),"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.This map shows Maryland?s currently designated (Code of Maryland Regulations 26.08.02.04-1) Tier II high quality waters and their associated catchments or watersheds. This dataset also provides those additional Tier II segments proposed during the current Triennial Review of Maryland Regulations, known as the pending list. Pending segments are Tier II segments awaiting promulgation. The map is symbolized to show which waters/catchments have assimilative capacity remaining and which do not. This map is up to date as of December 31, 2011. For more information about MDE?s Antidegradation Policy and Tier II high quality waters please visit http://www.mde.state.md.us/programs/Water/TMDL/Water%20Quality%20Standards/Pages/Antidegradation_Policy.aspx.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer",2015-06-10T18:01:14.000Z,2017-06-09T20:15:15.000Z,http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_1,http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReport_SurfaceWaterQuality2014/MapServer/1,"-79.5076,37.8623,-74.9487,39.747",http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_1
