identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-midnr.opendata.arcgis.com/datasets/d617c3bceedb4521b5f500a863ae3712_29,Spruce Budworm 2007,Spruce Budworm 2007 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:30:53.000Z,2017-02-06T21:13:24.000Z,http://gis-midnr.opendata.arcgis.com/datasets/d617c3bceedb4521b5f500a863ae3712_29,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/29,"-90.1571,42.3503,-83.2295,48.1063",http://gis-midnr.opendata.arcgis.com/datasets/d617c3bceedb4521b5f500a863ae3712_29
http://gis-midnr.opendata.arcgis.com/datasets/0a8afb65c5504224bee0bc2abac6090e_17,Ash Host Species 2011,Ash Host Species 2011 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:20:39.000Z,2017-02-06T21:13:08.000Z,http://gis-midnr.opendata.arcgis.com/datasets/0a8afb65c5504224bee0bc2abac6090e_17,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/17,"-90.0717,43.4747,-83.3599,46.9006",http://gis-midnr.opendata.arcgis.com/datasets/0a8afb65c5504224bee0bc2abac6090e_17
http://gis-midnr.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_35,Spruce Budworm 2013,Spruce Budworm 2013 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:33:31.000Z,2017-02-06T21:13:25.000Z,http://gis-midnr.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_35,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/35,"-90.259,41.8739,-82.9865,48.1649",http://gis-midnr.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_35
http://gis-midnr.opendata.arcgis.com/datasets/132d9fff80224f9cbe8f05d8290e377b_20,Ash Host Species 2014,Ash Host Species 2014 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:21:41.000Z,2017-02-06T21:13:10.000Z,http://gis-midnr.opendata.arcgis.com/datasets/132d9fff80224f9cbe8f05d8290e377b_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/20,"-90.258,43.477,-83.2547,48.1501",http://gis-midnr.opendata.arcgis.com/datasets/132d9fff80224f9cbe8f05d8290e377b_20
http://gis-midnr.opendata.arcgis.com/datasets/85ccffdf80e34fbc875ba9f0a267b6a4_11,Hemlock Host Species 2013,Hemlock Host Species 2013 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:14:13.000Z,2017-02-06T21:13:10.000Z,http://gis-midnr.opendata.arcgis.com/datasets/85ccffdf80e34fbc875ba9f0a267b6a4_11,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/11,"-90.259,41.8739,-82.9865,48.1649",http://gis-midnr.opendata.arcgis.com/datasets/85ccffdf80e34fbc875ba9f0a267b6a4_11
http://gis-midnr.opendata.arcgis.com/datasets/cc49db9fd8a4469f981dc8df39ba3d75_8,Low-slope/PAMD accessible trail,"The
Michigan Department of Natural Resources (DNR) does have many locations or
features which help or particularly benefit those public users, photography
enthusiasts, birdwatchers, or hunters who have special mobility needs and
benefit from special accessible conditions to reach our outdoor and wildlife
resources.? The DNR website has details
and a wide variety of accessible, ADA compliant rules, guidelines and features
and (see webpage http://www.michigan.gov/dnr/0,4570,7-153-10366_41825---,00.html and subpage on hunting / wildlife
information at http://www.michigan.gov/dnr/0,4570,7-153-10366_41825_51108---,00.html ).?
Users may require only walking assistance devices or may be those with
specific wheelchairs, personal assistive mobility devices (PAMDs), or other
motorized-type vehicles.? 

Please
check rules for specific rules, regulations, and restrictions as they relate to
what equipment might be used, before using such equipment, as not all equipment
legal on public places, residential or commercial buildings, or such are
allowed on all areas of Michigan?s public land managed by the DNR.

?

Accessible
features on State Wildlife/Game Area include those which have low-slope, no
stairs or steps along features, and are accessible for wheelchairs, or personal
assistive mobility devices (PAMDs).? All
buildings, DNR Shooting-Ranges, and other permanent public use structures are
fully ADA compliant and accessible.? It
is the more natural features being identified in this layer.? Many of these features are fully ADA code
compliant (which is ~1 inch rise or less over 12 inch distances) and are
regularly checked for obstructions, while other features comply with the
low-slope requirements or are identified as such so they are not over-represented
to a lower or no slope level.? In natural
rustic areas it can be difficult to maintain these slope limits and to clearing
check for naturally-occurring obstructions like leaves, sticks or other
naturally occurring items which blow or wash onto trails or outside features.? Therefore, features are frequently identified
as no-slope or low-slope/PAMD levels and not over-represented as fully ADA
compliant.? 

?

The
DNR Wildlife Division is in a updated state-wide review to identify features
and provide better information on accessible features, such as by GIS
compatible layers provided here.? Accessible
features typically include accessible combinations of parking, a trail and a
destination location like a platform or blind location; read the attribute
fields like the ?comment? field, for details on what is at the provided data
point, line or polygon.? Although
available for use by anyone, it's hoped consideration for use will be given to
those individuals that have limited mobility, please, for use of these accessible
parking, trails, blinds or platforms, and other features.? Patience is appreciated for local site
conditions which might be caused by weather, wind or rain, wildlife or other
public users; please report any problems with features to either the local DNR
Wildlife office or the main DNR Wildlife help options (e-mail DNR-Wildlife@michigan.gov , or call 517-284-9453).",2016-10-27T15:23:30.000Z,2017-02-06T21:13:12.000Z,http://gis-midnr.opendata.arcgis.com/datasets/cc49db9fd8a4469f981dc8df39ba3d75_8,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrWildlife/MapServer/8,"-90.5436,41.6457,-82.0792,48.1903",http://gis-midnr.opendata.arcgis.com/datasets/cc49db9fd8a4469f981dc8df39ba3d75_8
http://gis-midnr.opendata.arcgis.com/datasets/c8e3db99daa44e97be26f608c9e9b9e7_30,Spruce Budworm 2008,Spruce Budworm 2008 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:31:20.000Z,2017-02-06T21:13:25.000Z,http://gis-midnr.opendata.arcgis.com/datasets/c8e3db99daa44e97be26f608c9e9b9e7_30,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/30,"-89.8035,42.5533,-83.1847,47.1482",http://gis-midnr.opendata.arcgis.com/datasets/c8e3db99daa44e97be26f608c9e9b9e7_30
http://gis-midnr.opendata.arcgis.com/datasets/3bf8994feaba4da8ad3c0f18bda45bda_15,Ash Host Species 2009,Ash Host Species 2009 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:19:47.000Z,2017-02-06T21:13:08.000Z,http://gis-midnr.opendata.arcgis.com/datasets/3bf8994feaba4da8ad3c0f18bda45bda_15,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/15,"-90.1635,41.679,-83.3611,48.1596",http://gis-midnr.opendata.arcgis.com/datasets/3bf8994feaba4da8ad3c0f18bda45bda_15
http://gis-midnr.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_23,Spruce Budworm 2001,Spruce Budworm 2001 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,2015-12-10T16:27:58.000Z,2017-02-06T21:13:23.000Z,http://gis-midnr.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_23,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/23,"-90.5379,42.2861,-83.1516,48.1735",http://gis-midnr.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_23
http://gis-midnr.opendata.arcgis.com/datasets/f339bb23054c4cf98cec2413867691a9_15,Major Watersheds-Subbasins,The Michigan?s Major Watersheds - Subbasins shape file depicts the drainage areas of 20 square miles or greater at geographic features such as the mouth of a river or the location of a USGS stream flow collection station. The shape file is used to determine hydrologic parameters for determining a range of flows in watershed analysis.,2017-04-27T12:42:39.000Z,2017-04-27T12:43:00.000Z,http://gis-midnr.opendata.arcgis.com/datasets/f339bb23054c4cf98cec2413867691a9_15,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/15,"-90.5583,41.1977,-82.0721,48.2616",http://gis-midnr.opendata.arcgis.com/datasets/f339bb23054c4cf98cec2413867691a9_15
