identifier,title,description,issued,modified,landingPage,webService,spatial
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/c5197a2d52354b3bb6ee33c8bed21f9e_0,DVRPC Connections 2040 Transportation Vision,"The Connections 2040 Plan for Greater Philadelphia assesses regional trends and forecasts and sets forth a vision for the future. The Plan establishes goals and identifies strategies to achieve its core principles: managing growth and protecting natural resources, creating livable communities, building the economy, and establishing a modern, multimodal transportation system. The Plan identifies a set of transportation investments that are needed to preserve and maintain the existing system, as well as other critical improvements that make the system operate more efficiently and expand capacity. The passage of Act 89 in November 2013 will provide additional funding for transportation investments in the Pennsylvania portion of the DVRPC region. The Plan is being amended to include additional projects in the Pennsylvania subregionA key role of the Plan is to outline a vision and strategy for how the region will invest in transportation infrastructure over the next 27 years. This section lays out a vision for maintaining and improving the transportation system to achieve the future potential for Greater Philadelphia. Since we can?t afford all identified needs, the financial plan prioritizes projects for funding by developing forecasts of reasonably anticipated revenue, allocating the revenue to project categories based on need and policy, and evaluating and selecting specific major regionally significant projects for funding in the Plan. This chapter also considers how to address the transportation funding gap.DVRPC worked with PennDOT, NJ DOT, SEPTA, NJ Transit, PATCO/DRPA, and other regional stakeholders to determine what investments need to be made over the life of Connections 2040 to maintain and modernize the region?s transportation system. At the heart of this exercise was an in-depth needs assessment utilizing asset management systems that collect detailed data and monitor the various components of the network. The needs assessment identified what is required to bring the roadway and transit systems to a state-of-good repair, and also what types of operational and system expansion projects are necessary for the region to continue to grow and prosper in the future.The needs assessment determined the projects that are necessary to achieve the goals outlined in Connections 2040. Roadway, bike and pedestrian, and transit investments are grouped into the following categories:ROADWAY SYSTEM PRESERVATIONROADWAY OPERATIONAL IMPROVEMENTSTRANSIT SYSTEM PRESERVATIONTRANSIT OPERATIONAL IMPROVEMENTSTRANSIT SYSTEM EXPANSIONROADWAY SYSTEM EXPANSIONBIKE AND PEDESTRIANFor more information, see Chaper 5 of Connections 2040 document and Amended Transportation Investments in Amended Transportation Investsments document http://www.dvrpc.org/reports/14049.pdf

**PLEASE NOTE: GEOGRAPHY IS FOR ILLUSTRATIVE PURPOSES ONLY AND HAS NOT BEEN VERIFIED WITH INDIVIDUAL PARTIES**http://www.dvrpc.org/Connections2040/",2015-07-16T14:36:23.000Z,2017-09-21T16:43:08.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/c5197a2d52354b3bb6ee33c8bed21f9e_0,https://arcgis.dvrpc.org/arcgis/rest/services/Planning/Connections2040TransVision/FeatureServer/0,"-76.0416,39.5529,-74.3832,40.4387",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/c5197a2d52354b3bb6ee33c8bed21f9e_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0,DVRPC Port Terminals,The DVRPC port terminals data set represents the landside and pier data for active commercial marine terminals in the Delaware Valley. The data shows piers consolidated by operator along with the landside terminal facilities. Data varies by bulk and general cargo facility. Data was compiled by DVRPC using port terminal marketing materials and outreach with terminal operators.,2016-02-17T19:26:14.000Z,2017-11-17T18:52:42.217Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0,https://arcgis.dvrpc.org/arcgis/rest/services/Freight/PortTerminals/FeatureServer/0,"-75.4414,39.8039,-74.7261,40.1838",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b4c43e3285b480188420bd9fa5eff95_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0,DVRPC Bike Stress DRAFT Philadelphia LTS 3 Connections,"Shows all LTS 3 roads in Philadelphia. ?Top [x] Percent? attributes show if the segment is in the top [x] percent in the city. The percentages are based on the number of connections between Census blocks that would be enabled if LTS was reduced to 1 or 2 along these segments. A value of ?1 ?in the percentage attribute means the segment falls in that percentage, while a value of ?0 ?means that it does not.?",2017-11-02T20:59:20.000Z,2017-11-02T21:02:25.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0,https://arcgis.dvrpc.org/arcgis/rest/services/AppData/BSTRESS_PhilaLTS3/MapServer/0,"-75.2645,39.8764,-74.9612,40.131",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/73df8969561d49c1951c143be2ae16cc_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8eb412d170af43e58dbb9ff382e71777_0,DVRPC Traffic Counts,"DVRPC collects traffic volume, bicycle, and pedestrian counts at over 5,000 locations each year. The data is collected by the pneumatic tubes you see laying across the road. DVRPC also obtains traffic data collected by other entities and includes that data in its database as a public service. Traffic data is used by transportation engineers and planners, developers, market analysts, and may be of interest to the general public.This file is updated nightly.",2015-07-15T18:07:54.000Z,2017-11-18T17:44:40.460Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8eb412d170af43e58dbb9ff382e71777_0,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/TrafficCounts/FeatureServer/0,"-76.338,39.168,-73.877,40.85",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8eb412d170af43e58dbb9ff382e71777_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0,DVRPC Intermodal Rail Yards,"Intermodal rail terminals provide key connections between the nation freight rail network and local shippers and receivers. The DVRPC intermodal rail terminals data set represents four types of intermodal terminals: trans-flow, transload, auto-intermodal and intermodal container.",2016-02-17T19:22:21.000Z,2017-11-17T18:53:25.736Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0,https://arcgis.dvrpc.org/arcgis/rest/services/Freight/IntermodalRailYard/FeatureServer/0,"-76.0253,39.7457,-74.7645,40.241",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/4fd285dd89ae4a038b719faecfd2e14e_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0,DVRPC Demographic and Employment Forecast Data by Municipality - 2010 to 2040,"As the region's metropolitan planning organization (MPO), DVRPC provides technical assistance and services to its member state, county, and local governments; the private sector; and the public. Delaware Valley Data is our periodic series of free data bulletins, data snapshots, and analytical data reports. This analytical data report provides revised 2040 and interim-year population and employment forecasts for the DVRPC region?s counties and municipalities. DVRPC prepared these forecasts in order to incorporate the results of the 2010 Census, account for the ongoing economic recession, and maintain a 30-year planning horizon. 2040 population forecasts were originally adopted by the DVRPC Board on January 26, 2012 and published in April 2012 in Analytical Data Report 18. On February 28, 2013, the DVRPC Board amended the 2040 and interim year population forecasts for Upper Merion Township in Montgomery County, Pennsylvania, to account for a significant residential development that was unforeseen when the 2040 population forecasts were adopted in January 2012. This amendment resulted in corresponding revisions to the population forecasts for Montgomery County and the DVRPC region as a whole. This amended analytical data report includes these revisions. This report also consolidates the adopted population forecasts for Princeton Township and Princeton Borough in Mercer County, New Jersey, which merged and became one municipality known simply as Princeton on January 1, 2013. Additionally, inconsistencies in some summary totals in ADR 18 caused by rounding were also corrected. The adopted population forecasts provided in this report will serve as the basis for DVRPC?s planning and modeling activities, along with the 2040 employment forecasts that were prepared and adopted in September 2012.NETS database for 2010 was used for employment data.http://www.dvrpc.org/asp/pubs/publicationabstract.asp?pub_id=ADR019http://www.dvrpc.org/asp/pubs/publicationabstract.asp?pub_id=ADR018-ASource of geographic boundaries: DVRPC",2016-02-17T14:05:27.000Z,2017-11-20T04:08:37.156Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0,https://arcgis.dvrpc.org/arcgis/rest/services/Demographics/PopEmpForecastMCD/FeatureServer/0,"-76.151337,39.509354,-74.381483,40.608726",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/e1e3beb6aa144f2b8dd07693567077cc_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/0e6b70ed367a40c892a8c349218e47c2_0,"DVRPC Connections 2040 Planning Centers, Core Cities,  Neighborhood Centers","DVRPC Connections 2040 Planning Centers, Core Cities,  Neighborhood Centershttp://www.dvrpc.org/asp/pubs/publicationabstract.asp?pub_id=13042The concept of Centers is the cornerstone of Connections 2040. Centers provide a focal point in the regional landscape that recognizes the regional and local significance of places, while reinforcing a sense of community for local residents. Centers serve as a basis for organizing and focusing the development landscape and provide a framework for the most efficient provision of supportive infrastructure systems, including water, sewer, and transportation. By concentrating growth around and within Centers, the region can both preserve open space and reduce infrastructure costs. The densities and mixed uses inherent within Centers can enhance the feasibility of walking, bicycling, and public transit as alternatives to the automobile. Connections 2040 identifies a hierarchy of seven Center types, shown on the Planning Areas and Centers map, based on their role and activities within the region.METROPOLITAN CENTERCenter City/University City/Camden Central Business District ? spanning the Delaware River and bounded roughly by 40th Street from Girard to Washington avenues in Philadelphia and by the Ben Franklin Bridge and Interstate 676 to Clinton Street in Camden ? is identified as the region?s Metropolitan Center. This dense, compact, mixed-use area includes the central business districts of Philadelphia and Camden, major academic and medical institutions, and major tourist and entertainment destinations.METROPOLITAN SUBCENTERSThe Plan also identifies six Metropolitan Subcenters, reflecting their magnitude of jobs and commercial activity. These include the downtown area of Trenton and the destinations of King of Prussia/Valley Forge (Montgomery and Chester counties); International Airport (Delaware and Philadelphia counties), Navy Yard/Sports Complex (Philadelphia); Cherry Hill/Mount Laurel/Marlton (Burlington and Camden counties); and the Route 1 Corridor (Mercer County).NEIGHBORHOOD CENTERSConnections 2040recognizes that each of the region?s Core Cities is a collection of diverse neighborhoods with varying characteristics, assets, challenges, and needs, and that specific approaches and strategies for improving and revitalizing these neighborhoods will differ. The planning policies within the Core Cities and their neighborhoods focus on redevelopment and revitalization through targeted investment and reinvestment. Embedded within the region?s Core Cities of Philadelphia, Trenton, Camden, and Chester are Neighborhood Centers, which are recognizable places with a mix of commercial, retail, anchor institutional, and residential activities. Neighborhood Centers have an identifiable main street or focal point, are walkable, and have a unique history or sense of a community within the larger city setting. In addition to the metropolitan center, metropolitan subcenters, and neighborhood centers, the Plan identifies four other types of Centers: Suburban Centers, Town Centers, Rural Centers, and Planned Centers. The characteristics of each type are as follows:SUBURBAN CENTERSAre regionally significant; While not necessarily single municipalities, are perceived as single ?places;? Are suburban in character; Are less dense than town centers; Lack the integrated mix of uses found in town centers;Are defined primarily by a concentration and variety of office, retail, professional, and light industrial uses, and generally have more jobs than residents; and are generally auto dependent rather than transit oriented or pedestrian scale.TOWN CENTERSHave a mixture of high-density residential and commercial land use; Have an integrated mix of land uses;Have a unique history, character, and sense of place; Are of relatively higher density than their surrounding land uses;Have a distinct downtown/main street area surrounded by relatively dense residential development; Are pedestrian friendly and often transit oriented; and Are surrounded by suburban land uses.RURAL CENTERSHave a minimum density of six people and three employees per developed acre; Have an integrated mix of land uses; Have a unique history, character, and sense of place; Are of relatively higher density than the surrounding area; Have a distinct downtown/main street (though smaller than a town center); and Are surrounded by rural and agricultural land uses.PLANNED CENTERSAre planned town-center-type developments on greenfields in Growing Suburbs or Rural Areas or through redevelopment on greyfields and/or brownfields in Developed Communities; and Have plans that call for village-type development, incorporating mixed, integrated land uses, relatively high densities, and pedestrian connections. ",2016-05-26T15:23:40.000Z,2017-09-21T16:42:16.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/0e6b70ed367a40c892a8c349218e47c2_0,https://arcgis.dvrpc.org/arcgis/rest/services/Planning/Connections2040PlanCntrNeigh/FeatureServer/0,"-75.9881,39.6853,-74.5237,40.4411",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/0e6b70ed367a40c892a8c349218e47c2_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0,DVRPC Protected Open Space (2011),"Protected Open Space for the DVRPC Region as of 2011. DVRPC maintains an inventory of protected public and private open space in the Delaware Valley. The inventory tracks all publicly-owned open space, preserved farmland, and non profit protected open space. State, county and municipal programs preserve farms by purchasing development rights with public funds. Non-profits (land trusts and conservancies) protect privately owned open space lands by purchasing easements or by acquiring land outright with a combination of public and private funds. This file is a compilation from the following sources and is not necessarily parcel-based: Bucks County Planning Commission; Burlington County Department of Economic Development and Regional Planning; Camden County Division of Open Space and Farmland Preservation; Camden County Improvement Authority; Chester County Planning Commission; Delaware County Planning Department; Gloucester County Planning Division; Mercer County Planning Division; Montgomery County Planning Commission; Natural Lands Trust; New Jersey Conservation Foundation; New Jersey Department of Environmental Protection; New Jersey State Agriculture Development Committee; Pennsylvania Department of Conservation and Natural Resources; Philadelphia City Planning Commission; Philadelphia Department of Parks and Recreation In the cases where land had multiple owners, the following heirarchy was applied: 1. Preserved Farmland 2. Federal 3. State 4. County 5. Municipal 6. Nonprofit",2015-07-16T14:39:12.000Z,2017-09-21T16:40:29.000Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0,https://arcgis.dvrpc.org/arcgis/rest/services/Planning/ProtectedOpenSpace/FeatureServer/0,"-76.1513,39.5238,-74.3815,40.6082",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/434154a107e5497282bbad286c192c9d_0
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/44c8d8b12ddd43aeb8795c63f7f485a7_1,DVRPC 2015 Pennsylvania CMP Points,The 2015 Congestion Management Process is a systematic process for managing congestion. The regional transportation network is evaluated using multimodal criteria. This analysis is used along with CMP Advisory Committee input to develop congested corridors where similar sets of strategies are appropriate.,2016-06-30T18:58:28.000Z,2017-11-17T18:58:19.770Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/44c8d8b12ddd43aeb8795c63f7f485a7_1,https://arcgis.dvrpc.org/arcgis/rest/services/Transportation/CMP_Points/FeatureServer/1,"-76.0772,39.72,-74.7503,40.6079",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/44c8d8b12ddd43aeb8795c63f7f485a7_1
http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/852937c223e94fcf8e167a23b500935d_0,New Jersey Composite Parcels,"This spatial layer is a composite of tax parcel polygons, edgematched across most municipal boundaries. It serves as one of the statewide framework GIS data sets for New Jersey. It is compatible with the New Jersey Department of the Treasury MOD-IV system currently used by Tax Assessors. The composite is created from component data sets from 21 counties. Parcels of 20 counties and the City of Newark(Essex County) are edgematched, parcels of the rest of Essex County are not edgematched yet. Stewardship and maintenance of the data will continue to be the purview of county and municipal governments, but the statewide composite will be maintained by the NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS). Please note that these parcel data sets are not intended for use as tax maps. They are intended to provide reasonable representations of parcel boundaries for planning and other purposes.",2016-05-26T15:29:50.000Z,2017-11-17T18:49:34.983Z,http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/852937c223e94fcf8e167a23b500935d_0,https://geodata.state.nj.us/arcgis/rest/services/Features/Cadastral/MapServer/0,"-75.5871,38.9207,-73.8992,41.3571",http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/852937c223e94fcf8e167a23b500935d_0
