identifier,title,description,issued,modified,landingPage,webService,spatial
http://ogrip-geohio.opendata.arcgis.com/datasets/c2a510dbf39243c181bb767a0244beb1_5,ODNR Facilities,There is no description available.,2014-10-22T19:25:45.000Z,2017-03-17T18:29:45.938Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c2a510dbf39243c181bb767a0244beb1_5,https://gis.ohiodnr.gov/ArcGIS/rest/services/OIT_Services/ODNR_ODNR_Lands_Public_nolakes/FeatureServer/5,"-84.9131,38.5893,-80.4886,41.965",http://ogrip-geohio.opendata.arcgis.com/datasets/c2a510dbf39243c181bb767a0244beb1_5
http://ogrip-geohio.opendata.arcgis.com/datasets/d3c2dfe7efc24855a2a532a9d67ea0b5_1,Warning Signals,Dataset created and maintained by the Summit County Engineer showing warning signals within the Engineer's jurisdiction.,2014-09-25T13:18:15.000Z,2017-09-20T17:17:21.064Z,http://ogrip-geohio.opendata.arcgis.com/datasets/d3c2dfe7efc24855a2a532a9d67ea0b5_1,http://summitmaps.summitoh.net/arcgis/rest/services/CountyEngineer_Mercator/MapServer/1,"-81.6378,40.9954,-81.416,41.3435",http://ogrip-geohio.opendata.arcgis.com/datasets/d3c2dfe7efc24855a2a532a9d67ea0b5_1
http://ogrip-geohio.opendata.arcgis.com/datasets/74f10ec2271a449dbc37d1ac30bfc7dd_0,Oil and Natural Gas Wells,"This feature class/shapefile represents Oil and Natural Gas Wells. An Oil and Natural Gas Well is a hole drilled in the earth for the purpose of finding or producing crude oil or natural gas; or producing services related to the production of crude or natural gas. Geographic coverage includes the United States (Alaska, Alabama, Arkansas, California, Colorado, Florida, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Michigan, Mississippi, Missouri, Montana, North Dakota, Nebraska, Nevada, New York, Ohio, Oregon, Pennsylvania, South Dakota, Tennessee, Utah, Virginia, Washington, West Virginia, Wyoming) as well Oil and Natural Gas wells in the Canadian provinces of British Columbia and Manitoba that are within 100 miles of the country's border with the United States. According to the Energy Information Administration (EIA) the following states do not have active/producing Oil or Natural Gas Wells: Connecticut, Delaware, District of Columbia, Georgia, Hawaii, Iowa, Idaho, Massachusetts, Maine, Minnesota, North Carolina, New Hampshire, New Jersey, Rhode Island, South Carolina, Vermont, and Wisconsin. Some states do have wells for underground Natural Gas storage facilities where these have been identified they were included. This layer is derived from well data from individual states and provinces and United States Agencies. This layer is incomplete at this time. Further development for data missing from four states and two Canadian provinces is in process.",2017-09-21T15:16:27.000Z,2017-11-14T21:07:53.929Z,http://ogrip-geohio.opendata.arcgis.com/datasets/74f10ec2271a449dbc37d1ac30bfc7dd_0,https://services2.arcgis.com/1cdV1mIckpAyI7Wo/arcgis/rest/services/Oil_and_Natural_Gas_Wells/FeatureServer/0,"-160.02374999999998,25.97728100000005,-74.45765999999998,71.06959700000004",http://ogrip-geohio.opendata.arcgis.com/datasets/74f10ec2271a449dbc37d1ac30bfc7dd_0
http://ogrip-geohio.opendata.arcgis.com/datasets/fca3c03921ee437da4dda8f1079936ca_0,State Wide School Facilities,School Facilities,2015-02-06T15:22:46.000Z,2015-02-06T15:24:00.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/fca3c03921ee437da4dda8f1079936ca_0,http://geo.oit.ohio.gov/arcgis/rest/services/SchoolDistricts/FeatureServer/0,"-84.9106,38.3815,-80.4963,41.9725",http://ogrip-geohio.opendata.arcgis.com/datasets/fca3c03921ee437da4dda8f1079936ca_0
http://ogrip-geohio.opendata.arcgis.com/datasets/fa13dd1cb8384ba6a1666ccba5aa32fe_0,Noble Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection. ?View Full Metadata,2015-01-20T18:47:33.000Z,2015-01-20T18:48:18.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/fa13dd1cb8384ba6a1666ccba5aa32fe_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Noble_LBRS/FeatureServer/0,"-81.6785,39.5815,-81.2346,39.9555",http://ogrip-geohio.opendata.arcgis.com/datasets/fa13dd1cb8384ba6a1666ccba5aa32fe_0
http://ogrip-geohio.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0,CCPC - UTC Parcel Existing,Existing Tree Canopy By Parcel for Cuyahoga County,2017-03-01T16:37:14.000Z,2017-03-15T19:09:58.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0,https://utility.arcgis.com/usrsvcs/servers/f3ae61040cb44adcbaa327f503d9adcb/rest/services/CCPC/UTC_Parcel_Existing_WGS84/MapServer/0,"-81.9711,41.2751,-81.3747,41.6315",http://ogrip-geohio.opendata.arcgis.com/datasets/f3ae61040cb44adcbaa327f503d9adcb_0
http://ogrip-geohio.opendata.arcgis.com/datasets/d82275e7025c4616a1e6e2a84d768613_6,Land Redevelopment Property Manager Areas,This map layer shows the area of responsibility for property managers from the Columbus Land Redevelopment Office.,2017-07-11T17:10:27.000Z,2017-08-08T13:04:20.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/d82275e7025c4616a1e6e2a84d768613_6,http://maps2.columbus.gov/arcgis/rest/services/Schemas/Development/MapServer/6,"-83.2111,39.8078,-82.7706,40.158",http://ogrip-geohio.opendata.arcgis.com/datasets/d82275e7025c4616a1e6e2a84d768613_6
http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_0,Road Block Points,This service will be used to maintain data on road closures and detours.,2017-01-30T14:04:40.000Z,2017-11-13T19:45:40.920Z,http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_0,https://utility.arcgis.com/usrsvcs/servers/ce6adeb49c5947f8856eb95a19e32851/rest/services/Engineer/RoadClosures/FeatureServer/0,"-81.5412,40.7517,-81.1394,40.915",http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_0
http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_1,Road Closures,This service will be used to maintain data on road closures and detours.,2017-01-30T14:04:40.000Z,2017-11-07T16:53:57.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_1,https://utility.arcgis.com/usrsvcs/servers/ce6adeb49c5947f8856eb95a19e32851/rest/services/Engineer/RoadClosures/FeatureServer/1,"-81.5412,40.7517,-81.1394,40.915",http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_1
http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_2,Detours,This service will be used to maintain data on road closures and detours.,2017-01-30T14:04:40.000Z,2017-11-07T16:54:04.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_2,https://utility.arcgis.com/usrsvcs/servers/ce6adeb49c5947f8856eb95a19e32851/rest/services/Engineer/RoadClosures/FeatureServer/2,"-81.5412,40.7517,-81.1394,40.915",http://ogrip-geohio.opendata.arcgis.com/datasets/ce6adeb49c5947f8856eb95a19e32851_2
http://ogrip-geohio.opendata.arcgis.com/datasets/c6c6e051e8b3450c84242a41befd9507_1,Recorded Surveys,Provides taxpayers and agencies of Summit County a Recorded Surveys layer at a scale and accuracy useful for finding recorded surveys in a particular area of interest and linking to the survey's scanned image in the Summit County records.,2015-03-09T17:11:43.000Z,2017-09-20T17:07:13.425Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c6c6e051e8b3450c84242a41befd9507_1,http://summitmaps.summitoh.net/arcgis/rest/services/Fiscal_Mercator/MapServer/1,"-81.6893,40.9095,-81.3876,41.3514",http://ogrip-geohio.opendata.arcgis.com/datasets/c6c6e051e8b3450c84242a41befd9507_1
http://ogrip-geohio.opendata.arcgis.com/datasets/8653161ff71f41dea1e6668e209af6bd,Mercer County Contact Information,There is no description available.,2016-10-04T17:31:35.000Z,2017-03-29T17:48:44.622Z,http://ogrip-geohio.opendata.arcgis.com/datasets/8653161ff71f41dea1e6668e209af6bd,http://gis5.oit.ohio.gov/geohiosurvey/PubOrgDetail.aspx?id=104,"-180.0,-90.0,180.0,90.0",http://ogrip-geohio.opendata.arcgis.com/datasets/8653161ff71f41dea1e6668e209af6bd
http://ogrip-geohio.opendata.arcgis.com/datasets/9f928fbc669147d382395fde634fa7ca_0,EMS Facilities,"EMS facilities within Stark County, Ohio.",2015-01-12T15:12:02.000Z,2017-03-06T16:36:51.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/9f928fbc669147d382395fde634fa7ca_0,https://scgisa.starkcountyohio.gov/arcgis/rest/services/EmergencyResponse/EmergencyResponseFacilities/MapServer/0,"-81.6325,40.6489,-81.1,40.9787",http://ogrip-geohio.opendata.arcgis.com/datasets/9f928fbc669147d382395fde634fa7ca_0
http://ogrip-geohio.opendata.arcgis.com/datasets/9c6f6112f5b94a1aaf013fe846041a59_2,Darke Landmarks LBRS,The State of Ohio Location Based Response System?landmarks?depict the landmarks along public and private roads within participating Ohio Counties. Landmark data was developed from data?collected by field observation of existing address locations at the time of collection.View Full Metadata,2015-01-01T01:02:26.000Z,2015-08-28T12:41:18.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/9c6f6112f5b94a1aaf013fe846041a59_2,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Darke_LBRS/FeatureServer/2,"-84.8118,39.9167,-84.4232,40.3591",http://ogrip-geohio.opendata.arcgis.com/datasets/9c6f6112f5b94a1aaf013fe846041a59_2
http://ogrip-geohio.opendata.arcgis.com/datasets/8001f13c8d0040efab0fec64de9ecc0f_0,Emergency Medical Service (EMS) Stations,"EMS Locations in the United States EMS Stations are part of the Fire Stations / EMS Stations HSIP Freedom sub-layer, which in turn is part of the Emergency Services and Continuity of Government Sector, which is itself a part of the Critical Infrastructure Category. The EMS stations dataset consists of any location where emergency medical service (EMS) personnel are stationed or based out of, or where equipment that such personnel use in carrying out their jobs is stored for ready use. Ambulance services are included even if they only provide transportation services, but not if they are located at, and operated by, a hospital. If an independent ambulance service or EMS provider happens to be collocated with a hospital, it will be included in this dataset. The dataset includes both private and governmental entities. TGS has made a concerted effort to include all emergency medical service locations in the United States and its territories. This dataset is comprised completely of license free data. The HSIP Freedom Fire Station dataset and the HSIP Freedom EMS dataset were merged into one working file. TGS processed as one file and then separated for delivery purposes. Please see the process description for the breakdown of how the records were merged. Records with -DOD appended to the end of the [NAME] value are located on a military base, as defined by the Defense Installation Spatial Data Infrastructure (DISDI) military installations and military range boundaries. At the request of NGA, text fields in this dataset have been set to all upper case to facilitate consistent database engine search results. At the request of NGA, all diacritics (e.g., the German umlaut or the Spanish tilde) have been replaced with their closest equivalent English character to facilitate use with database systems that may not support diacritics. The currentness of this dataset is indicated by the [CONTDATE] field. Based upon this field, the oldest record dates from 12/29/2004 and the newest record dates from 01/11/2010.",2016-12-21T22:08:44.000Z,2017-11-14T21:07:57.293Z,http://ogrip-geohio.opendata.arcgis.com/datasets/8001f13c8d0040efab0fec64de9ecc0f_0,https://services2.arcgis.com/1cdV1mIckpAyI7Wo/arcgis/rest/services/Emergency_Medical_Service_(EMS)_Stations/FeatureServer/0,"-176.64009782387342,-14.277605926045808,145.78192381115608,71.2988747292498",http://ogrip-geohio.opendata.arcgis.com/datasets/8001f13c8d0040efab0fec64de9ecc0f_0
http://ogrip-geohio.opendata.arcgis.com/datasets/50954c341ffe4e53b34bb2eb416b8f7b_11,ODOT Districts,"The
ODOT District file illustrates the boundaries of the regional districts of
ODOT.",2014-10-31T20:23:33.000Z,2017-11-02T21:37:46.412Z,http://ogrip-geohio.opendata.arcgis.com/datasets/50954c341ffe4e53b34bb2eb416b8f7b_11,http://geo.oit.ohio.gov/arcgis/rest/services/ODOT/ODOT_Features/MapServer/11,"-84.9185,38.3802,-80.48,41.9934",http://ogrip-geohio.opendata.arcgis.com/datasets/50954c341ffe4e53b34bb2eb416b8f7b_11
http://ogrip-geohio.opendata.arcgis.com/datasets/f2aba646b77f4e1eba8bcde32e49c8d7_0,Environmental Protection Agency (EPA) Facility Registry Service (FRS) Power Plants,"This dataset represents the Environmental Protection Agency's (EPA) Facility Registry Service (FRS) power plants. It was  developed to serve as a general-purpose GIS layer depicting wastewater treatment plant locations together with a few set of core attributes.  The primary facility and locational information was compiled from EPA's  FRS and attribute data were compiled from NPDES data.  Anticipated uses include emergency response, critical infrastructure and policy and planning.",2016-02-10T02:24:28.000Z,2016-02-16T20:00:58.806Z,http://ogrip-geohio.opendata.arcgis.com/datasets/f2aba646b77f4e1eba8bcde32e49c8d7_0,https://services2.arcgis.com/1cdV1mIckpAyI7Wo/arcgis/rest/services/Environmental_Protection_Agency_(EPA)_Facility_Registry_Service_(FRS)_Power_Plants/FeatureServer/0,"-170.46458000009662,19.631375000079174,-67.00325199970003,71.29221199999249",http://ogrip-geohio.opendata.arcgis.com/datasets/f2aba646b77f4e1eba8bcde32e49c8d7_0
http://ogrip-geohio.opendata.arcgis.com/datasets/2581476835b148b2aa64e23daa91c86f_0,Columbiana Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2014-12-31T16:04:57.000Z,2014-12-31T16:05:41.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/2581476835b148b2aa64e23daa91c86f_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Columbiana_LBRS/FeatureServer/0,"-81.0931,40.583,-80.5121,40.933",http://ogrip-geohio.opendata.arcgis.com/datasets/2581476835b148b2aa64e23daa91c86f_0
http://ogrip-geohio.opendata.arcgis.com/datasets/a78e37eb962848eaa3975b23fae9a6ba_0,Harrison Address Points LBRS,The State of Ohio Location Based Response System address points depict the access points to addressable structures along public and private roads within participating Ohio Counties. Address point data was developed from data collected by field observation of existing address locations at the time of collection.?View Full Metadata,2015-01-09T15:13:31.000Z,2015-01-09T15:14:04.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/a78e37eb962848eaa3975b23fae9a6ba_0,http://geo.oit.ohio.gov/arcgis/rest/services/LBRS/Harrison_LBRS/FeatureServer/0,"-81.3378,40.161,-80.8657,40.4345",http://ogrip-geohio.opendata.arcgis.com/datasets/a78e37eb962848eaa3975b23fae9a6ba_0
http://ogrip-geohio.opendata.arcgis.com/datasets/86901cf17be14a9b8aef62873ce95bff_6,City-Owned Public Parking,"This map layer shows public parking lots owned by the City of Columbus. Attribution includes the purpose of the lot, street address, and the city department and division responsible for the lot's maintenance. This layer is updated by the Columbus Department of Public Service as needed.",2017-08-08T14:08:49.000Z,2017-08-08T14:11:14.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/86901cf17be14a9b8aef62873ce95bff_6,http://maps2.columbus.gov/arcgis/rest/services/Schemas/PublicService/MapServer/6,"-83.0063,39.9625,-82.9818,39.9863",http://ogrip-geohio.opendata.arcgis.com/datasets/86901cf17be14a9b8aef62873ce95bff_6
