identifier,title,description,issued,modified,landingPage,webService,spatial
http://ogrip-geohio.opendata.arcgis.com/datasets/fb5cea44162b4aa9876db7e80bac05d2_8,Nature Preserve Trails,This layer shows trails located within Columbus Nature Preserves including paved and unpaved trails.,2017-11-10T19:33:00.000Z,2017-11-10T19:42:11.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/fb5cea44162b4aa9876db7e80bac05d2_8,http://maps2.columbus.gov/arcgis/rest/services/Schemas/RecreationParks/MapServer/8,"-83.1436,40.0593,-82.8554,40.2508",http://ogrip-geohio.opendata.arcgis.com/datasets/fb5cea44162b4aa9876db7e80bac05d2_8
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_8,Bedrock Geology 24K - Units Contacts,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_8,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/8,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_8
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_9,Bedrock Geology 24K - Mines Ply,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_9,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/9,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_9
http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_2,USDW - Boundaries,"The Ohio Department of Natural Resources, Division of Geological Survey, with partial funding from the USEPA through the Ohio EPA, has mapped the lowest Underground Sources of Drinking Water (USDWs) across most of the state. The goal of this project is to provide Ohio's oil and gas industry and the Ohio Department of Natural Resources-Division of Oil and Gas Resources Management (DOGRM) with necessary, up-to-date information and maps to properly determine adequate depth of surface casing to protect USDWs. The last mapping effort of the lowest USDW was performed in 1982. In excess of 37,000 oil and gas wells have been drilled since that date without significant updates to the mapping. Further, the 1982 mapping was hand-drawn on paper maps, which are not easily reproducible or updated. Existing water-quality data have been collected and correlated to bedrock geology. The resultant data are being used to produce structure contour maps on the base of the lowest mappable, consolidated (i.e., bedrock) unit designated as a USDW. Surface casing is always required through unconsolidated surficial deposits, whose depths are known from other mapping projects. All information has been compiled and mapped digitally for ease of distribution and future updating. Industry will be able to use these maps and data to correctly estimate the length and cost of casing required for each well prior to submitting a permit application. The DOGRM will be able to directly import the data and maps to their computer applications and use it to establish required casing depths on permit applications.",2017-11-08T19:19:27.000Z,2017-11-08T19:24:09.662Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_2,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/USDW_Features/MapServer/2,"-84.9184,38.3724,-80.4802,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_2
http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_1,USDW - Contours,"The Ohio Department of Natural Resources, Division of Geological Survey, with partial funding from the USEPA through the Ohio EPA, has mapped the lowest Underground Sources of Drinking Water (USDWs) across most of the state. The goal of this project is to provide Ohio's oil and gas industry and the Ohio Department of Natural Resources-Division of Oil and Gas Resources Management (DOGRM) with necessary, up-to-date information and maps to properly determine adequate depth of surface casing to protect USDWs. The last mapping effort of the lowest USDW was performed in 1982. In excess of 37,000 oil and gas wells have been drilled since that date without significant updates to the mapping. Further, the 1982 mapping was hand-drawn on paper maps, which are not easily reproducible or updated. Existing water-quality data have been collected and correlated to bedrock geology. The resultant data are being used to produce structure contour maps on the base of the lowest mappable, consolidated (i.e., bedrock) unit designated as a USDW. Surface casing is always required through unconsolidated surficial deposits, whose depths are known from other mapping projects. All information has been compiled and mapped digitally for ease of distribution and future updating. Industry will be able to use these maps and data to correctly estimate the length and cost of casing required for each well prior to submitting a permit application. The DOGRM will be able to directly import the data and maps to their computer applications and use it to establish required casing depths on permit applications.",2017-11-08T19:19:27.000Z,2017-11-08T19:23:54.642Z,http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_1,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/USDW_Features/MapServer/1,"-84.9184,38.3724,-80.4802,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/c4d1a6dc95d74236bd7af175d3f2385f_1
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_2,Bedrock Geology 24K - Mines Pnt,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_2,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/2,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_2
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_3,Bedrock Geology 24K - Misc Pnt,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_3,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/3,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_3
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_0,Bedrock Geology 24K - Units Pnt,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:06.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_0,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/0,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_0
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_1,Bedrock Geology 24K - Structure Pnt,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_1,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/1,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_1
http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_6,Bedrock Geology 24K - Units Line,"This dataset contains the 1:24,000-scale bedrock geology map data for Ohio. The map data were originally derived from the 1:24,000-scale bedrock-geology maps, which were created between the mid 1960's through 1997. Detailed mapping at 1:24,000 scale was performed in Ohio from the 1960's to the 1980's. During that time period, 37 7.5-minute quadrangles were mapped in detail. The bedrock-geology mapping program was initiated at the Ohio Division of Geological Survey in 1991 to perform reconnaissance geologic mapping at 1:24,000 scale. The reconnaissance and detailed geologic mapping have been combined together into this GIS dataset. There will be edge-matching issues between the reconnaissance and detailed geologic maps.",2016-12-20T17:36:54.000Z,2017-11-08T18:12:15.000Z,http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_6,https://gis.ohiodnr.gov/arcgis/rest/services/DGS_Services/Bedrock_Geology_24K_AGOL/MapServer/6,"-84.9184,38.3803,-80.4634,41.9936",http://ogrip-geohio.opendata.arcgis.com/datasets/4b13b36355e6498d9b4312648ae756b3_6
