identifier,title,description,issued,landingPage,webService,spatial
http://data-lakecountyil.opendata.arcgis.com/datasets/845c446ec07b499086073cbbb4d52400,Round Lake Area Schools District 116,Round Lake Area Schools District 116,2018-08-15T17:17:06.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/845c446ec07b499086073cbbb4d52400,https://maps.lakecountyil.gov/Output/DistrictMaps/schl/roundlakeareaschools-district116.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/845c446ec07b499086073cbbb4d52400
http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc,Election Precinct 330,Election Precinct 330,2018-08-15T17:02:08.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/330.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc
http://data-lakecountyil.opendata.arcgis.com/datasets/4893575b90864141acae986acec1ee00,Election Precinct 247,Election Precinct 247,2018-08-15T16:57:23.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/4893575b90864141acae986acec1ee00,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/247.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/4893575b90864141acae986acec1ee00
http://data-lakecountyil.opendata.arcgis.com/datasets/96e183a5e3c3409ba5525fe107981606,Antioch Township Election Precincts,Antioch Township Election Precincts,2018-08-15T17:30:07.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/96e183a5e3c3409ba5525fe107981606,https://maps.lakecountyil.gov/Output/DistrictMaps/twppcts/antipcts.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/96e183a5e3c3409ba5525fe107981606
http://data-lakecountyil.opendata.arcgis.com/datasets/acc5ec7f68fe4c798d332b3ed5ca6a8e,Shields Township Elementary School,Shields Township Elementary School,2018-08-15T17:42:55.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/acc5ec7f68fe4c798d332b3ed5ca6a8e,https://maps.lakecountyil.gov/Output/TownshipMaps/cshldelem.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/acc5ec7f68fe4c798d332b3ed5ca6a8e
http://data-lakecountyil.opendata.arcgis.com/datasets/cb93da6f44144ae1a0298d2a5de109d8,Benton and Zion Townships UDO Zoning,Benton and Zion Townships UDO Zoning,2018-08-15T17:50:17.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/cb93da6f44144ae1a0298d2a5de109d8,http://www.lakecountyil.gov/DocumentCenter/View/10308,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/cb93da6f44144ae1a0298d2a5de109d8
http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6,Election Precinct 203,Election Precinct 203,2018-08-15T16:54:56.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/203.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6
http://data-lakecountyil.opendata.arcgis.com/datasets/da0e59ba1689492a8a64f23a19ab1615,Election Precinct 27,Election Precinct 27,2018-08-15T16:44:48.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/da0e59ba1689492a8a64f23a19ab1615,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/027.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/da0e59ba1689492a8a64f23a19ab1615
http://data-lakecountyil.opendata.arcgis.com/datasets/2d9ca493bcce4e9ba11ad63a87d1ab4a,Election Precinct 263,Election Precinct 263,2018-08-15T16:58:17.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/2d9ca493bcce4e9ba11ad63a87d1ab4a,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/263.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/2d9ca493bcce4e9ba11ad63a87d1ab4a
http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079,Newport Township High School,Newport Township High School,2018-08-15T17:42:12.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079,https://maps.lakecountyil.gov/Output/TownshipMaps/cnwpthigh.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079
