publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
Iowa Department of Transportation,"[u'Rail', u'Rail Lines', u'Freight', u'Transit', u'Iowa DOT', u'Iowa Department of Transportation', u'Inventory', u'Asset Inventory']",http://public-iowadot.opendata.arcgis.com/datasets/e7067fea3227469fae4e6eac9bd538d1_0,Rail Line Abandoned Location,Abandoned rail lines for the State of Iowa.,2018-09-20T15:34:07.000Z,2018-09-20T18:38:43.855Z,http://public-iowadot.opendata.arcgis.com/datasets/e7067fea3227469fae4e6eac9bd538d1_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Rail_Line_Abandoned_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/e7067fea3227469fae4e6eac9bd538d1_0
Iowa Department of Transportation,"[u'ICE', u'Pavement', u'IRI', u'PCI', u'Infrastructure', u'Condition', u'Evaluation', u'AADT', u'Iowa DOT', u'Iowa Department of Transportation', u'Assets', u'Inventory', u'Asset Classification']",http://public-iowadot.opendata.arcgis.com/datasets/fe56eaa7db654fdc9215642020788482_0,ICE Data Location,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",2018-10-09T12:49:02.000Z,2018-10-29T19:39:23.720Z,http://public-iowadot.opendata.arcgis.com/datasets/fe56eaa7db654fdc9215642020788482_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Data_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/fe56eaa7db654fdc9215642020788482_0
Iowa Department of Transportation,"[u'ICE', u'Infrastructure', u'Condition', u'Evaluation', u'AADT', u'Iowa DOT', u'Iowa Department of Transportation', u'Assets', u'Inventory', u'Asset Classification']",http://public-iowadot.opendata.arcgis.com/datasets/36802aa66a284ba597df420a231c71ba_0,ICE Single Unit Truck Traffic Interstate,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",2018-10-10T14:32:26.000Z,2018-10-31T18:27:33.468Z,http://public-iowadot.opendata.arcgis.com/datasets/36802aa66a284ba597df420a231c71ba_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Single_Unit_Truck_Traffic_Interstate_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/36802aa66a284ba597df420a231c71ba_0
Iowa Department of Transportation,"[u'AVL', u'Operations', u'Plow Truck', u'Winter Operations', u'Snowplow', u'Snow Plow', u'TrackaPlow', u'Iowa DOT', u'Iowa Department of Transportation']",http://public-iowadot.opendata.arcgis.com/datasets/20a0c10c06a54240b5f2893e0187e22c_0,Snow Plow Truck Location (AVL),This layer contains all active Iowa DOT Plow Trucks that are traveling more than 3 MPH. This data is updated every 2 minutes; 24 hours a day/7 days a week.?Note: For Date/Time Queries: Use MODIFIEDDT as it is a valid UTC timestamp. There is a MODIFIEDDT_UTC_OFFSET that can be used if needed. LOGDT is in Local-Iowa time.,2018-10-17T22:05:30.000Z,2018-11-01T15:47:01.954Z,http://public-iowadot.opendata.arcgis.com/datasets/20a0c10c06a54240b5f2893e0187e22c_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/AVL_Direct_View/FeatureServer/0,"-93.80042973394056,42.02311975561532,-92.16635987004038,42.45015978923291",http://public-iowadot.opendata.arcgis.com/datasets/20a0c10c06a54240b5f2893e0187e22c_0
Iowa Department of Transportation,"[u'Iowa Department of Transportation', u'Districts', u'Boundary', u'Reference']",http://public-iowadot.opendata.arcgis.com/datasets/ee2b041220484552980718e2e390d890_0,Transportation District Location,Iowa DOT Transportation Districts. These boundaries are different than the ones used by the Maintenance Office at Iowa DOT.,2018-08-16T20:01:42.000Z,2018-11-01T15:33:48.539Z,http://public-iowadot.opendata.arcgis.com/datasets/ee2b041220484552980718e2e390d890_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Transportation_District_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/ee2b041220484552980718e2e390d890_0
Iowa Department of Transportation,"[u'Iowa', u'MPO', u'Metropolitan Planning Organization', u'Planning', u'Metropolitan', u'Iowa DOT', u'Iowa Department of Transportation', u'Reference']",http://public-iowadot.opendata.arcgis.com/datasets/fe45a8888dab4a589fae024002a66ae3_0,MPO Border Location,"Metropolitan Planning Organization (MPO) boundaries for the State of Iowa including contact information, location details and more.",2018-08-16T15:30:44.000Z,2018-11-01T15:32:27.666Z,http://public-iowadot.opendata.arcgis.com/datasets/fe45a8888dab4a589fae024002a66ae3_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/MPO_Border_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/fe45a8888dab4a589fae024002a66ae3_0
Iowa Department of Transportation,"[u'SICL', u'Intersection', u'Safety', u'Iowa DOT', u'Iowa Department of Transportation', u'Crash', u'Crash Analysis', u'Assets', u'Inventory']",http://public-iowadot.opendata.arcgis.com/datasets/7eb7ed1ff34b4d3680cd5cd9171387af_0,SICL Intersection Listing Location,"The Iowa DOT's Office of Traffic and Safety has updated a list of the top 200 intersection safety improvement candidate locations (SICL) in Iowa. This list is supplemental to Iowa DOT's primary focus, Iowa's 5 Percent Safety Report. To develop this list, all crashes in Iowa are used to determine an initial cut of intersections that meet the criteria of at least one crash. The intersections identified are then ranked according to the number of crashes, the severity of the crashes, and the rate at which crashes occur. To read more details regarding Iowa's SICL, see Iowa SICL method. The Iowa DOT utilizes crash reports filed by city police departments, county sheriffs, the Iowa State Patrol and individual drivers in determining the listings. The locations identified are eligible for funding assistance to develop safety improvements under the Iowa Traffic Safety Fund Program. Grant applications for funding are competitive and subject to comparison with the 5 percent severe safety needs list. The Iowa DOT will select proposals that provide the greatest safety return on the dollars invested. Proposals must be submitted to the Iowa DOT by June 15th each year to qualify for funding the following year. The Iowa Transportation Commission will consider and approve funding for selected locations during November and December.",2018-10-18T13:36:19.000Z,2018-11-01T16:20:10.180Z,http://public-iowadot.opendata.arcgis.com/datasets/7eb7ed1ff34b4d3680cd5cd9171387af_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/SICL_Intersection_Listing_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/7eb7ed1ff34b4d3680cd5cd9171387af_0
Iowa Department of Transportation,"[u'Iowa State Plane', u'Boundaries', u'Iowa Department of Transportation', u'Reference']",http://public-iowadot.opendata.arcgis.com/datasets/29152435f35b4b7d9174a0143558cb52_0,State Plane Zone IA Location,Iowa State Plane Boundaries used by Iowa DOT. These boundaries were modified for Iowa DOT use only. They may not reflect exact location.,2018-08-17T12:10:49.000Z,2018-08-17T12:15:36.709Z,http://public-iowadot.opendata.arcgis.com/datasets/29152435f35b4b7d9174a0143558cb52_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/State_Plane_Zone_IA_View/FeatureServer/0,"-96.63953977186212,40.37557404261676,-90.1402352220095,43.50108075089385",http://public-iowadot.opendata.arcgis.com/datasets/29152435f35b4b7d9174a0143558cb52_0
Iowa Department of Transportation,"[u'ICE', u'Infrastructure', u'AADT', u'Iowa DOT', u'Iowa Department of Transportation', u'Asset Classification']",http://public-iowadot.opendata.arcgis.com/datasets/dde8d5bb44014faea4bc9b2524ff6d30_0,ICE Combination Truck Traffic Divided,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",2018-10-10T18:19:34.000Z,2018-10-29T19:39:23.720Z,http://public-iowadot.opendata.arcgis.com/datasets/dde8d5bb44014faea4bc9b2524ff6d30_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Combination_Truck_Traffic_Divided_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/dde8d5bb44014faea4bc9b2524ff6d30_0
Iowa Department of Transportation,"[u'ICE', u'Infrastructure', u'Condition', u'Evaluation', u'AADT', u'Iowa DOT', u'Iowa Department of Transportation', u'Assets', u'Inventory', u'Asset Classification']",http://public-iowadot.opendata.arcgis.com/datasets/aee8ce2443c84d309ee49b756b3dba3e_0,ICE Single Unit Truck Traffic NonDivided,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",2018-10-10T16:46:15.000Z,2018-10-31T18:27:43.589Z,http://public-iowadot.opendata.arcgis.com/datasets/aee8ce2443c84d309ee49b756b3dba3e_0,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Single_Unit_Truck_Traffic_NonDivided_View/FeatureServer/0,"-96.947,40.259,-89.981,43.751",http://public-iowadot.opendata.arcgis.com/datasets/aee8ce2443c84d309ee49b756b3dba3e_0
