publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"City of Washington, DC","[u'Government operations', u'transparency', u'accountability', u'PO', u'purchase orders', u'procurement', u'Office of Contracting and Procurement', u'Financials', u'2017', u'mar2017', u'dollars']",http://opendata.dc.gov/datasets/829f617627114ca1b6ee6c99acc7d11c_48,Purchase Orders in FY 2017,"2017 - DC Office of Contracting and
Procurement Purchase Orders from Procurement Automated Support System (PASS).
This dataset contains purchase orders with the amount spend greater than $2500.",2017-03-07T13:33:11.000Z,2018-10-12T13:58:16.985Z,http://opendata.dc.gov/datasets/829f617627114ca1b6ee6c99acc7d11c_48,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Service_WebMercator/MapServer/48,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/829f617627114ca1b6ee6c99acc7d11c_48
"City of Washington, DC","[u'Government operations', u'transparency', u'accountability', u'PO', u'purchase orders', u'procurement', u'Office of Contracting and Procurement', u'Financials', u'2013', u'mar2017', u'dollars']",http://opendata.dc.gov/datasets/bb847c6714ff4f10a87f0ba9db47f497_44,Purchase Orders in FY 2013,"2013 - DC Office of Contracting and
Procurement Purchase Orders from Procurement Automated Support System (PASS).
This dataset contains purchase orders with the amount of spend greater than
$2500.",2017-03-07T15:05:10.000Z,2018-10-12T14:02:12.244Z,http://opendata.dc.gov/datasets/bb847c6714ff4f10a87f0ba9db47f497_44,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Service_WebMercator/MapServer/44,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/bb847c6714ff4f10a87f0ba9db47f497_44
"City of Washington, DC","[u'Jul2017', u'government', u'dc', u'washington dc', u'Freedom of Information Act', u'FOIA', u'govoperations']",http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1,FOIA Requests,This dataset houses the Freedom of Information Act (FOIA) requests to DC Government by various organizations and individuals.  The data comes from DC?s Public FOIA Portal.,2017-07-10T19:06:48.000Z,2018-10-12T14:02:36.870Z,http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Government_Operations/MapServer/1,"-77.133,38.789,-76.931,38.991",http://opendata.dc.gov/datasets/dc7f7b1535644fc79867d8995459b7cd_1
"City of Washington, DC","[u'Open Data', u'Washington DC', u'DC GIS', u'District of Columbia', u'311', u'Service Requests']",http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,Street/Alley Lights - Last 30 Days,This data layer shows 311 Service Requests in the last 30 days for street/alley repair investigations on public property.,2015-04-30T13:01:18.000Z,2018-10-12T14:11:38.247Z,http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/SR_30days_Open/MapServer/30,"-77.1041198431,38.8253493899,-76.9124579858,38.9940785743",http://opendata.dc.gov/datasets/fd12e009a68f4e0286b0564fe2679c3a_30
"City of Washington, DC","[u'DDOT', u'TOPS', u'DC', u'Transportation', u'Emergency', u'work request', u'work', u'construction']",http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,Emergency Work Requests (via DDOT TOPs),This data sets shows emergency work requests from DDOT's Transportation Online Permitting System.?https://tops.ddot.dc.gov/,2014-11-05T15:28:00.000Z,2018-10-12T15:22:19.655Z,http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DDOT/MapServer/2,"-77.1143,38.8134,-76.9097,38.995",http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2
"City of Washington, DC","[u'Above Ground', u'Chemical', u'clean', u'DC', u'DC', u'DC GIS', u'DCGIS', u'District of Columbia', u'DOEE', u'environment', u'Facility', u'fems', u'fire', u'hazard', u'Hazardous', u'Hazmat', u'health', u'inspection', u'society', u'Storage Tank', u'sustainable', u'tank', u'utilitiesCommunication', u'Washington', u'Washington DC']",http://opendata.dc.gov/datasets/6985115dd112477f955517df6c552ca4_10,Above Ground Storage Tanks,"SARA Title III Hazardous Material locations (above ground). The dataset contains locations and attributes of Hazardous Materials, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A dataset listing provided by DC FEMS identified above ground Hazardous Material locations. The dataset provides and standardized address generated during geocoding as well as the original source address information. In addition, attibute information also includes points of contact information for each site listing. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-04-27T16:51:36.000Z,2018-10-12T13:57:44.817Z,http://opendata.dc.gov/datasets/6985115dd112477f955517df6c552ca4_10,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Facility_and_Structure/MapServer/10,"-77.1092695865,38.8359688641,-76.9589790226,38.9562995928",http://opendata.dc.gov/datasets/6985115dd112477f955517df6c552ca4_10
"City of Washington, DC","[u'aug2018', u'DC', u'DC', u'District of Columbia', u'Geodetic Control', u'planimetrichistoric', u'Planimetrics', u'Survey', u'Washington']",http://opendata.dc.gov/datasets/74db2b9fd179480599bacf2c73a5bcf8_0,Geodetic Control Points 2013,"GeoControl Points. The dataset contains polygons representing planimetric geocontrol points, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). These features were originally captured in 1999 and updated in 2005, 2008, 2010, and 2013. The following planimetric layers were updated: - Building Polygons (BldgPly)- Bridge and Tunnel Polygons (BrgTunPly)- Grate (GratePly)- Horizontal and Vertical Control Points (GeoControlPt) - Obscured Area Polygons (ObsAreaPly)- Railroad Lines (RailRdLn) - Road, Parking, and Driveway Polygons (RoadPly)- Sidewalk Polygons (SidewalkPly)- Stairs (StairPly)- Swimming Pools (SwmPoolPly)- Wooded Areas (WoodPly) METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2018-07-19T19:11:41.000Z,2018-10-12T13:57:44.553Z,http://opendata.dc.gov/datasets/74db2b9fd179480599bacf2c73a5bcf8_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Planimetrics_2013/MapServer/0,"-77.1343,38.7922,-76.9082,38.9945",http://opendata.dc.gov/datasets/74db2b9fd179480599bacf2c73a5bcf8_0
"City of Washington, DC","[u'Open Data', u'Washington DC', u'DC GIS', u'District of Columbia', u'311', u'Service Requests']",http://opendata.dc.gov/datasets/d40eb31ca5ce4978bd777a51e772ebe2_15,Sidewalk Repair - Last 30 Days,This data layer shows 311 Service Requests in the last 30 days for sidewalk repair investigations on public property.,2015-04-30T13:01:08.000Z,2018-10-12T14:10:41.517Z,http://opendata.dc.gov/datasets/d40eb31ca5ce4978bd777a51e772ebe2_15,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/SR_30days_Open/MapServer/15,"-77.1116218631,38.8205768246,-76.9255562387,38.9914769589",http://opendata.dc.gov/datasets/d40eb31ca5ce4978bd777a51e772ebe2_15
"City of Washington, DC","[u'Permits', u'Occupancy', u'DDOT', u'DC', u'TOPS', u'Transportation', u'public space', u'parking']",http://opendata.dc.gov/datasets/80216437707b4135963eeb95047caeac_1,Occupancy Permits (via DDOT TOPs),The District Department of Transportation has management and oversight responsibility for the use and occupancy of the public space. ?This data sets shows occupancy permits from DDOT's?Transportation Online Permitting System.?https://tops.ddot.dc.gov/?,2014-11-05T14:06:54.000Z,2018-10-12T14:17:58.541Z,http://opendata.dc.gov/datasets/80216437707b4135963eeb95047caeac_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DDOT/TOPS/MapServer/1,"-77.1143,38.8134,-76.9099,38.995",http://opendata.dc.gov/datasets/80216437707b4135963eeb95047caeac_1
"City of Washington, DC","[u'Stats', u'Analytics', u'website', u'dcgov', u'public service', u'government operations', u'google analytics', u'opendata']",http://opendata.dc.gov/datasets/26d93415c7cc4c9b9fbc8351ff820414_0,OpenData Website Analytics 2015 to 2017,"This dataset is a direct export from DC government's Google
Analytics report that shows the individual URL?s pageviews etc from January 1,
2015 ? December 31, 2017 from http://opendata.dc.gov. Total Pageviews is 1,212,187,?

Page - The pages visited, listed by URI. The URI is the portion of a page's URL
following the domain name; for example, the URI portion of?www.example.com/contact.html?is?/contact.html.Pageview - Pageviews is the total number of pages viewed.
Repeated views of a single page are counted.Unique Pageviews - Unique Pageviews is the number of
sessions during which the specified page was viewed at least once. A unique
pageview is counted for each?page URL + page Title?combination.Avg Time on Page - The average amount of time users spent
viewing a specified page or screen, or set of pages or screens.Entrances - Entrances is the number of times visitors
entered your site through a specified page or set of pages.Bounce Rate - The percentage of single-page sessions in
which there was no interaction with the page. A bounced session has a duration
of 0 seconds.?% Exit - %Exit is (number of exits) / (number of pageviews)
for the page or set of pages. It indicates how often users exit from that page
or set of pages when they view the page(s).",2018-11-01T18:13:27.000Z,2018-11-01T18:54:54.732Z,http://opendata.dc.gov/datasets/26d93415c7cc4c9b9fbc8351ff820414_0,https://opendata.arcgis.com/datasets/26d93415c7cc4c9b9fbc8351ff820414_0/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://opendata.dc.gov/datasets/26d93415c7cc4c9b9fbc8351ff820414_0
