publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'PoliticalElection Map', u'Election Precincts']",http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc,Election Precinct 330,Election Precinct 330,2018-08-15T17:02:08.000Z,2018-10-17T21:40:16.423Z,http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/330.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/1984727c848249918dde80b3c86c52bc
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'PoliticalElection Map', u'Election Precincts']",http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6,Election Precinct 203,Election Precinct 203,2018-08-15T16:54:56.000Z,2018-10-17T21:40:07.253Z,http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/203.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/74543cba79ac48e491f7a8d997221df6
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Township Map', u'Newport Township']",http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079,Newport Township High School,Newport Township High School,2018-08-15T17:42:12.000Z,2018-08-15T18:53:25.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079,https://maps.lakecountyil.gov/Output/TownshipMaps/cnwpthigh.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/1242fcab37054b5cbbea462f1adfa079
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'PoliticalElection Map', u'Election Precincts']",http://data-lakecountyil.opendata.arcgis.com/datasets/0077ee3713d44b89a486d99f4e937586,Election Precinct 196,Election Precinct 196,2018-08-15T16:54:32.000Z,2018-08-15T18:53:20.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/0077ee3713d44b89a486d99f4e937586,https://maps.lakecountyil.gov/Output/DistrictMaps/pcts/196.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/0077ee3713d44b89a486d99f4e937586
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'PoliticalElection Map', u'US Congressional']",http://data-lakecountyil.opendata.arcgis.com/datasets/6b71a52bd4444f089cb2073f4487fad8,U.S. Congressional Distict 14 Precinct Book,U.S. Congressional Distict 14 Precinct Book,2018-08-15T17:13:05.000Z,2018-10-17T21:39:49.547Z,http://data-lakecountyil.opendata.arcgis.com/datasets/6b71a52bd4444f089cb2073f4487fad8,https://maps.lakecountyil.gov/Output/DistrictMaps/pol/US_Dist14_PrecinctBook.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/6b71a52bd4444f089cb2073f4487fad8
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Countywide Map']",http://data-lakecountyil.opendata.arcgis.com/datasets/31864b0320f44480b95f13119a5f6bb4,Countywide Township and Municipality Boundaries,Countywide Township and Municipality Boundaries,2018-08-15T16:29:16.000Z,2018-08-15T18:53:25.000Z,http://data-lakecountyil.opendata.arcgis.com/datasets/31864b0320f44480b95f13119a5f6bb4,https://maps.lakecountyil.gov/Output/CountyMaps/cctytwpcity.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/31864b0320f44480b95f13119a5f6bb4
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Township Map', u'Waukegan Township']",http://data-lakecountyil.opendata.arcgis.com/datasets/e0958380d2c34b6aa7d5821d7ada307e,Waukegan Township JAWA,Waukegan Township JAWA,2018-08-15T17:47:32.000Z,2018-10-17T21:39:45.107Z,http://data-lakecountyil.opendata.arcgis.com/datasets/e0958380d2c34b6aa7d5821d7ada307e,https://maps.lakecountyil.gov/Output/TownshipMaps/cwaukjawa.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/e0958380d2c34b6aa7d5821d7ada307e
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Countywide Map']",http://data-lakecountyil.opendata.arcgis.com/datasets/8f0cf6090a06447f89dcd33519271f93,Countywide Township and Range,Countywide Township and Range,2018-08-15T16:29:19.000Z,2018-10-17T21:40:16.423Z,http://data-lakecountyil.opendata.arcgis.com/datasets/8f0cf6090a06447f89dcd33519271f93,https://maps.lakecountyil.gov/Output/CountyMaps/ctwprange.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/8f0cf6090a06447f89dcd33519271f93
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Individual District Map', u'City and Village Boundaries']",http://data-lakecountyil.opendata.arcgis.com/datasets/09352b82789a49b3813578ee969b785f,Village of Mettawa,Village of Mettawa,2018-08-15T16:35:45.000Z,2018-10-17T21:40:05.932Z,http://data-lakecountyil.opendata.arcgis.com/datasets/09352b82789a49b3813578ee969b785f,https://maps.lakecountyil.gov/Output/DistrictMaps/city/VillageofMettawa.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/09352b82789a49b3813578ee969b785f
"Lake County, Illinois","[u'Lake County Illinois', u'PDF', u'Printed Maps', u'Township Map', u'Shields Township']",http://data-lakecountyil.opendata.arcgis.com/datasets/37b19d16b1cb426a946c7cdf82071077,Shields Township Mosquito Abatement Districts,Shields Township Mosquito Abatement Districts,2018-08-15T17:43:17.000Z,2018-10-17T21:40:02.529Z,http://data-lakecountyil.opendata.arcgis.com/datasets/37b19d16b1cb426a946c7cdf82071077,https://maps.lakecountyil.gov/Output/TownshipMaps/cshldmosq.pdf,"-180.0,-90.0,180.0,90.0",http://data-lakecountyil.opendata.arcgis.com/datasets/37b19d16b1cb426a946c7cdf82071077
