identifier,title,description,issued,landingPage,webService,spatial
http://data-evanston.opendata.arcgis.com/datasets/4c1b3818c01442cab7885fa3bb531f26_3,Fences,Fences within the City of Evanston.,2016-11-08T15:36:57.000Z,http://data-evanston.opendata.arcgis.com/datasets/4c1b3818c01442cab7885fa3bb531f26_3,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData3Planimetric/MapServer/3,"-87.7329,42.0193,-87.665,42.072",http://data-evanston.opendata.arcgis.com/datasets/4c1b3818c01442cab7885fa3bb531f26_3
http://data-evanston.opendata.arcgis.com/datasets/ed7701eaa7cd4d898a8884d02eeb15e6_0,Wards,The City of Evanston is divided into nine wards. One alderman is elected to represent each ward.,2016-10-31T19:54:49.000Z,http://data-evanston.opendata.arcgis.com/datasets/ed7701eaa7cd4d898a8884d02eeb15e6_0,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/0,"-87.7356,42.0184,-87.6641,42.0722",http://data-evanston.opendata.arcgis.com/datasets/ed7701eaa7cd4d898a8884d02eeb15e6_0
http://data-evanston.opendata.arcgis.com/datasets/884f0ab2ca264405a6ab9def3a215fcb_5,Federal historic districts,"The National Register of Historic Places is part of the National Park Service. Four National Register historic districts have been designated in the City of Evanston. They consist of the Northeast, Ridge, Lakeshore and Oakton historic districts.",2016-10-31T20:59:17.000Z,http://data-evanston.opendata.arcgis.com/datasets/884f0ab2ca264405a6ab9def3a215fcb_5,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/5,"-87.6948,42.0198,-87.6674,42.0708",http://data-evanston.opendata.arcgis.com/datasets/884f0ab2ca264405a6ab9def3a215fcb_5
http://data-evanston.opendata.arcgis.com/datasets/b00465159b154d1a8fe88d132f0ab6ac_0,Crosswalks,The City of Evanston has just under 100 crosswalks ranging from pedestrian crossings to school crossing guard locations to senior crossings.,2016-11-08T15:52:11.000Z,http://data-evanston.opendata.arcgis.com/datasets/b00465159b154d1a8fe88d132f0ab6ac_0,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData4Transportation/MapServer/0,"-87.7304,42.0225,-87.6702,42.069",http://data-evanston.opendata.arcgis.com/datasets/b00465159b154d1a8fe88d132f0ab6ac_0
http://data-evanston.opendata.arcgis.com/datasets/e724fd1e78504ed394d02dc95a80b6cb_5,One-way streets,The City of Evanston uses one-way streets to help the flow of traffic and make driving safer along with other tools like speed humps and traffic circles.,2016-11-08T16:32:56.000Z,http://data-evanston.opendata.arcgis.com/datasets/e724fd1e78504ed394d02dc95a80b6cb_5,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData4Transportation/MapServer/5,"-87.7277,42.0194,-87.6681,42.069",http://data-evanston.opendata.arcgis.com/datasets/e724fd1e78504ed394d02dc95a80b6cb_5
http://data-evanston.opendata.arcgis.com/datasets/bb4fb485c9a04d8abc71585827049015_4,Parking lots,This layer shows a parking lots within the City of Evanston as captured from aerial photos.,2016-11-08T15:41:46.000Z,http://data-evanston.opendata.arcgis.com/datasets/bb4fb485c9a04d8abc71585827049015_4,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData3Planimetric/MapServer/4,"-87.7323,42.0188,-87.6662,42.0709",http://data-evanston.opendata.arcgis.com/datasets/bb4fb485c9a04d8abc71585827049015_4
http://data-evanston.opendata.arcgis.com/datasets/bde82b5d201b4a36b23e6ca81756e3ba_1,Precincts,The City of Evanston is divided into nine wards. Each ward is then sub-divided into precincts. One alderman is elected to represent each ward.,2016-10-31T20:09:14.000Z,http://data-evanston.opendata.arcgis.com/datasets/bde82b5d201b4a36b23e6ca81756e3ba_1,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/1,"-87.7333,42.0185,-87.664,42.0723",http://data-evanston.opendata.arcgis.com/datasets/bde82b5d201b4a36b23e6ca81756e3ba_1
http://data-evanston.opendata.arcgis.com/datasets/f56fe4eed15e4152add4d10e0f87473d_8,"Bicycle routes, lanes, and paths","The City of Evanston has approximately 45 miles of protected bike lanes, bike lanes, bike routes and off-street paths.",2017-05-01T20:35:45.000Z,http://data-evanston.opendata.arcgis.com/datasets/f56fe4eed15e4152add4d10e0f87473d_8,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData4Transportation/MapServer/8,"-87.7317,42.0189,-87.6681,42.072",http://data-evanston.opendata.arcgis.com/datasets/f56fe4eed15e4152add4d10e0f87473d_8
http://data-evanston.opendata.arcgis.com/datasets/441c0474b0c442ac85c242b69ab31976_1,Cul-de-sacs,The City of Evanston has just over 120 cul-de-sacs.,2016-11-08T16:00:21.000Z,http://data-evanston.opendata.arcgis.com/datasets/441c0474b0c442ac85c242b69ab31976_1,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData4Transportation/MapServer/1,"-87.7324,42.0195,-87.669,42.0714",http://data-evanston.opendata.arcgis.com/datasets/441c0474b0c442ac85c242b69ab31976_1
http://data-evanston.opendata.arcgis.com/datasets/a31feef7fa5e4725b952d4fcc36c99a3_11,Zoning Districts,"The Zoning Code is located in Title 6 of the Municipal City Code. The Zoning Code promotes the public health, safety, comfort, convenience, general welfare, objectives and policies of the comprehensive general plan. As adopted and amended by the Evanston City Council, the Zoning Code establishes and regulates buildings and building setbacks along streets, alleys, property lines, use of lot areas, parking and loading, and the areas of open space between and among surrounding buildings.",2017-04-21T22:14:26.000Z,http://data-evanston.opendata.arcgis.com/datasets/a31feef7fa5e4725b952d4fcc36c99a3_11,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/11,"-87.7329,42.0189,-87.6639,42.0722",http://data-evanston.opendata.arcgis.com/datasets/a31feef7fa5e4725b952d4fcc36c99a3_11
http://data-evanston.opendata.arcgis.com/datasets/3c855a9a111f46ad8b690b0a945e3535_8,Refuse collection days,Trash is picked up in the City of Evanston on a four day schedule.,2016-10-31T21:56:23.000Z,http://data-evanston.opendata.arcgis.com/datasets/3c855a9a111f46ad8b690b0a945e3535_8,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/8,"-87.7329,42.0189,-87.6645,42.072",http://data-evanston.opendata.arcgis.com/datasets/3c855a9a111f46ad8b690b0a945e3535_8
http://data-evanston.opendata.arcgis.com/datasets/a9d26f15c02e4b6c8ab5edfebba25531_5,Bridges,Road and rail bridges in the City of Evanston.,2017-04-24T20:24:06.000Z,http://data-evanston.opendata.arcgis.com/datasets/a9d26f15c02e4b6c8ab5edfebba25531_5,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData3Planimetric/MapServer/5,"-87.7105,42.0193,-87.6708,42.0689",http://data-evanston.opendata.arcgis.com/datasets/a9d26f15c02e4b6c8ab5edfebba25531_5
http://data-evanston.opendata.arcgis.com/datasets/628c6bf92ce14c0f8bd47c3ccf60e9cc_13,Annexation Chronology,Annexations by the City of Evanston through the years.,2017-04-24T20:44:05.000Z,http://data-evanston.opendata.arcgis.com/datasets/628c6bf92ce14c0f8bd47c3ccf60e9cc_13,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData2Administrative/MapServer/13,"-87.7329,42.0189,-87.6646,42.072",http://data-evanston.opendata.arcgis.com/datasets/628c6bf92ce14c0f8bd47c3ccf60e9cc_13
http://data-evanston.opendata.arcgis.com/datasets/3da335085ba244a692cccf36f8d1ae99_3,Railroad tracks,The approximately 22.5 miles of railroad tracks in the City of Evanston are traveled by both CTA to Metra trains.,2016-07-13T20:37:54.000Z,http://data-evanston.opendata.arcgis.com/datasets/3da335085ba244a692cccf36f8d1ae99_3,https://maps.cityofevanston.org/arcgis/rest/services/OpenData/ArcGISOpenData/MapServer/3,"-87.7092,42.0193,-87.6726,42.0696",http://data-evanston.opendata.arcgis.com/datasets/3da335085ba244a692cccf36f8d1ae99_3
