identifier,title,description,issued,landingPage,webService,spatial
http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0,Expiration of Redemption,There is no description available.,2017-04-14T13:45:42.000Z,http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Expiration_of_Redemption/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/62e9b8bff3184da1ae747738d837f03e_0
http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0,Park Boundaries,There is no description available.,2015-02-10T16:14:02.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0,http://maps.co.washington.mn.us/arcgis/rest/services/Recreation/ParkBoundaries/MapServer/0,"-93.02,44.7484,-92.7524,45.2953",http://data-wcmn.opendata.arcgis.com/datasets/5e85ca268c274faab25883f6b4c193f7_0
http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0,"Washington County, MN Facilities","To launch this map, visit http://maps.co.washington.mn.us/CountyFacilities/?.This map is designed to help identify the location of various Washington County facilities. Descriptions with details of the facility (location, contact information, photographs, maps, handicap accessibility, rental availability, etc.) display within each county facility?s listing.",2013-10-17T16:24:31.000Z,http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0,https://www.arcgis.com/home/webmap/viewer.html?webmap=e8ec50bd914445f2be35bcb7be5b44d0,"-93.7332,44.5858,-91.8656,45.3784",http://data-wcmn.opendata.arcgis.com/datasets/e8ec50bd914445f2be35bcb7be5b44d0
http://data-wcmn.opendata.arcgis.com/datasets/70caff54424e4a9d9b793d98a212fcf5_0,Pervious,There is no description available.,2017-09-27T18:22:07.000Z,http://data-wcmn.opendata.arcgis.com/datasets/70caff54424e4a9d9b793d98a212fcf5_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Pervious/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/70caff54424e4a9d9b793d98a212fcf5_0
http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0,LicensedFacilities,There is no description available.,2016-12-13T16:13:51.000Z,http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/LicensedFacilities/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wcmn.opendata.arcgis.com/datasets/6e95330125fb4f73ae3fe50ad03399fd_0
http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48,Expiration of Redemption,There is no description available.,2017-04-14T13:55:19.000Z,http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48,https://www.arcgis.com/home/webmap/viewer.html?webmap=3de2fbdcbcfb425aa55dce50ff9b9a48,"-93.1677,44.8185,-92.4914,45.1971",http://data-wcmn.opendata.arcgis.com/datasets/3de2fbdcbcfb425aa55dce50ff9b9a48
http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_21,ParcelBoundaryRefLines,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_21,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/21,"-93.0462,44.7293,-92.7106,45.2999",http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_21
http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_20,Easements,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_20,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/20,"-93.0462,44.7293,-92.7106,45.2999",http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_20
http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_23,Plats,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_23,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/23,"-93.0462,44.7293,-92.7106,45.2999",http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_23
http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_22,HistoricParcels,Cadastral Information used in the Washington County External GIS Viewers.,2018-06-27T16:00:39.000Z,http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_22,https://maps.co.washington.mn.us/arcgis/rest/services/GISViewer/Cadastral/MapServer/22,"-93.0462,44.7293,-92.7106,45.2999",http://data-wcmn.opendata.arcgis.com/datasets/5dac8f8ac8f44cc3b388d0d1e4a8a1d4_22
