@type,title,accessLevel,contactPoint/@type,contactPoint/fn,contactPoint/hasEmail,description,identifier,keyword/0,modified,publisher/@type,publisher/name,distribution/0/@type,distribution/0/downloadURL,distribution/0/mediaType,distribution/0/title,distribution/1/@type,distribution/1/downloadURL,distribution/1/mediaType,distribution/1/title,distribution/2/@type,distribution/2/downloadURL,distribution/2/mediaType,distribution/2/title,distribution/3/@type,distribution/3/downloadURL,distribution/3/mediaType,distribution/3/title,distribution/4/@type,distribution/4/downloadURL,distribution/4/mediaType,distribution/4/title,distribution/5/@type,distribution/5/downloadURL,distribution/5/mediaType,distribution/5/title,distribution/6/@type,distribution/6/downloadURL,distribution/6/mediaType,distribution/6/title,distribution/7/@type,distribution/7/downloadURL,distribution/7/mediaType,distribution/7/title,distribution/8/@type,distribution/8/downloadURL,distribution/8/mediaType,distribution/8/title,distribution/9/@type,distribution/9/downloadURL,distribution/9/mediaType,distribution/9/title,distribution/10/@type,distribution/10/downloadURL,distribution/10/mediaType,distribution/10/title,distribution/11/@type,distribution/11/downloadURL,distribution/11/mediaType,distribution/11/title,keyword/1,distribution/12/@type,distribution/12/downloadURL,distribution/12/mediaType,distribution/12/title,distribution/13/@type,distribution/13/downloadURL,distribution/13/mediaType,distribution/13/title,distribution/14/@type,distribution/14/downloadURL,distribution/14/mediaType,distribution/14/title,distribution/15/@type,distribution/15/downloadURL,distribution/15/mediaType,distribution/15/title,distribution/16/@type,distribution/16/downloadURL,distribution/16/mediaType,distribution/16/title,keyword/2,distribution/17/@type,distribution/17/downloadURL,distribution/17/mediaType,distribution/17/title,distribution/18/@type,distribution/18/downloadURL,distribution/18/mediaType,distribution/18/title,distribution/19/@type,distribution/19/downloadURL,distribution/19/mediaType,distribution/19/title,keyword/3,keyword/4,keyword/5,keyword/6,keyword/7,keyword/8,keyword/9,keyword/10,keyword/11,keyword/12,distribution/20/@type,distribution/20/downloadURL,distribution/20/mediaType,distribution/20/title,distribution/21/@type,distribution/21/downloadURL,distribution/21/mediaType,distribution/21/title,distribution/22/@type,distribution/22/downloadURL,distribution/22/mediaType,distribution/22/title,distribution/23/@type,distribution/23/downloadURL,distribution/23/mediaType,distribution/23/title,distribution/24/@type,distribution/24/downloadURL,distribution/24/mediaType,distribution/24/title,distribution/25/@type,distribution/25/downloadURL,distribution/25/mediaType,distribution/25/title,distribution/26/@type,distribution/26/downloadURL,distribution/26/mediaType,distribution/26/title,distribution/27/@type,distribution/27/downloadURL,distribution/27/mediaType,distribution/27/title,distribution/28/@type,distribution/28/downloadURL,distribution/28/mediaType,distribution/28/title,distribution/29/@type,distribution/29/downloadURL,distribution/29/mediaType,distribution/29/title,distribution/30/@type,distribution/30/downloadURL,distribution/30/mediaType,distribution/30/title,distribution/31/@type,distribution/31/downloadURL,distribution/31/mediaType,distribution/31/title,distribution/32/@type,distribution/32/downloadURL,distribution/32/mediaType,distribution/32/title,distribution/33/@type,distribution/33/downloadURL,distribution/33/mediaType,distribution/33/title,distribution/34/@type,distribution/34/downloadURL,distribution/34/mediaType,distribution/34/title,distribution/35/@type,distribution/35/downloadURL,distribution/35/mediaType,distribution/35/title,distribution/36/@type,distribution/36/downloadURL,distribution/36/mediaType,distribution/36/title,distribution/37/@type,distribution/37/downloadURL,distribution/37/mediaType,distribution/37/title,distribution/38/@type,distribution/38/downloadURL,distribution/38/mediaType,distribution/38/title,distribution/39/@type,distribution/39/downloadURL,distribution/39/mediaType,distribution/39/title
dcat:Dataset,Licenses and Inspections Districts,public,vcard:Contact,Dani Interrante,mailto:Dani.Interrante@Phila.gov,"District Boundaries for the Department of Licenses & Inspections are pre 2014.
Districts Broad refers to the five districts which contain their own district offices and are a method the department uses to assign and analyze work.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",6de3e169-f670-42cd-b5e9-c95e8708990c,Licenses and Inspections,2017-12-15T18:49:15.606902,org:Organization,City of Philadelphia,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.csv,text/csv,Licenses and Inspections Districts CSV,dcat:Distribution,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Districts/FeatureServer/0/query?outFields=*&where=1%3D1,api,Licenses and Inspections Districts GeoService,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.zip,shp,Licenses and Inspections Districts SHP,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.geojson,geojson,Licenses and Inspections Districts GeoJSON,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/55676856609f65a12174370b/representationdetails/5571b1b3e4fb1d91393c213b/,HTML,Licenses and Inspections Districts Metadata,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.csv,text/csv,Licenses and Inspections Districts (Broad) CSV,dcat:Distribution,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/DISTRICTS_BROAD/FeatureServer/0/query?outFields=*&where=1%3D1,api,Licenses and Inspection Districts (Broad) GeoService,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.zip,shp,Licenses and Inspections Districts (Broad) SHP,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.geojson,geojson,Licenses and Inspection Districts (Broad) GeoJSON,dcat:Distribution,https://www.arcgis.com/home/item.html?id=856343e8d4434b4190a3d38558996a24,HTML,Licenses and Inspection Districts (Broad) Metadata,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/a54a2af5166e46848fd067475dd6581c_0.kml,KML,Licenses and Inspections Districts KML,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/73e04569563546889df1bdc13360f88b_0.kml,KML,Licenses and Inspections Districts (Broad) KML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Building Demolitions,public,vcard:Contact,Dani Interrante,mailto:Dani.Interrante@Phila.gov,"Inventory of building demolitions occurring within the City of Philadelphia. This includes both demolitions performed by private owners/contractors and by the Department of Licenses and Inspections due to dangerous building conditions. 

Updated daily. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",0b42001c-eaba-4dc2-95b6-0c5b24939c75,Department of License and Inspections,2017-12-15T18:52:04.235337,org:Organization,City of Philadelphia,dcat:Distribution,https://data.phila.gov/visualizations/li-demolitions/,HTML,Demolitions (Visualization),dcat:Distribution,"https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator",text/csv,Demolitions (CSV),dcat:Distribution,https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=shp&skipfields=cartodb_id,shp,Demolitions (SHP),dcat:Distribution,https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_demolitions&filename=li_demolitions&format=geojson&skipfields=cartodb_id,geojson,Demolitions (GeoJSON),dcat:Distribution,https://cityofphiladelphia.github.io/carto-api-explorer/#li_demolitions,api,Demolitions (API),dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/58dbd271fe779d33cf0e8cad/representationdetails/58dbd271fe779d33cf0e8cb1/,HTML,Demolitions (Metadata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Enterprise Zones,public,vcard:Contact,Brian Ivey,mailto:brian.ivey@phila.gov,"Please note that the enterprise zones expired in the early 2000s, therefore this dataset has been archived, and will not be updated, but remains for historical analysis purposes.

Data includes commercial and industrial zones, i.e. areas with specific federal enterprise zone designation meant to attract and support businesses in blighted areas. Blighted areas are defined as meeting one of seven city mandated criteria, including unsafe, unsanitary and inadequate conditions; economically or socially undesirable land use; and faulty street and lot layout.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",ea042dba-4c8f-4bba-8a13-269c877dd943,Department of Planning and Development,2017-12-05T18:42:28.187990,org:Organization,City of Philadelphia,dcat:Distribution,http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=PhiladelphiaEnterpriseZones201201.xml,HTML,Enterprise Zones Text Metadata,dcat:Distribution,http://www.pasda.psu.edu/pasda/UCI_Metadata/PhiladelphiaEnterpriseZones201201.xml,XML,Enterprise Zones XML Metadata,dcat:Distribution,http://www.pasda.psu.edu/data/philacity/data/PhiladelphiaEnterpriseZones201201.zip,shp,Enterprise Zones Shapefile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Planning Analysis Sections,public,vcard:Contact,Brian Ivey,mailto:brian.ivey@phila.gov,"Please note that this dataset is no longer in use by the Philadelphia City Planning Commission and has been replaced with the [Planning Districts dataset](https://www.opendataphilly.org/dataset/planning-districts).

The Planning Analysis Sections were the boundaries for the city's twelve planning analysis sections with attribute labels. 
 
Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",8bcd9d60-fc3e-4c9c-ade3-489e8f5e0a38,Department of Planning and Development,2017-12-05T18:42:40.242828,org:Organization,City of Philadelphia,dcat:Distribution,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=344,shp,Planning Analysis Sections Shapefile,dcat:Distribution,http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=philadelphiaplanninganalysissections2005.xml,HTML,Planning Analysis Sections Text Metadata,dcat:Distribution,http://help.arcgis.com/en/arcgisserver/10.0/apis/rest/,HTML,ArcGIS REST API Documentation,dcat:Distribution,http://gis.phila.gov/ArcGIS/rest/services/PhilaOIT-GIS_Boundaries/MapServer/10,api,Planning Analysis Sections ArcGIS REST API (Web Mercator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Licenses and Inspections Business Licenses,public,vcard:Contact,Shannon Holm,mailto:shannon.holm@phila.gov,"Information regarding applications for licenses required by the City to conduct certain business activities. Licenses are required for individuals and businesses to engage in select commercial activities. For example, vendors and restaurants require a license in order to sell goods and food and trades-people, such as plumbers and contractors, require a license in order to practice their trade.

Information includes license application type, applicant, property for which the license would be issued, application date, issue date, and expiration date. Data is accurate; however, it may be misinterpreted by an unfamiliar user.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",9169a23f-04e1-46c1-808c-06b49255a4e9,Licenses and Inspections,2017-11-29T17:38:15.208981,org:Organization,City of Philadelphia,dcat:Distribution,"https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=csv&skipfields=cartodb_id,the_geom,the_geom_webmercator",text/csv,Licenses and Inspections Business Licenses (CSV),dcat:Distribution,https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=geojson&skipfields=cartodb_id,geojson,Licenses and Inspections Business Licenses  (GeoJSON),dcat:Distribution,https://phl.carto.com/api/v2/sql?q=SELECT+*+FROM+li_business_licenses&filename=li_business_licenses&format=shp&skipfields=cartodb_id,shp,Licenses and Inspections Business Licenses (SHP),dcat:Distribution,https://cityofphiladelphia.github.io/carto-api-explorer/#li_business_licenses,api documentation,Licenses and Inspections Business Licenses (API Documentation),dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/5543865a20583086178c4ed2/representationdetails/57e53953dfc5d2be6083dae2/,HTML,L+I Business Licenses Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Rain Gauges,public,vcard:Contact,"Edward Lennon, Jr.",mailto:edward.lennonjr@phila.gov,"The purpose of this data is to describe the Rain Gauges both locationally and via their attributes. This data shows the location and attributes of Rain Gauges throughout the City of Philadelphia.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",f5688123-9a95-4003-944b-4ae090424f91,Philadelphia Water Department,2017-11-20T21:38:36.506919,org:Organization,City of Philadelphia,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/5601852f077169215719b5c5/representationdetails/5612c96db96c129517118d00/,HTML,Rain Gauge Network Metadata,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.kml,KML,Rain Gauge Network KML,dcat:Distribution,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/RAINGAUGES/FeatureServer/0/query?outFields=*&where=1%3D1,api,Rain Gauge Network GeoService,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.geojson,geojson,Rain Gauge Network GeoJSON,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.csv,text/csv,Rain Gauge Network CSV,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/63da9bd382e7497ca8ea8a01683cca6a_0.zip,shp,Rain Gauge Network SHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Stormwater Management Practice Polygons,public,vcard:Contact,Phil Pierdomenico,mailto:raymond.pierdomenico@phila.gov,"This layer represents Green Stormwater Infrastructure Stormwater Management Practice types. Integrating Green Stormwater Infrastructure (GSI) into a highly developed area such as Philadelphia requires a decentralized and creative approach to planning and design.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",021fd817-8d06-4acb-8399-7d45f29e89b0,Philadelphia Water Department,2017-11-20T20:48:14.688019,org:Organization,City of Philadelphia,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PWD_GSI_SMP.csv,text/csv,Stormwater Management Practice Polygons CSV,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PWD_GSI_SMP.zip,shp,Stormwater Management Practice Polygons SHP,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/5543864320583086178c4e6f/representationdetails/56eaddf28597748205e975da/,HTML,Stormwater Management Practice Polygons Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Stormwater Outfalls,public,vcard:Contact,Phil Pierdomenico,mailto:raymond.pierdomenico@phila.gov,"This point layer contains all the stormwater outfalls. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",4e49bbf6-694d-491b-a620-9e1244cdaf23,Philadelphia Water Department,2017-11-20T20:44:47.835916,org:Organization,City of Philadelphia,dcat:Distribution,http://cityofphiladelphia.github.io/metadata-catalog/#home/datasetdetails/56018532077169215719b5c9/representationdetails/5612cd02e1f964e95ab0fdc2/,HTML,Stormwater Outfalls Metadata,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PWD_Outfalls.csv,text/csv,Stormwater Outfalls CSV,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PWD_Outfalls.zip,shp,Stormwater Outfalls SHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,Stormwater Grant Awardees,public,vcard:Contact,Phil Pierdomenico,mailto:raymond.pierdomenico@phila.gov,"The City of Philadelphia, through the Philadelphia Water Department (PWD) and Philadelphia Industrial Development Corporation (PIDC), has created the Stormwater Management Incentives Program (SMIP) and the Greened Acre Retrofit Program (GARP) to reduce the price for qualified non-residential PWD customers and contractors to design and install stormwater best management practices.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",de081a94-aa9c-4518-a792-8556a21e3cf0,Philadelphia Water Department,2017-11-20T20:42:39.101491,org:Organization,City of Philadelphia,dcat:Distribution,https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Stormwater_Grants/FeatureServer/0/query?outFields=*&where=1%3D1,api,Stormwater Grant Awardees GeoService,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.csv,text/csv,Stormwater Grant Awardees CSV,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.kml,KML,Stormwater Grant Awardees KML,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.zip,shp,Stormwater Grant Awardees SHP,dcat:Distribution,http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.geojson,geojson,Stormwater Grant Awardees GeoJSON,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/5617d54efbc5055b2b20f448/representationdetails/561fc717f239f9a07fb37ec5/,HTML,Stormwater Grant Awardees Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcat:Dataset,FEMA Flood Plains,public,vcard:Contact,Darshna Patel,mailto:darshna.patel@phila.gov,"Federal Emergency Management Administration (FEMA) floodplains.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",6d9396e5-2e82-4790-afc1-b037e79d098f,Department of Planning and Development,2017-11-20T20:36:38.341882,org:Organization,City of Philadelphia,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PLN_FEMA_100_2007.csv,text/csv,FEMA 100 Flood Plain 2007 CSV,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PLN_FEMA_100_2007.zip,shp,FEMA 100 Flood Plain 2007 SHP,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PLN_FEMA_500_2007.csv,text/csv,FEMA 500 Flood Plain 2007 CSV,dcat:Distribution,http://gis.phila.gov/gisdata/ODP/PLN_FEMA_500_2007.zip,shp,FEMA 500 Flood Plain 2007 SHP,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/55773916220d94f32b210704/representationdetails/557739c0889ff8f178b91969/,HTML,FEMA 100 Flood Plain 2007 Metadata,dcat:Distribution,http://metadata.phila.gov/#home/datasetdetails/55773916220d94f32b210704/representationdetails/55773096aa479af0697b1286/,HTML,FEMA 500 Flood Plain 2007 Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
