identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.dc.gov/datasets/d893dd7e18c341f2a5b184ab93861991_114,Traffic Barriers,"Traffic Barrier. The dataset contains polygons representing planimetric barriers, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). This is a complete new capture from aerial photography flown in mid to Late April, completed on April 24, 2015. This is part of a comprehensive sensor collection effort to sychronize orthophotos, oblique imagery, LiDAR, and basemap layers. The following planimetric layers were updated: - Barrier Lines- Building Polygons- Bridge and Tunnel Polygons- Curb Lines- Grate Points- Horizontal and Vertical Control Points- Hydrography Lines- Obscured Area Polygons- Railroad Lines- Road, Parking, and Driveway Polygons- Sidewalk and Stair Polygons- Swimming Pools- Water PolygonsDUE TO THE LOW ALTITUDE FLOWN TO CAPTURE THE COMPLETE IMAGERY FOR THE 2015 SENSOR FLIGHT, THERE IS INCOMPLETE AERIAL PHOTOGRAPHY COVERAGE AROUND THE WHITE HOUSE AND CAPITOL. FOR THESE AREAS, 2013 NO DATA WAS ADDED DUE TO INCOMPLETENESS AND LACK OF FEATURES IN THOSE AREAS.",2016-04-19T18:15:21.000Z,2017-09-11T18:39:03.000Z,http://opendata.dc.gov/datasets/d893dd7e18c341f2a5b184ab93861991_114,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/114,"-77.1166,38.7923,-76.9115,38.9869",http://opendata.dc.gov/datasets/d893dd7e18c341f2a5b184ab93861991_114
http://opendata.dc.gov/datasets/dfe4587bbbe043b4a3cc79e5efd6a3df_119,Traffic Signal Arm,"The dataset contains location and attributes of traffic controls features located at each intersection in the District of Columbia. All traffic poles, pavement markings, traffic cabinets and cameras located within 10 meters of curb face intersections are collected. Poles must support traffic control devices in order to be collected. This includes traffic control signs, traffic signals, traffic arms and cameras. These traffic contorl devices are part the data sets tables and are related to there particular pole. The data set does not include poles supporting only name plate signs and parking enforcement signs.",2016-05-10T21:17:09.000Z,2017-09-11T16:58:14.000Z,http://opendata.dc.gov/datasets/dfe4587bbbe043b4a3cc79e5efd6a3df_119,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/119,"-77.1119,38.8225,-76.9129,38.9857",http://opendata.dc.gov/datasets/dfe4587bbbe043b4a3cc79e5efd6a3df_119
http://opendata.dc.gov/datasets/850232079ec241d187828ed1bf079123_55,DC Circulator Routes,"DC Circulator Bus Lines. The dataset contains locations and attributes of DC Circulator Lines, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the District Department of Transportation identified DC Circulator Lines. DC Circulator is a local transit option that provides access between key and popular locations in the District. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:15:02.000Z,2017-12-13T18:56:51.000Z,http://opendata.dc.gov/datasets/850232079ec241d187828ed1bf079123_55,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/55,"-77.0725822964,38.8579414335,-76.9644629059,38.9288111797",http://opendata.dc.gov/datasets/850232079ec241d187828ed1bf079123_55
http://opendata.dc.gov/datasets/004489beedce436ca96d423afe682cf1_1,Moving Violations Issued in February 2012,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T20:10:22.000Z,2017-12-20T22:17:47.404Z,http://opendata.dc.gov/datasets/004489beedce436ca96d423afe682cf1_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2012/MapServer/1,"-77.1118,38.8174,-76.9133,38.9923",http://opendata.dc.gov/datasets/004489beedce436ca96d423afe682cf1_1
http://opendata.dc.gov/datasets/3ba6ba09d5104f2da677403ae6d64129_6,Moving Violations Issued in July 2009,"Moving?citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to?moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other movng?offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T19:46:23.000Z,2017-09-19T19:07:37.000Z,http://opendata.dc.gov/datasets/3ba6ba09d5104f2da677403ae6d64129_6,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2009/MapServer/6,"-77.1117,38.8188,-76.9096,38.9905",http://opendata.dc.gov/datasets/3ba6ba09d5104f2da677403ae6d64129_6
http://opendata.dc.gov/datasets/b6521725905c48b89c2d661649fb8692_109,Triangles and Medians,Department of Parks and Recreation (DPR) properties identified as polygons for Triangles and Medians. The dataset contains general locations and amenity information about the properties under the jurisdiction of the DC Department of Parks and Recreation; specifically Triangles and Medians. It has been created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies.?This data is provided by the Department of Parks and Recreation.,2015-06-04T19:04:08.000Z,2017-09-11T14:25:31.000Z,http://opendata.dc.gov/datasets/b6521725905c48b89c2d661649fb8692_109,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/109,"-77.1122,38.8329,-76.93,38.9764",http://opendata.dc.gov/datasets/b6521725905c48b89c2d661649fb8692_109
http://opendata.dc.gov/datasets/a1f7acf65795451d89f0a38565a975b3_5,Capital Bike Share Locations,"The dataset contains locations and attributes of Capital Bike Share sites, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by Department of Real Estate Services identified Capital Bike Share locations. These are offer bikes to travel throughout the District for a fee. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",2015-02-27T21:14:34.000Z,2017-12-08T22:10:28.460Z,http://opendata.dc.gov/datasets/a1f7acf65795451d89f0a38565a975b3_5,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/5,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/a1f7acf65795451d89f0a38565a975b3_5
http://opendata.dc.gov/datasets/01cfe9d0cc1b40cba1e37178074b3fe2_32,Park and Ride Points,"Park N Ride Lot locations. The dataset contains locations and attributes of Park N Ride Lots, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Information from the Washington Metropolitan Area Transportation Authority (WMATA) identified Park N Ride locations and DC GIS staff geo-processed the data. Polygons were captured from the planimetrics: mainly parking areas. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",2015-02-27T21:14:49.000Z,2017-09-11T13:20:45.000Z,http://opendata.dc.gov/datasets/01cfe9d0cc1b40cba1e37178074b3fe2_32,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/32,"-77.176,38.755,-76.896,39.035",http://opendata.dc.gov/datasets/01cfe9d0cc1b40cba1e37178074b3fe2_32
http://opendata.dc.gov/datasets/835ccfb6bb7145cc8f53606e883bc5fd_9,Parking Violations Issued in October 2011,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:15:43.000Z,2017-09-19T19:06:32.000Z,http://opendata.dc.gov/datasets/835ccfb6bb7145cc8f53606e883bc5fd_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2011/MapServer/9,"-77.1122,38.8188,-76.9108,38.9936",http://opendata.dc.gov/datasets/835ccfb6bb7145cc8f53606e883bc5fd_9
http://opendata.dc.gov/datasets/33f845f6920548cbaf9f8b2ba98a3c6b_2,Parking Violations Issued in March 2011,"Parking citation locations in the District of Columbia.   The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT) traffic control officers write parking violations to prevent congestion through enforcement and control at intersections. Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT?s SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",2016-02-12T22:09:21.000Z,2017-09-19T19:06:28.000Z,http://opendata.dc.gov/datasets/33f845f6920548cbaf9f8b2ba98a3c6b_2,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2011/MapServer/2,"-77.1112,38.8193,-76.91,38.9906",http://opendata.dc.gov/datasets/33f845f6920548cbaf9f8b2ba98a3c6b_2
