portalName,total,new_items,deleted_items
03a-03,244,11,1
04b-24003,165,2,0
01b-18163,56,0,0
01c-02,768,22,1
02b-17113,20,0,0
03a-02,1007,5,1
03b-19113,134,0,1
04a-01,1495,24,1
04b-24005,207,3,0
04b-24013,34,0,0
04b-24021,110,0,0
04b-24025,88,15,1
04c-01,1662,13,1
04c-02,656,14,1
04f-01,156,29,1
05b-27011,15,0,0
05b-27019,101,20,0
05b-27027,19,0,0
05b-27053,28,0,0
05b-27119,71,1,0
05b-27121,40,13,1
05b-27123,31,1,0
05b-27137,8,0,0
05b-27167,21,9,1
05c-01,213,7,1
06a-01,435,14,1
06b-26125,327,4,1
06f-01,43,1,1
07b-26161,12,0,0
07c-01,169,7,1
07d-02,67,0,0
08b-42003,56,0,0
08b-42027,86,0,0
08b-42029,52,0,0
08b-42039,294,2,0
08b-42043,32,0,0
08b-42091,99,6,0
08b-42133,55,4,0
08c-02,358,14,1
09c-01,115,0,0
10b-55003,9,0,0
10b-55021,84,0,0
10b-55025,54,0,1
10b-55025-01,48,0,0
10b-55035-01,38,0,0
10b-55079,60,0,0
10b-55087,154,44,0
10b-55059,41,0,0
10b-55093,5,0,0
10b-55101,106,2,0
10b-55109,6,0,0
10b-55111,80,0,0
10b-55125-01,33,0,0
10b-55133,45,8,1
10b-55135,61,1,0
10b-55137,12,0,0
10b-55141,17,0,0
10c-03,165,1,0
10c-04,23,1,0
11a-01,944,13,1
11b-39009,22,0,1
11b-39035,36,0,0
11b-39049,42,2,0
11b-39093,223,2,1
11b-39151,112,6,1
11b-39153,12,5,0
12b-17031,262,46,1
12b-17043,108,19,1
12b-17097,1590,1,0
12b-17143,127,1,0
12d-03,34,0,0
13a-01,188,8,1
99-1000,574,2,0
99-1100,417,20,0
05b-27023,7,0,0
13c-02,58,2,0
13c-01,212,25,0
13a-04,50,2,1
13b-31055,75,0,0
13b-31153,122,4,0
04b-24009,12,10,1
14a-01,672,672,0
