identifier,title,description,issued,modified,landingPage,webService,spatial
http://data-wi-dnr.opendata.arcgis.com/datasets/d7f5d33b182044c187c776e47d72ce84,Wiscland 2,"The Wiscland 2 land cover project was a collaborative effort of the Wisconsin Department of Natural Resources (WDNR), University of Wisconsin-Madison (UW), and the Wisconsin State Cartographer's Office (SCO) conducted between the fall of 2013 and August 2016. ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?For more information read the metadata provided with the dataset.",2017-05-11T17:16:00.000Z,2017-11-20T20:18:44.024Z,http://data-wi-dnr.opendata.arcgis.com/datasets/d7f5d33b182044c187c776e47d72ce84,ftp://dnrftp01.wi.gov/geodata/landcover/wiscland2/,"-180.0,-90.0,180.0,90.0",http://data-wi-dnr.opendata.arcgis.com/datasets/d7f5d33b182044c187c776e47d72ce84
http://data-wi-dnr.opendata.arcgis.com/datasets/a74e139f8b0945eb977591a2f671aaa5,Wiscland 1,"Wiscland 1 is a land cover dataset developed between 1991 and 1993?by The Wisconsin Initiative for Statewide Cooperation on Landscape Analysis and Data (WISCLAND), a consortium of government and private organizations formed in 1993 to promote development of digital geographic data for the state. ? ? ? ? ? ?For more information see the metadata provided in the FTP zip file.",2017-05-11T17:01:28.000Z,2017-11-20T20:18:44.001Z,http://data-wi-dnr.opendata.arcgis.com/datasets/a74e139f8b0945eb977591a2f671aaa5,ftp://dnrftp01.wi.gov/geodata/landcover/wiscland1/,"-180.0,-90.0,180.0,90.0",http://data-wi-dnr.opendata.arcgis.com/datasets/a74e139f8b0945eb977591a2f671aaa5
http://data-wi-dnr.opendata.arcgis.com/datasets/626c8ea4f3794a03b4bbab1d22031ff6_1,Remediation - Open Site Boundaries,"Polygon?representation of?sites where  contamination has affected soil, groundwater, or other media and the  environmental investigation and cleanup need to begin or are underway. This  includes sites where cleanup of environmental contamination is ongoing. A  site is a contamination incident, not a property. A site may be  smaller than a property or may include more than one property.Does not include:spills (immediate cleanup); sites where DNR required no action; sites not yet mapped; and sites never reported to DNR.To view?more contamination data layers see the RR Sites Map at??http://dnr.wi.gov/topic/Brownfields/rrsm.html",2017-05-04T19:18:29.000Z,2017-07-12T18:02:13.000Z,http://data-wi-dnr.opendata.arcgis.com/datasets/626c8ea4f3794a03b4bbab1d22031ff6_1,https://dnrmaps.wi.gov/arcgis/rest/services/RR_Sites_Map/RR2_Contam_Clean_WTM_Ext/MapServer/1,"-92.8994,42.4688,-87.1716,46.7646",http://data-wi-dnr.opendata.arcgis.com/datasets/626c8ea4f3794a03b4bbab1d22031ff6_1
http://data-wi-dnr.opendata.arcgis.com/datasets/1b81a1f4a8cc4055a975c576f7709feb,Hillshade - 10 Meter,see FTP location for metadata,2017-06-21T18:52:02.000Z,2017-11-20T20:18:44.277Z,http://data-wi-dnr.opendata.arcgis.com/datasets/1b81a1f4a8cc4055a975c576f7709feb,ftp://dnrftp01.wi.gov/geodata/elevation/NED_10m_Hillshade/,"-180.0,-90.0,180.0,90.0",http://data-wi-dnr.opendata.arcgis.com/datasets/1b81a1f4a8cc4055a975c576f7709feb
http://data-wi-dnr.opendata.arcgis.com/datasets/a95d409126754d349ecc565698683d9e_9,Trout Stream Lines,"Trout Waters are represented by Class I, Class II or Class III waters. These classes have specific ecological characteristics and management actions associated with them. For more information regarding Trout Classifications, see the Fisheries Trout Class Webpages. (http://dnr.wi.gov/fish/species/trout/streamclassification.html)",2017-04-27T19:51:49.000Z,2017-11-20T20:27:46.670Z,http://data-wi-dnr.opendata.arcgis.com/datasets/a95d409126754d349ecc565698683d9e_9,https://dnrmaps.wi.gov/arcgis/rest/services/WT_SWDV/WT_Fisheries_Waters_WTM_Ext/MapServer/9,"-92.9578,42.411,-86.7288,46.966",http://data-wi-dnr.opendata.arcgis.com/datasets/a95d409126754d349ecc565698683d9e_9
http://data-wi-dnr.opendata.arcgis.com/datasets/6404fecb33254292bb79cb8303aa30ef_7,TMDL Rock River - Allocated TP Load Breakdown,"Breakdown of Phosphorus allocations by TMDL reach
(subwatershed) and sources ? background, nonpoint, general permits, MS4
(stormwater), and wastewater treatment facilities (WWTF ? public and private).?The Rock River TMDL was approved by US EPA on September 28, 2011. Through this website, you can access ArcGIS files developed in the TMDL including TMDL reaches and reach-sheds (subwatersheds), baseline loads and distributions, TMDL allocations, and reduction requirements to meet TMDL goals.? These data are derived directly from the full TMDL report and appendices.Rock River Recovery is the official name of the Rock River Basin TMDL implementation process. Visit the?Rock River Recovery website?for more information about the Rock River TMDL, especially relating to implementation, newsletters,?development of TMDLs,?TMDL sector teams, implementation planning, and restoration projects. To read more detail about the Rock River Recovery, explore our?Rock River Recovery project details. ?Implementation is an ongoing process of planning, implementation, monitoring, and review to track progress.? This process is carried out through sector teams for Agriculture/Nonpoint, Education  Outreach, Monitoring, MS4/Stormwater, and Wastewater. ?For more information?about the Rock River TMDL?contact:?Mark Riedel?(608)275-3471.Impaired waters in Wisconsin are addressed through an analysis, known as a Total Maximum Daily Load (TMDL). A TMDL is the amount of a pollutant a waterbody can receive and still meet water quality standards. Basically it is a pollution budget for a water body or watershed that establishes the pollutant reduction needed from each pollutant source to meet water quality goals.Section 303(d) of the Clean Water Act requires all states to develop TMDLs for waters on the Impaired Waters List. A TMDL is the amount of a pollutant a water can receive and still meet water quality standards. The analysis can be expressed as a formula:TMDL = Wasteload Allocation (WLA) + Load Allocation (LA) + Margin of Safety (MOS).The WLA is the total allowable pollutant load from point sources (municipal and industrial wastewater facilities, CAFOs, and MS4s). The LA is the load assigned to nonpoint sources (agricultural runoff, non?regulated urban areas). The MOS is the margin of safety which accounts for any uncertainty in the analysis and modeling.To establish a TMDL, Wisconsin?s numeric water quality standards or applicable water quality targets based on narrative water quality standards are used. Water quality monitoring and measured flow in the watershed quantify current pollutant loads to the impaired water. To calculate the pollutant loads, computer models are used. Specific information for the model is needed such as: weather, topography, soil types, and land use. With these and other data inputs, the model simulates physical processes associated with the flow of water, sediment movement, nutrient cycling, crop growth, etc. Models can also be used to predict impacts of changes in land use, climate, and management practices on water quality. TMDL modeling determines the existing load and the target load to calculate the load reduction needed from each pollutant source.",2017-06-23T15:44:56.000Z,2017-07-05T15:29:54.000Z,http://data-wi-dnr.opendata.arcgis.com/datasets/6404fecb33254292bb79cb8303aa30ef_7,https://dnrmaps.wi.gov/arcgis/rest/services/WT_TMDL/WT_RRTMDL_WTM_Ext/MapServer/7,"-89.6091,42.484,-88.1553,43.7883",http://data-wi-dnr.opendata.arcgis.com/datasets/6404fecb33254292bb79cb8303aa30ef_7
http://data-wi-dnr.opendata.arcgis.com/datasets/57a7851149e44a049b05cdb6d4ee5a68_6,Water Management Units,"


 Wisconsin's
     Water Management Units data layer contains 24 delineated basins created
     initially for the Priority Watershed Program. Basins and watersheds are
     interconnected areas of land draining from surrounding ridge tops to a
     common point such as a lake or confluence with a neighboring land area.


?
These basins, delineated
by DNR, generally indicate areas that drain into a common river system or lake,
but may also be based on DNR basin management criteria.

",2017-08-02T18:58:19.000Z,2017-11-20T20:23:13.912Z,http://data-wi-dnr.opendata.arcgis.com/datasets/57a7851149e44a049b05cdb6d4ee5a68_6,https://dnrmaps.wi.gov/arcgis/rest/services/WT_SWDV/WT_Inland_Water_Resources_WTM_Ext_v2/MapServer/6,"-92.9642,42.458,-86.7088,47.0831",http://data-wi-dnr.opendata.arcgis.com/datasets/57a7851149e44a049b05cdb6d4ee5a68_6
http://data-wi-dnr.opendata.arcgis.com/datasets/8a8fdd26d8874f1f969356bdba815341_2,"Deer Management Zones, Units, and Metro Subunits","Wisconsin DNR Deer Management Units and Metro sub-units separated by Zones. For more information, contact Erin Larson - Wisconsin DNR Bureau of?Wildlife Management?or Bill Ceelen - Wisconsin DNR Bureau of Technology Services, GIS Section.Field definitions:DEER_MGMT_UNIT_ID?(shapefile: DEER_MGMT_) - Deer Management Unit (DMU):??DMUs are based on
county boundaries except for areas that are subdivided as metropolitan deer
management subunits, islands of the Apostle Islands National Lakeshore,
Madeline Island in Ashland County or being within the exterior boundaries of
the Bad River, Lac Courte Oreilles, Lac du Flambeau, Menominee and Red Cliff
reservations. Antlerless deer quotas and tag levels are decided at the level of
DMU.DEER_MANAGEMENT_ZONE (shapefile: DEER_MANAG)?- Deer Management Zone (DMZ):? DMUs grouped together in similar habitat typesMETRO_SUBUNIT (shapefile: METRO_SUBU)?- Metropolitan deer management subunits that are a subdivided part of a DMU due to it being in an urban area.DEER_MGMT_UNIT_NAME (shapefile: DEER_MGMT1)?- a combination of the deer management unit (DMU), the Metro Subunit, and the zone (DMZ).",2017-11-08T14:22:28.000Z,2017-11-20T20:20:51.897Z,http://data-wi-dnr.opendata.arcgis.com/datasets/8a8fdd26d8874f1f969356bdba815341_2,https://dnrmaps.wi.gov/arcgis/rest/services/WM_CWD/WM_DMU_MSU_DMZ_Ext/MapServer/2,"-92.9644,42.4569,-86.6662,47.0832",http://data-wi-dnr.opendata.arcgis.com/datasets/8a8fdd26d8874f1f969356bdba815341_2
http://data-wi-dnr.opendata.arcgis.com/datasets/275afcb8b4f54beda0f9b4626ac57d6a_0,GCSM - Bedrock Type,"This layer consists of a polygon coverage at 1:500,000 scale with information about bedrock type used in the GCSM. Bedrock is the consolidated material that underlies the soils and surficial deposits; bedrock type is defined as type of the uppermost rock layer. Bedrock type is important in assessing an area's susceptibility to groundwater contamination, especially if the bedrock is located close to the land surface. The source for this layer is the set of 1:500,000-scale compilation sheets for a 1981 map of bedrock geology of Wisconsin published by the WGNHS. Because of the generalized nature of the GCSM project, bedrock types were grouped into 4 categories during automation of this data layer.See the usage documentation (https://www.arcgis.com/home/item.html?id=e1e89ae505594459a46407f1daf4ad5d) and the Full report (https://www.arcgis.com/home/item.html?id=fd4d0c43abc04b4ab915586d9a0e89dd) for more information.",2017-06-20T15:49:53.000Z,2017-11-20T20:18:45.012Z,http://data-wi-dnr.opendata.arcgis.com/datasets/275afcb8b4f54beda0f9b4626ac57d6a_0,https://services5.arcgis.com/Ul9AyFFeFTjf08DW/arcgis/rest/services/Bedrock_Type/FeatureServer/0,"-180.0,-90.0,180.0,90.0",http://data-wi-dnr.opendata.arcgis.com/datasets/275afcb8b4f54beda0f9b4626ac57d6a_0
http://data-wi-dnr.opendata.arcgis.com/datasets/c841fdc2d30640bb99274378bb58f6eb_11,TMDL Rock River - TSS Load per Acre (tons/ac/yr),"Per-unit area baseline TSS loads by TMDL reach
(subwatershed) and sources ? background, nonpoint, general permits, MS4
(stormwater), and wastewater treatment facilities (WWTF ? public and
private).? The baseline condition is NOT the same as ?existing
conditions?.? See the TMDL report for a full discussion of what the
baseline conditions represent.?The Rock River TMDL was approved by US EPA on September 28, 2011. Through this website, you can access ArcGIS files developed in the TMDL including TMDL reaches and reach-sheds (subwatersheds), baseline loads and distributions, TMDL allocations, and reduction requirements to meet TMDL goals.? These data are derived directly from the full TMDL report and appendices.Rock River Recovery is the official name of the Rock River Basin TMDL implementation process. Visit the?Rock River Recovery website?for more information about the Rock River TMDL, especially relating to implementation, newsletters,?development of TMDLs,?TMDL sector teams, implementation planning, and restoration projects. To read more detail about the Rock River Recovery, explore our?Rock River Recovery project details. ?Implementation is an ongoing process of planning, implementation, monitoring, and review to track progress.? This process is carried out through sector teams for Agriculture/Nonpoint, Education  Outreach, Monitoring, MS4/Stormwater, and Wastewater. ?For more information?about?the Rock River?TMDL?contact:?Mark Riedel?(608)275-3471.Impaired waters in Wisconsin are addressed through an analysis, known as a Total Maximum Daily Load (TMDL). A TMDL is the amount of a pollutant a waterbody can receive and still meet water quality standards. Basically it is a pollution budget for a water body or watershed that establishes the pollutant reduction needed from each pollutant source to meet water quality goals.Section 303(d) of the Clean Water Act requires all states to develop TMDLs for waters on the Impaired Waters List. A TMDL is the amount of a pollutant a water can receive and still meet water quality standards. The analysis can be expressed as a formula:TMDL = Wasteload Allocation (WLA) + Load Allocation (LA) + Margin of Safety (MOS).The WLA is the total allowable pollutant load from point sources (municipal and industrial wastewater facilities, CAFOs, and MS4s). The LA is the load assigned to nonpoint sources (agricultural runoff, non?regulated urban areas). The MOS is the margin of safety which accounts for any uncertainty in the analysis and modeling.To establish a TMDL, Wisconsin?s numeric water quality standards or applicable water quality targets based on narrative water quality standards are used. Water quality monitoring and measured flow in the watershed quantify current pollutant loads to the impaired water. To calculate the pollutant loads, computer models are used. Specific information for the model is needed such as: weather, topography, soil types, and land use. With these and other data inputs, the model simulates physical processes associated with the flow of water, sediment movement, nutrient cycling, crop growth, etc. Models can also be used to predict impacts of changes in land use, climate, and management practices on water quality. TMDL modeling determines the existing load and the target load to calculate the load reduction needed from each pollutant source.",2017-06-23T16:10:53.000Z,2017-07-05T15:31:25.000Z,http://data-wi-dnr.opendata.arcgis.com/datasets/c841fdc2d30640bb99274378bb58f6eb_11,https://dnrmaps.wi.gov/arcgis/rest/services/WT_TMDL/WT_RRTMDL_WTM_Ext/MapServer/11,"-89.6091,42.484,-88.1553,43.7883",http://data-wi-dnr.opendata.arcgis.com/datasets/c841fdc2d30640bb99274378bb58f6eb_11
